StartTime: 2017-07-21 14:57:18.641
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
96.212	2015-01-01 00:11:45.640	0.0439	0.1138	1.0059	-0.3052	2.4414	-2.5635	5.4767	1.9281	55.7062	49.0300	356	182	-248	100803	0.44 
96.227	2015-01-01 00:11:45.680	0.0420	0.1167	1.0132	-0.6714	2.5024	-2.4414	5.4767	1.9446	55.7227	48.9300	357	180	-249	100803	0.44 
96.259	2015-01-01 00:11:45.720	0.0488	0.1069	1.0264	-1.0986	1.0376	-2.3193	5.4547	1.9116	55.7446	48.8400	354	187	-245	100802	0.44 
96.306	2015-01-01 00:11:45.760	0.0596	0.1035	1.0029	-0.5493	1.9531	-2.3193	5.4272	1.8402	55.7611	49.0300	353	190	-244	100802	0.44 
96.337	2015-01-01 00:11:45.800	0.0342	0.1025	1.0205	-0.6104	2.5635	-2.1973	5.4163	1.8567	55.7666	48.8400	354	186	-246	100802	0.44 
96.415	2015-01-01 00:11:45.840	0.0601	0.0942	1.0020	-1.5259	0.3662	-4.4556	5.3778	1.8073	55.7391	48.8400	355	183	-248	100803	0.44 
96.446	2015-01-01 00:11:45.880	0.0776	0.0996	1.0396	-0.0610	0.1221	-3.2959	5.3778	1.7194	55.7446	48.9800	353	179	-251	100803	0.44 
96.462	2015-01-01 00:11:45.920	0.0537	0.1025	0.9443	1.6479	19.0430	-4.5166	5.3394	1.9006	55.7501	48.9800	353	178	-253	100803	0.44 
96.509	2015-01-01 00:11:45.960	0.0420	0.0991	1.0503	-0.7935	3.1738	-4.3945	5.4657	2.3566	55.7501	48.8400	357	181	-252	100803	0.44 
96.540	2015-01-01 00:11:46.000	0.1123	0.0669	0.9907	-2.5024	7.5073	-7.8735	5.3174	2.4115	55.6732	49.1300	356	179	-251	100803	0.44 
96.618	2015-01-01 00:11:46.040	0.0835	0.0820	0.9751	-1.4648	6.5308	-4.3335	5.2350	2.4609	55.6018	49.1300	358	180	-249	100803	0.44 
96.634	2015-01-01 00:11:46.080	0.0591	0.1118	1.0752	1.2207	5.0659	3.4180	5.2679	2.6312	55.7776	48.9800	362	182	-251	100803	0.43 
96.681	2015-01-01 00:11:46.120	0.0654	0.0786	0.9858	1.4648	0.0000	4.4556	5.3284	2.4664	56.1072	48.8400	363	182	-252	100803	0.43 
96.712	2015-01-01 00:11:46.160	0.0405	0.0444	1.0557	0.8545	-0.3052	0.9155	5.3284	2.3730	56.3489	48.8400	362	185	-249	100803	0.43 
96.743	2015-01-01 00:11:46.200	0.0903	0.0483	1.0127	-2.8687	-13.4888	-0.7324	5.2240	1.9061	56.4587	48.9300	362	188	-248	100803	0.43 
96.821	2015-01-01 00:11:46.240	0.1089	0.0938	1.0020	-1.5869	-2.9907	-0.9766	5.1141	1.3953	56.4917	49.0300	362	190	-247	100803	0.43 
96.853	2015-01-01 00:11:46.280	0.0728	0.1050	0.9873	-2.2583	-13.6108	5.3711	5.0757	0.9174	56.6675	48.9800	358	185	-249	100803	0.43 
96.899	2015-01-01 00:11:46.320	0.1387	0.0806	0.8887	-0.7324	-2.3804	3.3569	4.9988	0.3516	56.9202	48.9800	354	186	-246	100803	0.43 
96.931	2015-01-01 00:11:46.360	0.0654	0.1538	0.9624	-1.2817	9.8267	6.3477	5.0647	0.4120	57.1948	48.7900	352	187	-244	100803	0.43 
96.977	2015-01-01 00:11:46.400	0.1270	0.2056	0.8755	-2.3193	22.3999	11.3525	5.1141	0.8350	57.6288	48.9300	350	188	-243	100803	0.43 
97.009	2015-01-01 00:11:46.440	0.1221	0.1982	1.1025	-1.9531	25.3906	21.8506	5.2350	1.7139	58.3539	49.1300	352	187	-246	100803	0.44 
97.040	2015-01-01 00:11:46.480	0.2500	-0.0063	1.0415	1.5869	8.0566	15.7471	5.2460	1.8951	59.2767	48.9300	349	186	-250	100803	0.43 
97.087	2015-01-01 00:11:46.520	0.2485	-0.0586	1.0088	2.3193	2.1362	-3.4790	5.1855	1.6644	59.6503	49.1300	348	189	-254	100803	0.43 
97.118	2015-01-01 00:11:46.560	0.2070	0.1113	0.9556	4.9438	5.8594	-13.9771	5.2405	1.5546	59.3042	48.8400	347	190	-255	100803	0.43 
97.181	2015-01-01 00:11:46.600	0.1650	0.1582	0.8613	0.9766	1.1597	-7.9346	5.4767	1.4117	58.9032	48.8400	349	187	-252	100803	0.43 
97.243	2015-01-01 00:11:46.640	0.1655	0.0737	0.7769	-8.1787	1.4038	-11.4136	5.3284	1.1920	58.5516	48.9800	348	187	-251	100803	0.44 
97.259	2015-01-01 00:11:46.680	0.2109	0.0659	0.8218	-12.5732	-10.1318	-16.2354	4.8944	0.6976	58.0518	48.9800	348	190	-252	100803	0.43 
97.306	2015-01-01 00:11:46.720	0.1206	0.1021	0.6567	-14.3433	-17.1509	-18.3716	4.3616	-0.0934	57.3761	49.1300	354	190	-252	100803	0.43 
97.337	2015-01-01 00:11:46.760	0.2773	0.1387	0.7656	-11.1084	-20.2026	-7.9346	4.0759	-1.0822	56.8817	48.9800	350	190	-252	100804	0.43 
97.384	2015-01-01 00:11:46.800	0.1523	0.0952	0.6802	-11.2915	-24.5972	-13.9160	3.7408	-2.4719	56.6620	49.0300	347	191	-252	100804	0.43 
97.447	2015-01-01 00:11:46.840	-0.0532	0.0674	1.1665	16.0522	3.6621	-33.5693	3.9606	-2.2577	55.4810	48.9800	346	191	-258	100804	0.43 
97.478	2015-01-01 00:11:46.880	-0.2148	-0.1309	1.6152	47.3022	52.0630	-10.7422	5.2075	-1.0876	55.2722	48.9800	345	191	-260	100804	0.43 
97.509	2015-01-01 00:11:46.920	0.0752	0.5220	2.0278	13.9771	5.6763	-8.7280	6.5424	0.3351	54.7229	49.0300	348	192	-254	100804	0.43 
97.541	2015-01-01 00:11:46.960	0.0439	0.2554	1.6304	-17.9443	-21.6064	20.0195	6.4105	-0.3955	55.0415	48.9800	350	189	-247	100804	0.43 
97.634	2015-01-01 00:11:47.000	0.0713	-0.0996	1.0562	-24.2310	0.0610	13.7329	5.3284	-1.0712	55.8820	49.2200	350	191	-249	100804	0.43 
97.634	2015-01-01 00:11:47.040	-0.0024	-0.1094	0.9575	-4.2725	7.8735	2.0142	4.4824	-0.7416	56.4697	48.9800	350	192	-250	100805	0.43 
97.665	2015-01-01 00:11:47.080	0.1172	0.0313	0.5854	0.6714	-6.1035	-9.6436	4.3451	-0.9009	56.4038	48.9800	348	193	-249	100805	0.43 
97.712	2015-01-01 00:11:47.120	0.1450	-0.0049	0.4927	11.7188	-5.5542	-13.1836	4.5319	-1.4447	56.0632	48.9800	348	194	-247	100805	0.43 
97.759	2015-01-01 00:11:47.160	0.0898	0.1001	0.6284	20.7520	-22.7661	-4.4556	5.3064	-2.0874	55.7996	49.0300	346	194	-243	100805	0.43 
97.822	2015-01-01 00:11:47.200	0.1279	0.1533	0.1938	0.0610	-50.0488	12.5122	6.0315	-4.1034	55.7666	49.1300	346	194	-242	100805	0.43 
97.853	2015-01-01 00:11:47.240	0.3120	-0.0903	0.8164	9.9487	-0.9766	30.5786	6.2238	-5.6305	56.8158	48.9300	342	196	-241	100805	0.43 
97.884	2015-01-01 00:11:47.280	0.1338	-0.1724	0.6895	-7.9956	-28.3203	11.5356	5.9216	-6.6852	57.9749	48.9800	337	196	-241	100805	0.43 
97.916	2015-01-01 00:11:47.320	0.2070	0.1274	0.7100	-22.2168	30.9448	-1.6479	5.0922	-7.1960	58.0408	48.8400	331	198	-239	100805	0.43 
97.993	2015-01-01 00:11:47.360	-0.2646	0.8340	1.8804	-10.9863	65.7959	50.9644	4.9823	-4.9438	59.1174	49.1300	330	200	-241	100805	0.43 
98.040	2015-01-01 00:11:47.400	-0.1738	0.4155	2.6475	-26.3062	29.4800	64.7583	4.1638	-2.9938	62.1002	49.1300	328	204	-240	100805	0.43 
98.040	2015-01-01 00:11:47.440	0.3882	-0.3398	1.5586	24.2920	-18.4937	10.0708	3.9496	-3.1860	63.2648	49.0300	327	208	-243	100805	0.43 
