StartTime: 2017-07-21 14:23:19.802
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
593.568	2015-01-01 00:06:32.080	-0.0723	0.0508	1.0146	-0.0610	0.1221	-1.3428	2.6477	3.7299	45.4559	48.3100	507	434	-237	100818	0.42 
593.614	2015-01-01 00:06:32.120	-0.0684	0.0503	1.0132	0.0610	-0.4272	-1.8311	2.6422	3.7354	45.4504	48.2600	507	436	-239	100817	0.42 
593.646	2015-01-01 00:06:32.160	-0.0723	0.0479	1.0122	-0.3052	-0.8545	-1.6479	2.6312	3.7189	45.4230	48.2600	505	440	-236	100818	0.42 
593.693	2015-01-01 00:06:32.200	-0.0737	0.0498	1.0132	0.0000	-0.7324	-1.9531	2.6312	3.6969	45.4010	48.2600	505	437	-239	100817	0.42 
593.756	2015-01-01 00:06:32.240	-0.0737	0.0552	1.0098	-0.3052	-0.8545	-1.8921	2.6312	3.6859	45.3790	48.4500	506	436	-240	100817	0.42 
593.787	2015-01-01 00:06:32.280	-0.0908	0.0537	1.0278	-0.0610	-0.5493	-0.9155	2.6257	3.6969	45.3625	48.3100	506	435	-241	100818	0.42 
593.818	2015-01-01 00:06:32.320	-0.0762	0.0483	1.0103	-0.0610	0.5493	-2.7466	2.6202	3.7079	45.3461	48.1700	507	435	-239	100818	0.42 
593.849	2015-01-01 00:06:32.360	-0.0767	0.0479	1.0034	0.0000	-1.4648	-1.6479	2.6202	3.7189	45.3021	48.3100	505	437	-241	100818	0.42 
593.896	2015-01-01 00:06:32.400	-0.0767	0.0552	1.0142	0.0000	-0.5493	-1.5869	2.6147	3.6914	45.2802	48.1700	505	437	-235	100818	0.42 
593.958	2015-01-01 00:06:32.440	-0.0713	0.0493	1.0195	-0.1221	-0.7935	-0.7324	2.6202	3.6749	45.2856	48.3100	505	435	-231	100817	0.42 
593.989	2015-01-01 00:06:32.480	-0.0781	0.0483	1.0205	-0.3662	-1.9531	-0.7324	2.6147	3.6420	45.3131	48.1700	505	435	-230	100818	0.42 
594.021	2015-01-01 00:06:32.520	-0.0781	0.0439	1.0225	0.0000	-1.7700	-1.1597	2.6093	3.5925	45.3131	48.3100	506	437	-234	100818	0.42 
594.052	2015-01-01 00:06:32.560	-0.0747	0.0508	1.0044	0.0000	-2.0142	-1.4648	2.5983	3.5266	45.3076	48.4500	506	438	-234	100818	0.42 
594.099	2015-01-01 00:06:32.600	-0.0845	0.0522	1.0161	-0.4272	-2.9907	-1.8311	2.5873	3.4552	45.2802	48.3100	507	440	-240	100817	0.42 
594.162	2015-01-01 00:06:32.640	-0.0747	0.0479	1.0171	-0.3662	-2.4414	-1.7700	2.5708	3.3728	45.2527	48.1700	507	441	-243	100818	0.42 
594.193	2015-01-01 00:06:32.680	-0.0771	0.0430	1.0146	-0.4272	-2.7466	-2.3193	2.5543	3.2904	45.2252	48.3100	507	440	-243	100817	0.42 
594.240	2015-01-01 00:06:32.720	-0.0757	0.0469	1.0176	-0.4272	-3.5400	-2.8687	2.5269	3.1970	45.1648	48.3100	506	437	-241	100817	0.42 
594.271	2015-01-01 00:06:32.760	-0.0728	0.0493	1.0142	-0.7324	-2.9907	-2.9907	2.4994	3.0872	45.0989	48.4500	504	435	-239	100817	0.42 
594.333	2015-01-01 00:06:32.800	-0.0713	0.0449	1.0137	-0.7935	-3.7231	-2.8687	2.4609	2.9828	45.0330	48.4500	504	436	-238	100817	0.42 
594.365	2015-01-01 00:06:32.840	-0.0718	0.0518	1.0156	-0.4883	-3.9673	-2.5635	2.4390	2.8729	44.9561	48.0700	504	440	-238	100817	0.42 
594.396	2015-01-01 00:06:32.880	-0.0508	0.0464	1.0112	-0.4883	-3.9063	-3.6621	2.4170	2.7411	44.9066	48.4500	503	437	-236	100818	0.42 
594.443	2015-01-01 00:06:32.920	-0.0698	0.0439	1.0181	-0.6714	-5.1880	-1.8921	2.4005	2.6202	44.8517	48.1200	502	438	-237	100817	0.42 
594.474	2015-01-01 00:06:32.960	-0.0698	0.0430	1.0151	-0.5493	-4.3335	-2.3193	2.3676	2.4500	44.8242	48.2600	502	434	-238	100817	0.42 
594.505	2015-01-01 00:06:33.000	-0.0605	0.0488	1.0210	-0.9155	-5.7373	-2.4414	2.3346	2.2852	44.7858	48.2600	502	433	-238	100818	0.42 
594.568	2015-01-01 00:06:33.040	-0.0640	0.0425	1.0220	-0.7324	-6.0425	-1.4648	2.3071	2.0764	44.7748	48.5000	501	433	-239	100817	0.42 
594.615	2015-01-01 00:06:33.080	-0.0566	0.0415	1.0161	-1.0376	-6.1646	-1.9531	2.2687	1.8512	44.7638	48.1200	501	434	-241	100817	0.42 
594.646	2015-01-01 00:06:33.120	-0.0581	0.0435	1.0234	-1.0986	-7.6904	-1.5869	2.2302	1.6150	44.7473	48.1200	498	436	-238	100817	0.42 
594.693	2015-01-01 00:06:33.160	-0.0527	0.0435	1.0229	-0.9766	-7.9956	-1.5259	2.1863	1.3403	44.7253	48.2600	496	437	-237	100817	0.42 
594.740	2015-01-01 00:06:33.200	-0.0493	0.0459	1.0229	-0.9766	-8.7891	-1.4038	2.1478	1.0437	44.7198	48.4100	496	437	-236	100817	0.42 
594.771	2015-01-01 00:06:33.240	-0.0444	0.0454	1.0269	-1.2817	-9.3994	-1.4648	2.1094	0.7251	44.7144	48.4100	495	438	-239	100817	0.42 
