StartTime: 2017-07-21 14:36:31.431
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
6.015	2015-01-01 00:01:11.880	-0.0322	0.0532	1.0391	4.2725	-3.6011	-7.4463	-0.6482	0.3845	62.0288	42.9900	581	269	-212	100829	0.41 
6.062	2015-01-01 00:01:11.920	-0.0200	0.0591	1.0078	5.9204	-2.9907	-6.7139	-0.3406	0.2582	61.8036	42.9000	581	270	-212	100829	0.41 
6.109	2015-01-01 00:01:11.960	-0.0342	0.0610	1.0313	8.2397	-1.4648	-6.5308	0.0330	0.2417	61.5674	42.8500	580	269	-212	100829	0.41 
6.140	2015-01-01 00:01:12.000	-0.0283	0.0649	1.0005	7.4463	-1.2817	-3.2349	0.4175	0.1923	61.4520	42.8500	581	270	-213	100829	0.41 
6.219	2015-01-01 00:01:12.040	-0.0308	0.0400	1.0054	5.6763	1.0986	-4.0283	0.7416	0.2417	61.3751	42.6600	579	272	-215	100829	0.41 
6.219	2015-01-01 00:01:12.080	-0.0352	0.0361	1.0327	3.1738	-1.4648	-6.4697	0.9283	0.3076	61.2323	42.8500	582	269	-215	100829	0.41 
6.282	2015-01-01 00:01:12.120	-0.0020	0.0845	0.9790	1.4038	0.8545	-3.3569	1.1096	0.2637	61.1115	42.8000	584	267	-218	100829	0.41 
6.313	2015-01-01 00:01:12.160	-0.0493	0.0552	1.0234	-0.6104	1.8921	-3.0518	1.1920	0.4120	61.0565	42.9900	584	268	-211	100829	0.41 
6.344	2015-01-01 00:01:12.200	-0.0273	0.0586	1.0264	-2.1362	0.6714	-2.4414	1.1646	0.4999	61.0181	43.0400	582	268	-209	100829	0.41 
6.422	2015-01-01 00:01:12.240	-0.0298	0.0488	1.0132	-3.8452	1.0986	-7.2021	1.0822	0.5603	60.9192	42.9000	584	268	-209	100828	0.41 
6.422	2015-01-01 00:01:12.280	-0.0449	0.0596	1.0200	-5.1270	-0.8545	-11.4136	0.9448	0.6042	60.6171	42.9900	583	268	-208	100828	0.41 
6.469	2015-01-01 00:01:12.320	-0.0396	0.0742	1.0166	-6.2866	-0.6714	-14.2212	0.7690	0.6152	60.1611	42.9900	582	273	-205	100828	0.41 
6.515	2015-01-01 00:01:12.360	-0.0405	0.0815	1.0166	-8.1177	-1.4038	-12.9395	0.5768	0.6262	59.6997	42.9000	583	272	-206	100828	0.41 
6.547	2015-01-01 00:01:12.400	-0.0425	0.0845	1.0234	-9.0942	-0.3052	-13.4277	0.3131	0.6537	59.2548	42.9900	585	273	-207	100829	0.41 
6.625	2015-01-01 00:01:12.440	-0.0464	0.0981	1.0049	-10.6201	-0.6104	-13.5498	0.0165	0.6537	58.8373	42.9900	587	274	-205	100828	0.41 
6.625	2015-01-01 00:01:12.480	-0.0664	0.1040	1.0366	-12.0239	-1.5869	-12.0239	-0.2911	0.7416	58.4143	42.9900	589	276	-203	100829	0.41 
6.672	2015-01-01 00:01:12.520	-0.0410	0.0918	1.0117	-13.7939	-2.5635	-10.8032	-0.6921	0.6647	58.0957	42.8000	587	277	-207	100829	0.41 
6.703	2015-01-01 00:01:12.560	-0.0640	0.0825	1.0083	-14.7705	-1.4648	-11.6577	-1.1261	0.6482	57.7606	42.9900	586	279	-209	100829	0.41 
6.750	2015-01-01 00:01:12.600	-0.0796	0.0986	1.0244	-16.2354	-2.8076	-10.1929	-1.5930	0.6592	57.4365	42.8500	580	279	-208	100829	0.41 
6.828	2015-01-01 00:01:12.640	-0.0449	0.0986	1.0034	-18.4326	-4.0894	-7.5073	-2.1368	0.5603	57.2168	42.9000	582	282	-209	100829	0.41 
6.844	2015-01-01 00:01:12.680	-0.0430	0.0796	0.9878	-20.4468	-3.8452	-3.7842	-2.7466	0.4504	57.1344	42.8500	586	284	-207	100829	0.41 
6.875	2015-01-01 00:01:12.720	-0.0371	0.0630	1.0049	-22.2168	-4.0894	0.4883	-3.4222	0.3406	57.2168	43.1400	585	288	-211	100829	0.41 
6.922	2015-01-01 00:01:12.760	-0.0596	0.0454	1.0024	-24.3530	-5.7983	-0.4272	-4.2133	0.2087	57.3761	42.9000	587	288	-213	100828	0.41 
6.969	2015-01-01 00:01:12.800	-0.0269	0.0249	0.9810	-25.8789	-8.2397	-0.1221	-5.0702	-0.0055	57.4969	42.9900	585	291	-214	100828	0.41 
7.031	2015-01-01 00:01:12.840	-0.0103	0.0386	0.9512	-29.0527	-6.8970	-1.1597	-5.9930	-0.2527	57.6508	42.9000	583	292	-214	100828	0.41 
7.078	2015-01-01 00:01:12.880	-0.0107	-0.0386	0.9458	-30.9448	-7.6904	-14.4043	-7.0642	-0.5493	57.4969	42.8500	580	293	-217	100828	0.41 
7.078	2015-01-01 00:01:12.920	0.0093	-0.0513	0.9600	-36.1328	-7.4463	-24.2310	-8.2837	-0.9613	56.8982	42.8500	580	296	-218	100828	0.41 
7.125	2015-01-01 00:01:12.960	-0.1069	-0.1035	0.9438	-43.0908	4.3945	-32.6538	-9.7339	-1.0822	55.9589	43.0400	583	301	-217	100827	0.41 
7.203	2015-01-01 00:01:13.000	-0.2144	-0.0659	0.9233	-55.6641	24.6582	-40.6494	-11.6290	-0.5273	54.4373	42.9900	584	305	-214	100828	0.41 
7.234	2015-01-01 00:01:13.040	-0.1943	0.2539	0.4849	-60.8521	26.0010	-8.1177	-13.4363	0.6372	53.2727	43.0400	584	306	-211	100828	0.41 
7.266	2015-01-01 00:01:13.080	-0.1851	0.1353	0.0679	-58.5938	77.9419	13.7939	-14.3646	3.4937	52.6520	43.1800	586	314	-211	100828	0.41 
7.312	2015-01-01 00:01:13.120	-0.1606	0.3794	0.5229	-67.3828	63.4155	63.7817	-15.8313	7.4377	52.8387	43.0400	595	322	-203	100828	0.41 
7.344	2015-01-01 00:01:13.160	-0.2070	0.0859	0.6470	-59.9976	75.8667	29.0527	-17.2980	11.0248	53.9648	43.1400	601	320	-196	100828	0.41 
7.406	2015-01-01 00:01:13.200	-0.1802	-0.1885	0.7222	-71.9604	56.8237	-10.6812	-19.5227	13.7769	53.7067	42.9900	607	320	-194	100827	0.41 
7.437	2015-01-01 00:01:13.240	0.0342	-0.2031	0.6274	-66.2842	42.4805	-81.6040	-23.3130	14.8480	50.9766	42.9900	614	323	-181	100827	0.41 
7.469	2015-01-01 00:01:13.280	-0.0728	-0.1196	0.0679	-85.2051	94.8486	-117.2485	-27.7020	14.3976	46.3019	42.9900	618	327	-174	100827	0.41 
7.500	2015-01-01 00:01:13.320	0.1265	-0.9214	0.2466	-30.7617	-14.1602	-189.5752	-31.8933	11.7773	41.2427	42.9900	620	344	-163	100827	0.41 
7.547	2015-01-01 00:01:13.360	-0.9424	-2.4585	3.1582	-197.6929	-72.0825	-308.5938	-36.9745	3.4882	34.0356	42.9900	621	353	-157	100827	0.42 
7.609	2015-01-01 00:01:13.400	1.4658	-0.8101	-0.4404	-300.9033	-133.1787	-7.8735	-49.9658	-5.2405	36.9965	42.7000	604	385	-163	100827	0.41 
7.641	2015-01-01 00:01:13.440	0.4404	-0.0107	0.1680	-130.7373	-151.1841	66.2842	-56.2500	-8.2123	41.6931	42.8000	585	412	-153	100827	0.41 
7.687	2015-01-01 00:01:13.480	1.4961	-1.3711	-0.4790	-142.8833	1.8921	15.3198	-61.7706	-10.4095	45.8130	42.9900	576	428	-146	100828	0.41 
7.734	2015-01-01 00:01:13.520	-0.0747	-1.5029	-0.0884	-126.5259	-2.4414	85.3882	-67.4121	-8.0420	47.7301	42.9900	572	435	-139	100828	0.41 
7.766	2015-01-01 00:01:13.560	-0.0894	-1.2061	0.4673	-79.4678	30.0293	46.6309	-71.4331	-5.1581	48.6365	42.9900	575	430	-127	100829	0.41 
7.844	2015-01-01 00:01:13.600	0.1440	-0.9766	-0.4458	-73.1812	-37.4146	87.8296	-75.4926	-2.3291	52.4927	42.7000	578	426	-117	100829	0.41 
7.844	2015-01-01 00:01:13.640	0.0889	-0.5322	0.2798	-47.1191	31.6162	111.6943	-77.8052	1.3788	53.2288	42.9900	591	421	-108	100829	0.41 
