StartTime: 2017-07-21 14:39:00.763
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
60.088	2015-01-01 00:01:13.160	-0.1553	0.1592	1.0176	1.5869	2.9297	-3.2959	8.5803	7.5916	28.9270	45.6800	269	349	-256	100822	0.42 
60.135	2015-01-01 00:01:13.200	-0.1445	0.1523	0.9863	1.5869	1.2817	-3.4790	8.6298	7.7124	28.8611	45.8700	268	349	-258	100822	0.42 
60.167	2015-01-01 00:01:13.240	-0.1548	0.1533	1.0088	2.1362	2.6245	-3.2349	8.6792	7.8278	28.8116	46.0600	271	347	-259	100822	0.42 
60.213	2015-01-01 00:01:13.280	-0.1592	0.1523	0.9917	1.7700	0.4883	-4.3335	8.7286	7.9211	28.7457	46.1500	272	346	-260	100823	0.42 
60.276	2015-01-01 00:01:13.320	-0.1660	0.1641	0.9912	1.7090	1.5259	-2.5024	8.8000	8.0145	28.6908	46.0100	272	347	-261	100823	0.42 
60.307	2015-01-01 00:01:13.360	-0.1641	0.1450	1.0024	2.3804	0.0610	-4.8828	8.8495	8.1244	28.6084	45.8700	271	344	-261	100823	0.42 
60.370	2015-01-01 00:01:13.400	-0.1587	0.1543	0.9897	2.5635	0.7324	-5.7373	8.9099	8.1903	28.4766	45.9600	271	343	-261	100823	0.42 
60.385	2015-01-01 00:01:13.440	-0.1470	0.1484	0.9751	3.7842	2.3804	-7.0801	8.9978	8.2947	28.3118	45.8700	271	342	-263	100823	0.42 
60.432	2015-01-01 00:01:13.480	-0.1846	0.1406	0.9995	4.6997	5.8594	-3.9673	9.1296	8.5419	28.2184	46.0100	270	342	-262	100823	0.42 
60.464	2015-01-01 00:01:13.520	-0.1670	0.1133	0.9614	5.3101	6.7749	-3.9063	9.2670	8.8495	28.1689	45.9600	269	342	-261	100823	0.42 
60.511	2015-01-01 00:01:13.560	-0.1812	0.1196	0.9790	7.6294	10.5591	-3.5400	9.4592	9.2615	28.1635	45.8200	271	342	-259	100824	0.42 
60.589	2015-01-01 00:01:13.600	-0.1846	0.1157	1.0146	9.3384	8.3618	-2.2583	9.7174	9.7119	28.1799	45.8700	272	341	-260	100824	0.42 
60.604	2015-01-01 00:01:13.640	-0.1797	0.1284	0.9756	12.3901	8.3618	3.1128	10.1239	10.0085	28.3887	45.6300	274	339	-262	100824	0.42 
60.635	2015-01-01 00:01:13.680	-0.2017	0.1123	0.9829	15.7471	10.1318	1.3428	10.6238	10.3601	28.5974	46.0600	274	337	-264	100824	0.42 
60.667	2015-01-01 00:01:13.720	-0.2134	0.1602	1.0078	17.8833	8.5449	4.8218	11.3159	10.7831	28.8721	45.6800	273	339	-265	100824	0.42 
