StartTime: 2017-07-21 14:23:19.802
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
215.509	2015-01-01 00:04:31.160	-0.0723	0.0259	1.0176	-0.8545	-0.2441	-1.8921	-0.2637	2.8784	19.9951	45.3400	436	465	-250	100818	0.42 
215.540	2015-01-01 00:04:31.200	-0.0718	0.0132	1.0186	-0.5493	0.0000	-1.2817	-0.2692	2.9004	20.4401	45.4800	436	465	-250	100818	0.42 
215.587	2015-01-01 00:04:31.240	-0.0752	0.0166	1.0156	-0.6104	-0.4883	-1.8311	-0.2637	2.9279	20.8850	45.5300	437	465	-248	100819	0.42 
215.618	2015-01-01 00:04:31.280	-0.0693	0.0195	1.0166	-0.2441	-0.8545	-1.8311	-0.2582	2.9279	21.3025	45.5300	436	465	-246	100819	0.42 
215.649	2015-01-01 00:04:31.320	-0.0664	0.0190	1.0166	-0.4272	0.2441	-1.5869	-0.2527	2.9553	21.7090	45.3400	435	467	-246	100819	0.42 
215.696	2015-01-01 00:04:31.360	-0.0776	0.0254	1.0234	-0.2441	-1.4648	-0.7935	-0.2362	2.9608	22.1320	45.4400	436	464	-245	100819	0.42 
215.743	2015-01-01 00:04:31.400	-0.0630	0.0181	1.0107	-0.3052	-2.0142	-0.6104	-0.2307	2.9114	22.5549	45.3400	437	468	-246	100819	0.42 
215.790	2015-01-01 00:04:31.440	-0.0806	0.0190	1.0342	0.0000	-0.9155	-1.2207	-0.2197	2.9333	22.9614	45.4400	439	467	-246	100819	0.42 
215.821	2015-01-01 00:04:31.480	-0.0601	0.0220	1.0093	0.0610	0.7935	-0.6104	-0.1978	2.9114	23.3789	45.3400	439	464	-247	100819	0.42 
215.853	2015-01-01 00:04:31.520	-0.0703	0.0171	1.0142	0.0610	0.9155	1.0986	-0.1703	3.0103	23.8403	45.3400	439	462	-246	100819	0.42 
215.899	2015-01-01 00:04:31.560	-0.0723	0.0225	1.0107	0.3052	3.5400	0.8545	-0.1373	3.1091	24.3127	45.5300	437	463	-246	100819	0.42 
215.946	2015-01-01 00:04:31.600	-0.0771	0.0146	1.0190	0.0000	3.9063	1.2207	-0.1154	3.3014	24.7632	45.4800	436	463	-245	100819	0.42 
215.993	2015-01-01 00:04:31.640	-0.0728	0.0205	0.9985	-0.1831	5.9814	1.4648	-0.0934	3.5156	25.2191	45.1500	437	465	-244	100819	0.42 
216.025	2015-01-01 00:04:31.680	-0.0850	0.0015	0.9995	0.2441	10.2539	1.4038	-0.0824	3.8837	25.6696	45.4400	438	465	-244	100819	0.42 
216.055	2015-01-01 00:04:31.720	-0.0869	0.0117	0.9976	0.8545	11.7798	1.5869	-0.0549	4.3561	26.1035	45.7700	437	466	-245	100819	0.42 
216.118	2015-01-01 00:04:31.760	-0.0972	0.0044	1.0112	3.9673	14.7705	1.6479	0.0604	4.9054	26.5320	45.6800	439	465	-248	100819	0.42 
216.149	2015-01-01 00:04:31.800	-0.1187	-0.0117	0.9863	8.6060	17.2729	0.6714	0.3131	5.5756	26.9385	45.5300	437	469	-251	100819	0.42 
216.228	2015-01-01 00:04:31.840	-0.1348	0.0234	0.9204	12.3291	24.6582	-0.7935	0.7361	6.4435	27.2406	45.2400	436	471	-252	100819	0.42 
216.228	2015-01-01 00:04:31.880	-0.1455	0.1016	0.8169	10.3760	33.4473	3.7842	1.3184	7.6904	27.6141	45.5300	442	466	-251	100819	0.42 
216.274	2015-01-01 00:04:31.920	-0.1470	0.0405	0.6533	0.6714	42.0532	4.3335	1.6315	9.2285	28.1360	45.3400	443	463	-251	100819	0.42 
216.305	2015-01-01 00:04:31.960	-0.1450	-0.0439	0.6172	1.5259	52.3071	-15.8081	1.5051	11.2445	28.2239	45.4800	443	461	-251	100819	0.42 
216.352	2015-01-01 00:04:32.000	-0.2207	-0.0728	0.6660	18.3716	57.8613	-41.6870	1.4172	13.5846	27.2571	45.3400	453	458	-247	100819	0.42 
216.431	2015-01-01 00:04:32.040	-0.2222	0.0703	0.5298	19.5923	54.4434	-29.4189	1.9940	15.9521	26.0431	45.3400	458	460	-248	100819	0.42 
216.431	2015-01-01 00:04:32.080	-0.3047	0.0713	0.7959	9.8267	64.8804	-17.1509	2.3895	18.6218	25.5267	45.5300	462	461	-248	100819	0.42 
216.477	2015-01-01 00:04:32.120	-0.3354	0.0410	0.8569	-7.3853	61.7065	-28.9917	2.3346	20.9674	25.0378	45.2900	471	459	-247	100819	0.42 
216.509	2015-01-01 00:04:32.160	-0.3081	0.1191	1.0215	-9.0942	48.5229	-45.2271	1.5106	22.8790	23.8348	45.5300	475	462	-243	100819	0.42 
216.572	2015-01-01 00:04:32.200	-0.6323	-0.0010	1.5024	7.3853	17.8833	-34.9121	0.7526	24.4281	22.3572	45.6300	478	464	-242	100819	0.42 
216.618	2015-01-01 00:04:32.240	-0.4409	0.2915	1.3447	9.1553	-19.8975	-4.5166	0.9668	23.8788	21.9397	45.6300	478	463	-243	100819	0.42 
216.650	2015-01-01 00:04:32.280	-0.6855	-0.0234	1.7974	7.9346	-2.7466	-3.6011	1.5106	23.5767	22.4396	45.3400	478	463	-245	100819	0.42 
216.681	2015-01-01 00:04:32.320	-0.5786	0.2539	1.8779	10.8643	-40.7715	-6.7139	1.7303	22.4121	22.3242	45.3400	472	463	-241	100819	0.42 
216.727	2015-01-01 00:04:32.360	-0.6631	0.2290	1.9990	4.8828	-8.3008	6.3477	2.2687	21.2750	22.8571	45.3400	469	462	-241	100820	0.42 
216.774	2015-01-01 00:04:32.400	-0.8418	0.1689	2.3413	8.1177	-51.6357	5.4932	2.6422	20.2039	23.3679	45.5300	468	460	-239	100820	0.42 
216.821	2015-01-01 00:04:32.440	-0.5518	0.3003	2.2642	11.7798	-57.7393	14.7095	3.1860	17.6825	24.0436	45.4800	463	460	-245	100820	0.42 
216.853	2015-01-01 00:04:32.480	-0.6074	-0.0205	1.6846	13.3667	-39.2456	-7.5073	3.7354	15.6555	24.5435	45.4800	460	459	-246	100820	0.42 
216.884	2015-01-01 00:04:32.520	-0.5552	-0.0200	1.0371	6.8359	-93.3838	-23.4375	3.7408	13.6945	23.6865	45.1500	458	458	-248	100821	0.42 
216.931	2015-01-01 00:04:32.560	0.0723	0.1802	-0.4683	-1.7090	-63.5986	7.6294	3.9661	9.8273	23.4998	45.1500	445	455	-252	100821	0.42 
216.962	2015-01-01 00:04:32.600	-0.1860	-0.0776	-0.6406	0.1831	-35.1563	-9.8267	5.3943	9.8657	23.2635	45.2900	433	454	-252	100820	0.42 
217.040	2015-01-01 00:04:32.640	-0.3257	-0.0679	0.1206	-5.3711	-0.6714	2.1973	6.2183	11.5796	22.4341	45.3400	428	454	-253	100820	0.42 
217.103	2015-01-01 00:04:32.680	-0.2046	0.0850	0.0928	-3.1738	-23.1323	9.0942	6.1688	12.1729	22.2638	45.2900	423	455	-254	100820	0.42 
217.103	2015-01-01 00:04:32.720	0.0586	0.1558	-0.0913	-3.7231	-20.6299	35.2783	8.0310	12.2937	23.9667	45.4800	421	452	-255	100820	0.42 
217.134	2015-01-01 00:04:32.760	-0.0103	0.0488	0.0933	-7.8125	-18.6768	36.1328	9.5471	11.0577	26.1200	45.2900	421	453	-255	100820	0.42 
217.181	2015-01-01 00:04:32.800	-0.1357	-0.0615	-0.0845	-14.3433	-25.2075	27.0386	9.9371	11.0742	26.8231	45.2900	421	455	-257	100819	0.42 
217.212	2015-01-01 00:04:32.840	-0.0474	-0.1470	-0.0771	0.3662	1.4648	13.9771	9.1296	9.6570	28.1305	45.4400	422	456	-257	100820	0.42 
217.290	2015-01-01 00:04:32.880	-0.1738	-0.0073	0.1431	-8.5449	74.4629	12.5122	10.0140	12.0850	28.3447	45.5300	425	456	-257	100819	0.42 
217.306	2015-01-01 00:04:32.920	-0.6763	0.0200	3.9209	15.6250	124.6338	-65.8569	9.5142	17.8033	27.7789	45.2400	425	453	-257	100819	0.42 
217.353	2015-01-01 00:04:32.960	-0.1577	0.1753	2.2983	10.1318	-60.9131	-46.2036	9.5087	16.5729	26.2354	45.3400	435	458	-256	100819	0.42 
217.384	2015-01-01 00:04:33.000	0.0825	0.4092	1.8062	19.2261	-22.6440	27.0386	10.0140	15.5347	26.0101	45.2900	435	461	-258	100819	0.42 
217.415	2015-01-01 00:04:33.040	-0.1353	0.0625	1.0391	-10.6201	36.8652	20.8130	10.0525	15.4193	27.4219	45.4800	433	460	-259	100819	0.42 
217.477	2015-01-01 00:04:33.080	-0.3364	0.0454	0.7261	-9.8267	-12.5122	22.3999	9.8602	16.0291	28.4766	45.1500	433	459	-260	100819	0.42 
217.509	2015-01-01 00:04:33.120	-0.0278	0.1870	0.3198	-13.9771	-5.2490	42.4805	9.8547	15.1447	29.8993	45.1500	433	461	-266	100820	0.42 
217.556	2015-01-01 00:04:33.160	-0.2524	-0.0713	0.5659	-26.9775	23.2544	16.2354	9.3439	15.6500	31.1243	45.2400	438	459	-263	100820	0.42 
217.603	2015-01-01 00:04:33.200	-0.2974	-0.0781	0.8828	-18.5547	8.3008	22.2778	8.1903	16.2982	32.2009	45.1500	444	462	-254	100820	0.42 
217.634	2015-01-01 00:04:33.240	-0.1738	0.3433	1.1519	-12.5122	-0.6104	36.2549	7.9376	15.8972	33.4918	45.1000	448	465	-249	100820	0.42 
217.696	2015-01-01 00:04:33.280	-0.5098	-0.1133	1.6777	-31.4941	-52.2461	-1.7090	6.9543	15.0128	34.1949	45.2900	455	464	-249	100820	0.42 
217.728	2015-01-01 00:04:33.320	0.0454	-0.1372	0.5835	-1.4648	-56.7017	12.6343	6.0864	11.9971	34.2773	45.2900	455	462	-247	100820	0.42 
217.759	2015-01-01 00:04:33.360	-0.1147	0.0400	0.8901	-3.4180	38.1470	-6.8359	5.8447	11.5686	34.7113	45.1500	455	461	-248	100819	0.42 
217.806	2015-01-01 00:04:33.400	-0.2773	0.0137	1.1445	-4.2114	-13.3057	-7.3242	5.4877	12.1289	34.5300	45.2900	452	463	-247	100819	0.42 
217.837	2015-01-01 00:04:33.440	-0.0884	0.1304	1.0190	-0.2441	-12.2681	2.4414	5.3778	11.4203	34.5410	45.4400	450	466	-245	100819	0.42 
217.900	2015-01-01 00:04:33.480	-0.0391	-0.0254	1.0146	-3.5400	-13.5498	-4.7607	5.2570	10.7007	34.6783	45.2900	450	466	-247	100819	0.42 
217.931	2015-01-01 00:04:33.520	-0.0728	-0.0732	0.9761	-0.6714	3.6011	-9.5825	4.8834	10.3766	34.5135	45.2900	450	472	-245	100819	0.42 
217.963	2015-01-01 00:04:33.560	-0.1172	0.0513	1.0166	1.0986	1.0986	-7.2021	4.7791	10.4150	34.4037	45.2900	448	469	-243	100819	0.42 
217.993	2015-01-01 00:04:33.600	-0.1226	0.0054	0.9941	-1.3428	-3.0518	-12.5732	4.6198	10.3107	34.1290	45.3400	446	468	-247	100819	0.42 
218.040	2015-01-01 00:04:33.640	-0.1147	0.0459	0.9951	-0.7324	0.5493	-11.4136	4.3781	10.2008	33.7830	45.2900	444	469	-250	100818	0.42 
218.103	2015-01-01 00:04:33.680	-0.1328	0.0601	1.0410	-1.5259	1.2207	-5.3711	4.2847	10.2338	33.6182	45.2400	444	468	-249	100818	0.42 
218.118	2015-01-01 00:04:33.720	-0.1035	-0.0103	0.9858	-0.0610	4.5166	-2.0142	4.1583	10.2063	33.7170	45.2900	441	470	-248	100818	0.42 
218.165	2015-01-01 00:04:33.760	-0.1167	0.0122	1.0181	-0.4272	4.2725	-4.8828	4.0320	10.3436	33.7445	45.3400	443	471	-247	100818	0.42 
218.212	2015-01-01 00:04:33.800	-0.0996	0.0186	1.0132	0.8545	3.6621	-5.7373	3.9386	10.3876	33.7115	45.2900	445	470	-247	100819	0.42 
218.259	2015-01-01 00:04:33.840	-0.1079	0.0186	1.0103	0.3662	4.0283	-6.2256	3.8617	10.4370	33.6566	45.2900	446	469	-247	100818	0.42 
