StartTime: 2017-07-21 14:47:47.248
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
247.044	2015-01-01 00:05:1.000	0.0054	0.0249	1.0171	-0.1831	2.0142	-2.8687	0.8844	4.2352	38.9740	48.1700	442	461	-217	100810	0.43 
247.076	2015-01-01 00:05:1.040	0.0039	0.0264	1.0181	-0.3052	2.6245	-2.8076	0.8844	4.2188	38.9740	48.1200	443	460	-220	100810	0.43 
247.123	2015-01-01 00:05:1.080	0.0034	0.0288	1.0239	0.0610	2.1362	-2.7466	0.8844	4.2078	38.9685	48.2600	443	463	-218	100810	0.43 
247.169	2015-01-01 00:05:1.120	0.0054	0.0254	1.0215	-0.0610	1.5259	-2.8687	0.8899	4.1693	38.9575	48.1700	440	463	-218	100810	0.43 
247.216	2015-01-01 00:05:1.160	0.0039	0.0303	1.0156	-0.3052	1.7700	-3.4180	0.8954	4.1309	38.9355	48.3100	440	462	-220	100810	0.43 
247.247	2015-01-01 00:05:1.200	0.0039	0.0244	1.0229	-0.3052	1.6479	-3.1128	0.8899	4.0979	38.9136	48.1200	438	460	-221	100810	0.43 
247.279	2015-01-01 00:05:1.240	0.0176	0.0317	1.0186	-0.0610	1.3428	-2.6855	0.8954	4.0375	38.9081	48.2600	437	459	-222	100810	0.43 
247.326	2015-01-01 00:05:1.280	0.0171	0.0313	1.0288	-0.6104	1.8311	-2.0752	0.9009	3.9771	38.9246	48.1200	438	460	-222	100810	0.43 
247.372	2015-01-01 00:05:1.320	-0.0034	0.0063	1.0464	-0.4272	1.4038	-4.5776	0.8844	3.9496	38.9081	48.4100	438	460	-221	100810	0.43 
247.419	2015-01-01 00:05:1.360	-0.0317	0.0117	1.0381	-1.7700	-2.4414	-7.9346	0.8075	3.8507	38.7323	48.1200	438	461	-220	100810	0.43 
247.466	2015-01-01 00:05:1.400	-0.0171	0.0669	1.0518	-0.3662	-9.2773	-4.3335	0.7855	3.5596	38.5730	48.0700	440	462	-220	100810	0.43 
247.498	2015-01-01 00:05:1.440	-0.0049	0.0488	1.0547	2.8076	-18.9819	1.7700	0.9119	2.9114	38.6334	48.2600	440	464	-221	100810	0.43 
247.544	2015-01-01 00:05:1.480	0.0054	-0.0166	1.0469	0.4272	-26.7944	0.3052	0.9943	1.8951	38.7982	48.2600	440	465	-222	100810	0.43 
247.607	2015-01-01 00:05:1.520	-0.0029	-0.0044	1.0532	-1.7090	-33.6914	-6.2256	0.9009	0.6427	38.7488	48.1700	438	464	-225	100809	0.43 
247.622	2015-01-01 00:05:1.560	0.0225	0.0415	1.0229	0.0000	-36.3770	-7.1411	0.8844	-0.7471	38.5455	48.1700	434	463	-224	100809	0.43 
247.654	2015-01-01 00:05:1.600	0.0684	0.0356	1.0088	0.3662	-39.7339	-6.8359	0.9283	-2.3071	38.3588	48.2600	429	460	-226	100809	0.43 
247.701	2015-01-01 00:05:1.640	0.0264	0.0498	1.0259	1.0986	-40.1001	0.6714	1.0107	-3.8617	38.2709	48.1700	424	463	-225	100809	0.43 
247.748	2015-01-01 00:05:1.680	0.1191	0.0581	1.0142	0.2441	-43.2129	4.3945	1.0547	-5.5426	38.4961	48.1700	418	463	-227	100809	0.43 
247.810	2015-01-01 00:05:1.720	0.1582	0.0410	1.0317	3.3569	-37.7197	-0.6104	1.1646	-7.1906	38.6499	48.2600	415	462	-227	100809	0.43 
247.873	2015-01-01 00:05:1.760	0.1743	0.0278	1.0459	0.0000	-51.6357	-2.3804	1.2909	-8.9648	38.6279	48.1200	412	462	-227	100809	0.43 
247.873	2015-01-01 00:05:1.800	0.2695	0.0356	0.9648	-0.9155	-67.3218	-0.3052	1.2799	-11.4862	38.6334	48.2600	406	465	-228	100809	0.43 
247.904	2015-01-01 00:05:1.840	0.3760	0.0107	0.8921	1.0376	-58.2886	5.3711	1.2909	-14.1449	38.8147	48.1200	405	465	-232	100809	0.43 
247.951	2015-01-01 00:05:1.880	0.4526	-0.0034	0.8477	3.2959	-42.5415	8.2397	1.3074	-16.4410	39.1827	48.1700	404	465	-234	100809	0.43 
248.013	2015-01-01 00:05:1.920	0.3149	0.0503	0.9790	2.7466	-32.8369	6.5918	1.3513	-17.8967	39.6167	48.0700	392	463	-232	100809	0.43 
248.044	2015-01-01 00:05:1.960	0.4048	0.0654	0.9810	-3.4180	-52.2461	3.5400	1.3239	-19.8138	39.8254	48.1200	385	459	-235	100809	0.43 
248.091	2015-01-01 00:05:2.000	0.3604	0.0366	0.9546	-3.9673	-59.5093	3.3569	1.1700	-22.0551	40.0012	48.0700	382	457	-237	100809	0.43 
