StartTime: 2017-07-21 14:09:41.361
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
38.817	2015-01-01 00:02:56.360	0.0083	0.0439	1.0137	0.0610	-0.3052	-1.1597	2.5159	-0.4834	39.0674	46.2000	427	457	-263	100836	0.41 
38.848	2015-01-01 00:02:56.400	-0.0137	0.0420	1.0400	0.3662	0.7324	-1.5259	2.5323	-0.4120	39.0839	46.1500	428	459	-262	100836	0.41 
38.895	2015-01-01 00:02:56.440	0.0161	0.0425	1.0161	0.0610	-0.8545	-2.0752	2.5269	-0.4559	39.0948	46.2000	428	458	-264	100836	0.41 
38.926	2015-01-01 00:02:56.480	-0.0068	0.0386	1.0122	0.4883	3.4180	-1.1597	2.5323	-0.3845	39.1223	45.9600	427	458	-263	100836	0.41 
39.005	2015-01-01 00:02:56.520	-0.0073	0.0420	1.0220	0.4272	0.7935	-0.6104	2.5378	-0.2911	39.1608	46.5400	427	459	-263	100836	0.41 
39.005	2015-01-01 00:02:56.560	-0.0200	0.0381	1.0054	1.2207	3.6011	-2.5635	2.5543	-0.1703	39.1718	46.0600	425	460	-263	100836	0.41 
39.051	2015-01-01 00:02:56.600	-0.0225	0.0371	1.0283	1.4648	5.7983	-4.2725	2.5983	0.0549	39.0948	46.3900	427	459	-265	100836	0.41 
39.098	2015-01-01 00:02:56.640	-0.0317	0.0430	1.0186	2.1973	5.6763	-5.2490	2.6587	0.3186	38.9905	46.4900	428	459	-266	100836	0.41 
39.129	2015-01-01 00:02:56.680	-0.0322	0.0420	0.9980	2.1362	7.9956	-7.6294	2.7356	0.6262	38.7982	46.3500	430	457	-264	100836	0.41 
39.192	2015-01-01 00:02:56.720	-0.0640	0.0464	1.0107	1.8921	12.8174	-7.8125	2.8125	1.1316	38.5785	46.2000	429	458	-262	100836	0.41 
39.208	2015-01-01 00:02:56.760	-0.0762	0.0601	0.9849	2.5024	15.5029	-8.4229	2.8894	1.7688	38.3313	46.1500	429	458	-261	100836	0.41 
39.254	2015-01-01 00:02:56.800	-0.0776	0.0518	0.9736	2.9907	25.0244	-8.1787	3.0048	2.6642	38.1281	46.3500	428	456	-263	100836	0.41 
39.301	2015-01-01 00:02:56.840	-0.0820	0.0313	1.0015	3.0518	32.1045	-11.7798	3.1091	3.9166	37.8699	46.3000	430	457	-263	100836	0.41 
39.333	2015-01-01 00:02:56.880	-0.1172	0.0337	0.9507	0.7324	39.7949	-14.2822	3.0981	5.4108	37.4854	46.2000	434	457	-264	100836	0.41 
39.395	2015-01-01 00:02:56.920	-0.1099	0.0488	0.8853	-1.4648	55.1147	-13.8550	3.0048	7.3444	37.1118	46.3500	437	456	-267	100836	0.41 
39.426	2015-01-01 00:02:56.960	-0.1846	0.0342	0.8584	-2.5024	66.4673	-16.3574	2.8564	9.8987	36.6998	46.2000	439	459	-264	100836	0.41 
39.458	2015-01-01 00:02:57.000	-0.2305	0.0010	0.8164	-4.0894	83.6792	-23.4985	2.5323	13.0298	36.0571	46.3500	440	461	-263	100836	0.41 
39.505	2015-01-01 00:02:57.040	-0.3105	0.0596	0.8452	0.1221	85.5713	-11.7798	2.2797	16.6003	35.4474	46.1500	451	461	-261	100836	0.41 
39.536	2015-01-01 00:02:57.080	-0.3027	0.0576	0.7305	-3.0518	94.9707	-3.5400	2.2797	20.1874	35.3870	46.0600	459	461	-257	100837	0.41 
39.598	2015-01-01 00:02:57.120	-0.4053	0.0581	0.8403	-3.5400	99.2432	-0.7324	2.2137	24.2688	35.4309	46.2000	463	461	-255	100836	0.41 
39.646	2015-01-01 00:02:57.160	-0.3979	0.0137	0.7471	-7.0801	99.5483	-2.1362	2.0819	28.1799	35.5353	46.3000	480	458	-251	100836	0.41 
39.676	2015-01-01 00:02:57.200	-0.4912	0.0132	0.7974	-8.4839	103.2715	-2.9297	1.7139	32.2504	35.4913	46.2000	492	457	-248	100837	0.41 
39.723	2015-01-01 00:02:57.240	-0.5757	-0.0220	0.7905	-9.4604	93.5059	-8.7891	1.2195	36.1615	35.2167	46.1500	497	456	-246	100837	0.41 
39.770	2015-01-01 00:02:57.280	-0.5449	-0.0303	0.6792	-10.3149	92.4683	-13.6108	0.3735	39.9078	34.4861	46.4900	512	457	-239	100837	0.41 
39.802	2015-01-01 00:02:57.320	-0.6670	0.0107	0.7363	-9.2163	88.1958	-19.8975	-0.5988	43.5114	33.4259	46.2000	526	459	-230	100837	0.41 
39.848	2015-01-01 00:02:57.360	-0.6616	-0.0239	0.6704	-8.0566	79.5288	-21.6064	-1.9281	46.7303	31.9043	46.3500	539	461	-223	100837	0.41 
39.895	2015-01-01 00:02:57.400	-0.7393	-0.0381	0.6729	-10.0098	67.0776	-24.9634	-3.3563	49.5593	30.2728	46.3000	542	462	-215	100837	0.41 
39.926	2015-01-01 00:02:57.440	-0.7627	-0.0381	0.6387	-10.4980	62.8662	-23.8647	-5.3174	51.9214	28.0865	46.5400	550	467	-208	100837	0.41 
40.005	2015-01-01 00:02:57.480	-0.7769	-0.0234	0.5972	-12.3291	52.8564	-26.1230	-7.2015	54.0967	25.9882	46.3000	551	470	-204	100838	0.41 
40.020	2015-01-01 00:02:57.520	-0.8232	-0.0786	0.5957	-9.8267	46.2646	-27.3438	-9.7064	55.7886	23.2306	46.1500	555	471	-197	100838	0.41 
40.052	2015-01-01 00:02:57.560	-0.9009	-0.0854	0.6289	-6.5308	22.6440	-20.6299	-11.4917	56.8762	21.1377	46.2000	558	476	-193	100838	0.41 
40.098	2015-01-01 00:02:57.600	-0.8774	-0.1753	0.6050	-6.8970	10.0708	-28.4424	-13.6230	57.1948	18.7866	46.1500	560	479	-192	100838	0.41 
40.130	2015-01-01 00:02:57.640	-0.9106	-0.1489	0.5972	-1.6479	0.2441	-28.5645	-15.4688	56.9916	16.5344	46.3900	557	482	-187	100838	0.41 
40.176	2015-01-01 00:02:57.680	-0.9189	-0.1992	0.5933	-3.3569	-9.8267	-28.9917	-17.1167	56.4423	14.4800	46.2000	552	485	-188	100838	0.41 
40.223	2015-01-01 00:02:57.720	-0.9561	-0.1968	0.5986	-5.3101	-12.3901	-26.1230	-18.8086	55.6677	12.4805	46.2000	550	487	-190	100838	0.41 
40.255	2015-01-01 00:02:57.760	-0.9961	-0.1978	0.6069	-6.2256	-15.1978	-23.7427	-20.0006	54.8547	11.0303	46.3500	548	491	-191	100838	0.41 
40.302	2015-01-01 00:02:57.800	-0.9458	-0.2251	0.5820	-3.3569	-17.7612	-22.1558	-21.1102	53.9374	9.6735	46.2000	542	493	-190	100839	0.41 
40.380	2015-01-01 00:02:57.840	-1.0313	-0.2549	0.6548	0.6104	-17.2119	-19.2871	-21.7474	53.0530	8.7561	46.2000	535	495	-189	100839	0.41 
40.411	2015-01-01 00:02:57.880	-0.9268	-0.2515	0.6157	2.0142	-12.0239	-12.2681	-22.2528	52.2949	7.8607	46.2000	532	497	-190	100839	0.41 
40.426	2015-01-01 00:02:57.920	-0.9736	-0.2778	0.6245	3.0518	-3.8452	-8.5449	-22.3901	51.9708	7.4103	46.1500	529	498	-195	100839	0.40 
40.489	2015-01-01 00:02:57.960	-1.0347	-0.2622	0.6387	3.3569	-2.0752	-8.7891	-22.6758	51.8445	6.6577	46.2000	526	498	-194	100839	0.40 
40.520	2015-01-01 00:02:58.000	-1.0425	-0.3022	0.6636	1.0986	-1.4038	-4.0894	-22.8735	51.7950	6.1304	46.3500	525	496	-195	100839	0.40 
40.551	2015-01-01 00:02:58.040	-1.0464	-0.2959	0.6533	1.7700	-2.5635	-0.7324	-22.8571	51.7291	5.8777	46.3900	522	495	-194	100839	0.40 
40.615	2015-01-01 00:02:58.080	-1.0845	-0.3032	0.6865	1.7090	3.7842	4.2725	-22.7252	51.8939	5.7953	46.3900	522	496	-192	100840	0.40 
40.646	2015-01-01 00:02:58.120	-1.1064	-0.2739	0.6890	1.5259	8.6670	15.0757	-22.3352	52.3718	6.0754	46.5400	518	495	-195	100840	0.40 
40.708	2015-01-01 00:02:58.160	-1.0864	-0.2417	0.6948	3.0518	11.2305	21.5454	-21.4673	53.1244	6.8060	46.1500	515	493	-197	100840	0.40 
