StartTime: 2017-07-21 14:45:15.173
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
76.238	2015-01-01 00:03:58.040	-0.2129	0.0947	0.9814	-0.9766	2.3804	-2.5635	3.2025	16.5234	25.4333	46.8700	443	459	-226	100797	0.44 
76.301	2015-01-01 00:03:58.080	-0.2188	0.0996	0.9976	-1.7700	2.3804	-3.2349	3.1915	16.5234	25.6750	46.5400	443	459	-225	100798	0.44 
76.332	2015-01-01 00:03:58.120	-0.2144	0.0776	0.9526	-1.2207	4.6997	-3.0518	3.1421	16.5234	25.9003	46.7300	443	461	-223	100798	0.44 
76.364	2015-01-01 00:03:58.160	-0.2476	0.1157	1.0288	-1.5869	6.4087	1.4648	3.1476	16.7596	26.2024	46.3900	444	463	-220	100798	0.44 
76.395	2015-01-01 00:03:58.200	-0.1924	0.1333	1.0225	-4.5166	1.8311	-0.4272	3.1476	16.7596	26.5814	46.4900	443	464	-221	100798	0.44 
76.441	2015-01-01 00:03:58.240	-0.1875	0.1206	0.9243	-2.8076	11.5356	4.7607	3.1311	16.8530	26.9440	46.4900	438	461	-226	100798	0.44 
76.473	2015-01-01 00:03:58.280	-0.1641	0.0972	0.9419	1.0376	21.7285	9.8267	3.3728	17.4133	27.6526	46.8300	437	461	-227	100798	0.44 
76.519	2015-01-01 00:03:58.320	-0.1382	-0.0117	0.9346	-3.1128	17.2729	6.7139	3.4167	17.9681	28.4052	46.8300	445	460	-226	100798	0.44 
76.566	2015-01-01 00:03:58.360	-0.1274	0.0181	0.9868	-2.7466	20.7520	-9.4604	3.2190	18.4351	28.6578	46.6800	451	461	-224	100798	0.44 
76.598	2015-01-01 00:03:58.400	-0.1821	0.1411	1.0356	-4.3335	21.7285	-9.5825	3.0377	19.1162	28.5480	46.5900	452	460	-224	100798	0.44 
76.676	2015-01-01 00:03:58.440	-0.1777	0.1621	0.9473	-4.2725	20.2026	1.0376	3.0157	19.7424	28.7402	46.8700	454	461	-224	100798	0.44 
76.707	2015-01-01 00:03:58.480	-0.1729	0.1240	0.8989	-5.6763	32.7759	7.6904	3.0817	20.5829	29.3335	46.8300	456	460	-222	100798	0.44 
76.738	2015-01-01 00:03:58.520	-0.1875	0.0967	0.9590	-6.0425	39.8560	8.3008	3.1311	21.8353	30.0476	46.5900	459	459	-219	100798	0.44 
76.769	2015-01-01 00:03:58.560	-0.1865	0.0703	0.9609	-4.8828	40.6494	9.2163	3.1421	23.1262	30.8167	46.6800	464	458	-219	100798	0.44 
76.817	2015-01-01 00:03:58.600	-0.2266	0.0430	0.9570	-0.8545	41.7480	7.9956	3.2520	24.4940	31.5417	46.5400	467	460	-217	100798	0.44 
76.894	2015-01-01 00:03:58.640	-0.3140	0.0303	0.8628	1.5259	54.7485	5.8594	3.4607	26.2244	32.1625	46.6800	470	461	-211	100798	0.44 
76.926	2015-01-01 00:03:58.680	-0.3672	0.0107	0.7686	-0.0610	54.8096	-4.4556	3.5211	28.3392	32.4866	46.5400	474	461	-207	100798	0.44 
76.926	2015-01-01 00:03:58.720	-0.4082	-0.0830	0.5996	-3.0518	55.8472	-20.1416	3.0157	30.5530	31.9427	46.5400	481	461	-207	100798	0.44 
76.973	2015-01-01 00:03:58.760	-0.2871	-0.0239	0.8071	-5.3101	52.4292	-0.7324	2.4280	32.6843	31.6681	46.7300	489	461	-203	100798	0.44 
77.019	2015-01-01 00:03:58.800	-0.3921	0.0649	1.1216	6.2256	45.8984	-14.0381	2.4994	34.3817	31.8329	46.6800	495	460	-200	100798	0.44 
77.066	2015-01-01 00:03:58.840	-0.2412	0.2437	1.2065	-7.1411	20.8130	-26.3062	2.0380	35.0739	31.0748	46.5400	500	456	-199	100798	0.44 
77.129	2015-01-01 00:03:58.880	-0.2666	0.2256	1.4297	-11.6577	36.8042	4.7607	1.6260	35.6232	30.9265	46.5900	502	453	-198	100798	0.44 
77.160	2015-01-01 00:03:58.920	-0.3687	-0.0796	1.9990	-25.3296	31.9824	12.0850	1.5436	36.5295	32.1680	46.8700	505	457	-193	100799	0.44 
77.176	2015-01-01 00:03:58.960	-0.4648	-0.3071	1.6025	-31.3110	-18.8599	-14.0991	0.0220	36.1725	32.4207	46.7300	508	458	-192	100799	0.44 
77.238	2015-01-01 00:03:59.000	-0.3833	-0.0649	1.3125	-5.9814	-8.4229	-16.9067	-1.4008	34.8706	31.6077	46.5400	506	464	-188	100799	0.44 
77.301	2015-01-01 00:03:59.040	-0.3145	-0.3516	1.2935	22.7661	0.4272	-2.7466	-1.1865	34.2389	31.7670	46.8700	504	463	-185	100799	0.44 
77.332	2015-01-01 00:03:59.080	-0.0913	-0.1675	0.3706	42.3584	-15.9302	-16.8457	-0.5658	33.2172	31.6132	46.5900	503	464	-184	100799	0.44 
77.363	2015-01-01 00:03:59.120	-0.1133	0.2583	-0.3530	46.3257	30.3955	-20.8740	1.9336	34.2059	31.4374	46.4900	504	466	-191	100799	0.44 
77.426	2015-01-01 00:03:59.160	-0.7573	0.2690	-0.0181	44.9829	17.0898	13.1836	5.2350	36.5405	31.7120	46.5400	501	465	-196	100799	0.44 
77.441	2015-01-01 00:03:59.200	-0.7339	-0.4106	0.8149	-10.8032	4.8218	-37.9028	6.1139	37.6721	31.2781	46.5400	498	462	-201	100799	0.44 
77.504	2015-01-01 00:03:59.240	-0.6743	-0.4819	1.4360	5.4932	1.2817	-147.2168	1.4008	37.1558	25.8234	46.3500	497	463	-200	100799	0.44 
77.536	2015-01-01 00:03:59.280	-1.0083	0.4668	2.2764	61.4624	-25.8789	-60.4858	0.0769	36.9690	21.1157	46.5900	490	466	-201	100799	0.44 
77.567	2015-01-01 00:03:59.320	-0.4385	1.4995	2.0181	30.8838	-84.5337	-8.1787	1.5216	34.0906	19.8578	46.3000	477	469	-207	100799	0.44 
77.630	2015-01-01 00:03:59.360	-0.2661	0.4019	0.8901	25.7568	-31.0059	105.5908	5.0922	30.9100	23.3954	46.3500	468	470	-211	100800	0.44 
77.676	2015-01-01 00:03:59.400	-0.3252	0.0874	1.4854	5.0049	-2.3804	71.8994	8.1244	30.0201	28.3502	46.3900	464	465	-219	100800	0.44 
77.739	2015-01-01 00:03:59.440	-0.0073	0.0957	0.5645	-46.9971	-51.2695	14.0381	7.6794	27.8833	29.9268	46.6800	465	464	-225	100800	0.44 
77.754	2015-01-01 00:03:59.480	-0.0146	-0.2881	-0.6099	-48.4009	-28.6865	29.9072	4.8889	24.3073	30.5914	46.3500	467	464	-224	100800	0.44 
77.801	2015-01-01 00:03:59.520	-0.4956	-0.1523	-0.0283	-63.7817	-1.9531	3.9063	3.2574	24.5654	31.2012	46.2000	470	466	-218	100800	0.44 
77.833	2015-01-01 00:03:59.560	-0.7905	-0.0166	-0.2188	-47.7295	-29.4800	-9.0942	1.1975	24.8676	29.7784	46.3500	472	471	-215	100800	0.44 
77.864	2015-01-01 00:03:59.600	-0.5337	0.6660	1.8838	82.2754	135.7422	71.5942	4.2517	28.8062	31.6406	46.3900	469	473	-209	100800	0.44 
77.957	2015-01-01 00:03:59.640	-0.6094	0.0718	1.5342	33.3252	-6.8359	99.0601	8.8495	28.7183	37.4469	46.4900	472	471	-207	100801	0.44 
77.957	2015-01-01 00:03:59.680	-0.5615	0.5459	2.4663	-31.8604	39.1235	-10.4980	9.3823	30.2014	38.6060	46.3900	488	464	-209	100801	0.44 
77.988	2015-01-01 00:03:59.720	-0.4326	-0.8926	2.0723	-5.0049	-13.5498	-26.9165	7.9102	29.8553	38.2489	46.3500	494	462	-210	100801	0.44 
78.020	2015-01-01 00:03:59.760	-0.4727	-0.1611	1.4961	-22.7661	-31.7383	-111.3281	4.9109	28.5480	34.8431	46.4900	500	460	-208	100802	0.44 
78.067	2015-01-01 00:03:59.800	-0.1401	0.5566	1.1665	16.6016	-68.0542	-61.5845	2.8070	26.5045	30.4706	46.3900	498	460	-207	100802	0.44 
78.113	2015-01-01 00:03:59.840	0.0781	-0.0161	-0.1865	53.4668	-60.7910	16.7847	4.9768	23.2855	30.2838	46.2000	489	464	-208	100802	0.44 
78.160	2015-01-01 00:03:59.880	-0.3301	0.1313	-0.3154	39.8560	3.1128	-7.7515	8.8550	24.6643	30.9760	46.3000	478	464	-213	100801	0.44 
78.207	2015-01-01 00:03:59.920	-0.2036	0.1802	0.2622	10.5591	-40.4663	-0.2441	10.6567	24.6588	30.5640	46.3500	470	460	-220	100802	0.44 
78.238	2015-01-01 00:03:59.960	-1.0186	0.1318	-0.3052	-17.8833	-34.7290	27.0996	10.8929	23.7799	30.8496	46.1500	468	459	-224	100802	0.44 
78.270	2015-01-01 00:04:0.000	-0.7017	-0.7686	2.7607	-132.6904	180.9692	-87.4634	7.9047	29.5862	28.6633	46.3000	467	458	-226	100802	0.44 
78.348	2015-01-01 00:04:0.040	-0.8164	0.5112	2.2095	22.2778	4.0283	-18.9819	4.1364	31.0309	25.4498	46.3500	466	464	-218	100802	0.44 
78.379	2015-01-01 00:04:0.080	-0.0259	0.4141	1.6870	50.8423	-37.2314	10.6201	7.0972	29.2181	27.1198	46.3900	465	469	-213	100802	0.44 
78.410	2015-01-01 00:04:0.120	-0.1338	0.0928	1.6387	13.1836	35.9497	30.5786	8.8824	28.8611	28.4271	46.2000	466	469	-212	100802	0.44 
78.442	2015-01-01 00:04:0.160	-0.3940	0.4189	1.7490	22.3999	-58.4717	11.6577	10.2063	28.0261	29.8663	46.3900	472	462	-214	100803	0.44 
78.488	2015-01-01 00:04:0.200	-0.0918	0.3408	-0.1631	-19.7144	-77.9419	52.9785	11.3763	24.3402	30.9705	46.4900	476	460	-214	100803	0.44 
78.552	2015-01-01 00:04:0.240	-0.1714	-0.2891	-0.7788	-46.4478	26.4282	39.1235	12.7057	24.9884	33.6511	46.3500	471	455	-218	100803	0.44 
78.583	2015-01-01 00:04:0.280	-0.3521	-0.1924	0.2446	-38.4521	-18.4326	35.3394	12.1674	26.3727	34.6783	46.3500	472	453	-218	100803	0.44 
78.613	2015-01-01 00:04:0.320	-0.2007	-0.0576	0.2480	-18.8599	-46.6309	-8.3008	10.6018	25.2740	34.3488	46.4900	477	451	-217	100803	0.43 
78.645	2015-01-01 00:04:0.360	-0.9097	1.5195	-1.3750	43.0298	319.4580	151.2451	11.0522	27.9932	35.9692	46.2000	474	450	-219	100803	0.43 
78.692	2015-01-01 00:04:0.400	-1.1616	-0.3892	2.4463	30.0293	-52.1851	130.2490	17.0343	31.2836	42.6270	46.2000	483	447	-214	100803	0.43 
78.754	2015-01-01 00:04:0.440	-0.1519	-0.1748	2.3477	-39.4897	8.2397	-28.3203	16.4465	30.5145	43.7366	46.1500	498	434	-213	100803	0.43 
78.770	2015-01-01 00:04:0.480	-0.4966	-0.4331	1.6978	5.7983	38.0859	-53.9551	14.2163	30.9760	41.9183	46.1500	504	430	-211	100803	0.43 
78.817	2015-01-01 00:04:0.520	-0.6357	0.2295	1.9424	-19.7754	-40.8936	-80.3833	11.8872	31.5417	38.6774	46.1500	505	432	-210	100803	0.43 
78.880	2015-01-01 00:04:0.560	-0.0166	0.3804	0.7964	34.1797	-100.7080	-49.8047	10.4919	28.2019	35.3430	46.2000	506	433	-211	100803	0.43 
78.926	2015-01-01 00:04:0.600	0.1226	-0.2349	-0.9976	65.3687	-58.5938	-6.7749	12.7057	25.0104	34.0521	46.3000	487	438	-212	100804	0.43 
78.957	2015-01-01 00:04:0.640	-0.3013	0.1021	-0.2988	36.1938	19.1650	-18.8599	16.6113	27.4438	33.9697	46.1500	474	437	-217	100804	0.43 
78.989	2015-01-01 00:04:0.680	-0.1787	0.1655	0.2544	11.2305	-5.6763	-20.6909	17.8253	28.4106	32.9041	46.3500	466	435	-222	100804	0.43 
79.035	2015-01-01 00:04:0.720	-1.3862	-0.3042	-0.4893	3.6011	7.8125	-20.5078	18.2867	29.0588	32.5854	46.0100	465	432	-229	100804	0.43 
79.067	2015-01-01 00:04:0.760	-1.1899	0.1543	3.8071	-72.2656	67.9321	-139.6484	13.0792	37.6392	28.9380	46.0100	464	433	-230	100804	0.43 
79.129	2015-01-01 00:04:0.800	-0.5425	0.9341	2.5928	37.7197	-46.9971	16.4185	10.4425	36.7163	24.4336	46.2000	465	440	-218	100804	0.43 
79.161	2015-01-01 00:04:0.840	-0.0420	0.0317	1.1143	32.7759	-19.2871	25.2686	12.1124	33.8599	25.5103	46.2000	465	444	-213	100804	0.43 
79.223	2015-01-01 00:04:0.880	-0.3667	0.0190	2.0679	30.7617	31.1279	64.3921	14.6887	33.9258	28.8062	46.1500	458	445	-213	100805	0.43 
79.238	2015-01-01 00:04:0.920	-0.1729	0.6099	0.9385	-10.9863	-69.8242	9.3994	15.7819	31.6571	29.7949	46.0600	458	444	-209	100805	0.43 
79.285	2015-01-01 00:04:0.960	-0.1870	0.1650	-0.7417	-45.1050	-38.5742	53.2837	16.4301	29.6576	31.4594	46.0100	458	441	-210	100805	0.43 
79.332	2015-01-01 00:04:1.000	-0.1841	-0.3765	-0.4136	-49.7437	-11.2305	52.1240	17.2430	30.6738	33.6566	46.0100	458	441	-212	100805	0.43 
79.364	2015-01-01 00:04:1.040	-0.1440	-0.0254	0.1948	-14.7705	-27.4048	31.1890	17.0288	30.5090	35.1068	45.8200	459	444	-210	100805	0.43 
79.427	2015-01-01 00:04:1.080	-1.6152	0.4072	-0.9297	-61.2793	32.0435	17.5781	16.2708	30.8826	34.1180	46.1500	465	443	-209	100804	0.43 
79.458	2015-01-01 00:04:1.120	-0.5879	-0.2573	3.6929	34.4238	-15.8081	90.0269	21.6376	36.2109	39.4189	46.0100	469	442	-207	100805	0.43 
79.489	2015-01-01 00:04:1.160	-0.1318	0.3281	2.0767	-9.9487	-1.9531	-84.6558	21.4508	34.4806	39.4849	45.9600	477	440	-200	100804	0.43 
79.567	2015-01-01 00:04:1.200	-0.0908	-0.0635	1.5127	-16.6626	44.6167	-26.9775	19.0228	34.9255	37.3096	45.9600	481	439	-198	100804	0.43 
79.598	2015-01-01 00:04:1.240	-0.6152	-0.2671	1.9365	-10.0708	3.9673	-33.2031	17.7979	36.3538	36.7877	46.0600	486	440	-196	100805	0.43 
79.629	2015-01-01 00:04:1.280	-0.2285	-0.0127	0.8096	31.7383	-94.7266	-39.3677	16.0950	34.0192	34.5959	45.9600	488	439	-196	100805	0.43 
79.676	2015-01-01 00:04:1.320	0.0757	-0.0444	-0.5303	61.9507	-69.1528	-32.3486	17.3309	31.9427	31.8054	45.8700	480	442	-200	100805	0.43 
79.708	2015-01-01 00:04:1.360	-0.3271	0.3535	-0.6982	45.5322	17.5781	-25.0854	21.0388	33.6511	31.5472	45.8700	470	441	-208	100804	0.43 
79.770	2015-01-01 00:04:1.400	-0.2324	-0.0200	0.3784	-1.2817	-9.5825	0.2441	22.4561	34.8596	31.6406	46.0100	466	438	-212	100804	0.43 
79.802	2015-01-01 00:04:1.440	-1.2012	-1.9321	-0.1997	-51.5137	22.4609	-121.8262	21.4124	35.0134	30.2069	45.8200	468	438	-217	100804	0.43 
79.833	2015-01-01 00:04:1.480	-0.7441	0.8027	2.2969	-1.5259	-62.1948	-202.9419	13.6890	40.6604	23.5712	46.0100	465	441	-214	100804	0.43 
79.895	2015-01-01 00:04:1.520	0.3799	0.2949	1.5498	40.9546	5.9204	43.8843	13.8538	38.9905	21.4673	46.1500	460	446	-212	100804	0.43 
79.942	2015-01-01 00:04:1.560	-0.8184	0.7871	2.0273	28.8696	54.3213	32.4097	16.6827	40.8362	23.6536	45.8700	455	446	-212	100804	0.43 
79.973	2015-01-01 00:04:1.600	-0.3940	0.6211	1.7798	6.7139	-40.0391	99.9146	19.9622	38.9905	28.1635	45.8700	454	449	-217	100804	0.43 
80.004	2015-01-01 00:04:1.640	-0.1191	0.0957	0.5044	-21.6064	-45.1660	85.5103	21.5881	35.1123	31.6406	46.0100	461	445	-216	100804	0.43 
80.051	2015-01-01 00:04:1.680	-0.2637	-0.2124	-0.7124	-51.0864	-27.8320	70.0684	22.4231	33.7885	34.3378	45.8200	467	439	-216	100805	0.43 
80.083	2015-01-01 00:04:1.720	-0.3037	-0.3516	-0.3213	-42.2363	33.4473	20.6909	23.5986	35.3705	36.5845	46.0600	470	438	-214	100804	0.43 
80.145	2015-01-01 00:04:1.760	-0.3779	-0.1367	0.1455	-46.2036	-6.7139	10.0098	21.9891	36.3208	36.2274	45.9600	474	437	-212	100804	0.43 
80.176	2015-01-01 00:04:1.800	-1.5884	-0.1240	-0.0078	-89.0503	-38.3911	-10.8643	18.8031	35.9912	34.9365	45.8200	476	439	-212	100804	0.43 
80.223	2015-01-01 00:04:1.840	-0.6250	0.6479	4.2344	107.9712	75.5005	87.0972	26.9659	39.9738	43.1653	46.0100	480	441	-212	100804	0.43 
80.254	2015-01-01 00:04:1.880	-0.4478	-0.0342	2.5669	-46.8140	-4.9438	-56.4575	28.3063	38.2544	45.7141	46.0600	488	437	-211	100804	0.43 
80.301	2015-01-01 00:04:1.920	0.0518	-0.6104	1.5894	-3.0518	4.8828	-75.3174	23.4943	38.0457	41.2701	46.0600	498	429	-212	100804	0.43 
80.380	2015-01-01 00:04:1.960	-0.6938	0.2402	1.8809	8.4839	1.5259	-69.5801	21.5332	39.3146	38.6389	46.0600	502	423	-210	100804	0.43 
80.380	2015-01-01 00:04:2.000	-0.1782	0.1650	0.9570	4.6387	-99.7314	-42.6025	18.7537	37.0844	34.8047	45.9600	495	429	-215	100804	0.43 
80.444	2015-01-01 00:04:2.040	0.1001	-0.1245	-0.5308	35.7666	-94.4214	-22.3389	18.1274	33.0029	31.8658	45.8200	483	435	-219	100804	0.43 
80.485	2015-01-01 00:04:2.080	-0.2739	0.4424	-0.8687	24.2310	22.1558	-19.1040	21.0223	34.1510	31.8988	45.8200	468	435	-226	100804	0.43 
80.539	2015-01-01 00:04:2.120	-0.2881	0.2588	0.3999	8.6670	-39.6729	28.7476	22.8131	34.5026	32.7887	45.7700	458	437	-230	100803	0.43 
80.586	2015-01-01 00:04:2.160	-0.8657	0.0610	-0.0142	0.1831	-36.4380	60.4248	23.3679	32.8381	33.3765	45.8700	455	435	-235	100804	0.43 
80.617	2015-01-01 00:04:2.200	-1.0322	-0.5786	3.5459	-165.2222	312.1948	-219.0552	20.3741	38.1061	31.1572	45.8200	451	428	-233	100803	0.43 
80.649	2015-01-01 00:04:2.240	-1.1353	1.0483	2.7524	37.9639	-105.0415	10.4370	14.9634	39.6002	26.4825	45.8200	449	430	-232	100803	0.43 
80.711	2015-01-01 00:04:2.280	0.9688	-0.1621	0.6333	32.5928	-3.5400	29.7852	17.4847	32.7393	29.2896	45.8700	446	437	-231	100803	0.43 
80.757	2015-01-01 00:04:2.320	-0.6641	0.1240	1.4170	-17.9443	86.3037	37.9639	18.8306	34.6344	31.7670	45.8700	447	439	-231	100803	0.44 
80.789	2015-01-01 00:04:2.360	-0.0977	0.4248	1.7412	2.9297	-83.1299	8.9111	18.8086	33.8489	32.5800	45.8200	449	438	-232	100802	0.44 
80.821	2015-01-01 00:04:2.400	0.1714	-0.1821	-0.4092	-7.2632	-108.6426	3.7842	17.6825	27.7789	31.2122	45.7700	446	436	-234	100802	0.44 
80.883	2015-01-01 00:04:2.440	-0.3384	-0.8643	-0.7261	-51.7578	13.3667	-94.0552	13.9746	25.2686	28.6359	45.8200	438	437	-236	100802	0.44 
80.914	2015-01-01 00:04:2.480	-1.4043	0.3872	0.0645	-43.3960	6.5308	-47.4854	11.3049	28.1140	24.8346	46.0600	436	445	-232	100802	0.44 
80.961	2015-01-01 00:04:2.520	-0.7012	1.7192	2.8496	136.1694	247.7417	89.4165	12.5244	30.3333	25.5762	45.8700	427	449	-232	100801	0.44 
80.992	2015-01-01 00:04:2.560	-0.6948	-0.6094	1.7515	20.8130	-59.3262	29.3579	18.2703	29.8444	29.7400	45.8200	430	443	-229	100801	0.44 
81.023	2015-01-01 00:04:2.600	0.4409	0.3940	0.5142	-23.3765	-70.8008	-48.2178	15.1007	26.6418	25.8563	45.8200	431	440	-229	100801	0.44 
81.070	2015-01-01 00:04:2.640	-0.0342	0.7441	0.8672	27.2827	59.8145	77.4536	17.0837	26.3013	27.8998	45.8200	421	438	-234	100801	0.44 
81.101	2015-01-01 00:04:2.680	-0.1733	-0.1641	0.7788	-16.6626	-7.9956	105.2246	19.0228	25.4443	32.7228	45.7700	418	438	-236	100801	0.44 
81.164	2015-01-01 00:04:2.720	0.1025	-0.2695	0.1772	-16.0522	-59.6313	85.8765	18.5834	21.8628	36.2659	45.8200	423	435	-235	100800	0.44 
81.195	2015-01-01 00:04:2.760	-0.4287	-0.1309	-0.4458	5.9814	9.4604	68.2373	19.8248	20.3851	38.9740	45.8200	427	435	-238	100801	0.44 
81.226	2015-01-01 00:04:2.800	-0.6279	0.2178	0.4048	-22.2168	-25.0854	73.5474	20.9399	20.8575	40.9241	45.6800	430	432	-239	100800	0.44 
81.273	2015-01-01 00:04:2.840	-0.6963	0.3262	1.1279	-6.3477	135.9863	3.6011	21.4398	20.3247	42.4622	45.8700	433	428	-240	100799	0.44 
81.320	2015-01-01 00:04:2.880	-1.2344	0.2720	2.3052	-40.7715	45.4712	-26.0010	20.1489	24.5599	42.3248	45.8200	439	428	-239	100799	0.44 
81.367	2015-01-01 00:04:2.920	-0.5933	0.4790	1.1846	-5.3711	-51.3306	5.4321	18.9624	23.4393	41.3800	45.9600	444	431	-231	100799	0.44 
81.429	2015-01-01 00:04:2.960	-0.0488	0.5430	0.7896	7.5684	36.3159	32.1655	19.6985	22.3022	42.3907	45.8200	445	432	-230	100799	0.44 
81.461	2015-01-01 00:04:3.000	-0.5576	-0.2534	1.0928	13.9771	66.2842	1.5869	20.4895	24.6588	43.9288	45.8700	446	431	-233	100799	0.44 
81.476	2015-01-01 00:04:3.040	-0.4170	-0.2114	0.8828	39.3066	-0.4272	-24.8413	20.6213	25.8563	43.5663	46.0600	447	430	-235	100799	0.44 
81.523	2015-01-01 00:04:3.080	-0.1201	0.4507	0.5728	31.3721	-10.9863	-22.1558	21.5057	25.6256	42.3633	45.8200	451	430	-234	100799	0.44 
81.602	2015-01-01 00:04:3.120	-0.1577	0.3506	0.4707	12.0239	8.6670	-9.5215	22.5604	25.4663	41.8140	45.8700	451	426	-233	100798	0.44 
81.602	2015-01-01 00:04:3.160	-0.3784	-0.0142	0.7314	4.5776	25.0854	13.7329	22.8131	26.1145	42.2809	45.8700	449	426	-235	100798	0.44 
81.648	2015-01-01 00:04:3.200	-0.3804	0.0933	1.0381	13.4888	6.0425	-8.1177	22.8461	26.5759	42.5446	45.8700	450	426	-234	100798	0.44 
81.679	2015-01-01 00:04:3.240	-0.3384	0.3335	1.0200	8.3618	-0.3662	-9.0942	22.8351	26.5814	41.9733	45.7700	451	424	-232	100798	0.44 
81.726	2015-01-01 00:04:3.280	-0.2832	0.2295	1.1440	-5.4932	15.0146	-12.0239	22.5659	26.8231	41.6492	45.6800	454	421	-235	100798	0.44 
