StartTime: 2017-07-21 14:47:47.248
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
127.589	2015-01-01 00:03:5.640	-0.1699	0.0801	1.0015	-0.7935	2.9297	-4.0894	3.1696	14.4086	34.8596	46.8700	437	458	-210	100799	0.44 
127.636	2015-01-01 00:03:5.680	-0.1743	0.0801	1.0088	-0.6104	2.5024	-3.7231	3.1421	14.4141	34.8322	46.6800	437	463	-211	100799	0.44 
127.698	2015-01-01 00:03:5.720	-0.1733	0.0811	0.9976	-0.4272	2.9907	-3.6011	3.1256	14.4250	34.8047	46.5900	436	463	-210	100799	0.44 
127.730	2015-01-01 00:03:5.760	-0.1753	0.0776	0.9956	-0.4272	3.5400	-4.4556	3.0981	14.4635	34.7607	46.8700	435	464	-211	100799	0.44 
127.761	2015-01-01 00:03:5.800	-0.1802	0.0767	1.0024	-0.4883	3.9063	-4.9438	3.0762	14.5239	34.7058	46.5400	440	463	-215	100799	0.44 
127.808	2015-01-01 00:03:5.840	-0.1812	0.0674	0.9971	-0.3662	3.5400	-4.9438	3.0487	14.5734	34.6454	46.8700	442	462	-218	100799	0.44 
127.839	2015-01-01 00:03:5.880	-0.1812	0.0776	1.0024	0.0610	3.1738	-5.9814	3.0267	14.6338	34.5575	46.5900	438	464	-213	100800	0.44 
127.917	2015-01-01 00:03:5.920	-0.1733	0.0825	0.9980	0.1831	4.4556	-5.3711	3.0212	14.6777	34.4531	46.8700	433	465	-212	100799	0.44 
127.964	2015-01-01 00:03:5.960	-0.1987	0.0786	1.0073	0.2441	4.6387	-4.7607	3.0322	14.7986	34.3817	46.8300	432	466	-211	100799	0.44 
127.964	2015-01-01 00:03:6.000	-0.2378	0.0898	0.9429	-0.3052	8.4839	-3.2959	3.0267	14.9689	34.3268	46.8700	433	466	-211	100800	0.44 
128.011	2015-01-01 00:03:6.040	-0.3228	0.1406	0.9512	0.9766	25.1465	-0.5493	3.1531	15.7489	34.3762	46.8300	432	465	-211	100800	0.44 
128.042	2015-01-01 00:03:6.080	-0.4063	0.1084	0.9673	-1.6479	30.1514	5.8594	3.3124	16.9958	34.5850	46.8300	432	466	-210	100800	0.44 
128.089	2015-01-01 00:03:6.120	-0.3672	0.0029	0.8965	-5.0049	23.3154	6.5308	3.2355	18.1219	34.9530	46.6800	437	463	-211	100800	0.44 
128.152	2015-01-01 00:03:6.160	-0.2642	0.0015	0.8335	-2.5024	27.2217	-5.6152	3.0377	19.1382	35.0848	46.7300	441	465	-211	100801	0.44 
128.183	2015-01-01 00:03:6.200	-0.2759	0.0039	0.7529	-8.0566	33.2031	-25.5737	2.5269	20.3082	34.4476	46.7300	442	465	-207	100801	0.44 
128.214	2015-01-01 00:03:6.240	-0.2661	0.0981	0.8677	-8.4839	51.7578	-20.9351	1.8182	22.0935	33.4918	46.9200	445	466	-208	100801	0.44 
128.245	2015-01-01 00:03:6.280	-0.2949	0.1265	0.9043	-0.2441	36.6821	-3.3569	1.6315	23.7415	33.2062	46.7300	449	466	-207	100801	0.44 
128.292	2015-01-01 00:03:6.320	-0.3120	0.0542	0.8062	4.6997	42.7856	-2.3193	1.8732	25.2191	33.2721	46.6800	449	465	-207	100801	0.44 
128.354	2015-01-01 00:03:6.360	-0.3452	0.0781	0.8506	4.0894	42.1143	2.1973	2.1094	26.7462	33.4314	46.9200	449	465	-209	100801	0.44 
128.386	2015-01-01 00:03:6.400	-0.3530	0.0850	0.8701	4.0283	41.9312	1.2817	2.4774	28.4216	33.6511	46.3900	453	465	-206	100801	0.44 
128.417	2015-01-01 00:03:6.440	-0.3384	0.0703	0.7603	1.2207	32.4707	2.4414	2.7136	29.6191	33.8983	46.7300	459	467	-201	100801	0.44 
128.464	2015-01-01 00:03:6.480	-0.3271	0.0200	0.7974	3.6011	31.5552	4.2114	2.9169	30.8716	34.1565	46.5900	463	468	-198	100801	0.44 
128.526	2015-01-01 00:03:6.520	-0.3384	-0.0010	0.6587	-2.1973	26.9165	5.4321	3.1146	31.7230	34.6014	46.8700	467	468	-195	100801	0.44 
128.558	2015-01-01 00:03:6.560	-0.3408	-0.0112	0.8877	-10.0098	41.8091	-3.7231	2.7576	33.0194	34.7113	46.7300	470	467	-195	100801	0.44 
128.589	2015-01-01 00:03:6.600	-0.3813	0.0957	0.7769	-8.9111	4.0283	-6.7749	2.2906	33.6566	34.5685	46.7300	474	469	-191	100801	0.44 
