StartTime: 2017-07-21 14:23:19.802
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
33.869	2015-01-01 00:01:35.200	-0.1196	0.0059	1.0122	0.1221	-1.3428	-1.7090	-0.1373	5.9875	41.4569	49.1700	453	431	-222	100836	0.41 
33.932	2015-01-01 00:01:35.240	-0.1191	0.0054	1.0122	0.3052	-2.2583	-0.8545	-0.1263	5.9326	41.4789	49.1300	453	428	-224	100836	0.41 
33.963	2015-01-01 00:01:35.280	-0.1084	0.0005	1.0083	0.4272	-0.8545	-0.9766	-0.1099	5.8832	41.5173	49.2200	451	430	-223	100836	0.41 
33.995	2015-01-01 00:01:35.320	-0.1074	0.0083	1.0112	0.3052	-0.8545	-0.3662	-0.0879	5.8502	41.5558	48.9800	452	431	-219	100836	0.41 
34.041	2015-01-01 00:01:35.360	-0.1284	0.0112	1.0112	0.4272	-1.6479	-1.0986	-0.0659	5.8228	41.5887	49.0300	453	431	-218	100836	0.41 
34.103	2015-01-01 00:01:35.400	-0.1221	0.0020	1.0103	-0.1831	-2.0142	-1.5259	-0.0659	5.7623	41.6107	49.0300	453	431	-217	100836	0.41 
34.135	2015-01-01 00:01:35.440	-0.1177	-0.0010	1.0181	-1.3428	-1.2817	-2.0752	-0.1044	5.7349	41.5833	49.3200	452	431	-220	100837	0.41 
34.166	2015-01-01 00:01:35.480	-0.1299	-0.0215	1.0127	-2.6855	-0.0610	-3.1738	-0.2197	5.7349	41.5887	49.1300	451	429	-220	100837	0.41 
34.213	2015-01-01 00:01:35.520	-0.1172	-0.0581	1.0220	-5.0049	-2.0142	-5.8594	-0.4614	5.7019	41.4789	49.1700	451	433	-223	100837	0.41 
34.244	2015-01-01 00:01:35.560	-0.0991	-0.0347	1.0078	-3.7231	-5.5542	-3.7231	-0.7141	5.5756	41.3196	49.3200	451	439	-223	100837	0.41 
34.307	2015-01-01 00:01:35.600	-0.0244	-0.0337	1.0151	0.3662	-5.5542	6.0425	-0.7745	5.2844	41.4844	49.2200	451	442	-223	100837	0.41 
34.338	2015-01-01 00:01:35.640	-0.0352	-0.0542	1.0430	1.4038	-7.9956	15.6860	-0.7031	4.8834	42.0831	49.1300	451	443	-223	100837	0.41 
34.369	2015-01-01 00:01:35.680	-0.0708	-0.0923	1.0205	1.0986	-6.2866	15.6250	-0.6921	4.5868	42.8027	49.1700	451	437	-223	100837	0.41 
34.416	2015-01-01 00:01:35.720	-0.0854	-0.1113	1.0156	1.9531	-5.7983	11.0474	-0.7306	4.3506	43.3960	48.9800	453	434	-222	100837	0.41 
34.447	2015-01-01 00:01:35.760	-0.0835	-0.1313	1.0103	2.3804	-3.3569	9.5825	-0.7690	4.1638	43.8904	49.1300	453	432	-225	100837	0.41 
34.510	2015-01-01 00:01:35.800	-0.1060	-0.1265	1.0215	4.3335	-7.0190	6.4087	-0.7745	4.0155	44.2694	49.1700	453	432	-222	100837	0.41 
34.541	2015-01-01 00:01:35.840	-0.0991	-0.0684	0.9722	5.5542	-6.4087	9.3384	-0.6757	3.7463	44.6210	49.1300	454	431	-222	100837	0.41 
34.572	2015-01-01 00:01:35.880	-0.1333	-0.0234	1.0137	7.3853	0.4272	16.7847	-0.4175	3.7244	45.1648	49.0300	454	429	-225	100837	0.41 
34.619	2015-01-01 00:01:35.920	-0.1655	-0.0220	1.1406	13.6108	0.9766	25.2686	0.0220	3.9496	45.9723	49.1700	456	429	-224	100837	0.41 
34.650	2015-01-01 00:01:35.960	-0.0850	0.1758	0.8682	13.3667	-3.7231	30.7007	0.7635	3.8287	47.0490	49.1700	459	425	-223	100837	0.41 
34.713	2015-01-01 00:01:36.000	-0.0366	0.2793	0.9741	15.9302	23.6816	44.4946	1.8182	4.2847	48.5815	49.2200	463	422	-224	100837	0.41 
34.744	2015-01-01 00:01:36.040	-0.0435	0.1763	1.2139	20.3247	9.7656	20.3247	2.8564	4.9054	49.8724	49.1300	464	421	-225	100837	0.41 
34.775	2015-01-01 00:01:36.080	0.0669	0.0879	1.0078	26.6724	-2.9907	3.5400	3.9001	4.6692	50.1361	48.9800	465	420	-225	100837	0.41 
34.838	2015-01-01 00:01:36.120	0.0454	0.1592	0.9937	32.3486	1.4648	7.9956	5.2020	4.4934	50.3064	49.1700	468	415	-228	100837	0.41 
34.869	2015-01-01 00:01:36.160	-0.0059	0.2007	0.9810	32.8369	7.4463	-1.3428	6.6028	4.4879	50.3723	49.1700	469	411	-233	100838	0.41 
34.947	2015-01-01 00:01:36.200	-0.0142	0.1250	0.9580	30.3345	-4.9438	-11.6577	7.9211	4.4824	50.0262	49.1700	472	407	-236	100838	0.41 
34.947	2015-01-01 00:01:36.240	0.0254	0.1689	0.9170	24.2310	5.4321	-29.0527	8.8824	4.4495	49.0320	49.1300	474	404	-238	100838	0.41 
34.994	2015-01-01 00:01:36.280	-0.0332	0.2437	0.9844	18.1885	6.2256	-24.4751	9.7339	4.8340	47.9773	48.9800	475	402	-240	100838	0.41 
35.025	2015-01-01 00:01:36.320	0.0508	0.1982	0.8906	10.4370	12.2681	-28.0762	10.2887	5.1581	47.0215	49.0300	475	401	-240	100838	0.41 
