StartTime: 2017-07-21 14:45:15.173
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
43.704	2015-01-01 00:03:26.440	-0.2012	0.0806	1.0190	1.3428	13.1226	-0.9766	2.4060	15.1501	34.3762	47.9300	418	462	-226	100804	0.43 
43.704	2015-01-01 00:03:26.480	-0.2578	0.0728	1.0386	3.2349	1.6479	-2.0142	2.5873	15.4083	34.4257	47.5900	425	460	-227	100804	0.43 
43.750	2015-01-01 00:03:26.520	-0.1553	0.0435	0.9897	-1.2207	-3.2349	-9.7656	2.5323	15.2051	34.2609	47.5900	424	462	-228	100804	0.43 
43.797	2015-01-01 00:03:26.560	-0.1201	0.0967	0.9663	0.2441	-0.5493	-12.2070	2.4280	14.9139	33.8763	47.7400	423	464	-226	100804	0.43 
43.828	2015-01-01 00:03:26.600	-0.1504	0.1655	1.0000	-0.2441	5.0049	-7.6904	2.4774	14.9084	33.6127	47.6400	423	463	-226	100804	0.43 
43.875	2015-01-01 00:03:26.640	-0.1553	0.1250	1.0010	-0.6104	4.3335	-2.9297	2.5543	14.9359	33.5742	47.9300	424	463	-226	100804	0.43 
43.907	2015-01-01 00:03:26.680	-0.1592	0.0840	0.9937	-0.9766	5.3711	-6.3477	2.5543	14.9854	33.5303	47.7800	424	463	-228	100804	0.43 
43.953	2015-01-01 00:03:26.720	-0.1675	0.1123	1.0098	-1.8311	5.9814	-9.8877	2.4554	15.0897	33.2941	47.8800	423	464	-226	100804	0.43 
44.000	2015-01-01 00:03:26.760	-0.1548	0.1406	0.9990	-1.7700	4.1504	-6.8359	2.4280	15.1556	33.0853	47.9800	423	465	-229	100804	0.43 
44.031	2015-01-01 00:03:26.800	-0.1533	0.1396	0.9863	-1.4648	5.9814	-1.7700	2.4719	15.2161	33.0798	47.8800	422	463	-227	100804	0.43 
44.078	2015-01-01 00:03:26.840	-0.1709	0.1187	0.9839	-2.3804	7.8125	0.7935	2.5269	15.3259	33.2336	47.7800	423	463	-227	100804	0.43 
44.125	2015-01-01 00:03:26.880	-0.2368	0.0610	0.9595	-0.3662	15.1367	-0.7935	2.5214	15.7104	33.3710	47.7400	424	467	-227	100804	0.43 
44.157	2015-01-01 00:03:26.920	-0.2871	0.0063	0.8931	4.3945	14.8315	-8.4839	2.5433	16.3257	33.2941	47.7800	425	466	-226	100803	0.43 
44.203	2015-01-01 00:03:26.960	-0.2393	-0.0127	0.9165	6.4087	9.4604	-17.2729	2.5104	16.8860	32.7393	47.5900	425	466	-226	100804	0.43 
44.235	2015-01-01 00:03:27.000	-0.1509	0.1245	1.1196	3.0518	6.5308	-4.6997	2.6202	16.9080	32.4976	47.8800	426	466	-227	100803	0.43 
44.281	2015-01-01 00:03:27.040	-0.1309	0.2007	1.1035	-3.7231	13.9160	2.3193	2.7850	17.1497	32.7228	47.7400	428	465	-227	100804	0.43 
44.313	2015-01-01 00:03:27.080	-0.0737	0.2153	1.0444	-13.6719	-1.5259	14.0991	2.7081	17.1332	33.2227	47.7400	428	465	-224	100804	0.43 
44.376	2015-01-01 00:03:27.120	-0.0547	0.0376	0.9131	-11.9629	18.0054	23.8037	2.5763	16.9684	34.3048	47.5900	428	464	-224	100804	0.43 
44.407	2015-01-01 00:03:27.160	-0.1870	-0.0581	0.9956	-8.4229	31.0669	16.2354	2.3511	17.8802	35.3485	47.6400	432	463	-227	100804	0.43 
44.438	2015-01-01 00:03:27.200	-0.1577	0.0000	0.9976	-5.5542	11.1694	6.7749	2.1259	18.4625	35.9198	47.6400	435	462	-226	100803	0.43 
44.516	2015-01-01 00:03:27.240	-0.0498	0.0732	0.9658	-3.6621	7.3242	7.0190	2.0654	18.4241	36.3043	47.7800	437	462	-226	100804	0.43 
44.516	2015-01-01 00:03:27.280	-0.0410	0.0620	1.0288	-0.7324	7.8735	14.7705	2.2192	18.3691	36.9580	47.5400	440	464	-224	100804	0.43 
44.563	2015-01-01 00:03:27.320	-0.0615	0.0186	1.0137	0.7324	2.3193	14.0381	2.4390	18.1494	37.7106	47.7400	445	464	-219	100804	0.43 
