StartTime: 2017-08-04 14:25:47.082
Time(s)	ChipTime	ax(g)	ay(g)	az(g) 
1.682	2015-01-01 00:01:35.680	-0.0303	-0.0513	1.0181 
1.683	2015-01-01 00:01:35.700	-0.0273	-0.0459	1.0122 
1.683	2015-01-01 00:01:35.720	-0.0396	-0.0425	1.0273 
1.683	2015-01-01 00:01:35.740	-0.0210	-0.0347	1.0083 
1.713	2015-01-01 00:01:35.760	-0.0361	-0.0376	1.0103 
1.814	2015-01-01 00:01:35.780	-0.0405	-0.0430	1.0264 
1.885	2015-01-01 00:01:35.800	-0.0327	-0.0430	1.0278 
1.885	2015-01-01 00:01:35.820	-0.0317	-0.0342	1.0151 
1.886	2015-01-01 00:01:35.840	-0.0332	-0.0332	1.0190 
1.886	2015-01-01 00:01:35.860	-0.0332	-0.0396	1.0215 
1.887	2015-01-01 00:01:35.880	-0.0337	-0.0396	1.0225 
1.887	2015-01-01 00:01:35.900	-0.0376	-0.0386	1.0234 
2.007	2015-01-01 00:01:35.920	-0.0396	-0.0391	1.0225 
2.017	2015-01-01 00:01:35.940	-0.0425	-0.0405	1.0161 
2.074	2015-01-01 00:01:35.960	-0.0483	-0.0371	1.0166 
2.075	2015-01-01 00:01:35.980	-0.0488	-0.0400	1.0176 
2.099	2015-01-01 00:01:36.000	-0.0396	-0.0386	1.0156 
2.099	2015-01-01 00:01:36.020	-0.0288	-0.0410	1.0205 
2.099	2015-01-01 00:01:36.040	-0.0269	-0.0322	1.0098 
2.100	2015-01-01 00:01:36.060	-0.0469	-0.0420	1.0166 
2.100	2015-01-01 00:01:36.080	-0.0571	-0.0405	1.0166 
2.100	2015-01-01 00:01:36.100	-0.0596	-0.0381	1.0254 
2.101	2015-01-01 00:01:36.120	-0.0542	-0.0391	1.0215 
2.101	2015-01-01 00:01:36.140	-0.0479	-0.0410	1.0142 
2.101	2015-01-01 00:01:36.160	-0.0415	-0.0581	1.0195 
2.102	2015-01-01 00:01:36.180	-0.0400	-0.0630	1.0063 
2.206	2015-01-01 00:01:36.200	-0.0503	-0.0576	1.0210 
2.287	2015-01-01 00:01:36.220	-0.0366	-0.0527	1.0156 
2.287	2015-01-01 00:01:36.240	-0.0308	-0.0732	1.0151 
2.288	2015-01-01 00:01:36.260	-0.0317	-0.0874	1.0112 
2.288	2015-01-01 00:01:36.280	-0.0303	-0.0889	1.0156 
2.288	2015-01-01 00:01:36.300	-0.0464	-0.0801	1.0249 
2.300	2015-01-01 00:01:36.320	-0.0405	-0.0781	1.0239 
2.300	2015-01-01 00:01:36.340	-0.0293	-0.0767	1.0371 
2.301	2015-01-01 00:01:36.360	-0.0332	-0.0698	1.0215 
2.301	2015-01-01 00:01:36.380	-0.0356	-0.0449	1.0146 
2.397	2015-01-01 00:01:36.400	-0.0229	-0.0449	1.0205 
2.411	2015-01-01 00:01:36.420	-0.0264	-0.0415	1.0181 
2.471	2015-01-01 00:01:36.440	-0.0337	-0.0439	1.0244 
2.471	2015-01-01 00:01:36.460	-0.0381	-0.0654	1.0249 
2.471	2015-01-01 00:01:36.480	-0.0405	-0.0791	1.0161 
2.486	2015-01-01 00:01:36.500	-0.0420	-0.0737	0.9980 
2.487	2015-01-01 00:01:36.520	-0.0508	-0.0654	1.0249 
2.487	2015-01-01 00:01:36.540	-0.0386	-0.0483	1.0322 
2.487	2015-01-01 00:01:36.560	-0.0332	-0.0610	1.0366 
2.502	2015-01-01 00:01:36.580	-0.0342	-0.0659	1.0132 
2.606	2015-01-01 00:01:36.600	-0.0317	-0.0454	0.9824 
2.680	2015-01-01 00:01:36.620	-0.0410	-0.0469	0.9907 
2.680	2015-01-01 00:01:36.640	-0.0469	-0.0469	1.0244 
2.681	2015-01-01 00:01:36.660	-0.0522	-0.0508	1.0435 
2.681	2015-01-01 00:01:36.680	-0.0498	-0.0640	1.0273 
2.682	2015-01-01 00:01:36.700	-0.0410	-0.0601	1.0176 
2.682	2015-01-01 00:01:36.720	-0.0474	-0.0732	1.0229 
2.704	2015-01-01 00:01:36.740	-0.0503	-0.0854	1.0332 
2.704	2015-01-01 00:01:36.760	-0.0396	-0.0986	1.0215 
2.704	2015-01-01 00:01:36.780	-0.0259	-0.0996	1.0039 
2.819	2015-01-01 00:01:36.800	-0.0142	-0.0967	0.9990 
2.895	2015-01-01 00:01:36.820	-0.0386	-0.1177	1.0366 
2.895	2015-01-01 00:01:36.840	-0.0425	-0.1147	1.0273 
2.896	2015-01-01 00:01:36.860	-0.0322	-0.1230	1.0073 
2.896	2015-01-01 00:01:36.880	-0.0361	-0.1377	1.0190 
2.897	2015-01-01 00:01:36.900	-0.0088	-0.1274	0.9946 
2.897	2015-01-01 00:01:36.920	-0.0156	-0.1118	1.0132 
3.012	2015-01-01 00:01:36.940	-0.0181	-0.0986	1.0215 
3.014	2015-01-01 00:01:36.960	-0.0352	-0.0747	1.0283 
3.021	2015-01-01 00:01:36.980	-0.0405	-0.1040	1.0098 
3.083	2015-01-01 00:01:37.000	-0.0493	-0.1069	1.0132 
3.106	2015-01-01 00:01:37.020	-0.0864	-0.0845	1.0303 
3.107	2015-01-01 00:01:37.040	-0.0815	-0.1030	1.0142 
3.107	2015-01-01 00:01:37.060	-0.0571	-0.0664	1.0049 
3.108	2015-01-01 00:01:37.080	-0.0605	-0.0498	0.9878 
3.108	2015-01-01 00:01:37.100	-0.0454	-0.0869	0.9482 
3.108	2015-01-01 00:01:37.120	-0.0137	-0.1543	0.8828 
3.109	2015-01-01 00:01:37.140	-0.0283	-0.2271	0.9126 
3.109	2015-01-01 00:01:37.160	-0.0542	-0.2798	0.9380 
3.110	2015-01-01 00:01:37.180	-0.0615	-0.2705	0.9644 
3.213	2015-01-01 00:01:37.200	-0.0791	-0.3135	0.9795 
3.295	2015-01-01 00:01:37.220	-0.0400	-0.3882	0.9526 
3.295	2015-01-01 00:01:37.240	-0.0474	-0.3804	1.0083 
3.296	2015-01-01 00:01:37.260	-0.0459	-0.2979	1.0869 
3.296	2015-01-01 00:01:37.280	-0.0059	-0.1772	1.1665 
3.297	2015-01-01 00:01:37.300	-0.0581	-0.1606	1.1406 
3.419	2015-01-01 00:01:37.320	-0.0415	-0.2051	0.9712 
3.421	2015-01-01 00:01:37.340	-0.0044	-0.2603	0.8931 
3.427	2015-01-01 00:01:37.360	-0.0039	-0.3452	0.8823 
3.485	2015-01-01 00:01:37.380	-0.0483	-0.3975	0.9316 
3.486	2015-01-01 00:01:37.400	-0.0449	-0.3760	0.9697 
3.509	2015-01-01 00:01:37.420	-0.0308	-0.3530	0.9614 
3.510	2015-01-01 00:01:37.440	-0.0361	-0.3457	0.9819 
3.510	2015-01-01 00:01:37.460	-0.0220	-0.3477	0.9863 
3.510	2015-01-01 00:01:37.480	-0.0317	-0.3628	0.9512 
3.511	2015-01-01 00:01:37.500	-0.0620	-0.3940	0.9551 
3.512	2015-01-01 00:01:37.520	-0.0747	-0.4355	0.9390 
3.512	2015-01-01 00:01:37.540	-0.0630	-0.4424	0.9043 
3.512	2015-01-01 00:01:37.560	-0.0913	-0.4141	0.9272 
3.512	2015-01-01 00:01:37.580	-0.0952	-0.3643	0.9526 
3.618	2015-01-01 00:01:37.600	-0.0654	-0.2993	0.9072 
3.680	2015-01-01 00:01:37.620	-0.0313	-0.2559	0.8887 
3.681	2015-01-01 00:01:37.640	-0.0498	-0.2573	0.9097 
3.681	2015-01-01 00:01:37.660	-0.0254	-0.2524	0.8940 
3.681	2015-01-01 00:01:37.680	0.0176	-0.2637	0.8721 
3.681	2015-01-01 00:01:37.700	0.0361	-0.3105	0.8989 
3.682	2015-01-01 00:01:37.720	0.0488	-0.3608	0.9507 
3.695	2015-01-01 00:01:37.740	0.0674	-0.3579	0.9487 
3.695	2015-01-01 00:01:37.760	0.0771	-0.3813	0.9302 
3.711	2015-01-01 00:01:37.780	0.1030	-0.4043	0.8970 
3.778	2015-01-01 00:01:37.800	0.1265	-0.4009	0.8999 
3.825	2015-01-01 00:01:37.820	0.1934	-0.3794	0.9849 
3.826	2015-01-01 00:01:37.840	-0.0503	-0.4189	1.2065 
3.826	2015-01-01 00:01:37.860	-0.1460	-0.2891	1.2080 
3.826	2015-01-01 00:01:37.880	-0.3262	-0.2021	1.3525 
3.850	2015-01-01 00:01:37.900	-0.4629	-0.0898	1.2554 
3.850	2015-01-01 00:01:37.920	-0.4482	-0.2705	1.1558 
3.866	2015-01-01 00:01:37.940	-0.4678	-0.2305	1.3564 
3.881	2015-01-01 00:01:37.960	-0.4053	-0.0303	1.4746 
3.916	2015-01-01 00:01:37.980	-0.3198	0.1294	1.2661 
3.928	2015-01-01 00:01:38.000	-0.1577	0.1348	0.8525 
3.996	2015-01-01 00:01:38.020	-0.0962	0.0459	0.6489 
4.030	2015-01-01 00:01:38.040	-0.1709	0.0137	0.7183 
4.031	2015-01-01 00:01:38.060	-0.1997	0.0205	0.7881 
4.031	2015-01-01 00:01:38.080	-0.1865	0.0488	0.8105 
4.031	2015-01-01 00:01:38.100	-0.1978	0.0825	0.8545 
4.051	2015-01-01 00:01:38.120	-0.2432	0.0815	0.9805 
4.051	2015-01-01 00:01:38.140	-0.2339	0.0273	1.0161 
4.098	2015-01-01 00:01:38.160	-0.1875	-0.0049	0.9883 
4.128	2015-01-01 00:01:38.180	-0.1479	-0.0229	1.0005 
4.196	2015-01-01 00:01:38.200	-0.1187	-0.0234	1.0127 
4.196	2015-01-01 00:01:38.220	-0.0854	-0.0166	0.9722 
4.222	2015-01-01 00:01:38.240	-0.0996	0.0034	0.9624 
4.275	2015-01-01 00:01:38.260	-0.1387	-0.0034	0.9814 
4.276	2015-01-01 00:01:38.280	-0.1401	0.0015	1.0303 
4.276	2015-01-01 00:01:38.300	-0.1138	0.0220	1.0552 
4.300	2015-01-01 00:01:38.320	-0.0752	0.0186	1.0376 
4.300	2015-01-01 00:01:38.340	-0.0220	0.0415	0.9712 
4.301	2015-01-01 00:01:38.360	0.0283	0.0488	0.9126 
4.301	2015-01-01 00:01:38.380	0.0469	0.0337	0.9268 
4.315	2015-01-01 00:01:38.400	0.0649	0.0562	0.9199 
4.331	2015-01-01 00:01:38.420	0.0752	0.0801	0.8931 
4.377	2015-01-01 00:01:38.440	0.0820	0.0864	0.9146 
4.420	2015-01-01 00:01:38.460	0.0830	0.0581	0.9644 
4.423	2015-01-01 00:01:38.480	0.0854	-0.0098	0.9692 
4.439	2015-01-01 00:01:38.500	0.1001	-0.0474	0.9614 
4.440	2015-01-01 00:01:38.520	0.0898	-0.0479	1.0596 
4.485	2015-01-01 00:01:38.540	0.0542	-0.0610	1.1494 
4.486	2015-01-01 00:01:38.560	0.0625	-0.0776	1.1509 
4.501	2015-01-01 00:01:38.580	0.1084	-0.0591	1.1104 
4.519	2015-01-01 00:01:38.600	0.2261	-0.1304	1.1582 
4.534	2015-01-01 00:01:38.620	0.0840	-0.1240	1.3999 
4.591	2015-01-01 00:01:38.640	-0.1382	0.0771	1.4863 
4.615	2015-01-01 00:01:38.660	-0.1362	0.1216	1.3911 
4.615	2015-01-01 00:01:38.680	-0.2104	-0.0127	1.3613 
4.640	2015-01-01 00:01:38.700	-0.2837	-0.0488	1.1392 
4.640	2015-01-01 00:01:38.720	-0.1997	-0.0850	0.7578 
4.656	2015-01-01 00:01:38.740	-0.0674	-0.2227	0.4897 
4.702	2015-01-01 00:01:38.760	-0.0542	-0.2427	0.5718 
4.759	2015-01-01 00:01:38.780	-0.2212	-0.1172	1.0391 
4.851	2015-01-01 00:01:38.800	-0.3262	0.0151	1.2778 
4.853	2015-01-01 00:01:38.820	-0.2764	0.0596	1.1572 
4.913	2015-01-01 00:01:38.840	-0.1694	0.0327	1.0186 
4.913	2015-01-01 00:01:38.860	-0.0996	-0.1050	0.9443 
4.935	2015-01-01 00:01:38.880	-0.0610	-0.2383	0.8794 
4.936	2015-01-01 00:01:38.900	-0.0571	-0.2759	0.8379 
4.936	2015-01-01 00:01:38.920	-0.0688	-0.2666	0.9028 
4.936	2015-01-01 00:01:38.940	-0.0918	-0.2729	0.9570 
4.937	2015-01-01 00:01:38.960	-0.0542	-0.2373	0.9399 
4.937	2015-01-01 00:01:38.980	-0.0186	-0.2173	0.9233 
4.938	2015-01-01 00:01:39.000	-0.0137	-0.2476	0.9204 
4.938	2015-01-01 00:01:39.020	0.0020	-0.2510	0.9438 
4.950	2015-01-01 00:01:39.040	0.0010	-0.2217	0.9854 
5.103	2015-01-01 00:01:39.060	-0.0117	-0.2144	1.0220 
5.103	2015-01-01 00:01:39.080	-0.0366	-0.2109	1.0132 
5.104	2015-01-01 00:01:39.100	-0.0205	-0.2183	0.9727 
5.104	2015-01-01 00:01:39.120	0.0063	-0.2510	0.9438 
5.105	2015-01-01 00:01:39.140	0.0459	-0.2549	0.9180 
5.121	2015-01-01 00:01:39.160	0.0923	-0.2612	0.8965 
5.121	2015-01-01 00:01:39.180	0.0737	-0.2778	0.8926 
5.122	2015-01-01 00:01:39.200	0.0825	-0.3027	0.8457 
5.242	2015-01-01 00:01:39.220	0.1211	-0.2959	0.8389 
5.281	2015-01-01 00:01:39.240	0.0923	-0.2280	0.9297 
5.281	2015-01-01 00:01:39.260	0.0327	-0.2412	0.9951 
5.281	2015-01-01 00:01:39.280	0.0186	-0.2959	0.9634 
5.282	2015-01-01 00:01:39.300	0.0635	-0.2520	1.0005 
5.282	2015-01-01 00:01:39.320	0.1060	-0.0947	1.2769 
5.282	2015-01-01 00:01:39.340	0.1333	-0.0723	1.4087 
5.306	2015-01-01 00:01:39.360	0.1494	-0.2197	1.2417 
5.306	2015-01-01 00:01:39.380	0.1855	-0.2510	1.1411 
5.322	2015-01-01 00:01:39.400	-0.0317	-0.2461	1.3506 
5.337	2015-01-01 00:01:39.420	-0.2295	-0.4443	1.3521 
5.399	2015-01-01 00:01:39.440	-0.2891	-0.4541	1.0210 
5.426	2015-01-01 00:01:39.460	-0.1929	-0.2075	0.7236 
5.426	2015-01-01 00:01:39.480	-0.0840	0.0483	0.7046 
5.426	2015-01-01 00:01:39.500	-0.0972	0.0083	0.8809 
5.446	2015-01-01 00:01:39.520	-0.2090	-0.2720	1.1245 
5.461	2015-01-01 00:01:39.540	-0.2769	-0.4214	1.1924 
5.477	2015-01-01 00:01:39.560	-0.2505	-0.2871	1.0601 
5.493	2015-01-01 00:01:39.580	-0.1416	-0.0894	0.9585 
