StartTime: 2017-07-21 14:41:29.966
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
6.485	2015-01-01 00:02:45.240	-0.1992	0.1011	0.9966	-0.6104	-0.0610	-0.1831	4.8615	10.8765	60.4468	47.1100	404	177	-247	100819	0.42 
6.516	2015-01-01 00:02:45.280	-0.2051	0.1025	0.9941	-0.3662	0.7324	0.0000	4.8669	10.9039	60.4413	47.2100	405	177	-245	100819	0.42 
6.563	2015-01-01 00:02:45.320	-0.2104	0.0957	0.9883	-0.6104	0.2441	0.0610	4.8669	10.9479	60.4413	47.0700	407	177	-246	100819	0.42 
6.595	2015-01-01 00:02:45.360	-0.2100	0.0986	0.9961	-0.8545	-0.4272	-0.0610	4.8615	10.9698	60.4413	47.1100	408	178	-244	100819	0.42 
6.657	2015-01-01 00:02:45.400	-0.2090	0.1001	1.0010	-1.2207	1.4038	-1.1597	4.8395	10.9863	60.4193	47.0200	406	176	-246	100819	0.42 
6.688	2015-01-01 00:02:45.440	-0.2358	0.0859	1.0112	-0.7324	0.6714	-2.3804	4.7845	11.0797	60.3754	47.0200	403	173	-248	100819	0.42 
6.720	2015-01-01 00:02:45.480	-0.1992	0.1221	1.0010	-2.2583	0.0000	-0.8545	4.7351	11.1017	60.2820	47.4000	406	177	-247	100819	0.42 
6.766	2015-01-01 00:02:45.520	-0.1987	0.1685	0.9629	1.2817	3.9673	3.4790	4.8450	11.1511	60.3040	47.1100	408	178	-250	100819	0.42 
6.798	2015-01-01 00:02:45.560	-0.1948	0.1128	1.0439	0.6104	0.4272	7.8125	5.0317	11.2775	60.5841	47.2600	411	179	-251	100819	0.42 
6.891	2015-01-01 00:02:45.600	-0.1411	0.0679	0.9990	-2.1973	-12.5122	-1.6479	5.0208	10.9259	60.7104	47.2100	410	178	-250	100819	0.42 
