StartTime: 2017-07-21 14:57:18.641
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
665.591	2015-01-01 00:20:54.200	0.0488	0.1182	1.0127	0.0000	4.5776	-1.8311	5.6030	1.5601	40.0177	47.1100	445	442	-232	100800	0.44 
665.638	2015-01-01 00:20:54.240	0.0562	0.1094	1.0171	-1.0376	3.4180	-2.8076	5.5975	1.6479	40.0287	47.0700	446	441	-231	100800	0.44 
665.685	2015-01-01 00:20:54.280	0.0527	0.1113	1.0200	-0.1831	3.5400	-1.9531	5.5975	1.6534	40.0726	47.1100	444	442	-235	100800	0.44 
665.716	2015-01-01 00:20:54.320	0.0610	0.1182	1.0000	-0.6714	2.4414	-2.0142	5.6030	1.6534	40.1001	47.0700	442	443	-235	100800	0.44 
665.763	2015-01-01 00:20:54.360	0.0488	0.1147	1.0181	-0.2441	3.4180	-0.7935	5.6085	1.6699	40.1440	47.0700	438	444	-239	100800	0.44 
665.810	2015-01-01 00:20:54.400	0.0366	0.1138	1.0059	-0.3052	3.4790	-0.6104	5.6140	1.7139	40.2155	47.0200	441	442	-238	100799	0.44 
665.841	2015-01-01 00:20:54.440	0.0229	0.1270	1.0244	-0.9766	3.4790	-1.4648	5.6140	1.7633	40.2704	47.1100	440	442	-234	100799	0.44 
665.888	2015-01-01 00:20:54.480	0.0283	0.1118	1.0044	-1.2207	2.6245	-1.4648	5.5975	1.8018	40.3198	47.1100	433	440	-231	100799	0.44 
665.951	2015-01-01 00:20:54.520	0.0273	0.1089	1.0088	-2.3804	3.6621	-5.1270	5.5426	1.8732	40.2649	47.0700	434	439	-232	100799	0.44 
665.982	2015-01-01 00:20:54.560	-0.0112	0.1133	1.0425	-2.8076	3.4180	-6.4697	5.4657	1.9995	40.1111	47.2600	439	439	-232	100799	0.44 
666.013	2015-01-01 00:20:54.600	-0.0078	0.1309	1.0190	-2.9297	-1.4038	-4.1504	5.3613	2.0490	39.9738	47.0700	439	442	-236	100800	0.44 
666.060	2015-01-01 00:20:54.640	0.0181	0.1045	0.9912	-4.2725	-0.9766	-7.4463	5.2460	1.9226	39.8419	47.0700	442	442	-237	100799	0.44 
666.122	2015-01-01 00:20:54.680	-0.0107	0.0801	1.0259	-4.2725	-3.4180	-9.8877	5.0537	1.8512	39.5728	47.0700	441	442	-236	100799	0.44 
666.154	2015-01-01 00:20:54.720	0.0010	0.1167	1.0098	-5.6152	-5.6152	-11.7798	4.8669	1.6479	39.1937	47.0700	440	444	-232	100799	0.44 
666.185	2015-01-01 00:20:54.760	-0.0073	0.0967	1.0068	-8.7280	-9.6436	-12.3901	4.5978	1.3623	38.8092	47.1100	439	445	-234	100799	0.44 
666.216	2015-01-01 00:20:54.800	-0.0078	0.0767	1.0752	-6.1646	-15.3809	-13.0615	4.2737	0.9229	38.3533	47.0700	439	448	-235	100799	0.44 
666.248	2015-01-01 00:20:54.840	0.0127	0.1118	1.0024	-8.4839	-21.8506	-12.6343	4.0320	0.1373	37.9248	47.1100	438	445	-234	100799	0.44 
666.294	2015-01-01 00:20:54.880	0.0137	0.1108	1.0161	-8.9722	-22.7661	-11.5356	3.7354	-0.7086	37.5183	47.2600	437	444	-233	100799	0.44 
666.357	2015-01-01 00:20:54.920	0.0044	0.1001	1.0029	-9.8877	-28.3813	-9.7656	3.4167	-1.6974	37.1667	47.0700	431	447	-234	100799	0.44 
666.388	2015-01-01 00:20:54.960	0.0176	0.0786	1.0190	-11.4746	-30.7617	-9.9487	3.0322	-2.8125	36.8536	47.1100	429	450	-232	100799	0.44 
