StartTime: 2017-07-21 14:52:33.228
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
57.863	2015-01-01 00:06:33.560	-0.1904	0.0562	0.9956	-0.1221	1.4648	-8.1787	2.0819	15.0183	57.2937	48.4500	581	289	-185	100803	0.44 
57.941	2015-01-01 00:06:33.600	-0.1792	0.0552	0.9902	-0.6104	2.8076	-10.1929	1.9995	15.0073	56.9971	48.1200	584	287	-181	100803	0.44 
57.957	2015-01-01 00:06:33.640	-0.1938	0.0571	1.0015	0.2441	3.9063	-7.9346	1.9391	15.0568	56.7389	48.5000	586	284	-180	100803	0.44 
58.004	2015-01-01 00:06:33.680	-0.1909	0.0737	1.0083	0.7324	1.9531	-7.7515	1.9281	15.0677	56.5466	48.5000	585	287	-180	100803	0.44 
58.035	2015-01-01 00:06:33.720	-0.1870	0.0635	0.9937	-0.1221	1.1597	-8.5449	1.9006	15.0183	56.3214	48.6000	582	288	-180	100803	0.44 
58.082	2015-01-01 00:06:33.760	-0.1875	0.0513	0.9995	-0.4272	0.9155	-8.0566	1.8292	14.9689	56.1072	48.4500	580	288	-179	100803	0.44 
58.145	2015-01-01 00:06:33.800	-0.1812	0.0659	0.9985	0.0000	1.1597	-7.2632	1.7908	14.9139	55.9204	48.4500	580	288	-178	100803	0.44 
58.176	2015-01-01 00:06:33.840	-0.1802	0.0566	0.9946	-1.2207	2.9907	-6.8970	1.7413	14.8755	55.7611	48.4500	578	288	-178	100803	0.44 
58.207	2015-01-01 00:06:33.880	-0.1792	0.0391	0.9956	-0.4272	4.2725	-9.0332	1.6534	14.9359	55.5634	48.5000	581	291	-180	100803	0.44 
58.238	2015-01-01 00:06:33.920	-0.2144	0.0820	0.9810	0.5493	11.2305	-6.6528	1.6040	15.1996	55.3546	48.2600	578	292	-181	100802	0.44 
58.285	2015-01-01 00:06:33.960	-0.2510	0.1343	0.9688	2.5024	14.1602	-1.7700	1.7798	15.6885	55.3107	48.5000	580	294	-180	100802	0.44 
58.348	2015-01-01 00:06:34.000	-0.2314	0.1641	0.9160	-0.0610	20.2637	8.7280	2.0490	16.3586	55.5798	48.4100	584	295	-180	100802	0.44 
58.379	2015-01-01 00:06:34.040	-0.2666	0.2583	0.9058	-0.9766	22.5830	21.6064	2.4939	17.1387	56.3489	48.4100	586	294	-177	100802	0.44 
58.410	2015-01-01 00:06:34.080	-0.2188	0.3389	0.9561	-6.0425	14.2212	26.7334	3.1201	17.7869	57.5519	48.4100	586	292	-175	100802	0.44 
