StartTime: 2017-07-21 14:14:17.763
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
128.810	2015-01-01 00:08:48.680	-0.0649	0.0366	1.0112	-0.1831	-0.5493	-0.4272	1.9391	3.0927	34.2004	47.9300	277	364	-243	100842	0.40 
128.888	2015-01-01 00:08:48.720	-0.0688	0.0293	1.0127	0.7324	-0.8545	-0.7324	1.9446	3.0707	34.2059	48.0700	277	363	-241	100842	0.40 
128.919	2015-01-01 00:08:48.760	-0.0645	0.0405	1.0186	0.7324	-0.3052	-0.6714	1.9666	3.0652	34.2059	48.0700	277	363	-239	100842	0.40 
128.950	2015-01-01 00:08:48.800	-0.0645	0.0366	1.0186	0.3662	-0.3052	-1.8311	1.9885	3.0707	34.1785	47.8800	277	364	-241	100842	0.40 
128.982	2015-01-01 00:08:48.840	-0.0596	0.0366	1.0166	0.6104	0.1831	-1.4038	1.9995	3.0872	34.1290	47.9800	277	363	-244	100842	0.40 
129.059	2015-01-01 00:08:48.880	-0.0576	0.0313	1.0068	0.7935	0.6714	-1.6479	2.0215	3.1091	34.0961	47.9300	276	364	-245	100842	0.40 
129.107	2015-01-01 00:08:48.920	-0.0723	0.0254	1.0205	1.8311	1.5259	-3.0518	2.0544	3.1860	34.0247	47.9300	276	364	-245	100842	0.40 
129.107	2015-01-01 00:08:48.960	-0.0552	0.0322	1.0054	1.8921	2.5024	-1.0986	2.1149	3.2629	33.9917	47.9300	277	365	-247	100842	0.40 
129.137	2015-01-01 00:08:49.000	-0.0679	0.0225	1.0225	2.5635	5.3101	-2.4414	2.1918	3.4497	33.9642	48.0700	278	365	-248	100842	0.40 
129.184	2015-01-01 00:08:49.040	-0.0513	0.0200	1.0107	4.5776	6.2256	-0.3052	2.3071	3.6639	33.9313	47.9300	272	365	-251	100843	0.40 
129.215	2015-01-01 00:08:49.080	-0.0674	0.0249	1.0225	5.4321	7.0190	2.0752	2.4884	3.9221	34.0137	48.1200	268	365	-255	100842	0.40 
129.294	2015-01-01 00:08:49.120	-0.0679	0.0068	0.9917	7.5073	8.4839	2.6245	2.7026	4.1968	34.1290	47.9300	273	365	-254	100843	0.40 
129.325	2015-01-01 00:08:49.160	-0.1147	0.0146	1.0039	9.8877	7.2021	3.1128	3.0157	4.6088	34.2554	48.1200	278	362	-251	100843	0.40 
129.357	2015-01-01 00:08:49.200	-0.0967	-0.0132	0.9712	12.2681	11.9629	1.0986	3.3948	4.9988	34.3927	48.1200	281	362	-247	100842	0.40 
129.388	2015-01-01 00:08:49.240	-0.1270	-0.0513	0.9810	13.8550	19.0430	-7.6294	3.7628	5.6964	34.3213	48.0700	282	360	-248	100842	0.40 
129.434	2015-01-01 00:08:49.280	-0.0981	-0.0200	1.0361	18.3716	12.0850	-5.3101	4.2517	6.3336	34.1016	48.1200	283	360	-249	100843	0.40 
129.497	2015-01-01 00:08:49.320	-0.1235	-0.0068	1.0342	17.3950	10.1318	-5.8594	4.8340	6.7676	33.9862	48.0700	285	360	-248	100842	0.40 
129.512	2015-01-01 00:08:49.360	-0.1235	0.0073	1.0137	18.7378	9.8877	-5.8594	5.3943	7.1851	33.7885	47.9800	286	358	-250	100842	0.40 
129.559	2015-01-01 00:08:49.400	-0.1523	0.0024	1.0239	20.5688	8.1787	-5.1880	6.0425	7.5806	33.6401	47.7800	287	358	-250	100842	0.40 
129.590	2015-01-01 00:08:49.440	-0.1616	-0.0088	1.0010	22.7661	5.1270	-3.4790	6.7346	7.8662	33.5138	47.9800	289	355	-252	100842	0.40 
129.637	2015-01-01 00:08:49.480	-0.1558	-0.0024	0.9980	24.5361	2.6855	-2.0142	7.4927	8.0695	33.4698	47.9800	287	351	-256	100842	0.40 
129.700	2015-01-01 00:08:49.520	-0.1592	0.0166	0.9736	28.4424	2.0142	3.7842	8.3826	8.1519	33.5522	47.9800	289	348	-255	100842	0.40 
129.731	2015-01-01 00:08:49.560	-0.1602	0.0195	0.9702	33.1421	1.6479	6.4087	9.4702	8.2233	33.8159	47.9800	289	347	-255	100842	0.40 
129.762	2015-01-01 00:08:49.600	-0.1519	0.0195	0.9346	37.1094	1.7090	10.9863	10.7172	8.2178	34.1730	48.0700	287	345	-258	100842	0.40 
129.794	2015-01-01 00:08:49.640	-0.1665	0.0493	0.8989	44.6167	10.6201	19.0430	12.2113	8.4100	34.8541	48.1200	288	342	-257	100842	0.40 
129.840	2015-01-01 00:08:49.680	-0.1602	0.0645	0.8062	55.7251	14.8315	30.3345	14.2163	8.7341	35.9308	48.1200	288	342	-255	100842	0.40 
129.904	2015-01-01 00:08:49.720	-0.1528	0.0781	0.7393	63.1104	20.0806	39.9780	16.6168	9.0637	37.4414	48.1200	288	342	-254	100842	0.40 
129.935	2015-01-01 00:08:49.760	-0.2148	0.1484	0.6548	72.3877	25.5127	54.0161	19.4952	9.5032	39.3585	47.9300	290	336	-259	100842	0.40 
129.966	2015-01-01 00:08:49.800	-0.2686	0.3057	0.5371	75.8057	30.2124	80.5054	23.0713	9.8932	42.1820	47.8800	293	332	-262	100842	0.40 
129.997	2015-01-01 00:08:49.840	-0.2671	0.0630	0.4155	61.0352	37.7197	44.3726	26.2189	10.2173	44.6539	47.9800	296	332	-264	100842	0.40 
130.044	2015-01-01 00:08:49.880	-0.0781	-0.1416	0.2227	55.0537	73.7915	-5.6763	27.7844	12.5299	46.0162	47.9800	299	326	-267	100842	0.40 
130.106	2015-01-01 00:08:49.920	-0.0728	0.0112	0.4546	72.2656	35.2173	-2.3804	29.4653	14.4305	46.7303	48.0700	306	323	-272	100842	0.40 
130.137	2015-01-01 00:08:49.960	-0.1382	0.6538	0.4854	84.3506	15.4419	74.1577	33.1073	14.2603	48.3728	48.1700	310	315	-275	100843	0.40 
130.184	2015-01-01 00:08:50.000	-0.3950	1.5029	0.8350	92.5293	21.9727	132.5684	37.9303	12.1729	51.9653	47.8800	313	311	-276	100843	0.40 
130.215	2015-01-01 00:08:50.040	-1.1846	3.8916	2.6460	264.7705	46.8140	253.4180	45.9558	7.3004	58.2330	47.9800	315	308	-277	100843	0.40 
130.278	2015-01-01 00:08:50.080	0.7012	-0.0527	0.0938	156.0059	-266.9067	96.5576	54.0417	-2.4225	55.8875	47.8800	310	299	-274	100843	0.40 
130.309	2015-01-01 00:08:50.120	-0.4937	0.8394	-0.0557	114.0747	-142.6392	67.0776	60.1117	-8.3167	52.2070	47.6400	301	295	-271	100843	0.40 
130.340	2015-01-01 00:08:50.160	0.2646	0.7275	0.1973	140.0146	-134.8877	74.4629	66.2476	-13.0847	48.2410	47.8800	297	294	-270	100843	0.40 
130.387	2015-01-01 00:08:50.200	0.7144	0.8535	-0.0244	148.8647	-104.4312	125.9155	73.8556	-19.1547	44.2310	47.9300	284	290	-254	100843	0.40 
130.434	2015-01-01 00:08:50.240	1.6157	0.7070	-0.7646	186.3403	-137.0850	268.3105	81.9031	-29.1797	38.4521	47.9300	261	290	-217	100844	0.40 
130.481	2015-01-01 00:08:50.280	1.4673	2.1436	-1.3779	78.2471	-26.3062	19.9585	89.6045	-34.0192	34.9860	47.8800	245	291	-195	100844	0.40 
130.559	2015-01-01 00:08:50.320	0.5986	0.4858	-0.3901	11.5356	74.6460	-102.2949	89.5386	-30.6683	38.8367	47.8800	238	291	-186	100844	0.40 
130.575	2015-01-01 00:08:50.360	0.2827	0.3706	0.2046	0.7324	34.1187	4.2725	87.7039	-29.2456	41.0504	47.9300	238	293	-178	100844	0.40 
130.590	2015-01-01 00:08:50.400	0.3325	0.7617	-0.5308	-11.7188	-24.1699	-17.7002	88.0225	-29.0369	41.1328	47.8800	240	293	-180	100844	0.40 
130.637	2015-01-01 00:08:50.440	0.4697	1.0190	-0.1567	-43.1519	18.8599	24.2920	87.3029	-28.6249	41.8195	47.8800	241	292	-176	100844	0.40 
130.715	2015-01-01 00:08:50.480	0.6313	1.0415	-0.1240	-47.2412	15.3198	3.6621	85.4132	-29.4379	41.9458	47.5900	240	294	-175	100845	0.40 
130.731	2015-01-01 00:08:50.520	0.5806	0.8740	-0.1636	-54.6265	20.5078	14.8926	83.1390	-29.8718	42.3358	47.7800	241	300	-178	100844	0.40 
130.778	2015-01-01 00:08:50.560	0.5273	0.7524	0.1191	-48.3398	27.2217	-3.3569	80.4584	-30.1410	42.9181	47.6400	239	298	-181	100845	0.40 
130.825	2015-01-01 00:08:50.600	0.4629	0.7021	0.3853	-24.5972	-0.9155	-29.2358	78.5303	-29.2236	42.8522	47.8800	238	296	-183	100845	0.40 
130.856	2015-01-01 00:08:50.640	0.5605	0.6812	0.0796	-17.0288	-10.2539	-39.3677	78.0359	-28.1085	41.1163	47.7800	240	298	-186	100845	0.40 
130.919	2015-01-01 00:08:50.680	0.4282	0.8447	0.3076	-3.4790	-2.3804	-35.0952	77.8381	-26.7462	40.0781	47.8800	240	301	-187	100845	0.40 
130.934	2015-01-01 00:08:50.720	0.4814	0.8628	0.1758	-3.6011	-15.9302	-38.7573	77.9590	-25.3839	38.7213	47.6400	243	303	-191	100845	0.40 
130.981	2015-01-01 00:08:50.760	0.3877	0.7480	0.2153	9.8877	-7.5684	-38.2690	78.3215	-24.0161	37.6062	47.5900	245	304	-192	100845	0.40 
131.012	2015-01-01 00:08:50.800	0.4624	0.8003	0.0313	14.5874	-13.3057	-29.9683	79.1895	-22.8625	36.4362	47.9300	245	297	-189	100845	0.40 
131.091	2015-01-01 00:08:50.840	0.3584	0.9814	0.0063	14.4043	5.8594	-31.4941	80.1068	-21.8243	35.9583	47.7400	245	290	-186	100845	0.40 
131.122	2015-01-01 00:08:50.880	0.2686	1.0952	-0.0313	15.8081	1.8311	-21.6064	80.9528	-20.6378	36.0187	47.7800	247	283	-186	100845	0.40 
131.153	2015-01-01 00:08:50.920	0.3267	1.0439	0.0303	3.3569	14.8315	-20.2637	81.4471	-19.7150	36.4691	47.7400	248	280	-186	100845	0.40 
131.200	2015-01-01 00:08:50.960	0.2705	1.0430	-0.0322	3.4180	-2.6245	-15.5029	81.7932	-18.7756	36.3208	47.8800	250	277	-185	100845	0.40 
131.232	2015-01-01 00:08:51.000	0.2500	0.9556	0.0483	3.4180	-3.9063	-5.3711	82.1338	-18.3032	36.3922	47.7800	252	276	-183	100845	0.40 
131.341	2015-01-01 00:08:51.040	0.3916	0.8838	0.0591	1.2207	0.8545	-1.4038	82.3260	-18.2538	36.3702	47.6400	253	271	-184	100845	0.40 
131.387	2015-01-01 00:08:51.080	0.2920	0.9507	0.0327	-2.2583	-2.2583	10.2539	82.4139	-18.4845	36.4197	47.8800	254	271	-184	100845	0.40 
131.387	2015-01-01 00:08:51.120	0.3213	1.0264	0.0684	-0.3052	-0.8545	7.5073	82.4634	-18.8086	36.4636	47.9800	250	274	-185	100845	0.40 
131.419	2015-01-01 00:08:51.160	0.2573	1.0020	0.0591	0.3052	-6.4697	15.0146	82.6062	-19.1931	36.4856	47.8800	243	275	-185	100845	0.40 
131.434	2015-01-01 00:08:51.200	0.3203	0.9619	0.0220	-2.1973	-0.3662	17.7612	82.7216	-19.8358	36.4856	47.6400	239	275	-183	100845	0.40 
131.497	2015-01-01 00:08:51.240	0.3862	0.9302	0.0571	-1.7090	2.0752	17.3950	82.7161	-20.5719	36.5460	47.7400	243	277	-181	100845	0.40 
131.529	2015-01-01 00:08:51.280	0.4116	0.8936	0.0391	-0.8545	0.3052	15.8691	82.7106	-21.3025	36.5076	47.8800	244	276	-183	100845	0.40 
131.559	2015-01-01 00:08:51.320	0.4126	0.8911	0.0327	-1.1597	1.7700	12.8174	82.7380	-21.9342	36.4581	47.7400	243	282	-184	100845	0.40 
131.622	2015-01-01 00:08:51.360	0.4092	0.9092	0.0684	-0.4272	3.1738	9.2163	82.7161	-22.4066	36.4307	47.5900	242	285	-185	100845	0.40 
131.669	2015-01-01 00:08:51.400	0.4004	0.9336	0.0493	0.7324	-0.0610	10.0708	82.7655	-22.8131	36.3647	47.7400	245	284	-186	100845	0.40 
