StartTime: 2017-07-21 14:57:18.641
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
455.100	2015-01-01 00:17:31.840	0.0122	0.1074	1.0083	-2.9907	-0.1831	-4.2725	5.3833	3.9276	61.2433	45.9600	388	166	-190	100799	0.44 
455.115	2015-01-01 00:17:31.880	0.0127	0.1084	0.9990	-3.0518	-0.1221	-3.1738	5.2789	3.8177	61.1884	45.7700	390	166	-190	100799	0.44 
455.162	2015-01-01 00:17:31.920	0.0127	0.0771	1.0283	-2.1973	-0.6714	-3.6621	5.1636	3.7299	61.1554	45.8700	390	166	-189	100799	0.44 
455.225	2015-01-01 00:17:31.960	-0.0098	0.1025	0.9966	-2.1973	3.9673	-6.8970	5.0702	3.6859	61.0510	45.7700	391	170	-188	100799	0.44 
455.271	2015-01-01 00:17:32.000	-0.0024	0.0859	1.1206	-1.8921	-3.7842	-9.5825	4.9878	3.6914	60.7709	46.3000	391	172	-188	100799	0.44 
455.303	2015-01-01 00:17:32.040	0.0400	0.0884	0.9712	-3.1128	-9.5215	-9.7046	4.8615	3.2684	60.4688	45.7700	391	171	-187	100799	0.44 
455.334	2015-01-01 00:17:32.080	0.0254	0.1001	1.0098	-3.5400	-2.3804	-10.8643	4.7241	3.0212	60.1337	45.7700	392	171	-191	100799	0.44 
455.365	2015-01-01 00:17:32.120	0.0298	0.1138	0.9360	-3.0518	-0.2441	-6.7749	4.6033	2.8400	59.8810	45.8200	391	169	-190	100799	0.44 
455.412	2015-01-01 00:17:32.160	-0.0054	0.0938	1.1011	1.2817	-0.9155	-2.7466	4.6198	2.8180	59.8041	45.7700	391	169	-192	100799	0.44 
455.443	2015-01-01 00:17:32.200	0.0000	0.0952	0.9629	0.4883	-5.1880	-1.9531	4.6472	2.5433	59.8260	45.8200	392	169	-195	100799	0.44 
455.506	2015-01-01 00:17:32.240	0.0239	0.1367	0.9595	-1.5259	1.3428	-2.1973	4.6912	2.3950	59.8260	46.0100	390	169	-193	100799	0.44 
455.537	2015-01-01 00:17:32.280	0.0288	0.1543	1.0088	-5.7373	1.2207	6.0425	4.6198	2.3676	59.9908	46.2000	387	169	-193	100800	0.44 
455.568	2015-01-01 00:17:32.320	-0.0273	0.0972	0.8979	-4.2114	5.1270	13.6719	4.4934	2.3456	60.5072	45.8200	385	169	-194	100800	0.44 
455.615	2015-01-01 00:17:32.360	-0.0142	0.0811	0.7671	-4.2114	25.3906	8.6670	4.3781	2.9224	61.0840	45.8700	385	164	-194	100799	0.44 
455.646	2015-01-01 00:17:32.400	-0.0352	0.1328	0.7256	-0.1221	43.5181	9.3384	4.4495	4.2682	61.6113	45.6800	385	167	-195	100799	0.44 
455.709	2015-01-01 00:17:32.440	-0.0996	0.1260	0.7021	5.4932	64.4531	11.2305	4.7076	6.5039	62.1442	45.6800	386	169	-195	100799	0.44 
455.756	2015-01-01 00:17:32.480	-0.1221	0.0435	1.0059	7.3242	44.4946	6.3477	5.1031	8.7122	62.7374	46.0100	391	167	-192	100800	0.44 
455.787	2015-01-01 00:17:32.520	0.0166	-0.1040	0.6504	9.2773	38.5132	-5.0659	5.0757	9.8657	62.9626	45.8200	391	167	-193	100800	0.44 
455.834	2015-01-01 00:17:32.560	-0.0786	0.1904	0.6104	27.2827	66.9556	2.8687	5.9216	11.8433	63.0286	45.7700	394	168	-190	100800	0.44 
455.881	2015-01-01 00:17:32.600	-0.1201	0.3262	0.6094	19.4702	75.9277	25.7568	7.5256	14.5569	63.8965	45.8200	399	168	-188	100799	0.44 
455.927	2015-01-01 00:17:32.640	-0.1943	0.1460	0.7417	13.0615	67.9321	39.6729	9.0198	17.0892	65.6653	45.8200	400	168	-187	100800	0.44 
455.943	2015-01-01 00:17:32.680	-0.2031	-0.0405	0.7695	17.2119	69.8242	22.3999	10.0085	19.5007	67.4286	46.0100	400	165	-185	100800	0.44 
455.990	2015-01-01 00:17:32.720	-0.2598	-0.0654	0.8188	22.5220	54.1382	2.9297	10.7996	21.7969	68.2745	45.7700	403	159	-182	100800	0.44 
456.037	2015-01-01 00:17:32.760	-0.2998	0.0117	1.0825	22.6440	43.8843	-25.8179	11.3379	23.6700	68.0438	45.8700	405	155	-181	100800	0.44 
456.115	2015-01-01 00:17:32.800	-0.2432	0.4805	0.8843	11.2915	45.4712	-27.0386	11.6180	25.3015	66.9177	46.0100	409	153	-176	100800	0.44 
456.115	2015-01-01 00:17:32.840	-0.4585	0.4092	1.1245	17.7612	69.8853	12.8174	12.7936	27.4933	67.2034	45.7700	415	147	-171	100801	0.44 
456.162	2015-01-01 00:17:32.880	-0.5522	0.2012	1.2031	-0.6104	27.4048	1.4648	13.5626	28.9929	68.0054	46.1500	419	143	-170	100801	0.44 
456.194	2015-01-01 00:17:32.920	-0.4502	0.4966	1.0898	0.9155	44.3726	23.5596	14.0790	30.0970	68.5876	45.8200	422	145	-163	100801	0.44 
456.256	2015-01-01 00:17:32.960	-0.4448	-0.0234	1.0508	-14.0991	25.0854	14.3433	14.3646	30.9265	69.8291	45.8700	422	143	-159	100802	0.44 
456.303	2015-01-01 00:17:33.000	-0.3892	0.2422	1.0703	-15.5640	4.0283	2.9297	13.6560	31.4539	70.1147	45.8700	420	140	-162	100802	0.44 
456.350	2015-01-01 00:17:33.040	-0.4473	0.2261	1.1230	-15.6250	-23.3765	25.0244	13.4473	30.3168	70.5542	45.7700	418	139	-163	100802	0.44 
456.365	2015-01-01 00:17:33.080	-0.5103	0.2065	1.0859	-24.2920	-29.1138	12.2681	12.8046	28.9325	70.9332	45.7700	419	139	-166	100803	0.44 
456.396	2015-01-01 00:17:33.120	-0.6123	0.3931	1.1753	-25.3296	-49.9268	26.5503	12.1069	27.0703	71.1035	45.9600	413	139	-167	100803	0.44 
456.444	2015-01-01 00:17:33.160	-0.3652	0.1909	1.2544	-34.1797	-43.7012	21.6675	11.1841	24.8071	71.4825	45.9600	405	139	-170	100803	0.44 
456.538	2015-01-01 00:17:33.200	-0.4736	0.1826	1.4263	-33.2031	-25.3296	13.5498	9.8163	23.2306	71.6913	45.8200	401	141	-173	100803	0.43 
456.553	2015-01-01 00:17:33.240	-0.5176	0.2632	1.3628	-19.4702	-24.7192	22.2778	9.0967	21.9891	72.1362	46.0100	391	138	-177	100803	0.43 
456.600	2015-01-01 00:17:33.280	-0.3906	0.2505	1.1997	-10.9863	-10.6201	14.8926	8.8110	21.1597	72.5537	45.8200	385	139	-184	100804	0.43 
456.631	2015-01-01 00:17:33.320	-0.3135	0.2041	1.0156	-1.4038	9.2163	15.9912	8.8385	20.9784	72.9108	45.7700	384	137	-188	100804	0.43 
456.662	2015-01-01 00:17:33.360	-0.3120	0.1714	0.8521	-2.3193	1.5259	6.4087	9.0308	21.0773	73.1030	45.6800	376	142	-187	100804	0.43 
456.709	2015-01-01 00:17:33.400	-0.2798	0.1064	0.8262	1.8311	2.6245	1.8311	9.0967	21.1102	72.9712	45.6800	371	142	-187	100804	0.43 
456.741	2015-01-01 00:17:33.440	-0.2344	0.2217	0.7690	6.8359	6.7749	7.8735	9.4098	21.1816	72.8668	45.9600	370	144	-187	100804	0.43 
456.803	2015-01-01 00:17:33.480	-0.1523	0.1924	0.8955	14.9536	12.0239	14.3433	10.1788	21.2915	73.1360	45.9600	368	144	-190	100804	0.43 
456.834	2015-01-01 00:17:33.520	-0.3267	0.3574	0.9131	17.1509	3.4790	14.1602	11.1951	21.3684	73.5095	45.8200	367	143	-191	100805	0.43 
456.866	2015-01-01 00:17:33.560	-0.4893	0.1997	1.0415	14.3433	16.1133	9.7656	12.1399	21.4178	73.6084	45.8700	367	143	-191	100805	0.43 
456.912	2015-01-01 00:17:33.600	-0.6572	0.4639	1.3828	11.9629	27.3438	11.6577	12.8650	22.4396	73.9380	46.0100	368	143	-187	100805	0.43 
456.944	2015-01-01 00:17:33.640	-0.7124	0.3281	1.3208	12.4512	45.4712	3.3569	13.7878	23.4998	74.1852	45.9600	367	143	-185	100805	0.43 
456.975	2015-01-01 00:17:33.680	-0.5894	0.5498	1.6338	13.6719	70.1294	-5.1270	14.6722	25.9497	74.3939	45.7700	364	141	-178	100805	0.43 
457.021	2015-01-01 00:17:33.720	-0.3687	0.2949	1.5029	21.6675	64.5142	-2.1362	15.5676	28.1470	74.6631	45.8200	363	138	-177	100805	0.43 
457.058	2015-01-01 00:17:33.760	-0.5425	0.3418	1.5127	27.4048	50.2930	-6.2866	16.7157	30.1135	74.8938	45.7700	367	140	-175	100805	0.43 
457.133	2015-01-01 00:17:33.800	-0.5425	0.3027	1.7393	33.8135	27.7100	-27.6489	17.5397	31.7340	74.1357	45.8200	375	143	-173	100805	0.43 
457.164	2015-01-01 00:17:33.840	-0.4150	0.4067	1.5918	24.6582	-14.5264	-40.6494	17.4957	31.8384	72.0099	45.4800	383	145	-169	100805	0.43 
457.196	2015-01-01 00:17:33.880	-0.6201	0.6694	1.5513	-7.5073	-44.4336	-45.4102	16.7047	30.8826	69.6204	46.1500	391	148	-168	100804	0.43 
457.242	2015-01-01 00:17:33.920	-0.4648	0.4580	1.7959	-33.8135	-50.7202	-61.0962	14.4635	29.1797	66.4398	45.8200	397	151	-164	100805	0.43 
457.274	2015-01-01 00:17:33.960	-0.6279	0.1211	2.1196	-23.3154	-137.8784	-53.0396	11.6400	25.5432	63.2648	45.9600	399	153	-167	100804	0.43 
457.336	2015-01-01 00:17:34.000	-0.6890	0.1538	1.2773	-7.4463	-106.6284	-60.2417	9.2560	20.8685	59.4690	46.0600	401	154	-170	100805	0.43 
457.368	2015-01-01 00:17:34.040	-0.1045	0.1567	-0.2295	-64.3921	-189.7583	-15.6250	8.8660	13.0682	58.6121	45.5300	401	155	-171	100805	0.43 
457.399	2015-01-01 00:17:34.080	-1.9219	0.3516	-1.9336	-51.1475	-75.8667	35.7666	7.3169	9.3439	56.9366	45.6800	391	161	-182	100804	0.43 
457.446	2015-01-01 00:17:34.120	-0.5454	0.3657	0.9648	29.2969	11.3525	3.4180	10.0360	11.6071	57.0630	45.7700	389	173	-189	100803	0.43 
457.493	2015-01-01 00:17:34.160	0.3604	-0.7305	-0.0371	-34.4238	-91.8579	-27.2827	8.6462	7.6904	56.6840	45.7700	386	174	-192	100803	0.44 
457.539	2015-01-01 00:17:34.200	-0.0508	-0.1997	-0.3828	-17.4561	-13.4888	-72.8760	5.3448	4.8065	54.3054	45.5300	380	174	-195	100802	0.44 
457.586	2015-01-01 00:17:34.240	-0.0977	0.5645	0.0391	1.7700	6.4087	0.5493	6.4819	5.5756	52.9486	45.2900	381	178	-196	100802	0.44 
457.634	2015-01-01 00:17:34.280	0.0249	0.2505	-0.2339	-27.5269	-4.1504	18.3105	7.6575	5.5206	53.7891	45.6800	383	179	-197	100801	0.44 
457.665	2015-01-01 00:17:34.320	-0.1768	-0.1113	-0.1763	-34.3018	72.9980	54.6265	5.5371	6.3226	55.8160	45.6800	384	176	-198	100801	0.44 
457.696	2015-01-01 00:17:34.360	-0.2837	-0.0762	0.1504	-45.3491	77.2705	29.7241	5.4877	10.2777	56.7169	45.6800	382	178	-201	100800	0.44 
457.743	2015-01-01 00:17:34.400	0.1255	-0.3169	0.5771	-31.8604	-12.2681	15.8081	3.5101	11.7828	57.9749	45.6300	379	180	-207	100800	0.44 
457.774	2015-01-01 00:17:34.440	0.1548	-0.0132	-0.1191	-17.2119	-44.4946	11.9019	1.6919	8.5089	58.3044	45.4800	377	181	-209	100800	0.44 
457.821	2015-01-01 00:17:34.480	-0.2368	0.5615	-0.1846	-13.3667	-15.6860	15.3198	3.4882	8.3826	58.8593	45.6300	371	185	-212	100799	0.44 
457.868	2015-01-01 00:17:34.520	-0.5938	-0.1978	0.1240	53.0396	97.2290	-111.5723	5.6140	10.1898	57.1783	45.5300	364	180	-217	100799	0.44 
457.914	2015-01-01 00:17:34.560	-1.6055	-0.2651	6.4834	-0.7324	-134.7046	-34.2407	5.0317	14.0955	51.0095	45.7700	365	177	-218	100799	0.44 
457.977	2015-01-01 00:17:34.600	-0.6841	0.9482	3.6836	38.8794	-1.4038	-41.7480	9.3439	18.4955	51.8170	45.7700	390	174	-207	100799	0.44 
458.039	2015-01-01 00:17:34.640	0.9067	-0.4316	-0.5063	-47.7295	-113.2813	109.0698	7.2784	6.7017	53.9099	45.6300	393	171	-201	100800	0.44 
458.039	2015-01-01 00:17:34.680	-0.6025	-0.4360	3.0371	72.0215	201.2939	9.8877	7.2784	11.7444	55.4700	45.5300	383	173	-203	100800	0.44 
458.071	2015-01-01 00:17:34.720	-0.1118	0.2817	1.7773	-29.7852	-133.7280	-15.6860	8.0640	10.6073	55.8765	45.6300	384	174	-199	100800	0.44 
458.118	2015-01-01 00:17:34.760	0.2441	-0.0083	0.2905	-8.1787	-58.8989	-14.4043	6.6412	5.9601	54.8163	45.6800	385	176	-198	100800	0.44 
458.180	2015-01-01 00:17:34.800	0.1807	0.1846	0.4087	25.7568	45.8374	4.7607	7.7454	5.2460	54.8602	45.5300	378	173	-197	100800	0.44 
458.196	2015-01-01 00:17:34.840	-0.0688	0.1123	0.6021	-4.5776	-8.5449	5.6152	8.3661	5.7953	55.3326	45.6300	377	174	-200	100799	0.44 
458.243	2015-01-01 00:17:34.880	-0.2534	-0.0249	0.5562	0.3662	-10.1318	9.4604	7.8992	5.4437	55.7886	45.4400	373	173	-200	100800	0.44 
458.274	2015-01-01 00:17:34.920	-0.2148	0.1353	0.9233	6.7749	-17.0898	11.5967	8.0585	5.3009	56.0742	45.4800	372	172	-198	100799	0.44 
458.352	2015-01-01 00:17:34.960	0.0078	0.1958	0.9927	-4.3335	-15.5029	5.4932	8.2782	4.5758	56.5411	45.4800	371	169	-193	100799	0.44 
458.384	2015-01-01 00:17:35.000	0.1792	-0.0542	0.9487	-14.3433	-19.3481	7.1411	7.6300	3.3948	56.8433	45.6300	369	171	-194	100799	0.44 
458.399	2015-01-01 00:17:35.040	0.0630	-0.0371	1.0615	-4.0894	0.7935	0.7935	7.0587	2.9388	57.1509	45.7700	368	174	-198	100799	0.44 
458.446	2015-01-01 00:17:35.080	0.0879	0.0923	1.0352	-0.6714	-14.9536	5.7983	6.9269	2.4664	57.3761	45.2400	367	175	-199	100799	0.44 
458.477	2015-01-01 00:17:35.120	-0.0073	0.0083	1.0430	3.3569	-1.8921	-1.2207	6.8884	2.0105	57.6288	45.6800	364	175	-200	100799	0.44 
458.525	2015-01-01 00:17:35.160	-0.0615	0.0376	1.1069	2.1973	-16.7847	-1.5259	6.8500	1.6589	57.6343	45.5300	362	177	-202	100799	0.44 
458.602	2015-01-01 00:17:35.200	0.1333	0.1563	0.8179	0.7324	-13.4277	-0.9766	6.9104	0.7361	57.6013	45.5300	359	178	-203	100799	0.44 
458.602	2015-01-01 00:17:35.240	0.0332	0.0068	1.0835	1.8921	16.0522	-2.6855	6.8774	1.0052	57.6013	45.7700	360	175	-200	100799	0.44 
458.665	2015-01-01 00:17:35.280	-0.0308	-0.0864	1.0649	-1.2207	-8.0566	-9.5825	6.6687	0.9723	57.5848	45.6300	362	174	-196	100799	0.44 
458.696	2015-01-01 00:17:35.320	0.0269	0.0156	0.9854	3.2349	-3.7231	-15.0757	6.4764	0.7141	57.2278	45.6800	360	173	-194	100799	0.44 
458.743	2015-01-01 00:17:35.360	0.0396	0.2798	0.8965	18.6768	4.6997	5.8594	6.8884	0.5493	57.1014	45.6300	357	173	-197	100799	0.44 
458.790	2015-01-01 00:17:35.400	-0.1035	0.3257	1.0757	22.7661	25.4517	14.2212	8.2233	1.3898	57.6563	45.4800	355	173	-198	100798	0.44 
458.821	2015-01-01 00:17:35.440	-0.0063	-0.1411	1.2339	11.4136	-12.3901	-6.6528	8.7726	1.7029	58.0188	45.6300	358	173	-198	100798	0.44 
458.853	2015-01-01 00:17:35.480	0.3267	-0.0586	0.9160	11.7798	-38.0859	-36.5601	8.7781	0.3021	57.1344	45.7700	358	173	-196	100798	0.44 
458.915	2015-01-01 00:17:35.520	0.2134	0.4146	0.8906	10.1318	-8.4229	-37.7197	9.4647	-0.5493	55.5963	45.5300	358	171	-192	100798	0.44 
458.946	2015-01-01 00:17:35.560	0.0356	0.2642	1.0542	2.1973	-0.6714	-18.7378	9.8383	-0.7031	54.5416	45.6800	363	170	-192	100798	0.44 
458.993	2015-01-01 00:17:35.600	0.0078	0.3569	0.8833	4.0283	-6.7139	1.9531	10.1624	-0.8240	54.3713	45.5300	364	170	-193	100798	0.44 
459.024	2015-01-01 00:17:35.640	0.0410	0.1064	0.9868	2.1973	22.1558	4.4556	10.4535	-0.6317	54.6625	45.4800	365	168	-190	100798	0.44 
459.055	2015-01-01 00:17:35.680	-0.0601	-0.0410	1.1353	7.0801	6.7749	2.5024	10.3546	0.0494	55.2722	45.8700	365	166	-189	100798	0.44 
459.102	2015-01-01 00:17:35.720	0.1572	0.2529	0.8315	2.0142	5.4321	-8.4839	10.5249	0.0275	55.2612	45.3400	365	164	-188	100798	0.44 
459.149	2015-01-01 00:17:35.760	0.0664	0.1211	1.0303	-5.6152	14.4653	-4.2725	10.4865	0.3845	55.2722	45.6800	366	165	-185	100798	0.44 
459.180	2015-01-01 00:17:35.800	0.0088	0.0649	1.0474	-2.2583	4.7607	-0.1831	10.1459	0.6702	55.4974	45.7700	365	166	-185	100798	0.44 
459.243	2015-01-01 00:17:35.840	0.0347	0.1660	1.0181	-3.6621	3.6621	-1.0986	9.9921	0.8185	55.6842	45.5300	366	163	-184	100798	0.44 
459.274	2015-01-01 00:17:35.880	0.0625	0.0981	0.9956	-3.2349	4.0283	0.4272	9.7888	0.8405	55.8820	45.4400	367	167	-185	100798	0.44 
459.321	2015-01-01 00:17:35.920	0.0591	0.0942	0.9932	-2.7466	4.0894	-2.8687	9.5856	0.9338	56.0522	45.5300	367	166	-186	100798	0.44 
459.352	2015-01-01 00:17:35.960	0.0498	0.1372	1.0049	-1.7090	6.7749	-5.3711	9.4318	1.1096	56.0962	45.6800	367	167	-187	100798	0.44 
459.415	2015-01-01 00:17:36.000	0.0269	0.1470	1.0112	-1.4038	5.6763	-5.3101	9.3549	1.2909	56.0852	45.5300	366	167	-189	100797	0.44 
459.446	2015-01-01 00:17:36.040	0.0518	0.1274	0.9951	-4.2114	1.2817	-6.2256	9.1956	1.3623	56.0413	45.4400	366	166	-191	100797	0.44 
459.477	2015-01-01 00:17:36.080	-0.0142	0.1367	0.9604	-1.5259	13.2446	-2.8076	9.0308	1.6315	56.0632	45.6800	367	165	-191	100797	0.44 
459.524	2015-01-01 00:17:36.120	-0.0703	0.2031	0.9355	-4.1504	16.3574	4.6997	9.0033	2.2687	56.3544	45.6800	367	163	-191	100798	0.44 
459.571	2015-01-01 00:17:36.160	-0.0801	0.1182	0.9170	-5.6763	21.9116	7.8125	8.7781	3.0542	56.8268	45.6300	367	165	-189	100798	0.44 
459.618	2015-01-01 00:17:36.200	-0.0825	0.1230	0.7939	-6.6528	31.7383	6.1646	8.5254	4.0594	57.3486	45.5300	368	165	-192	100798	0.44 
459.649	2015-01-01 00:17:36.240	-0.1411	0.1816	0.8647	7.0190	50.4761	17.7002	8.6517	5.8008	58.1122	45.6300	368	165	-194	100798	0.44 
459.680	2015-01-01 00:17:36.280	-0.0396	0.3311	1.1040	-1.7090	10.5591	33.2642	9.1406	6.9983	59.3921	45.7700	366	167	-192	100798	0.44 
459.728	2015-01-01 00:17:36.320	0.0308	0.1226	0.6768	-14.4043	32.2266	12.5122	8.9594	7.1246	60.4303	45.4400	364	166	-192	100798	0.44 
459.758	2015-01-01 00:17:36.360	-0.0771	0.0820	0.7539	-1.9531	50.9033	16.7847	8.7286	8.8165	61.2488	45.6800	364	167	-193	100799	0.44 
459.821	2015-01-01 00:17:36.400	-0.0972	-0.0391	0.7290	0.0610	41.8701	5.0049	8.7177	10.5304	62.0563	45.8700	365	167	-192	100799	0.44 
459.868	2015-01-01 00:17:36.440	-0.2554	-0.0566	0.5181	14.0381	62.3779	4.5166	8.6243	12.5519	62.5232	45.7700	365	166	-190	100799	0.44 
459.899	2015-01-01 00:17:36.480	-0.2573	0.3354	1.1245	13.1226	64.3311	21.7896	9.5581	15.5017	63.4460	45.5300	368	164	-189	100799	0.44 
459.946	2015-01-01 00:17:36.520	-0.1455	-0.1392	0.7710	-3.4180	11.5967	-3.8452	9.6405	16.1938	64.1766	45.5300	368	163	-189	100799	0.44 
459.977	2015-01-01 00:17:36.560	-0.1704	0.1245	0.7383	2.9297	38.5742	-3.2349	9.2615	17.2485	63.8470	45.5300	369	162	-189	100799	0.44 
460.056	2015-01-01 00:17:36.600	-0.2773	0.2466	0.9038	0.0000	70.0684	21.1182	9.7559	19.1492	64.5996	45.8200	375	161	-189	100799	0.44 
460.087	2015-01-01 00:17:36.640	-0.4082	0.0337	1.0073	-2.2583	60.9131	11.6577	10.1569	21.9452	65.5939	45.6300	378	159	-189	100799	0.44 
460.118	2015-01-01 00:17:36.680	-0.0991	0.1274	0.8276	-4.0894	68.3594	21.1182	10.2722	23.7579	66.8408	45.7700	379	159	-191	100799	0.44 
460.149	2015-01-01 00:17:36.720	-0.3481	0.0615	1.0103	0.5493	76.7212	12.7563	10.6567	26.5155	67.9834	45.6300	380	159	-190	100800	0.44 
460.180	2015-01-01 00:17:36.760	-0.2437	0.0317	1.0317	-3.7231	36.3159	4.5776	10.7062	28.2294	68.6096	45.4400	383	160	-191	100800	0.44 
460.227	2015-01-01 00:17:36.800	-0.2500	0.2744	0.8560	-3.1738	13.8550	-0.8545	10.5743	28.7292	68.5272	45.6800	382	158	-191	100801	0.44 
460.274	2015-01-01 00:17:36.840	-0.3594	0.0645	1.0234	6.9580	7.8125	-3.2959	10.6842	29.0753	68.3734	45.5300	386	156	-191	100801	0.44 
460.321	2015-01-01 00:17:36.880	-0.3130	0.3394	0.9111	-4.6997	-1.2207	-4.5776	10.5524	28.8885	67.8406	45.6300	388	155	-190	100801	0.44 
460.353	2015-01-01 00:17:36.920	-0.4561	0.1616	1.1646	3.4790	-17.9443	14.5874	10.8929	28.3777	67.9285	45.6300	386	153	-190	100801	0.44 
