StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
168.884	-0.1318	-0.0796	1.0215	0.0000	-3.1128	-0.9766	-4.8999	7.9980	158.8733	44.5800	72	-141	-102	100577	0.62 
168.979	-0.1152	-0.0493	1.0313	-0.6714	-4.6997	-3.9673	-4.8779	7.6630	158.4943	44.5900	77	-142	-103	100576	0.62 
169.072	-0.1201	-0.0400	1.0293	-4.9438	-2.6855	1.2817	-4.9768	7.2015	158.2910	44.5900	73	-142	-105	100576	0.62 
169.197	-0.1465	-0.0581	1.0244	-4.0283	0.0000	-2.8687	-5.3558	7.2180	158.2965	44.5900	74	-140	-103	100576	0.62 
169.322	-0.1318	-0.0278	1.0337	-2.9907	-0.2441	-8.4229	-5.5646	7.1631	157.6978	44.6000	75	-139	-102	100576	0.62 
169.369	-0.1274	-0.0313	1.0205	-7.2021	-2.9297	-7.3242	-5.9106	6.9324	156.8848	44.5800	79	-137	-107	100577	0.62 
169.494	-0.1328	-0.0430	1.0146	-14.4043	-2.9297	-6.2256	-6.7511	6.6412	156.1432	44.5800	77	-136	-109	100577	0.62 
169.588	-0.1226	-0.0786	1.0015	-19.7144	-3.3569	-8.3008	-8.3057	6.3666	155.4895	44.5700	79	-133	-112	100577	0.62 
169.744	-0.1074	-0.1157	1.0107	-22.3389	-3.9673	-15.8691	-10.3217	5.8063	154.2975	44.5500	79	-124	-118	100577	0.62 
169.806	-0.0845	-0.1138	0.9917	-28.9307	-2.1973	-21.6675	-12.7881	4.9658	152.4408	44.5500	81	-114	-130	100577	0.62 
169.916	-0.0811	-0.1377	0.9688	-43.7622	-3.9673	-17.5781	-16.1389	4.0594	150.5292	44.5400	85	-105	-133	100577	0.62 
169.994	-0.0991	-0.1011	0.9106	-51.3306	-11.3525	-7.7515	-20.3906	3.0103	149.2657	44.5200	83	-92	-146	100577	0.62 
170.150	-0.0952	-0.1016	0.7544	-64.9414	-29.8462	18.2495	-25.1697	1.4996	150.2710	44.4700	75	-79	-153	100577	0.62 
170.213	-0.1729	-0.3276	0.6152	-75.9888	-30.3345	31.7993	-31.3715	0.8624	154.1876	44.4300	60	-64	-166	100577	0.62 
170.338	-0.0400	-0.1670	0.1958	-97.7783	-13.1836	48.4619	-39.6881	2.0709	159.1919	44.3800	47	-37	-177	100577	0.62 
170.463	0.3853	-0.7119	-0.3413	-137.6953	57.6782	62.0117	-54.1187	9.7504	163.1909	44.3100	40	-13	-180	100578	0.62 
170.525	0.0391	-3.3628	-0.1475	-94.6045	31.4941	-139.8926	-73.3832	7.0752	155.5554	44.2600	45	30	-172	100578	0.62 
170.697	0.2061	-1.7227	-0.3569	-95.4590	-57.3120	-22.3999	-88.8959	1.7358	157.0660	44.2300	41	80	-159	100579	0.62 
170.791	-0.1113	-0.3242	-0.0801	-19.7144	-7.5684	37.1704	-94.9493	4.2737	157.2528	44.2000	45	107	-142	100578	0.62 
170.900	-0.0737	-0.6211	-0.1655	17.0898	-7.0801	10.4370	-95.1855	6.8280	158.2251	44.1900	49	114	-131	100579	0.62 
