StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
432.491	-0.2568	-0.0679	1.0000	-0.6104	1.3428	1.2817	-4.2847	13.8428	87.3303	44.8500	218	20	-73	100569	0.63 
432.569	-0.2427	-0.0679	1.0000	-0.4272	1.0986	1.2207	-4.3011	13.9746	87.3688	44.8400	218	18	-71	100569	0.63 
432.663	-0.2642	-0.0728	1.0078	-0.4272	0.7935	0.7935	-4.3066	14.1229	87.4072	44.8500	218	18	-72	100569	0.63 
432.741	-0.2856	-0.0820	0.9800	-0.3052	3.1128	-0.0610	-4.3231	14.3207	87.3743	44.8300	221	17	-69	100569	0.63 
432.866	-0.3042	-0.1016	0.9893	1.9531	9.7046	-4.0283	-4.4275	14.9744	87.0831	44.8600	219	17	-69	100569	0.63 
432.960	-0.2583	-0.0898	0.9565	6.8359	26.8555	-11.3525	-4.3066	16.6278	86.0889	44.8500	222	22	-65	100569	0.63 
433.116	-0.3296	-0.1201	0.9380	12.2681	31.7993	-9.7656	-3.8617	19.5502	84.9463	44.8600	224	20	-58	100570	0.63 
433.163	-0.3540	-0.0156	0.7983	5.0049	39.4287	13.1836	-2.7356	23.0548	84.7046	44.8600	230	20	-47	100570	0.63 
433.257	-0.2568	0.0474	0.4780	-5.3101	30.8228	11.2915	-2.3181	26.6968	85.6549	44.8800	237	15	-35	100570	0.63 
433.381	-0.3149	0.2656	0.3560	7.5073	28.8086	-3.7231	-2.7356	30.7672	83.8971	44.8700	241	19	-21	100570	0.63 
433.460	-0.2983	0.0313	0.6499	28.0151	-4.9438	12.2070	0.0934	32.1130	85.4187	44.8500	244	13	-8	100570	0.63 
433.585	-0.3945	0.2549	0.8086	24.1089	12.5732	-6.0425	3.2080	32.0306	84.0344	44.8600	241	15	-4	100571	0.63 
433.710	-0.6226	0.1128	1.2358	8.9111	0.3052	5.7983	5.6635	34.9530	84.8639	44.8600	242	17	1	100571	0.63 
433.788	-1.2822	0.2324	1.8843	-9.7046	1.5259	7.2632	5.8557	34.0961	85.3143	44.8500	240	17	6	100573	0.63 
433.913	-0.8452	0.2051	1.5210	-33.6304	-24.9634	-3.7231	3.6255	32.5964	85.6000	44.8200	242	15	3	100574	0.63 
434.069	-0.6406	-0.0015	1.5596	-23.1934	-42.1753	-12.2070	0.4724	28.2788	85.6000	44.7900	239	15	-9	100574	0.63 
434.132	-0.6211	-0.1240	0.6108	-16.0522	-44.3726	75.5005	0.6097	23.3844	87.4841	44.7400	234	18	-26	100575	0.63 
434.210	-0.1123	0.1963	-0.7988	16.5405	-82.1533	-36.9263	-1.1206	15.0787	86.1493	44.7300	230	14	-57	100574	0.63 
434.335	-0.0713	-0.0166	-0.0122	-7.4463	-31.2500	20.6909	1.4392	13.4473	86.9183	44.6700	223	15	-74	100574	0.63 
434.428	-0.1084	-0.0107	-0.0513	-8.7891	-1.4648	-7.4463	-0.4504	9.8438	85.8142	44.6500	215	13	-82	100573	0.63 
434.522	-0.2368	-0.0410	0.0522	-9.0332	1.5259	-0.2441	-5.9326	10.7941	89.1211	44.6400	216	13	-82	100572	0.63 
434.678	-1.5000	-0.1748	2.0996	17.0898	-174.1943	29.4189	-8.1464	20.3247	82.3645	44.6400	226	26	-50	100572	0.63 
434.772	-0.7168	-0.1929	0.8325	-6.9580	7.0801	10.9863	-6.6248	17.4957	86.0010	44.6300	220	22	-54	100572	0.63 
434.835	-0.3730	-0.0942	0.8677	-26.9775	45.5322	-2.4414	-7.0313	18.3032	86.9733	44.6100	226	21	-54	100571	0.63 
434.929	0.1143	0.0034	0.5703	-2.0142	-38.2690	14.5264	-8.1683	17.7319	86.9952	44.6100	228	22	-48	100571	0.63 
435.014	-0.3081	-0.1914	0.9487	5.7373	-34.1187	5.6763	-8.1683	17.7100	87.5226	44.6000	228	19	-49	100571	0.63 
435.154	-0.2617	-0.0391	0.9980	10.3149	-18.0054	-10.6201	-7.6410	15.9741	85.9900	44.6100	225	22	-54	100570	0.63 
435.217	-0.3530	0.0181	0.9854	1.8921	-17.7612	4.5166	-6.6357	14.2877	86.0724	44.6200	219	28	-62	100570	0.63 
435.342	-0.3496	-0.1167	1.0845	1.8311	-6.1646	8.3618	-6.7511	13.1781	87.4127	44.6200	219	25	-63	100570	0.63 
435.467	-0.2729	-0.0942	1.0049	-0.4272	2.4414	10.7422	-6.3336	12.6892	87.9071	44.6300	218	22	-69	100570	0.63 
435.530	-0.2432	-0.0557	0.9980	-2.8687	5.2490	11.5356	-5.8887	13.0078	88.7256	44.6400	220	19	-69	100570	0.63 
435.701	-0.2573	-0.0791	0.9834	0.1831	-0.5493	0.1221	-5.8228	13.3594	89.1760	44.6400	220	17	-65	100570	0.63 
