StartTime: 2017-07-14 14:03:03.436
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
290.355	-0.2329	0.0732	1.0132	1.2207	-10.2539	4.1504	3.6145	10.3491	84.8584	45.6200	195	17	-73	100577	0.62 
290.480	-0.1934	0.0811	1.0186	0.4272	-19.1040	5.3711	3.7958	8.8879	85.1331	45.6500	188	12	-72	100577	0.62 
290.543	-0.1660	0.0771	1.0376	0.4272	-33.3252	8.5449	3.9441	6.2897	85.5121	45.6300	185	12	-81	100577	0.62 
290.699	-0.0889	0.0928	1.0171	-1.8311	-42.9077	4.2114	3.8672	2.5708	85.6824	45.6400	179	11	-89	100577	0.62 
290.762	-0.0293	0.0830	1.0308	-2.5635	-54.6265	10.6201	3.7024	-2.1808	85.9296	45.6300	167	10	-102	100577	0.62 
290.855	0.0771	0.0674	1.0430	-4.9438	-66.3452	15.1978	3.2574	-8.1628	86.7975	45.6500	149	8	-119	100577	0.62 
290.965	0.2002	0.0396	0.9966	-9.5825	-79.9561	17.7612	2.3071	-15.3644	88.0005	45.6500	130	6	-136	100577	0.62 
291.059	0.3872	0.0161	1.0625	-4.6997	-92.2241	12.6953	0.6152	-22.9230	89.8627	45.6300	107	7	-160	100577	0.62 
291.168	0.3589	-0.0112	0.7905	-2.3193	-105.7739	32.7148	-0.6921	-35.1453	91.9501	45.6400	71	6	-175	100577	0.62 
291.293	0.8140	-0.0044	0.7441	-4.6997	-103.5156	27.6489	-3.0322	-44.7363	95.3558	45.6500	34	2	-187	100577	0.62 
291.372	0.9341	-0.1050	0.5249	-4.2725	-128.7231	6.6528	-6.7072	-56.4038	99.4977	45.6400	-3	2	-187	100577	0.62 
291.496	1.3164	0.1167	0.1099	0.4883	-77.9419	-16.5405	-8.8330	-68.7360	101.1182	45.6100	-48	5	-179	100577	0.62 
291.637	0.9307	-0.0640	0.0557	-4.8218	30.5786	0.8545	-10.1019	-71.5924	102.3102	45.6200	-73	6	-173	100577	0.62 
291.684	0.8516	-0.0796	0.6118	-7.2021	80.6274	18.8599	-12.4860	-65.4126	103.6780	45.6100	-62	8	-176	100578	0.62 
291.812	0.7798	-0.1592	0.6782	-1.7090	0.1831	1.4038	-12.9858	-61.4465	103.8538	45.6100	-42	10	-181	100578	0.62 
291.937	0.9849	-0.1245	0.2549	-1.4648	-20.6909	2.1362	-14.5349	-63.2977	105.4468	45.5900	-47	10	-183	100578	0.62 
292.016	0.9004	-0.0630	0.4238	-0.1831	15.5029	-0.1831	-14.2822	-63.2703	104.9469	45.5700	-46	10	-184	100579	0.62 
292.125	0.8818	-0.1094	0.5093	-1.2207	3.7842	2.6245	-14.0955	-62.1497	104.5129	45.5700	-40	12	-185	100579	0.62 
292.297	0.9316	-0.1113	0.4443	-0.1831	0.6104	0.0000	-14.2108	-62.0782	104.5953	45.5500	-40	10	-186	100579	0.62 
292.375	0.9082	-0.0991	0.4307	-0.9766	1.0376	0.5493	-14.3591	-62.2485	104.5679	45.5700	-40	14	-185	100579	0.62 
292.469	0.8882	-0.1045	0.4941	-0.5493	2.2583	1.5869	-14.2822	-61.9409	104.3097	45.5500	-38	14	-182	100579	0.62 
292.547	0.9063	-0.1079	0.4390	-0.5493	-1.1597	0.4272	-14.4305	-62.0398	104.3097	45.5700	-41	14	-183	100579	0.62 
292.703	0.8984	-0.0996	0.4741	-0.3662	1.0986	0.3052	-14.4141	-61.9684	104.1339	45.5500	-41	13	-184	100579	0.62 
292.781	0.8872	-0.0996	0.4482	-0.4883	-4.1504	1.3428	-14.5074	-62.0673	104.1614	45.5600	-38	11	-183	100579	0.62 
292.906	0.8887	-0.0962	0.4810	0.0000	0.3052	-0.3662	-14.4580	-62.0837	104.0790	45.5500	-39	8	-181	100579	0.62 
293.016	0.9160	-0.1084	0.4595	-0.6104	-3.7231	-0.5493	-14.4086	-62.2046	103.9856	45.5600	-38	11	-179	100579	0.62 
293.109	0.8940	-0.0981	0.4487	-0.5493	1.4038	1.3428	-14.5294	-62.5287	104.0131	45.5700	-41	11	-180	100579	0.62 
293.204	0.9136	-0.0928	0.4707	-0.8545	2.0142	1.0986	-14.5953	-62.2595	103.9691	45.5600	-40	12	-184	100579	0.62 
293.328	0.8999	-0.1050	0.4531	-0.3052	-0.3052	0.4883	-14.6283	-62.3254	103.9252	45.5600	-40	15	-180	100579	0.62 
293.422	0.8979	-0.1050	0.4688	-0.0610	0.1221	-0.1831	-14.5569	-62.3584	103.7659	45.5600	-42	12	-181	100579	0.62 
293.547	0.8931	-0.1006	0.4609	-0.6714	0.6104	1.2207	-14.4965	-62.3694	103.6450	45.5600	-39	11	-180	100580	0.62 
293.625	0.9092	-0.0981	0.4531	-0.6104	0.1221	1.1597	-14.6558	-62.4188	103.7549	45.5600	-41	10	-184	100579	0.62 
293.735	0.8394	-0.1313	0.4946	0.5493	-4.8218	-7.5073	-14.5624	-62.4957	103.6340	45.5500	-40	13	-185	100579	0.62 
293.844	0.7373	-0.1484	0.5459	0.8545	-23.0103	-9.3384	-13.2605	-63.9789	102.3706	45.5600	-42	12	-181	100579	0.62 
294.000	0.5518	0.0464	0.4668	4.6387	-20.2637	-2.1362	-12.9419	-67.1979	101.9037	45.5500	-54	12	-179	100579	0.62 
294.052	1.1621	-0.1270	0.1309	3.9063	3.0518	0.3052	-17.2650	-68.8898	106.6553	45.5500	-66	11	-177	100579	0.62 
294.170	1.1797	-0.0649	0.4380	3.5400	81.6650	-8.7891	-12.1948	-63.9899	101.3708	45.5500	-53	10	-176	100579	0.62 
294.295	0.9043	-0.2012	0.6299	6.6528	92.7734	-14.8926	-8.0365	-55.8600	97.0917	45.5400	-28	10	-183	100580	0.62 
294.373	0.5586	0.0054	0.6685	13.4277	79.8340	-29.7852	-2.4609	-47.0270	91.3788	45.5400	2	4	-186	100580	0.62 
294.513	0.3838	0.0220	0.7500	2.5024	81.5430	-9.8877	0.6866	-37.4524	88.0225	45.5400	38	1	-180	100580	0.62 
294.577	0.4297	0.0732	0.8394	-0.7935	92.4683	-11.3525	1.4832	-28.1689	86.6547	45.5500	69	1	-171	100580	0.62 
294.701	0.2690	0.0635	0.9951	0.1221	91.8579	-19.0430	2.3676	-18.6438	84.9188	45.5400	99	2	-156	100580	0.62 
294.780	0.1069	0.1006	1.0469	1.8311	81.7261	-12.2070	2.7026	-9.8547	83.4412	45.5300	132	7	-139	100579	0.62 
294.920	-0.0293	0.1035	1.0200	1.8311	61.5845	16.5405	2.8510	-2.6093	84.2926	45.5300	153	8	-119	100580	0.62 
294.999	-0.1963	0.1182	0.9873	0.1831	49.9268	20.9351	3.2904	2.9773	86.5558	45.5200	174	4	-103	100580	0.62 
295.107	-0.2114	0.0815	1.0488	0.0000	30.0293	-8.7280	3.4387	7.3718	87.3798	45.5200	184	0	-85	100580	0.62 
295.232	-0.2417	0.0938	1.0283	-4.3335	7.5684	-10.1929	3.0048	9.3768	86.1383	45.5300	193	3	-76	100580	0.62 
295.310	-0.2041	0.0981	1.0552	-7.6904	-9.3994	4.5776	2.5269	9.5966	86.0504	45.5300	189	8	-73	100580	0.62 
295.389	-0.1411	0.0332	1.0220	-6.6528	-6.0425	1.1597	1.8732	8.5748	86.4185	45.5300	186	4	-77	100580	0.62 
295.514	-0.1216	0.0278	1.0117	-5.7983	0.9155	0.6104	1.2799	8.1848	86.5833	45.5400	188	2	-77	100580	0.62 
295.607	-0.1484	0.0259	1.0410	-2.8076	2.9907	1.3428	0.9283	8.3386	86.8030	45.5400	187	3	-75	100580	0.62 
295.732	-0.1509	0.0239	1.0420	-1.5259	2.5024	0.5493	0.7745	8.5803	86.9733	45.5400	188	4	-75	100580	0.62 
295.826	-0.1509	0.0259	1.0205	-0.5493	1.5869	0.0000	0.7086	8.7122	87.0392	45.5400	195	6	-75	100580	0.62 
295.920	-0.1636	0.0327	1.0181	0.5493	1.7700	-0.3052	0.7471	8.7781	87.0447	45.5500	191	6	-75	100580	0.62 
296.014	-0.1587	0.0308	1.0234	0.7324	-0.4272	0.1221	0.8844	8.8055	87.1051	45.5400	191	6	-75	100580	0.62 
296.139	-0.1587	0.0356	1.0317	0.9766	-1.0986	1.4648	1.0327	8.7726	87.1600	45.5300	190	3	-77	100580	0.62 
296.248	-0.1475	0.0371	1.0195	1.2207	-0.1221	0.4272	1.2030	8.6902	87.2424	45.5300	194	7	-76	100580	0.62 
296.326	-0.1440	0.0396	1.0225	1.2817	-0.0610	0.6104	1.3843	8.5968	87.2754	45.5500	189	7	-80	100580	0.62 
296.407	-0.1479	0.0464	1.0249	0.7324	-2.9297	1.7090	1.5710	8.4924	87.3688	45.5600	189	6	-75	100579	0.62 
296.547	-0.1548	0.0479	1.0303	0.2441	-2.0142	1.2817	1.6919	8.3331	87.4292	45.5300	187	4	-75	100579	0.62 
296.625	-0.1431	0.0483	1.0166	-0.1221	-3.4790	0.4272	1.7468	8.0365	87.4512	45.5300	189	7	-77	100579	0.62 
296.750	-0.1333	0.0459	1.0283	0.3052	-3.8452	1.1597	1.8127	7.6355	87.5226	45.5700	187	8	-85	100578	0.62 
296.844	-0.1416	0.0483	1.0410	0.0610	-6.3477	2.3193	1.9006	7.1301	87.6819	45.5500	188	4	-81	100578	0.62 
296.922	-0.0947	0.0527	1.0132	0.5493	-5.6763	2.1973	1.9995	6.4764	87.8687	45.5600	186	2	-82	100578	0.62 
297.047	-0.1094	0.0532	1.0313	0.3052	-5.7983	1.0986	2.0984	5.8173	88.0664	45.5700	185	1	-82	100577	0.62 
297.157	-0.1079	0.0513	1.0313	-0.9155	-9.2773	1.8921	2.1588	5.1691	88.1763	45.5700	184	2	-84	100578	0.62 
297.220	-0.0889	0.0571	1.0425	-1.1597	-15.3198	5.3101	2.1423	4.0320	88.3466	45.5600	177	2	-89	100578	0.62 
297.360	-0.0781	0.0586	1.0234	-1.9531	-24.2310	1.2817	1.9940	2.2028	88.5114	45.5600	174	3	-93	100579	0.62 
297.438	-0.0415	0.0361	1.0361	-3.2349	-39.9170	0.0610	1.7688	-0.8844	88.4564	45.5700	170	2	-103	100579	0.62 
297.578	-0.0181	0.0391	1.0337	-4.6387	-57.6782	-4.0894	1.4282	-5.3668	88.0444	45.5900	157	3	-114	100579	0.62 
297.657	0.0991	0.0283	1.0400	-2.6245	-69.4580	4.1504	1.0657	-11.2555	87.8412	45.5700	145	8	-136	100579	0.62 
