10 steps
StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
678.231	-0.1558	-0.0859	0.9888	-1.7700	10.3760	11.7188	-3.7793	10.8105	73.9819	44.5200	170	55	-94	100579	0.62 
678.325	-0.1162	-0.1714	1.0288	-2.4414	13.5498	14.7095	-3.9386	11.7883	75.6354	44.5100	173	51	-94	100580	0.62 
678.450	-0.1104	-0.1602	0.9961	2.5024	16.1743	-1.4038	-4.1309	12.9858	76.3495	44.5100	178	48	-85	100579	0.62 
678.543	-0.1855	0.0557	0.9072	8.0566	21.7896	3.7231	-3.7793	14.4415	75.6573	44.5300	179	48	-82	100580	0.62 
678.621	-0.2476	0.0337	1.1279	12.4512	24.3530	0.6104	-2.3401	16.9739	76.6736	44.5500	184	43	-79	100580	0.62 
678.731	-0.1118	0.1323	0.9243	23.5596	27.1606	11.5356	-0.0110	18.6603	77.1735	44.5300	188	41	-68	100580	0.62 
678.825	-0.1704	0.1162	0.9473	19.3481	40.7715	10.6201	3.0212	21.7255	79.1949	44.5300	191	33	-58	100580	0.62 
678.934	-0.1592	0.2471	1.5083	5.6152	34.4849	8.9722	5.2515	24.5709	80.4529	44.5300	202	29	-47	100581	0.62 
679.028	-0.1138	0.1797	1.1636	-27.4658	12.4512	4.6997	4.9878	25.1917	81.5021	44.4900	203	26	-35	100581	0.62 
679.123	-0.7095	-0.8218	0.9927	-7.3853	60.4858	39.0625	3.0267	27.3889	82.1887	44.5000	205	25	-31	100582	0.62 
679.249	-0.9058	-0.4653	2.3955	-10.2539	1.9531	-40.8936	0.2582	31.2561	80.3925	44.4700	213	29	-19	100583	0.62 
679.328	-0.4194	0.3076	0.4399	13.3667	-60.6079	-18.4937	-3.2574	25.1587	70.5872	44.4200	206	47	-20	100583	0.62 
679.452	-0.0991	-0.0435	-0.2803	14.4043	-64.7583	11.9629	3.8947	19.7479	70.6531	44.3900	205	55	-41	100584	0.62 
679.562	-1.4438	-1.0371	1.7661	-50.5371	166.9922	27.0996	3.7354	18.6768	73.1250	44.3500	202	55	-57	100583	0.62 
679.655	-0.7900	0.2900	2.0908	-6.5308	-68.4814	86.7920	5.5206	20.5280	78.1183	44.3400	210	44	-50	100584	0.62 
679.750	-0.2349	-0.2363	-0.3667	-45.4712	-53.5889	14.8315	2.6422	11.6620	85.2100	44.3100	210	23	-63	100584	0.62 
679.858	-0.2642	-0.0293	-0.1465	-28.9917	13.6108	12.0239	-1.3129	8.3276	84.4409	44.2900	209	25	-82	100583	0.62 
679.968	-0.1899	-0.1782	2.8071	14.5264	13.6719	-70.6787	-3.8342	15.5402	82.1063	44.2800	216	25	-72	100583	0.62 
680.062	0.0991	-0.1245	0.6055	30.7617	-62.2559	-53.9551	-3.8562	14.2603	74.3390	44.2500	216	43	-56	100584	0.62 
680.187	-0.2520	0.0103	-0.1709	22.7051	-27.1606	36.5601	2.6971	10.1074	70.9827	44.2300	207	57	-73	100584	0.62 
680.280	-1.1279	0.2822	2.4521	-41.8701	127.2583	0.3662	2.1313	12.9254	71.0046	44.2100	205	60	-86	100583	0.62 
680.343	-0.8184	-0.1138	2.0698	3.3569	-41.0767	52.3071	2.3566	16.1060	79.1125	44.1900	223	43	-68	100583	0.62 
680.470	-0.2241	-0.3037	-0.2061	-30.9448	-28.1372	39.3066	0.5328	8.6957	85.1935	44.1600	223	25	-80	100583	0.62 
680.580	-0.2930	0.0811	-0.2148	-25.6958	10.3149	25.3296	-1.8677	5.9271	85.5505	44.1400	220	15	-93	100582	0.62 
680.689	-0.1440	-0.0962	2.8418	23.0103	-14.9536	-122.4365	-3.9771	13.4857	82.1832	44.1400	237	15	-78	100582	0.62 
680.767	-0.0098	0.0073	0.5161	29.8462	-65.6128	-45.5322	-3.2739	12.2717	74.4379	44.1200	239	40	-71	100582	0.62 
680.892	-0.0537	-0.2065	-0.0508	31.3110	-40.3442	12.2070	0.0879	8.0200	70.1752	44.1000	228	57	-85	100583	0.62 
680.970	-0.9531	-0.5366	1.4868	-64.5752	149.4141	43.4570	3.1146	10.2612	68.8019	44.0900	227	64	-97	100583	0.62 
681.095	-1.0728	-0.1558	2.6665	1.0376	-15.9302	77.4536	2.6093	15.1447	77.2449	44.0800	246	50	-76	100583	0.62 
681.189	-0.1025	-0.2495	-0.5107	-22.5830	-54.8706	58.3496	1.7743	5.6525	83.5126	44.0200	242	34	-86	100583	0.62 
681.314	-0.1978	0.0229	-0.2549	-28.3203	-22.2168	12.5122	-2.7246	1.6644	85.8087	44.0400	235	29	-114	100583	0.62 
681.392	-2.9131	-0.6992	4.4058	2.3804	236.9995	20.2637	-3.4222	9.4812	85.0177	44.0200	241	35	-103	100583	0.62 
681.517	-0.6978	-0.0840	1.8511	34.4238	-44.6777	-79.1626	-3.4497	10.8929	75.7947	44.0200	243	53	-81	100584	0.62 
681.626	-0.2134	0.1689	-0.2896	70.0073	-21.4844	-50.9033	0.8954	4.9384	71.3342	43.9700	222	76	-92	100584	0.62 
681.704	-0.1665	-0.2305	-0.1260	21.1182	-4.2725	-23.0713	4.6692	1.9666	71.7462	43.9800	204	71	-113	100584	0.62 
681.814	-0.0801	0.5728	2.9487	-14.8926	-11.7188	90.0879	3.9771	8.5913	73.3118	43.9500	202	76	-105	100584	0.62 
681.923	-0.2651	0.1382	0.9380	2.1973	-54.8096	41.3818	4.7791	7.4707	79.7388	43.9500	202	60	-91	100584	0.62 
682.017	0.0498	0.1572	-0.0332	-34.9731	-38.6963	-25.0244	-1.5765	0.4779	81.7273	43.9400	187	48	-104	100584	0.62 
682.126	-0.1055	0.0273	-0.3511	-31.9824	-25.8179	3.6011	-2.1313	-4.4879	82.0404	43.9300	173	48	-114	100583	0.62 
682.220	0.3608	-0.5151	1.9722	2.8076	-133.1787	-70.1294	-3.3508	3.8232	80.3320	43.9200	171	46	-94	100583	0.62 
682.329	-0.1997	-0.2280	1.0679	13.6719	-84.8999	-24.5972	-2.7576	2.5049	75.2179	43.9200	168	44	-85	100583	0.62 
682.408	-0.3403	0.1812	-0.3184	48.4009	-9.3384	34.4849	1.2305	-4.0320	74.1193	43.9000	157	40	-101	100582	0.62 
682.533	-0.6001	0.1768	0.0005	18.1274	-7.9346	84.7168	5.2954	-6.9708	78.0634	43.8900	153	21	-113	100582	0.62 
682.643	-3.8760	1.1587	4.6587	56.3354	103.6377	-155.3345	4.3835	3.5596	80.8594	43.9000	160	0	-100	100581	0.62 
682.751	-0.6763	0.3130	1.7407	7.1411	-62.6221	-9.5215	3.2904	2.1973	83.3478	43.8900	163	-3	-86	100581	0.62 
682.830	-0.0659	-0.1030	0.2437	0.1221	-70.4956	-34.6680	3.0377	-1.8347	81.5076	43.8700	165	0	-92	100580	0.62 
682.955	-0.4106	0.1943	1.6172	-10.0708	15.0146	-38.8794	0.2417	-1.9720	76.6956	43.8500	160	6	-103	100580	0.62 
683.048	0.0562	0.2573	0.7368	-4.8828	-15.1978	17.1509	-0.1483	-2.1808	74.1852	43.8700	156	17	-104	100579	0.62 
683.158	-0.2471	-0.0337	1.0313	-5.7983	-4.8828	14.9536	-1.1975	-0.3900	75.0092	43.8800	156	22	-99	100578	0.62 
683.236
