14 steps
StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
301.678	-0.1851	-0.1953	1.1841	-1.4038	1.5259	2.5024	-6.8115	19.1821	-16.7377	43.4800	0	158	-85	100591	0.61 
301.787	-0.7266	-0.3301	1.6582	-1.4648	40.7104	-9.5215	-6.9543	18.4845	-17.7869	43.4900	-7	156	-86	100591	0.61 
301.881	-0.6221	-0.1455	0.9678	13.5498	20.8130	20.9351	-5.9216	18.9844	-15.6226	43.4900	-3	157	-88	100591	0.61 
301.959	-0.2383	0.0708	0.8564	38.5132	-5.9814	-9.4604	-2.4225	18.1494	-14.9963	43.4900	3	158	-96	100590	0.61 
302.084	-0.2153	0.0356	0.6021	20.4468	0.9766	15.5640	1.1151	18.2922	-13.5406	43.4700	6	152	-109	100591	0.61 
302.178	-0.2373	0.1494	0.7954	10.8032	20.6299	13.9160	3.4167	19.2316	-11.4368	43.4700	15	150	-115	100590	0.61 
302.272	-0.2114	0.2026	1.2104	-21.4233	-15.4419	14.8315	4.1089	19.4897	-8.6792	43.4800	19	148	-116	100590	0.61 
302.382	-0.3662	-0.2603	0.8511	-23.4375	-28.4424	-24.4141	1.5436	19.1052	-9.1241	43.4800	27	150	-112	100590	0.61 
302.490	-0.2646	-0.0522	0.7515	-27.4658	-20.1416	-7.1411	-1.9006	18.6218	-11.5466	43.4800	24	154	-107	100590	0.61 
302.569	-0.2744	-0.1655	0.7314	-9.2163	-2.1973	-29.1138	-4.7955	17.8198	-12.8925	43.5000	18	161	-105	100589	0.61 
302.694	-0.2637	-0.1348	0.8433	-10.8643	12.7563	-7.4463	-6.3721	18.2373	-14.7491	43.4800	8	165	-102	100589	0.61 
302.787	-0.2207	-0.1826	1.1680	-2.1362	22.1558	-4.6387	-7.2015	19.4623	-14.4141	43.4800	8	167	-97	100589	0.61 
