20 steps
StartTime: 2017-07-14 13:50:30.215
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
152.385	-0.1675	-0.0781	1.0469	-0.0610	2.2583	-3.5400	-3.6584	10.2283	78.7280	43.4700	173	36	-105	100595	0.61 
152.464	-0.1987	-0.1284	1.0557	-0.5493	3.3569	-2.5635	-3.8342	10.4370	78.8928	43.4700	174	41	-105	100595	0.61 
152.589	-0.1860	-0.1382	1.0317	-0.4272	2.3804	-0.7324	-4.0045	10.4150	78.9423	43.4800	174	40	-105	100595	0.61 
152.667	-0.1440	-0.1660	1.0063	1.5259	4.6997	-0.7935	-4.1638	10.4095	79.0631	43.4700	171	39	-104	100595	0.61 
152.792	-0.1992	-0.1270	1.0322	7.3242	2.8687	8.3618	-3.8947	10.9314	79.2444	43.4600	173	41	-103	100595	0.61 
152.886	-0.1279	0.0566	1.1060	13.5498	-3.5400	5.9204	-2.4170	11.3434	79.9365	43.4600	176	38	-100	100595	0.61 
152.980	-0.1714	0.1455	0.9775	23.3765	10.0098	-4.3945	-0.4230	11.1127	79.4641	43.4800	175	33	-100	100595	0.61 
153.104	-0.0566	0.0918	0.9863	10.9863	18.8599	0.6714	1.7029	12.2827	79.5190	43.4800	178	31	-100	100595	0.61 
153.229	-0.0444	0.1274	1.0464	2.8687	7.8125	-1.7700	2.4774	13.2770	79.1949	43.4600	181	28	-98	100594	0.61 
153.276	-0.0132	0.0459	1.1128	-1.2817	0.7324	-6.6528	2.7081	12.8430	79.2883	43.4700	183	26	-91	100595	0.61 
153.448	-0.0400	0.2065	1.3101	-7.8125	-13.1226	-22.0337	2.3621	11.6400	77.6184	43.4900	187	32	-94	100595	0.61 
153.511	-0.3750	-0.0894	0.7661	-13.7329	-11.8408	-1.5259	1.0547	10.8710	76.3715	43.4700	183	43	-100	100596	0.61 
153.604	-0.2686	0.0098	0.8481	-27.2217	3.1128	21.7896	-0.9338	11.4148	76.4044	43.4700	183	40	-101	100596	0.61 
153.714	-0.1753	-0.1187	0.9741	-22.6440	16.2354	15.5029	-3.6365	12.9309	78.7939	43.4400	189	40	-98	100596	0.61 
153.808	-0.1060	-0.2793	0.9541	-1.2207	7.8125	-18.7988	-5.4547	13.4088	79.0466	43.4600	195	42	-95	100597	0.61 
153.933	-0.0669	-0.0430	1.1353	15.5029	-17.9443	1.8921	-5.2075	13.1122	77.8436	43.4500	195	43	-91	100596	0.61 
153.995	-0.1294	0.0796	1.6162	-1.9531	-29.9072	18.9209	-4.3945	10.8051	78.5413	43.4600	192	37	-95	100597	0.61 
154.120	-0.4595	0.0928	0.8032	-0.9766	-10.5591	-14.9536	-4.9219	9.4263	80.4639	43.4600	188	39	-104	100597	0.61 
154.214	-0.3096	-0.2959	0.8496	25.9399	13.9771	-49.3774	-4.2847	10.2942	78.6017	43.4300	189	43	-105	100597	0.61 
154.292	-0.1934	0.1108	0.9346	26.1841	10.3760	-37.0483	-1.5820	11.2445	73.1195	43.4400	189	50	-108	100597	0.61 
154.417	-0.0371	0.1899	0.9048	0.9155	-0.3662	-15.5029	0.0110	10.9039	70.1971	43.4500	184	54	-113	100597	0.61 
154.573	-0.1431	0.4048	1.3491	3.1128	-15.7471	-26.4893	-0.4559	9.3384	67.7527	43.4500	181	62	-117	100597	0.61 
154.651	-0.6133	-0.0762	0.9146	4.3945	-13.2446	-9.8877	0.2197	7.1027	65.8575	43.4400	176	65	-122	100596	0.61 
154.714	-0.2290	0.0581	0.9365	-21.1182	-1.7090	39.6729	0.0165	8.0640	68.9612	43.4100	173	63	-125	100595	0.61 
154.808	-0.1143	-0.0791	0.7378	-30.5786	8.6060	49.9268	-2.3895	8.6353	73.9325	43.4300	179	58	-121	100595	0.61 
154.933	-0.0293	-0.2358	0.8545	-8.3618	2.9907	28.7476	-4.5428	9.4812	78.8708	43.4300	191	50	-117	100595	0.61 
155.026	-0.1719	-0.2852	1.2231	7.9346	-21.4844	61.3403	-3.6365	9.1296	82.2931	43.4300	195	41	-115	100595	0.61 
155.136	-0.2422	0.1328	1.2070	-1.0986	-29.3579	43.3350	-2.9993	6.7017	84.6606	43.4300	190	30	-120	100595	0.61 
155.230	-0.2891	-0.0757	1.1108	6.7139	14.7095	-24.1089	-4.2188	7.9266	85.3912	43.4100	192	25	-125	100595	0.61 
155.324	-0.1787	0.0513	0.8340	40.8936	15.1367	-52.9175	-2.3840	9.5691	81.9250	43.4100	195	27	-124	100595	0.61 
155.433	-0.0659	0.2554	0.8804	15.6250	6.5308	-34.7900	0.4285	10.6293	76.4923	43.4200	193	38	-121	100595	0.61 
155.589	0.0259	0.0068	1.0420	-1.4038	-19.8975	-23.6816	0.7690	9.8053	74.1687	43.4200	197	46	-124	100595	0.61 
155.683	0.1597	-0.1143	1.4282	0.9155	-21.9727	-8.0566	1.2030	7.6959	73.2404	43.4200	192	48	-127	100595	0.61 
155.745	-0.3647	-0.2192	1.2676	-3.9063	7.5073	-0.1831	1.5985	8.1354	71.4771	43.4100	191	52	-130	100596	0.61 
155.839	-0.3115	-0.0391	0.6997	-39.3066	12.6343	27.7710	-0.1703	9.3713	72.4219	43.4200	191	50	-135	100596	0.61 
155.964	-0.0571	-0.3096	0.8271	-15.3198	4.8218	17.8833	-3.3124	10.9808	75.3113	43.4100	199	51	-128	100595	0.61 
156.042	-0.1084	0.1118	1.1147	13.2446	-14.2822	45.8374	-2.7356	10.8655	76.9812	43.4000	205	48	-123	100596	0.61 
156.136	-0.2559	0.4922	1.2617	-6.1035	-33.0200	56.8237	-1.7249	7.7399	78.7555	43.4100	207	38	-128	100596	0.61 
156.323	-0.2339	-0.1592	1.1123	-2.6245	21.4844	8.7891	-3.5596	7.5366	82.8754	43.4000	205	34	-139	100596	0.61 
156.370	-0.1543	0.1162	0.6885	30.7617	21.1182	-29.8462	-2.1808	9.7284	81.6669	43.3900	211	29	-134	100596	0.61 
156.433	-0.1113	0.1523	0.9370	12.2681	8.3618	-35.0952	0.0000	11.5796	78.3380	43.4000	211	30	-129	100596	0.61 
156.558	-0.0659	0.0269	1.1333	-4.5776	-19.7144	-19.8364	-0.1538	10.8765	75.3497	43.4000	209	42	-130	100596	0.61 
156.652	0.2183	-0.0693	1.3911	2.9297	-31.4941	-17.0288	0.0879	8.3771	73.9050	43.3900	207	49	-135	100597	0.61 
156.777	-0.4268	-0.0811	1.3657	2.9297	5.0659	27.5269	1.3293	8.3936	71.3232	43.3800	200	55	-144	100596	0.61 
156.902	-0.2661	-0.0205	0.7905	-42.3584	10.1929	49.8047	-0.1428	8.6627	74.4873	43.4100	197	54	-144	100596	0.61 
156.949	-0.1221	-0.3120	0.8457	-18.7988	0.4272	30.8228	-3.2465	9.8383	78.7335	43.3800	207	52	-136	100597	0.61 
157.073	-0.0166	0.0151	1.0786	10.0098	-13.7939	22.0337	-3.3838	9.4867	80.1288	43.3900	209	48	-135	100596	0.61 
157.214	0.1172	0.2510	1.4238	11.6577	-37.7197	-15.2588	-2.3730	6.6357	82.0898	43.3900	209	43	-137	100597	0.61 
157.277	-0.3687	-0.0767	1.0322	-11.2305	9.3994	-33.0811	-3.3069	5.2295	85.7922	43.3800	197	33	-144	100597	0.61 
157.386	-0.2319	-0.1606	0.8359	33.3252	24.7192	-67.8101	-2.7740	7.1356	83.0731	43.3900	200	34	-147	100597	0.61 
157.464	-0.0459	0.1675	0.8853	20.0806	4.9438	-40.9546	0.1703	8.4210	77.4921	43.3800	203	46	-143	100597	0.61 
157.589	0.0078	0.0981	1.0137	-8.5449	-14.4043	4.7607	0.8624	7.9431	75.5585	43.4000	198	53	-143	100597	0.61 
157.683	-0.0562	0.2861	1.3823	-1.0986	-13.1836	14.7705	0.9064	6.4490	74.5313	43.3900	193	58	-143	100597	0.61 
157.792	-0.3643	-0.0454	0.9102	4.3945	-4.5166	27.9541	1.8347	6.1414	72.5812	43.3800	184	62	-145	100597	0.61 
157.933	-0.2549	0.0181	0.8657	-29.1138	9.9487	18.9819	0.1593	6.9324	73.0701	43.3700	185	61	-148	100597	0.61 
157.995	-0.1333	-0.2026	0.9634	-18.1274	12.0850	22.1558	-2.5708	8.4375	75.3937	43.3600	189	63	-142	100597	0.61 
158.089	0.0571	0.0171	0.9248	6.4697	3.9063	14.7705	-3.3179	8.5968	76.9263	43.3700	189	61	-135	100597	0.61 
158.214	0.0215	-0.4258	1.4868	6.5308	-16.2964	-43.7012	-2.9828	7.5916	78.6237	43.3600	191	55	-133	100597	0.61 
158.277	-0.6763	-0.4214	0.9048	-42.3584	-19.9585	46.8140	-3.5046	5.6744	82.5787	43.3600	180	50	-135	100597	0.61 
158.417	-0.1211	-0.4312	0.8643	25.5127	19.5923	-20.6299	-4.2572	7.0862	83.7927	43.3700	182	43	-136	100597	0.61 
158.480	-0.1563	0.1992	0.8066	37.8418	12.4512	-56.3965	-0.7690	8.5968	78.2611	43.3400	181	46	-133	100598	0.61 
158.589	-0.0220	0.2974	0.9414	-6.9580	8.4229	-18.3105	1.0767	9.0253	73.6798	43.3500	179	53	-134	100598	0.61 
