StartTime: 2017-07-14 14:11:10.644
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
63.894	-0.0942	-0.0107	1.0244	-0.6714	2.0752	2.3193	-0.5988	6.0919	176.9183	45.4000	30	-176	-147	100545	0.65 
64.020	-0.0864	-0.0259	1.0532	-0.8545	1.5869	2.4414	-0.6372	6.2238	177.0117	45.4000	26	-172	-145	100545	0.65 
64.129	-0.0640	-0.0269	1.0332	-1.9531	3.6011	3.4790	-0.8020	6.0919	177.0007	45.4100	25	-172	-146	100545	0.65 
64.223	-0.1060	-0.0791	1.0356	0.1221	4.6387	-2.0752	-1.0767	6.3171	177.0667	45.4000	28	-172	-148	100545	0.65 
64.317	-0.1030	-0.0669	0.8916	-2.8687	3.2959	-23.6206	-1.6754	6.6083	175.3912	45.4200	31	-175	-148	100544	0.65 
64.395	-0.2979	0.1929	1.1030	-4.0894	21.6064	29.9072	-1.6479	9.1461	175.3693	45.4000	41	-171	-146	100544	0.65 
64.520	-0.0649	0.1719	0.9478	11.1694	-4.8218	-23.9868	-1.5656	8.7451	174.9628	45.4100	40	-172	-146	100545	0.65 
64.629	-0.1226	0.0571	0.9810	-2.5024	-7.9346	-7.6294	-0.8075	8.8824	174.0454	45.4200	38	-174	-145	100544	0.65 
64.708	0.1572	0.1362	0.6440	-1.6479	-16.0522	-59.2651	-2.2247	5.8612	170.6232	45.4200	38	-173	-147	100544	0.65 
64.848	-0.1143	-0.0005	1.0557	-7.8735	-2.0752	12.7563	-3.1311	3.6694	168.0084	45.4000	41	-167	-151	100544	0.65 
64.911	-0.1846	0.0361	1.4858	-4.1504	-27.6489	13.3057	-1.8622	7.1466	171.0022	45.4100	36	-170	-152	100544	0.65 
65.036	0.2417	-0.1655	0.4424	-7.5684	-8.2397	-14.4043	-3.8782	4.4440	172.4579	45.4100	22	-170	-153	100544	0.65 
65.145	0.1226	-0.1563	0.4678	-6.5918	-7.5073	50.4761	-4.2572	5.6854	175.4187	45.4100	16	-168	-154	100544	0.65 
65.239	0.4976	-0.5630	0.5117	16.8457	-28.1372	27.0386	-4.5923	3.7573	-179.8846	45.4000	-6	-170	-154	100544	0.65 
65.332	-0.4731	-0.2085	1.9307	-2.7466	11.7188	-14.7705	-3.1146	3.7793	178.6981	45.4100	-14	-176	-147	100544	0.65 
65.442	-0.0786	0.3848	1.4702	27.8931	-3.7231	-28.3203	-2.0709	3.0872	174.3695	45.4100	-8	-183	-145	100545	0.65 
65.536	-0.0498	-0.1108	0.6382	-5.2490	10.0708	4.2725	-1.1755	1.9501	175.0507	45.3900	-2	-185	-142	100545	0.65 
65.676	-0.1436	-0.0615	0.7588	1.2817	-0.6714	-27.6489	-1.9226	4.4275	173.2709	45.4000	3	-185	-135	100545	0.65 
65.754	-0.1074	-0.1392	0.6338	-16.4185	-0.4883	-16.9678	-1.4227	2.4774	169.9036	45.3900	15	-187	-136	100546	0.65 
65.833	-0.3135	-0.1924	2.1113	7.7515	31.6772	-21.8506	-1.7084	6.6412	171.8756	45.4000	18	-188	-134	100546	0.65 
65.926	0.0518	-0.1382	0.8618	0.6104	-25.4517	-29.9683	-2.3456	4.6143	171.2604	45.3800	15	-189	-136	100546	0.65 
66.067	0.0366	-0.1040	0.2559	-2.8076	-17.5171	17.5781	-1.9501	2.1698	171.7548	45.3900	14	-187	-132	100547	0.65 
66.146	-0.0532	-0.2383	0.8906	-10.0708	-16.5405	28.0151	-2.5818	1.1426	174.2487	45.3600	6	-189	-130	100547	0.65 
66.254	0.3027	0.6641	1.2646	-4.2725	10.4980	-12.2681	-4.2352	1.3568	172.8644	45.3800	2	-185	-135	100548	0.65 
66.379	0.1548	0.3604	1.3530	-2.0142	13.9771	43.5791	-4.2572	1.4063	176.1932	45.3800	-1	-184	-138	100549	0.65 
66.458	-0.1328	-0.0557	0.3325	9.9487	45.1660	-1.2817	-3.7628	2.1313	179.9945	45.3800	-15	-186	-133	100549	0.65 
66.583	0.0620	0.0840	0.4360	3.8452	0.5493	-29.9072	-3.3728	3.3014	178.5883	45.3800	-7	-188	-134	100550	0.65 
66.661	-0.6953	0.5205	2.4712	27.9541	88.0737	0.4883	-3.0322	6.9653	174.7760	45.3700	11	-188	-131	100550	0.65 
66.771	0.4224	-0.4023	0.9990	-5.6152	-10.1929	-40.4053	-3.9001	5.5426	177.0282	45.3700	17	-188	-125	100551	0.65 
66.880	-0.0654	0.1841	0.2817	-13.8550	-2.3193	31.4941	-3.8837	5.2625	175.6824	45.3600	23	-185	-124	100551	0.65 
66.958	-0.0996	-0.1348	0.6255	-14.9536	-8.6670	56.7627	-4.4659	4.9768	-179.2090	45.3500	16	-181	-130	100552	0.65 
67.098	-0.7368	0.1748	2.6128	-9.0942	42.1143	-3.4790	-4.8779	8.5199	-177.8412	45.3600	9	-180	-126	100552	0.64 
