StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
457.175	-0.2354	0.0186	1.0190	-1.0986	-0.2441	0.2441	0.8624	11.0468	84.2267	44.6800	203	23	-73	100559	0.64 
457.285	-0.2261	0.0303	1.0068	-2.7466	-1.5259	3.7231	0.7361	10.9918	84.1992	44.6900	202	23	-72	100559	0.64 
457.379	-0.2271	0.0029	1.0142	-1.4038	-2.9907	3.1738	0.6152	10.8545	84.5178	44.7000	201	21	-68	100559	0.64 
457.488	-0.2368	0.0254	1.0083	-0.3662	-5.9204	-0.7935	0.5603	10.4755	84.4684	44.6900	205	21	-69	100559	0.64 
457.597	-0.2300	0.0229	1.0171	-0.9766	-10.3149	1.2817	0.5328	9.8053	84.3585	44.6800	202	21	-76	100559	0.64 
457.675	-0.2080	0.0068	1.0156	-1.7700	-18.0054	-0.3052	0.4230	8.5968	84.4080	44.6800	203	24	-80	100559	0.64 
457.785	-0.2114	0.0029	1.0337	-1.5259	-21.1792	-3.1128	0.2527	6.8555	84.0619	44.7000	199	25	-84	100559	0.64 
457.910	-0.2114	0.0146	1.0342	-0.7935	-28.4424	-5.7373	0.1538	4.6857	83.3423	44.7000	193	26	-90	100559	0.64 
458.003	-0.1660	0.0146	1.0122	-0.4272	-39.1235	-0.8545	0.1263	1.5546	82.7820	44.7100	179	28	-100	100559	0.64 
458.113	-0.1436	-0.0088	0.9966	-1.3428	-45.2271	-2.0142	0.0110	-2.2412	82.5458	44.7000	171	26	-111	100558	0.64 
458.191	-0.1670	0.0044	0.9248	-0.2441	-58.4717	-2.0752	-0.0110	-6.5479	82.1832	44.7000	160	28	-122	100558	0.64 
458.300	-0.0713	0.0679	0.7427	9.0942	-67.5049	-6.6528	0.5164	-12.0685	81.6229	44.7000	137	32	-139	100558	0.64 
458.394	0.0000	-0.0288	0.3438	5.0049	-86.4258	-2.0752	1.3568	-19.0173	80.5133	44.7000	111	27	-153	100557	0.64 
458.519	0.0850	-0.1396	0.1006	17.8223	-76.9043	27.9541	1.1316	-27.2461	82.0624	44.7000	82	25	-168	100557	0.64 
458.613	0.6387	0.0039	0.3320	21.2402	-75.9888	-91.9189	0.4285	-37.4908	85.4462	44.7000	53	14	-181	100556	0.64 
458.722	3.8447	0.4307	1.1611	-2.8687	-250.1831	-6.2256	-2.0654	-57.6837	88.6816	44.6800	9	7	-187	100557	0.64 
458.894	0.6836	-0.0044	-0.1748	11.9019	-73.9746	0.0000	-2.8400	-72.6801	89.3683	44.6700	-56	12	-173	100559	0.64 
458.957	0.5674	-0.1274	-0.1016	13.8550	-81.7261	-39.6118	1.1591	-77.1460	86.9293	44.6700	-80	5	-167	100559	0.64 
459.003	1.1050	0.2051	-0.2271	0.6104	-12.6953	-4.9438	10.0250	-81.1450	78.2391	44.6200	-94	1	-156	100559	0.64 
459.160	1.3154	0.2568	0.0234	-5.2490	114.8682	8.9111	10.7831	-78.1238	77.6294	44.6400	-96	-1	-157	100560	0.64 
459.222	0.4365	-0.2827	0.6016	-40.8325	81.1157	51.1475	-5.0427	-66.9122	90.6207	44.6200	-63	4	-173	100560	0.64 
459.347	0.3335	0.0513	0.7085	1.3428	10.7422	-4.9438	-3.5541	-65.1160	88.1873	44.6200	-48	15	-175	100560	0.64 
459.503	0.9639	-0.0801	0.5498	2.5635	-29.0527	1.4648	-4.3286	-65.8411	88.9069	44.6100	-45	17	-175	100560	0.64 
459.550	0.9668	0.1055	0.2021	9.8267	-14.6484	2.7466	-3.5321	-69.2029	88.7640	44.6300	-52	12	-173	100561	0.64 
459.660	0.9927	0.0669	0.2754	-5.9204	26.0010	1.5869	-1.9336	-68.8623	87.0721	44.6300	-57	12	-173	100561	0.64 
459.754	0.8799	-0.0396	0.4653	-7.2021	8.3618	2.9907	-3.5651	-67.2638	87.7478	44.6200	-50	14	-175	100561	0.64 
459.894	0.9121	0.0103	0.4697	2.1362	-10.3149	1.9531	-4.8285	-66.8628	88.8409	44.6100	-52	19	-175	100561	0.64 
459.972	0.9189	-0.0200	0.3057	5.4321	-0.9766	-3.8452	-4.3451	-67.6373	88.7311	44.6300	-52	14	-175	100562	0.64 
460.129	0.9648	0.0103	0.3413	0.5493	2.8076	-0.2441	-3.5156	-67.8296	88.0994	44.6200	-48	14	-174	100561	0.64 
460.207	0.9551	0.0317	0.3813	1.2817	5.4932	-9.8877	-3.1366	-67.1814	87.6599	44.6100	-51	16	-177	100561	0.64 
460.300	0.9370	0.0493	0.4243	1.5869	-0.4883	-0.4272	-1.6479	-66.9397	86.0504	44.6300	-47	13	-177	100561	0.64 
460.394	0.9565	0.0298	0.3472	0.8545	-4.8828	4.0283	-1.4996	-67.1869	86.0175	44.6100	-50	12	-176	100561	0.64 
460.488	1.0054	0.0308	0.3340	-0.7935	-0.6714	0.2441	-2.5818	-67.6593	87.3029	44.6300	-49	12	-173	100561	0.64 
460.598	0.9360	-0.0186	0.4443	0.7935	1.1597	1.4648	-2.9828	-67.5659	87.6489	44.6400	-47	10	-177	100561	0.64 
460.738	0.8970	0.0508	0.3984	3.1128	1.1597	3.1738	-2.4774	-67.3517	87.2479	44.6200	-52	15	-173	100561	0.64 
460.816	0.9448	0.0127	0.4165	3.6621	0.8545	1.7090	-2.2137	-67.0935	87.3523	44.6300	-49	11	-175	100561	0.64 
460.925	0.9326	-0.0234	0.3271	-6.4697	-2.2583	12.1460	-2.4774	-67.5330	87.6434	44.6400	-51	10	-178	100561	0.64 
461.020	0.8604	-0.0073	0.3555	0.9766	-9.6436	8.6670	-3.3179	-67.6538	88.6871	44.6400	-52	12	-173	100561	0.64 
461.144	0.9424	0.0234	0.3906	2.3193	1.0376	-3.0518	-3.1036	-67.8790	88.5883	44.6400	-55	10	-171	100561	0.64 
461.238	0.9019	-0.0132	0.4277	-7.7515	11.8408	11.5356	-2.7301	-68.0164	87.8687	44.6400	-54	12	-173	100561	0.64 
461.347	0.8828	0.0439	0.4565	-2.1362	1.1597	3.7231	-2.1423	-67.5330	87.2205	44.6300	-51	9	-176	100561	0.64 
461.426	0.9136	0.0205	0.4331	-0.6714	-3.4790	3.8452	-2.3840	-67.7252	87.4622	44.6500	-51	10	-175	100561	0.64 
