StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
399.176	-0.2139	0.0166	0.9736	-1.6479	1.4648	-0.1831	-0.6207	11.1731	167.7942	44.5400	59	-160	-95	100556	0.64 
399.270	-0.2051	0.0293	1.0044	-1.8311	-0.3052	-2.3193	-0.6757	11.4148	167.7393	44.5500	55	-158	-96	100557	0.64 
399.380	-0.1782	0.0840	0.9834	-11.4136	-3.2349	1.6479	-1.0217	11.1456	167.3712	44.5400	57	-161	-96	100556	0.64 
399.489	-0.1768	0.0132	1.0215	-20.7520	-5.4932	-0.3052	-2.3676	10.7227	167.6184	44.5300	58	-155	-102	100556	0.64 
399.614	-0.1772	0.0371	1.0127	-24.5972	-4.3945	-17.8833	-4.5758	10.0745	166.5363	44.5400	57	-149	-109	100556	0.64 
399.677	-0.1714	0.0381	0.9473	-38.2690	-6.8970	-28.8696	-7.5696	9.2560	164.3665	44.5500	59	-143	-113	100556	0.64 
399.864	-0.1011	0.0220	0.9023	-63.8428	-12.1460	-41.6260	-12.2937	7.5586	161.2134	44.5300	62	-132	-125	100556	0.64 
399.911	-0.1909	-0.0776	0.5171	-70.4956	-2.4414	-41.9922	-18.8965	5.8942	157.7637	44.5000	67	-110	-143	100555	0.64 
399.973	-0.0439	0.0903	0.2026	-67.5659	13.5498	-55.2368	-24.2963	3.9221	151.0236	44.4900	75	-89	-154	100556	0.64 
400.114	0.2207	0.0083	0.4399	-42.6025	11.9629	-9.4604	-30.4486	5.1086	146.8927	44.4700	83	-64	-159	100556	0.64 
400.239	-0.7017	-0.8721	1.7598	-160.1563	-1.2817	-114.8682	-38.9246	2.3950	138.4991	44.4500	95	-47	-159	100556	0.64 
400.302	1.2896	-2.8120	-0.3823	-247.2534	-168.8843	17.8223	-66.5662	-9.3933	143.0200	44.4200	76	24	-165	100557	0.64 
400.473	0.1396	-0.6602	-0.2437	-121.4600	-16.3574	72.8760	-85.1825	-7.5256	149.1779	44.3800	56	87	-148	100558	0.64 
