StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
372.804	-0.1929	-0.0615	1.0103	3.9673	-3.7231	-3.8452	-1.4392	10.2393	-6.7401	44.6400	0	142	-105	100556	0.64 
372.961	-0.2402	0.0425	0.9956	9.5825	8.6670	-1.6479	-0.9723	10.6238	-7.6300	44.6700	0	142	-107	100556	0.64 
373.039	-0.2373	-0.1484	0.9951	1.8311	3.3569	7.0801	-0.6427	11.4258	-7.1906	44.6700	1	140	-112	100556	0.64 
373.117	-0.1748	-0.0522	1.0405	13.7329	-3.4180	5.0049	-0.0220	11.2555	-6.8939	44.6600	2	137	-114	100557	0.64 
373.211	-0.1875	-0.0898	0.9980	17.7002	-7.9346	12.7563	1.5436	10.4590	-6.0205	44.6600	3	133	-118	100557	0.64 
373.367	-0.1855	-0.0630	0.9590	28.0151	-4.2725	20.7520	3.7079	9.8822	-4.8285	44.6800	2	131	-120	100557	0.64 
373.461	-0.1938	-0.0601	0.9204	40.2222	-10.1318	27.7710	6.9489	9.0527	-2.7631	44.6500	8	126	-130	100557	0.64 
373.492	-0.1494	-0.0479	0.7939	60.2417	-12.6343	31.6162	11.6345	7.5201	-0.3516	44.6700	11	112	-142	100557	0.64 
373.617	-0.1758	0.0044	0.4990	89.6606	-7.9956	26.4893	18.4570	6.2073	1.3623	44.6300	13	94	-157	100557	0.64 
373.726	-0.0933	0.1787	0.1084	117.5537	30.3345	7.2632	27.8833	7.5037	2.2137	44.6200	14	70	-170	100557	0.64 
373.789	-0.6060	0.7676	0.3687	95.5811	102.5391	20.2026	40.7428	11.8707	6.3666	44.6200	32	36	-176	100557	0.64 
373.976	0.4487	2.7046	1.1011	175.1099	20.8130	366.8823	56.5027	1.1755	21.0773	44.6000	58	-4	-173	100557	0.64 
374.039	0.4233	2.3564	-0.1934	90.2100	-72.3267	77.8809	76.3989	-24.3347	22.0880	44.5500	29	-73	-155	100558	0.64 
374.180	0.5884	0.1016	0.2134	18.0664	-46.2036	86.3647	80.9637	-33.3160	17.3749	44.5300	-10	-100	-146	100559	0.64 
374.258	0.3784	0.3911	0.0483	-33.5083	14.7095	53.6499	83.0621	-41.8304	14.9634	44.5500	-38	-100	-144	100559	0.64 
374.387	0.7778	0.7144	0.2104	-50.6592	24.2310	27.7100	76.4099	-45.2637	18.3472	44.5200	-45	-87	-150	100560	0.64 
374.450	0.7935	0.6611	0.5713	-9.7656	-14.3433	17.7002	70.2740	-47.2852	22.3846	44.5200	-45	-75	-157	100561	0.64 
374.591	0.4717	0.6465	0.3438	-17.3950	2.8076	0.7324	69.1315	-48.2520	22.4780	44.5100	-50	-67	-160	100561	0.64 
374.653	0.8906	0.4912	0.2178	-17.1509	11.7798	-6.4697	66.7365	-48.0652	23.5272	44.4800	-50	-58	-164	100561	0.64 
374.763	0.5459	0.6118	0.4297	-11.1084	13.2446	-19.6533	63.5944	-45.4999	26.0156	44.4700	-42	-57	-164	100562	0.64 
374.856	0.7578	0.7666	0.4189	-6.6528	-0.3662	-42.1753	63.7756	-42.5610	24.7192	44.4800	-34	-55	-172	100563	0.64 
374.981	0.7700	0.6563	0.3618	-1.7700	-18.8599	-31.9824	64.0778	-39.0234	23.1097	44.4700	-27	-56	-168	100563	0.64 
375.076	0.5171	0.7383	0.3203	13.7939	-21.2402	-0.3662	65.1489	-37.9962	21.6980	44.4600	-27	-55	-170	100563	0.64 
375.200	0.5898	0.7456	0.2764	12.8174	-10.0098	8.9111	67.5659	-38.8916	20.0006	44.4600	-31	-59	-168	100563	0.64 
375.294	0.6987	0.7529	0.2065	3.7231	0.2441	12.5122	68.6810	-40.0122	19.8303	44.4500	-33	-60	-165	100564	0.64 
375.403	0.7671	0.4912	0.1606	-10.1318	10.4370	14.8315	68.3020	-42.1820	20.3137	44.4600	-38	-62	-163	100564	0.64 
375.498	0.6577	0.6919	0.3628	-6.4697	5.8594	5.9814	66.1322	-42.6270	22.3682	44.4700	-38	-59	-164	100564	0.64 
375.606	0.6060	0.6738	0.3359	-7.8735	0.4272	10.1929	64.9896	-42.5226	22.8790	44.4700	-32	-55	-167	100564	0.63 
375.731	0.6489	0.6611	0.3589	0.5493	0.8545	10.9863	64.0283	-43.2422	23.7524	44.4600	-37	-55	-167	100564	0.63 
375.829	0.7065	0.6392	0.3052	0.2441	-3.4180	6.6528	63.8416	-44.1376	24.1370	44.4700	-36	-54	-167	100564	0.63 
375.907	0.7339	0.6782	0.3315	-1.6479	0.3052	6.9580	63.7646	-44.6704	24.2908	44.4600	-34	-54	-166	100564	0.63 
