StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
517.728	-0.1523	0.0244	1.0220	-0.6104	1.0986	1.7700	0.9229	8.6023	98.7616	44.5300	270	-34	-91	100553	0.64 
517.807	-0.1636	0.0156	1.0317	-0.1221	-0.1221	1.7090	0.9338	8.6188	98.9264	44.5300	270	-37	-91	100553	0.64 
517.947	-0.1660	0.0234	1.0283	-0.1831	-0.6104	0.5493	0.9448	8.6188	98.9154	44.5500	271	-34	-92	100553	0.64 
518.025	-0.1533	0.0249	1.0186	-0.0610	-0.1221	0.1831	0.9613	8.5529	98.8385	44.5300	271	-37	-94	100552	0.64 
518.150	-0.1509	0.0225	1.0127	0.6714	0.9155	-0.8545	1.0107	8.5748	98.7561	44.5500	271	-34	-90	100553	0.64 
518.244	-0.1582	0.0303	0.9980	0.6714	4.3335	1.7090	1.1261	8.7671	98.7836	44.5400	270	-37	-92	100553	0.64 
518.353	-0.2671	0.0840	0.9517	1.0376	20.2026	0.1221	1.3348	10.0854	98.8770	44.5500	270	-40	-89	100553	0.64 
518.431	-0.1069	-0.0547	0.4961	-1.2817	39.5508	-2.0752	1.2195	13.1561	99.0582	44.5500	275	-37	-81	100553	0.64 
518.556	-0.2388	0.1777	0.4800	22.7661	30.5176	5.4321	2.6422	18.3032	99.4757	44.5400	284	-39	-57	100553	0.64 
518.665	-0.2124	-0.0488	0.4717	3.1738	62.5000	2.8687	4.5209	24.4720	101.7938	44.5600	292	-47	-33	100554	0.64 
518.759	-0.2886	-0.0146	0.6816	9.7656	59.9976	-2.1973	5.2075	31.2122	103.0573	44.5300	297	-54	7	100554	0.64 
518.853	-0.5015	0.1343	0.8003	10.9863	35.9497	-17.8223	5.4108	37.3590	102.1344	44.5400	300	-54	36	100555	0.64 
518.978	-0.5493	0.0107	0.7490	-0.3662	3.0518	-7.7515	4.4879	39.6002	99.5581	44.5500	302	-45	56	100556	0.64 
519.057	-0.8784	0.1001	0.9370	-10.4980	16.2964	-14.9536	3.1091	40.3308	97.7179	44.5300	301	-39	55	100556	0.64 
519.181	-0.9980	0.0703	1.1030	-3.8452	8.2397	23.4985	3.2849	40.7043	99.5087	44.5300	294	-43	61	100556	0.64 
519.322	-0.7383	0.0771	0.9287	-10.1318	-19.7144	-0.8545	3.1805	40.3363	100.7391	44.5200	287	-51	66	100558	0.64 
519.385	-0.7979	0.0757	0.7861	-0.1221	-15.3809	2.8076	3.1860	39.0179	101.3324	44.5100	285	-54	66	100558	0.64 
519.541	-0.4897	-0.0137	0.7686	3.6621	13.7939	-3.6621	3.5541	39.3860	101.6455	44.4900	288	-54	63	100558	0.64 
519.619	-0.6240	0.0518	0.7539	6.4087	3.2349	2.6855	3.8452	40.1660	101.4148	44.4900	288	-55	63	100559	0.64 
519.759	-0.6543	0.0762	0.7153	7.3242	0.2441	5.7373	4.8175	40.2539	101.7993	44.5000	286	-54	66	100559	0.64 
519.837	-0.7388	0.1309	0.8340	11.3525	-5.0659	15.8691	6.9269	40.3857	103.6066	44.5000	286	-59	70	100560	0.64 
519.932	-0.7573	0.0854	0.8242	-2.4414	4.5166	1.6479	7.9047	39.8969	104.5734	44.5200	285	-59	70	100560	0.64 
520.041	-0.8398	0.1377	0.9063	3.1128	25.8789	2.6855	8.3936	41.7535	105.3809	44.5000	287	-62	72	100560	0.64 
520.166	-1.0757	0.2344	1.3745	1.6479	51.0864	17.3950	9.7009	45.0220	106.9299	44.5000	291	-60	83	100560	0.64 
520.244	-1.1509	0.2754	1.3013	10.2539	17.3950	-2.5024	10.2942	48.6255	107.3749	44.5000	292	-62	99	100560	0.64 
520.384	-1.0444	0.0161	1.1646	-0.2441	-16.2354	-14.4653	8.5419	47.8455	104.5294	44.4600	301	-53	108	100560	0.64 
520.478	-0.7300	0.0635	0.5088	10.7422	-278.7476	-25.6958	5.3503	35.9967	100.4919	44.4500	310	-44	78	100560	0.64 
520.572	-0.2993	0.3276	0.0991	-5.7373	111.0229	-23.1934	9.2120	17.2650	96.3831	44.4100	299	-27	-34	100559	0.64 
520.697	0.0054	0.0654	-0.6489	-6.8970	-37.4756	-36.0107	7.4268	10.8875	93.8507	44.3800	289	-18	-77	100558	0.64 
520.775	0.0381	-0.0635	-0.1055	-20.6909	37.5977	14.6484	7.3334	13.7164	94.0210	44.3700	287	-14	-83	100557	0.64 
520.885	-0.2954	0.0503	0.0073	-12.0850	78.2471	21.7285	7.0642	20.0720	94.7626	44.3600	300	-19	-59	100556	0.64 
520.994	-0.9238	-0.0757	0.4478	2.9297	139.0991	11.5967	13.4967	29.7290	99.0967	44.3700	318	-35	-8	100555	0.64 
521.119	-0.5420	0.2295	1.0396	35.3394	-280.5176	-42.1143	15.3424	43.6926	101.0138	44.3300	313	-36	82	100555	0.64 
521.213	-1.0835	0.0000	1.4595	2.9297	-84.8389	-0.7324	13.3594	42.4457	96.7346	44.2800	313	-22	84	100555	0.64 
521.322	-0.2837	0.0439	0.2373	-11.7188	-85.6323	32.2266	13.1177	31.5308	96.4435	44.2500	315	-23	47	100555	0.64 
521.416	-0.6602	-0.0327	0.6362	-3.6011	-49.7437	16.9678	12.0190	26.4935	98.1134	44.2300	315	-35	11	100555	0.64 
521.510	-0.3560	-0.1030	0.7422	-2.6855	-31.3721	3.7231	11.5082	22.9230	98.9044	44.2600	309	-42	-7	100555	0.64 
521.634	-0.5327	0.0269	1.0005	2.3193	-7.8735	-4.5776	10.9534	23.2196	98.7891	44.2400	305	-45	-18	100554	0.64 
521.713	-0.4404	0.0776	0.9150	1.8921	8.0566	-3.9673	10.4535	22.6263	98.2617	44.2600	309	-41	-18	100554	0.64 
521.838	-0.3618	0.0371	0.9102	0.7935	-4.8828	-2.5024	10.0140	22.9010	98.3331	44.2800	308	-41	-20	100554	0.64 
521.916	-0.4199	0.0156	0.9590	-2.1362	-3.1738	8.4839	9.6075	22.7307	98.6682	44.2600	303	-40	-18	100554	0.64 
522.041	-0.4365	0.0264	0.9434	-1.8311	-2.9907	4.1504	9.1406	22.5275	99.0582	44.2700	302	-41	-20	100554	0.64 
