StartTime: 2017-07-14 14:11:10.644
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
98.130	-0.1270	-0.0034	1.0181	0.4272	-0.9155	-1.2207	-0.6976	7.0972	-5.9930	45.7100	-9	143	-70	100565	0.63 
98.208	-0.1279	0.0186	1.0527	3.7842	0.3052	-3.2959	-0.4065	7.0258	-6.3446	45.7100	-9	145	-71	100565	0.63 
98.302	-0.0684	0.0791	1.0254	0.9766	-1.4648	2.6855	0.0659	6.6577	-6.3666	45.7100	-6	145	-71	100564	0.63 
98.380	-0.0801	0.1030	1.0254	-3.1738	1.1597	8.6060	0.2802	6.3666	-5.8337	45.7400	-9	144	-73	100564	0.63 
98.505	-0.1025	-0.2065	0.8872	0.8545	18.4937	-0.4883	-0.0330	7.1411	-4.8724	45.7200	-5	149	-67	100564	0.64 
98.662	-0.2808	-0.0269	1.2471	-6.0425	13.3667	-7.9956	-0.3186	10.2393	-6.2567	45.7200	-3	145	-71	100564	0.63 
98.740	-0.1099	-0.0859	1.0122	-14.8315	2.5635	6.3477	-1.7798	10.4810	-6.0315	45.7300	-4	144	-68	100564	0.63 
98.818	-0.1836	-0.0313	1.0073	-8.1177	9.4604	3.2959	-2.9993	11.6840	-5.9326	45.7300	-1	149	-64	100564	0.63 
98.897	-0.1553	-0.1045	1.2671	-0.9766	-9.5215	-2.9297	-3.5211	11.8927	-5.5536	45.7300	4	151	-63	100564	0.64 
98.990	-0.1831	-0.1914	1.2412	5.6152	-27.8931	26.1230	-3.2520	10.2063	-3.8507	45.7300	7	151	-61	100564	0.63 
99.115	-0.0571	0.2632	0.5742	10.9253	10.1929	42.5415	-2.1149	10.0525	-3.2794	45.7300	12	149	-66	100564	0.64 
99.224	0.0195	0.1528	0.4849	19.1040	-5.6152	-0.4272	-0.0989	10.6732	-2.2577	45.6900	17	149	-73	100564	0.64 
99.287	-0.2271	-0.0845	0.7798	9.5825	35.2783	14.8315	1.8512	12.6343	-0.3296	45.6700	23	146	-81	100563	0.64 
99.397	-0.4678	0.1494	1.5269	-5.1880	8.5449	23.0103	2.3236	14.9689	-0.5054	45.6700	29	146	-80	100563	0.64 
99.537	-0.2871	0.0884	1.3101	1.8921	43.9453	11.1694	1.8018	13.2166	1.2909	45.6600	33	144	-83	100563	0.64 
99.599	-0.3306	0.0229	1.2412	-17.4561	6.2256	-18.9819	0.9943	14.6997	-0.2637	45.6700	34	146	-86	100563	0.64 
99.740	-0.1094	-0.0322	0.4058	-13.7939	-15.7471	-13.2446	-0.7471	12.8320	-1.1206	45.6500	31	150	-87	100563	0.64 
99.787	-0.2051	0.0840	0.8521	6.8970	9.0332	-9.2773	-1.9720	13.8922	-2.8400	45.6800	29	150	-86	100562	0.64 
99.912	-0.3843	-0.2378	1.7310	-4.6997	-5.0049	-2.3193	-2.3895	14.3646	-2.0544	45.6500	29	151	-83	100562	0.64 
100.006	-0.9082	0.1030	1.0933	-1.3428	0.3662	14.7095	-2.2906	12.6343	-1.5326	45.6500	28	148	-83	100562	0.64 
100.115	-0.2290	-0.1538	1.0796	9.5215	-16.2964	5.8594	-0.5273	13.3704	0.2252	45.6400	33	153	-90	100561	0.64 
100.209	-0.1670	0.1548	0.4243	7.5684	23.8647	25.0244	1.3293	13.2605	0.6042	45.6500	31	154	-99	100560	0.64 
100.334	-0.1147	0.1162	0.9746	12.1460	30.3345	-3.5400	2.1973	16.0510	2.3401	45.6500	40	149	-100	100560	0.64 
100.412	-0.4082	0.2305	1.6489	5.4321	-7.2021	-10.5591	3.9331	18.2373	2.2852	45.6500	49	143	-105	100560	0.64 
100.491	-0.3032	-0.2114	0.6362	10.2539	-53.9551	-28.4424	4.1144	16.5399	1.4832	45.6300	45	146	-109	100559	0.64 
100.615	-0.4429	0.0239	0.7456	-10.6812	-52.6733	48.8892	3.3948	15.4468	1.6534	45.6400	38	148	-114	100559	0.64 
100.709	-0.2627	0.1035	0.5405	0.0000	24.6582	-16.5405	1.5985	14.3481	2.9388	45.6100	45	150	-117	100559	0.64 
100.803	-0.1855	-0.1382	1.2773	-14.0381	21.5454	-4.5166	0.3955	15.6830	2.8400	45.6300	42	154	-113	100558	0.64 
100.928	-0.1831	-0.1167	1.4580	8.7891	-30.3345	-20.0806	-0.5603	15.4138	1.8127	45.6100	42	157	-111	100558	0.64 
101.006	-0.2451	0.0659	0.7490	3.4790	-39.3677	40.8936	-0.3461	14.1174	2.0819	45.6200	38	159	-107	100558	0.64 
101.115	-0.2041	-0.0469	0.5483	15.9912	-16.7847	-0.6104	1.1975	13.3099	3.7958	45.6000	45	158	-114	100558	0.64 
101.224	-0.2041	0.0522	0.5503	6.1035	23.4985	18.9209	3.7463	14.0240	4.4165	45.5700	42	155	-124	100558	0.64 
101.318	-0.2715	0.3062	1.5195	17.0288	23.8647	-5.1880	4.8669	17.0618	5.1471	45.5800	51	153	-122	100557	0.64 
101.412	-0.1914	-0.0996	0.9712	-9.0332	-25.5127	-27.5269	4.4330	15.4907	6.6687	45.5700	55	152	-125	100558	0.64 
101.506	-0.3242	0.3232	1.0732	-15.0146	2.0752	-42.0532	2.9553	15.6995	1.8567	45.5600	45	154	-128	100557	0.64 
101.615	-0.0518	-0.1494	0.3823	-23.3765	-7.1411	-34.9121	-0.0220	15.0458	-0.4614	45.5700	37	158	-124	100556	0.64 
101.724	-0.1328	-0.0811	0.7715	-10.9253	24.5972	-12.5732	-2.0435	16.7157	-2.9938	45.5800	31	164	-120	100556	0.64 
101.803	-0.4946	-0.1484	1.7651	-3.0518	27.4048	-1.5869	-3.1256	20.1215	-3.8342	45.5800	32	163	-116	100556	0.64 
101.913	-0.7393	0.1406	1.1152	-3.7231	17.4561	55.8472	-2.4390	18.6273	-2.5323	45.5600	34	162	-113	100556	0.64 
102.021	-0.4766	-0.0630	1.1299	3.8452	-6.5308	25.5127	-1.2689	18.3691	1.9061	45.5700	45	167	-110	100555	0.64 
102.115	-0.0259	0.0601	0.4966	8.6060	-4.1504	13.3057	0.4065	16.2213	3.4827	45.5600	48	163	-119	100556	0.64 
102.240	-0.4497	0.0029	1.1279	14.4653	45.8984	6.4087	2.2083	18.5284	5.0757	45.5400	58	163	-122	100555	0.64 
102.318	-0.3105	-0.0742	1.4077	-8.4839	-28.1372	13.8550	3.2904	19.3524	6.4655	45.5500	67	160	-123	100555	0.64 
102.413	-0.3101	-0.0469	0.9292	-2.1973	-44.9219	-33.7524	2.4884	16.1060	4.8724	45.5500	67	163	-122	100555	0.64 
102.537	-0.1904	0.1338	0.4385	-30.7007	-16.6016	12.6343	1.1591	14.0900	2.9718	45.5500	51	165	-127	100554	0.64 
102.631	-0.1851	-0.1328	0.5391	-9.5215	25.3296	-4.6997	-2.5598	14.6558	3.4662	45.5400	54	174	-121	100554	0.64 
102.725	-0.1860	-0.0698	1.2515	-6.2256	37.8418	3.4790	-3.3398	17.7704	3.7024	45.5400	62	176	-118	100553	0.64 
102.912	-0.5596	-0.0503	1.6475	-2.7466	-4.6997	0.4272	-4.1199	19.8303	3.6145	45.5300	68	178	-106	100553	0.64 
102.959	-0.3633	0.0664	0.7529	-2.8687	-28.1372	29.9683	-3.8342	18.3142	6.1743	45.5200	71	179	-105	100552	0.64 
103.021	-0.2310	0.0371	0.6387	25.5737	-16.3574	7.2632	-2.0270	17.6440	8.2617	45.5300	80	177	-111	100552	0.65 
103.131	-0.1958	0.0547	0.6377	5.8594	20.0806	29.1748	1.4008	17.6331	10.9369	45.5200	82	173	-121	100552	0.65 
103.225	-0.3613	0.1147	1.2661	7.2632	19.4702	4.2725	2.2192	20.1984	12.7057	45.5300	96	164	-121	100551	0.65 
103.334	-0.4502	0.0532	1.2524	3.4180	-40.8325	7.7515	4.0704	20.5280	14.9634	45.5300	109	161	-120	100551	0.65 
103.443	-0.2212	-0.0518	0.6025	0.1221	-52.1240	-89.4775	2.7136	17.9297	10.7391	45.5100	103	163	-129	100551	0.65 
103.521	-0.2642	0.0122	0.6533	-27.5269	-20.6909	-14.7705	0.1923	17.0343	5.8337	45.5100	78	167	-134	100550	0.65 
103.615	-0.2114	-0.1675	0.5840	-15.8691	9.7046	2.8687	-2.5269	15.9576	5.4218	45.5200	64	179	-130	100550	0.65 
103.725	-0.1816	0.0586	1.1953	-0.3662	-8.4839	18.9209	-3.2245	16.1993	5.8228	45.5100	66	179	-124	100550	0.65 
103.834	-0.2651	-0.0859	1.5049	-1.7700	-0.1221	-21.9727	-3.5925	14.9194	6.2677	45.5200	65	180	-126	100549	0.65 
103.943	-0.5571	-0.1133	1.1870	5.4321	-14.3433	-1.7700	-3.2849	12.9364	5.7294	45.5200	60	181	-127	100549	0.65 
104.022	-0.5332	-0.0933	1.1704	16.1743	0.0000	25.7568	-1.2799	12.4310	8.5089	45.5000	57	178	-132	100548	0.65 
