StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
682.693	-0.1597	-0.0991	1.0156	-0.0610	-1.9531	0.1831	-5.9601	8.9594	159.6149	45.1300	91	-156	-161	100534	0.66 
682.787	-0.1514	-0.0991	1.0176	0.4272	-1.3428	0.5493	-5.9381	8.7946	159.5874	45.1400	90	-154	-162	100533	0.66 
682.866	-0.1611	-0.0962	1.0078	-0.1221	0.3052	5.4321	-5.8612	8.7616	159.6863	45.1400	93	-155	-165	100534	0.66 
682.990	-0.1514	-0.1152	1.0161	-0.1831	0.4272	5.7373	-5.8173	8.8550	160.1862	45.1500	88	-154	-162	100533	0.66 
683.085	-0.1548	-0.1050	1.0132	0.4272	2.3804	4.4556	-5.7513	8.9868	160.5377	45.1500	84	-154	-159	100533	0.66 
683.225	-0.1670	-0.1016	1.0166	0.2441	2.8076	6.8970	-5.6415	9.2725	160.9991	45.1600	87	-157	-162	100533	0.66 
683.288	-0.1353	-0.1172	1.0107	0.4883	10.6201	4.4556	-5.5646	9.7449	161.4880	45.1400	87	-158	-160	100532	0.66 
683.396	-0.1553	-0.1284	0.9966	1.2817	17.0898	1.4038	-5.4822	10.9479	161.5100	45.1500	86	-160	-160	100533	0.66 
683.491	-0.2124	-0.1177	0.9639	1.7090	18.0054	-0.9766	-5.4327	12.6398	161.2848	45.1500	97	-160	-154	100533	0.66 
683.600	-0.2759	-0.0400	0.9434	-9.3994	26.0620	5.3101	-5.7458	15.0183	161.0101	45.1500	100	-162	-153	100533	0.66 
683.709	-0.2163	0.0303	1.1270	-2.7466	-4.7607	41.3208	-5.6744	17.3694	163.4381	45.1700	105	-160	-153	100533	0.66 
683.803	-0.1953	-0.1050	0.9268	2.4414	1.6479	9.3994	-5.3284	16.1664	165.2618	45.1600	96	-166	-151	100533	0.66 
683.928	-0.1318	0.0259	0.9229	8.5449	-8.0566	-4.0283	-4.5099	15.5182	165.0092	45.1700	88	-166	-149	100533	0.66 
684.006	-0.0244	0.0508	0.6777	2.0752	-5.4321	-13.6719	-3.7683	14.1449	163.7842	45.1700	86	-169	-151	100533	0.66 
684.100	-0.3398	0.0005	0.8975	-13.9160	10.0708	19.0430	-3.9661	14.0131	163.6743	45.1900	86	-167	-150	100533	0.66 
684.225	-1.0054	-0.2676	1.5049	14.8315	33.5083	-5.3101	-3.7848	16.9904	165.0311	45.1700	81	-166	-153	100533	0.66 
684.303	-0.3828	0.0420	1.1045	-4.6387	-31.3110	-10.4370	-3.8452	16.3422	163.9435	45.1700	78	-172	-154	100533	0.66 
684.428	-0.4380	0.0161	0.9468	-0.9766	16.8457	-1.1597	-5.0592	15.3534	162.0703	45.1600	79	-167	-153	100533	0.66 
684.537	0.0142	-0.2007	0.6328	-12.0239	-13.0615	26.5503	-4.9329	13.8208	164.3115	45.1500	73	-168	-152	100534	0.66 
684.631	-0.1162	-0.2300	0.7813	-11.1084	-22.5830	11.2305	-6.2567	12.1564	166.1627	45.1700	60	-169	-158	100534	0.66 
684.725	-0.5161	-0.3916	1.4800	-4.2725	-37.4146	-13.0005	-8.1903	13.0957	168.2996	45.1600	49	-167	-160	100534	0.66 
684.819	-0.4141	0.1040	1.1826	24.3530	-29.9683	13.1836	-6.7731	12.4695	167.9260	45.1600	41	-166	-161	100534	0.66 
684.928	-0.3413	-0.1128	0.7827	0.1831	23.3765	13.8550	-4.3945	12.1399	170.4089	45.1500	37	-173	-157	100534	0.66 
685.037	0.0249	0.1846	0.7192	-2.3804	-14.2822	-21.6675	-4.2627	10.1788	168.8324	45.1500	35	-175	-153	100535	0.66 
685.178	-0.3301	-0.1821	0.6411	-8.0566	1.3428	-5.6152	-4.1583	9.9866	168.8763	45.1600	32	-172	-153	100535	0.66 
685.256	-0.6094	-0.1621	1.5854	-10.4980	-50.9644	26.5503	-4.7241	12.6453	170.2002	45.1600	38	-170	-151	100536	0.66 
685.334	-0.0703	-0.0298	0.7944	-15.3809	-10.2539	1.2207	-6.3116	11.2885	170.5298	45.1400	30	-169	-153	100536	0.66 
685.444	-0.2881	-0.1514	0.8936	3.4180	0.4883	10.6812	-7.6300	12.7606	170.3870	45.1500	31	-165	-155	100536	0.66 
685.553	-0.0156	-0.3135	0.6436	5.5542	-20.0806	-0.3662	-6.7072	9.7778	172.5458	45.1300	28	-167	-152	100537	0.66 
685.662	-0.3511	0.1143	0.9346	-8.5449	25.4517	17.0288	-6.7456	9.5197	172.5403	45.1400	22	-167	-150	100537	0.66 
685.756	-0.2852	-0.2158	1.7798	2.2583	-6.8359	5.6763	-7.6080	10.9808	174.3970	45.1500	22	-169	-151	100538	0.66 
685.865	-0.0835	0.1694	0.8696	18.6768	6.7139	17.7612	-5.0427	9.9591	174.7705	45.1500	19	-174	-145	100539	0.66 
685.959	-0.2080	0.0034	0.7446	-1.9531	11.9019	-7.6904	-4.3726	11.3269	175.9186	45.1400	21	-176	-138	100539	0.66 
686.116	0.0039	0.0552	0.7739	0.6104	2.7466	-5.0659	-4.1309	9.6790	175.1221	45.1300	21	-172	-139	100540	0.66 
686.225	-0.3579	-0.2417	0.7983	2.9907	9.5825	-20.2026	-3.9661	9.9042	174.9902	45.1300	23	-175	-133	100540	0.66 
