StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1095.097	-0.2441	-0.0547	1.0059	1.8311	0.9766	2.7466	-2.6642	13.5736	-8.6682	45.4500	1	144	-114	100554	0.64 
1095.206	-0.2354	-0.0645	0.9951	2.3193	0.1221	4.7607	-2.4664	13.6505	-8.4650	45.4300	4	143	-114	100555	0.64 
1095.285	-0.2539	-0.0625	0.9941	4.2114	0.9766	8.7280	-2.0984	13.7494	-7.9651	45.4300	5	143	-111	100555	0.64 
1095.394	-0.2720	-0.0601	0.9888	5.7373	0.4272	15.5640	-1.4117	13.9581	-6.9159	45.4200	10	139	-117	100555	0.64 
1095.488	-0.2759	-0.1050	0.9810	10.4980	0.5493	14.2822	-0.4559	14.1669	-5.5206	45.4300	16	141	-119	100554	0.64 
1095.628	-0.2773	-0.0688	0.9858	13.6719	2.1973	13.4277	0.9174	14.4196	-4.2133	45.4000	18	136	-121	100554	0.64 
1095.678	-0.2832	-0.0713	0.9771	20.3247	1.5869	16.6016	2.6367	14.6942	-2.8674	45.4100	23	137	-120	100554	0.64 
1095.803	-0.3022	-0.0576	0.9668	31.9824	0.0000	14.7095	5.1691	14.8810	-1.6370	45.3800	27	129	-129	100554	0.64 
1095.912	-0.2920	-0.0747	0.8877	49.3774	-2.4414	15.7471	9.0582	14.7821	-0.6097	45.3400	30	120	-142	100554	0.64 
1096.006	-0.2295	-0.0513	0.6333	68.7866	20.4468	-3.3569	14.3976	15.9796	-0.5493	45.3400	30	109	-153	100554	0.64 
1096.100	-0.3950	0.2031	0.7271	45.8984	20.0806	33.8135	20.8960	18.4241	1.5161	45.3200	38	88	-165	100554	0.64 
1096.209	0.0244	0.0181	0.1489	46.4478	11.9019	52.9175	26.6364	16.6278	7.4487	45.2700	53	72	-171	100553	0.64 
1096.287	-0.0010	0.7642	0.1943	103.2104	-10.1929	13.2446	35.1343	17.0013	9.1901	45.2500	64	53	-173	100553	0.64 
1096.412	-0.6758	2.7412	2.2627	140.7471	16.9067	154.5410	53.2343	12.6178	17.5232	45.2100	74	14	-174	100553	0.64 
1096.506	0.4526	2.2139	0.8574	120.6665	-43.7012	92.1021	69.4446	-6.3391	20.4401	45.1800	63	-45	-170	100555	0.64 
1096.615	0.2930	0.7437	-0.2266	67.0776	-66.8335	83.6792	79.9310	-17.4792	14.3262	45.1500	27	-82	-158	100555	0.64 
1096.709	0.0571	0.5303	-0.1582	-19.7144	-18.4937	52.0630	85.4407	-23.1537	9.7998	45.1300	-6	-95	-151	100556	0.64 
1096.787	0.4404	0.7979	-0.0996	-36.0718	18.7378	50.9033	84.4739	-28.2404	9.0033	45.1300	-20	-96	-151	100558	0.64 
1096.913	0.8701	1.0923	0.3530	-71.5332	72.5708	82.7026	75.9485	-34.7388	15.5676	45.1100	-23	-82	-160	100559	0.64 
1097.069	0.5210	0.6201	0.7495	-36.9263	53.7720	34.1187	61.7212	-37.8754	28.4546	45.1200	-14	-56	-175	100559	0.64 
1097.115	0.5210	0.4971	0.6553	-1.8921	10.8032	10.4980	56.3928	-38.3368	33.6127	45.1100	1	-44	-183	100559	0.64 
1097.240	0.6406	0.5938	0.4224	7.5073	-14.0991	-0.8545	56.3983	-38.8531	33.9093	45.1100	0	-43	-183	100560	0.64 
1097.350	0.6396	0.7075	0.4194	14.8926	-10.9863	-6.6528	58.1836	-39.4519	32.6459	45.1200	-4	-45	-184	100561	0.64 
1097.459	0.5889	0.7515	0.3926	8.9111	-0.7935	-2.5635	60.1611	-39.0234	31.6791	45.1200	-4	-51	-182	100561	0.64 
1097.616	0.6265	0.6792	0.3799	0.4883	-4.9438	-2.0752	61.2323	-38.8257	30.6738	45.1300	-5	-51	-179	100561	0.64 
1097.662	0.5996	0.6738	0.3701	-3.6011	-4.0283	3.9673	61.1774	-39.0179	30.3387	45.1200	-8	-51	-176	100561	0.64 
1097.803	0.6416	0.6870	0.4463	-2.8687	0.0000	-2.9907	60.8038	-39.0070	30.2838	45.1300	-9	-49	-180	100561	0.64 
1097.866	0.5884	0.6558	0.4023	3.2349	5.6152	-7.8125	60.7654	-38.6774	30.1740	45.1200	-8	-50	-178	100560	0.64 
1098.053	0.6318	0.6880	0.3965	-1.0376	5.0659	-3.9673	61.3092	-38.6444	29.4434	45.1300	-11	-53	-179	100561	0.64 
1098.131	0.6597	0.6929	0.3770	0.0610	-3.7231	-1.7090	61.3531	-38.5675	29.2950	45.1400	-8	-56	-178	100561	0.64 
1098.209	0.6709	0.6909	0.3789	-0.6714	0.3052	-2.0142	61.2872	-38.5181	29.3280	45.1400	-10	-51	-177	100561	0.64 
1098.304	0.6831	0.6704	0.4014	0.6714	-1.8311	-7.0801	60.9467	-38.0511	29.5972	45.1500	-6	-51	-178	100561	0.64 
1098.459	0.5527	0.6953	0.3745	0.9766	-0.6714	-0.4883	61.0291	-37.6337	29.5038	45.1500	-8	-55	-177	100561	0.64 
1098.553	0.5728	0.7422	0.3828	1.7700	-0.8545	-1.7700	61.5125	-37.2821	29.1522	45.1500	-7	-54	-178	100561	0.64 
1098.662	0.5752	0.7168	0.4053	-0.7324	6.4087	-6.1646	61.5454	-36.9250	29.1083	45.1500	-9	-53	-176	100561	0.64 
1098.741	0.5830	0.7183	0.4185	-2.6245	1.2207	-3.3569	61.2762	-36.2769	29.2566	45.1600	-4	-53	-177	100561	0.64 
1098.850	0.6108	0.6890	0.4097	-3.6011	3.6011	-1.3428	60.9137	-35.7990	29.3665	45.1600	-3	-51	-176	100561	0.64 
1098.944	0.5781	0.7007	0.4175	-3.0518	-4.8828	6.6528	60.2820	-35.8539	29.8224	45.1600	-1	-51	-176	100561	0.64
