StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1438.160	-0.1899	-0.0674	1.0073	0.1221	0.2441	1.1597	-3.9386	10.2777	90.7855	43.5000	249	7	-83	100552	0.65 
1438.317	-0.2173	-0.0859	0.9971	1.2207	4.0894	-2.3193	-3.9221	10.6348	90.6866	43.5000	247	9	-84	100551	0.65 
1438.364	-0.2236	-0.0610	0.9546	3.8452	16.3574	-7.9346	-3.8287	11.7004	89.9506	43.5000	249	10	-83	100552	0.65 
1438.458	-0.2397	-0.0303	0.8740	2.0752	39.6118	-0.4272	-3.5760	14.6283	89.3903	43.5200	256	8	-75	100552	0.65 
1438.567	-0.2803	0.0190	0.6416	-12.5732	65.9790	21.2402	-3.5925	20.8630	89.7198	43.5200	263	9	-55	100552	0.65 
1438.676	-0.3853	0.0200	0.7173	-8.1177	72.9980	14.4653	-4.3561	28.3008	90.0989	43.5200	273	0	-23	100552	0.64 
1438.785	-0.4287	-0.1040	0.6899	-1.2207	72.0215	13.4277	-4.3781	34.9750	90.8405	43.5200	283	0	6	100552	0.64 
1438.864	-0.8994	0.0425	1.1260	15.2588	83.5571	3.9063	-4.2627	42.1600	90.5878	43.5300	287	-6	36	100553	0.64 
1438.974	-1.3838	0.1543	1.2944	18.8599	51.0864	0.0000	-0.5383	49.2847	93.4497	43.5100	287	-15	68	100553	0.64 
1439.098	-1.4595	-0.0088	1.4678	-3.2349	-33.4473	-16.1743	-0.0494	49.9988	93.2190	43.5200	283	-13	85	100554	0.64 
1439.207	-1.3584	-0.1387	1.4155	-34.6069	-73.8525	-31.3721	-4.1638	43.2971	90.5273	43.5000	287	-12	70	100555	0.64 
1439.302	0.5645	0.0498	-0.8413	17.2729	-366.6382	39.0015	-4.0814	22.7747	92.3621	43.4600	283	0	20	100555	0.64 
1439.426	0.1963	0.0903	0.6104	1.9531	-7.2021	25.1465	-4.9219	15.5292	95.3943	43.4500	263	-7	-59	100554	0.64 
1439.551	-0.0522	-0.0005	-0.2671	3.1128	11.9019	41.2598	-0.2582	11.7389	99.7064	43.4200	256	-15	-77	100553	0.64 
1439.645	0.0244	-0.1807	0.0776	2.3804	28.9917	-17.2729	-3.9276	13.9801	102.6233	43.4100	255	-27	-75	100553	0.64 
1439.723	-0.7334	-0.4053	3.9004	-41.9312	175.9033	-66.1621	-6.0590	19.9127	100.4260	43.4100	265	-33	-63	100552	0.64 
1439.833	-0.6079	-0.5068	2.2588	20.8740	121.3379	-65.9180	-6.8665	22.2748	99.3713	43.4100	272	-29	-36	100552	0.64 
1439.927	-0.2085	0.0693	0.3003	10.0098	21.9727	-15.3198	-5.5426	21.6376	96.0040	43.3800	272	-22	-29	100553	0.64 
1440.051	-0.4341	-0.0386	0.9644	12.5732	-17.8833	-20.9961	-5.0153	22.9504	93.8837	43.3900	279	-13	-25	100553	0.64 
1440.130	-0.4214	0.0181	0.9243	10.3760	-19.6533	-13.3057	-4.1858	21.0938	91.5656	43.3800	279	-4	-33	100552	0.64 
1440.254	-0.4243	0.0088	1.0078	6.2256	-13.3667	-8.0566	-3.6914	19.8138	90.3955	43.3800	276	0	-38	100552	0.64 
1440.379	-0.3862	-0.0107	0.9663	-4.6997	-7.5073	10.7422	-3.2245	18.4680	90.5273	43.4000	275	5	-46	100552	0.65 
1440.458	-0.3535	-0.0654	0.9790	-4.6997	-2.8076	4.2114	-3.4772	18.0011	91.5491	43.3700	272	0	-47	100551	0.65 
1440.567	-0.3452	-0.0420	0.9395	-1.4648	-1.8921	2.3804	-3.5541	17.8143	91.8732	43.4000	271	-2	-44	100552	0.65 
1440.646	-0.3555	-0.0137	0.9111	-1.8311	17.7612	0.1221	-3.5980	18.7042	91.8732	43.4000	269	-1	-46	100552	0.65 
1440.786	-0.3687	-0.0415	0.7964	1.5259	34.2407	22.2778	-2.8125	21.5881	93.1421	43.4100	274	-4	-39	100552	0.65 
1440.849	-0.2852	-0.0068	0.4497	2.5024	59.8145	-1.4038	-2.3401	26.8781	93.7463	43.4300	280	-9	-26	100552	0.65 
1441.004	-0.3872	-0.0220	0.5098	0.0000	56.5796	-4.6997	-2.9773	33.8049	92.5983	43.4400	286	-10	0	100552	0.65 
1441.083	-0.6470	-0.0186	0.7451	-2.1973	46.3867	-6.2256	-3.9166	39.8474	91.3568	43.4200	290	-6	29	100552	0.64 
1441.208	-0.8252	-0.0405	0.8623	-0.9155	39.1235	3.3569	-3.5980	43.8849	91.6425	43.4300	289	-9	53	100553	0.64 
1441.301	-1.1890	-0.0781	0.9888	-0.9766	28.5034	5.6763	-3.9551	46.9391	91.0657	43.4500	287	-11	65	100554	0.64 
1441.411	-1.4678	-0.0244	1.1377	-4.8828	23.1934	16.6626	-3.0103	49.8889	92.5378	43.4600	286	-14	78	100554	0.64 
1441.489	-1.2241	-0.0103	1.1528	-2.0142	14.7095	6.1035	-1.8073	51.8060	94.2957	43.4200	286	-20	86	100555	0.64 
1441.614	-1.1528	-0.0366	1.2388	-14.2212	-28.7476	-9.0942	-2.0984	50.8997	94.7900	43.4000	285	-22	91	100555	0.64 
1441.724	-1.4683	-0.0986	1.3779	3.0518	-184.8755	-32.2876	-3.3673	40.4681	95.1691	43.4200	288	-23	68	100555	0.64 
1441.818	-0.6948	0.0610	-2.6211	-4.1504	-149.1699	20.9961	-5.0372	14.1614	94.9329	43.3700	275	-11	-23	100555	0.64 
1441.942	-0.2153	-0.0103	0.1992	-15.8691	-76.1719	9.7046	-7.2180	12.8210	94.6637	43.3600	265	-3	-65	100554	0.64 
1442.036	-0.0962	-0.0317	0.1211	2.8076	35.2173	2.1362	-12.6727	12.8430	94.9384	43.3600	261	0	-79	100552	0.64 
1442.130	-0.1831	-0.0737	0.0000	14.4043	22.8271	-27.6489	-11.2390	13.2715	94.2297	43.3500	260	0	-72	100552	0.65 
1442.255	-1.9673	-0.1685	4.5791	8.2397	-75.8057	55.4199	-10.9589	20.0171	92.6367	43.3500	271	0	-50	100552	0.65 
1442.333	-0.2896	-0.0537	1.0566	2.5635	-50.5371	21.7285	-9.8877	14.3481	95.2954	43.3300	265	-6	-53	100552	0.65 
1442.458	-0.0776	-0.1167	-0.0469	1.1597	7.5684	-12.3291	-10.9094	11.7389	97.5806	43.3000	259	-6	-70	100552	0.64 
1442.598	-0.5044	0.0303	1.2681	22.2168	-29.9683	-5.3711	-11.4148	15.1282	94.3286	43.3000	263	-4	-62	100552	0.65 
1442.661	-0.3740	-0.0313	1.0508	0.9155	16.2964	-13.4277	-11.0413	14.6063	92.6917	43.3200	264	-1	-62	100552	0.65 
1442.755	-0.3174	-0.0356	1.0386	-1.2817	-6.8359	4.8828	-10.3821	14.7272	92.4060	43.3000	264	1	-60	100552	0.65 
1442.865	-0.3228	-0.0532	0.9482	-1.4038	2.4414	9.9487	-9.8767	14.7162	92.8894	43.3200	260	2	-61	100552	0.65 
1443.036	-0.3018	-0.0454	0.9927	-0.1221	2.4414	7.6294	-9.3439	15.1282	93.3124	43.3300	263	-1	-62	100551	0.65 
1443.083	-0.3037	-0.0410	0.8989	-0.0610	20.0806	0.6714	-8.9099	16.2268	93.4332	43.3300	264	-1	-58	100551	0.65 
1443.192	-0.3799	-0.0566	0.9014	-2.0142	32.8979	0.6714	-8.8550	19.5062	92.9114	43.3400	272	-2	-51	100551	0.65 
1443.289	-0.3828	-0.0630	0.6870	2.1362	49.3774	1.2817	-8.8110	23.5931	92.1973	43.3500	277	0	-36	100551	0.65 
1443.368	-0.3618	0.0308	0.6030	-10.4370	59.5703	43.3960	-7.2565	30.3113	93.5925	43.3500	282	-4	-13	100551	0.65 
1443.509	-0.4663	-0.0327	0.6572	-8.7891	48.6450	15.7471	-6.7346	36.0132	95.6250	43.3700	286	-18	15	100551	0.65 
