StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
934.788	-0.1685	-0.0322	1.0195	-1.7090	-0.3662	0.6714	-1.7963	8.0420	92.7850	45.8400	202	-6	-75	100561	0.64 
934.928	-0.1558	-0.0283	1.0366	-0.9766	-4.2114	3.2959	-1.8622	7.8882	92.9553	45.8500	203	-4	-76	100561	0.64 
935.007	-0.1929	-0.0186	1.0322	-2.2583	-11.5967	4.8218	-1.9391	7.3279	93.2849	45.8400	205	-4	-77	100561	0.64 
935.116	-0.1660	-0.0298	1.0034	-4.5776	-22.8882	2.7466	-2.1863	5.7294	93.8177	45.8300	199	-5	-80	100560	0.64 
935.210	-0.1123	-0.0493	1.0430	-2.8076	-35.1563	3.9673	-2.4884	3.0157	94.1968	45.8100	195	-8	-90	100560	0.64 
935.319	-0.0239	-0.0347	1.0264	-7.4463	-47.3022	7.0801	-2.8894	-0.9723	94.9164	45.8300	183	-5	-99	100560	0.64 
935.428	0.0693	-0.0742	1.0332	-6.8970	-58.5327	5.7983	-3.7079	-5.8997	95.7898	45.8300	172	-5	-110	100560	0.64 
935.522	0.1719	-0.0913	0.9653	-11.2915	-75.2563	9.3994	-4.8889	-12.9968	96.9324	45.8300	152	-4	-130	100561	0.64 
935.616	0.3833	-0.0747	0.9463	-12.5732	-70.4346	2.3804	-6.0919	-19.9622	97.8223	45.8200	127	-8	-149	100561	0.64 
935.725	0.4111	-0.1099	0.8867	-14.0991	-66.6504	9.5825	-8.1848	-26.6254	99.3988	45.8300	102	-3	-164	100561	0.64 
935.819	0.5825	-0.1113	0.8379	-14.0991	-54.0771	6.2256	-10.1459	-32.8107	100.9314	45.8300	79	0	-173	100561	0.64 
935.928	0.7046	-0.2241	0.7788	-17.6392	-56.7017	12.5122	-13.6670	-38.0511	104.0295	45.8500	61	5	-182	100560	0.64 
936.023	0.7227	-0.2061	0.6436	-12.0850	-48.8892	10.3760	-17.3309	-43.0334	107.3474	45.8400	40	11	-185	100560	0.64 
936.147	0.9131	-0.2822	0.6558	-4.8828	-35.5835	-8.2397	-20.1324	-46.9061	110.0006	45.8500	21	14	-190	100560	0.64 
936.272	0.8413	-0.2188	0.6079	-5.9204	-8.2397	-12.3291	-21.2970	-50.3778	110.6268	45.8400	6	14	-192	100560	0.64 
936.366	0.6772	-0.2305	0.5181	-6.9580	-28.0762	13.6108	-22.1100	-51.9214	110.9839	45.8400	1	16	-188	100561	0.64 
936.460	0.7998	-0.2061	0.5483	-4.4556	-11.7188	-1.7700	-23.2471	-53.8220	111.9397	45.8400	-6	17	-189	100560	0.64 
936.569	0.9180	-0.2588	0.4839	-3.7842	-18.4937	0.0000	-24.2194	-55.5963	112.5879	45.8500	-13	18	-188	100560	0.64 
936.679	0.8569	-0.2520	0.4331	-1.8311	-10.8032	-2.8076	-24.6313	-57.2662	112.9944	45.8300	-21	19	-190	100560	0.64 
936.804	0.8994	-0.2349	0.4014	-0.1831	12.0239	4.2725	-25.2191	-57.4860	113.5327	45.8500	-26	17	-187	100560	0.64 
936.944	0.7808	-0.1831	0.5679	-3.2959	-3.3569	7.5684	-25.0818	-56.1456	113.4119	45.8400	-19	20	-185	100560	0.64 
936.992	0.8770	-0.2539	0.4561	-0.5493	-0.3662	-0.5493	-26.0651	-56.6071	114.3237	45.8500	-21	23	-188	100560	0.64 
937.101	0.8379	-0.2451	0.5229	-0.5493	2.0142	0.0000	-25.7520	-56.3544	113.9227	45.8300	-18	21	-190	100560	0.64 
937.226	0.8569	-0.2378	0.4746	-0.4883	0.1221	-0.2441	-25.7135	-56.5356	113.8403	45.8300	-21	22	-188	100561	0.64 
937.382	0.8516	-0.2231	0.5049	-0.8545	4.0283	-0.4883	-25.4828	-56.4093	113.5107	45.8400	-19	20	-190	100561	0.64 
937.475	0.8491	-0.2192	0.5093	-0.4883	1.0986	-0.4272	-25.0269	-56.2720	112.9285	45.8300	-20	21	-190	100561	0.64 
937.569	0.8530	-0.2217	0.5571	-2.0142	1.5869	-7.4463	-24.9005	-56.2445	112.7307	45.8300	-19	19	-193	100561	0.64 
937.664	0.8247	-0.2114	0.4785	-1.0986	-11.0474	4.3945	-25.7465	-57.2443	113.5052	45.8200	-19	16	-187	100561	0.64 
937.788	0.7734	-0.2461	0.4785	-0.7324	-11.7798	16.7847	-27.8943	-57.7002	116.1420	45.8300	-21	19	-186	100560	0.64 
937.913	0.9277	-0.2432	0.4160	1.0376	3.4180	17.1509	-30.5804	-58.1836	119.3500	45.8300	-27	23	-187	100561	0.64 
938.007	0.9282	-0.3315	0.3687	3.5400	9.8877	18.2495	-33.0029	-56.8378	122.5195	45.8300	-28	22	-189	100561	0.64 
938.086	0.8916	-0.3335	0.4551	11.4746	27.5269	4.6997	-31.4868	-54.3823	121.6516	45.8200	-20	20	-191	100561	0.64 
938.210	0.7891	-0.2329	0.5376	14.4653	44.7388	-5.0049	-27.2461	-51.1249	117.9712	45.8200	-10	17	-188	100561	0.64 
938.320	0.7295	-0.2148	0.5898	15.9912	55.6641	-10.4370	-22.5220	-46.7578	113.7030	45.8200	10	15	-186	100561	0.64 
938.429	0.7559	-0.2207	0.7734	15.0757	68.8477	-19.0430	-18.0560	-41.3855	109.2920	45.8100	35	6	-182	100561	0.64 
938.523	0.6724	-0.2026	0.9346	15.3809	80.1392	-13.7329	-14.1064	-34.9695	105.3424	45.8300	55	3	-177	100561	0.64 
938.647	0.4590	-0.1602	0.9326	13.7939	70.6177	-10.7422	-10.7501	-28.0481	101.8707	45.8000	83	1	-170	100561	0.64 
938.788	0.2998	-0.1079	0.9463	9.4604	74.1577	-4.0894	-8.4375	-20.9619	99.5251	45.8100	107	-2	-155	100561	0.64 
938.851	0.2090	-0.0898	1.0112	1.8921	68.7866	-5.6763	-7.2784	-13.8208	97.8937	45.8000	136	-5	-139	100561	0.64 
938.960	0.0869	-0.0830	1.0454	6.2866	48.7671	1.5869	-6.5149	-7.8607	96.7346	45.7900	158	-5	-123	100561	0.64 
939.069	0.0093	-0.1074	1.0005	4.8218	39.3066	2.0752	-5.8612	-3.2629	96.3062	45.7900	169	-3	-112	100561	0.64 
939.194	-0.0684	-0.0703	0.9883	4.5776	24.5361	-1.0376	-5.2734	0.1923	95.7239	45.8000	179	-5	-100	100561	0.64 
939.273	-0.1255	-0.0562	1.0156	3.0518	23.1323	1.7700	-4.8230	2.7686	95.4657	45.7800	191	-6	-92	100561	0.64 
939.367	-0.1792	-0.0356	1.0479	3.8452	12.4512	0.0000	-4.2847	4.9054	95.2679	45.7800	194	-8	-85	100560	0.64 
939.507	-0.1533	-0.0503	1.0098	3.3569	5.1880	1.4038	-3.8068	5.9711	95.1471	45.7800	199	-10	-81	100560	0.64 
939.570	-0.1182	-0.0386	1.0146	4.9438	4.7607	-2.0142	-3.3948	6.6138	94.9164	45.7600	199	-9	-77	100559	0.64 
