StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
711.025	-0.1680	-0.1050	1.0083	0.9155	0.3052	-2.8076	-6.0040	9.3494	-14.0295	45.5100	-26	148	-60	100555	0.64 
711.198	-0.1724	-0.0942	1.0210	0.7324	-2.1973	1.8921	-5.9271	9.3109	-14.2273	45.4800	-27	149	-58	100554	0.64 
711.260	-0.1699	-0.0933	1.0273	-0.1831	1.8311	6.2866	-5.8612	9.2505	-13.8922	45.5000	-27	152	-61	100555	0.64 
711.354	-0.1641	-0.1494	1.0234	-0.9766	2.3193	9.2773	-5.8173	9.4373	-12.9419	45.5000	-23	149	-61	100555	0.64 
711.432	-0.1577	-0.1191	1.0098	0.7324	5.9814	4.3945	-5.7953	9.7504	-12.4036	45.5000	-24	148	-59	100555	0.64 
711.541	-0.2163	-0.0430	0.8809	-5.4932	18.3105	5.3711	-5.7733	11.0303	-12.3157	45.5000	-20	150	-63	100555	0.64 
711.635	-0.4199	-0.0234	1.2983	-13.7329	4.3335	49.8047	-5.8392	13.7274	-9.8108	45.4800	-13	151	-61	100555	0.64 
711.760	-0.0371	-0.1792	0.9590	1.0986	14.8926	23.8037	-5.6250	13.3539	-5.4602	45.5000	0	155	-56	100555	0.64 
711.822	-0.1431	-0.0649	0.9775	5.6763	16.4795	11.7798	-4.6692	15.2380	-3.8782	45.5000	8	152	-58	100555	0.64 
711.947	-0.1323	-0.0532	1.0508	10.6812	15.3198	-1.2207	-3.9990	16.5399	-3.2300	45.5100	16	153	-57	100555	0.64 
712.041	-0.2090	0.0371	1.0791	13.2446	21.4233	-4.9438	-2.6642	17.1552	-3.3179	45.4900	17	152	-62	100555	0.64 
712.135	-0.8608	0.1567	1.4492	-14.0381	53.4058	8.0566	-1.9830	21.0553	-2.9443	45.5000	24	149	-59	100555	0.64 
712.229	-0.3457	-0.4106	0.5981	-0.3662	38.0859	-25.0854	-3.8232	22.4890	-3.2025	45.4900	34	151	-59	100555	0.64 
712.338	-0.3789	-0.0317	0.8525	0.2441	-1.7700	-19.1650	-5.6525	24.8785	-6.9489	45.4800	33	152	-62	100555	0.64 
712.432	-0.3374	-0.1763	0.7988	-11.5967	7.9956	-13.9771	-7.0752	24.6918	-7.9541	45.4800	31	155	-62	100555	0.64 
712.526	-0.3706	-0.1191	0.8809	-6.8359	1.6479	8.4229	-8.0969	25.2411	-8.6462	45.4500	29	156	-57	100555	0.64 
712.635	-0.4541	-0.2085	1.1953	-5.8594	0.9155	7.4463	-8.3331	25.2081	-6.5039	45.4600	34	158	-56	100556	0.64 
712.729	-0.7632	-0.1401	0.8345	-2.4414	-22.8271	3.9063	-8.6902	25.0543	-5.3503	45.4500	41	158	-53	100556	0.64 
712.839	-0.4917	-0.0444	0.8745	6.6528	4.5776	10.9253	-6.8884	25.7190	-2.8564	45.4400	48	154	-52	100555	0.64 
712.947	-0.3833	0.0469	0.8535	10.8032	3.6011	2.7466	-5.2075	25.7739	-1.6919	45.4500	51	156	-57	100555	0.64 
