StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
339.928	-0.3960	0.0171	0.9448	-0.3662	-0.3662	0.4883	0.7031	22.4451	94.2407	45.0200	249	-13	-30	100552	0.64 
340.006	-0.4028	0.0146	0.9453	-0.4272	-0.5493	1.2817	0.7031	22.4670	94.2627	45.0200	245	-10	-32	100552	0.65 
340.131	-0.4033	0.0093	0.9448	-0.6104	-0.2441	0.7935	0.6866	22.4725	94.2902	45.0200	253	-9	-30	100552	0.65 
340.275	-0.4004	0.0117	0.9448	-0.5493	-0.6714	0.9155	0.6647	22.4561	94.2957	45.0300	250	-11	-34	100551	0.65 
340.337	-0.3979	0.0107	0.9453	-0.4272	-0.4272	0.3662	0.6207	22.4286	94.2462	45.0200	245	-9	-32	100551	0.65 
340.462	-0.4209	0.0127	0.9478	-0.7935	-0.8545	1.8921	0.6097	22.4066	94.2737	45.0400	248	-9	-27	100551	0.65 
340.540	-0.5332	0.0322	1.0029	-0.0610	-0.9155	0.0000	0.6976	22.6538	94.4330	45.0400	248	-12	-25	100551	0.65 
340.683	-0.3965	-0.0107	0.9004	-4.0283	-12.0239	7.0190	0.6537	21.5442	94.5978	45.0400	249	-9	-28	100551	0.65 
340.762	-0.4697	0.0005	0.9155	-2.7466	-14.7705	-1.7700	0.3735	20.5829	94.8230	45.0400	246	-12	-34	100551	0.65 
340.887	-0.4707	0.0435	0.9258	-4.4556	-17.1509	6.1646	0.3076	19.4183	95.0262	45.0500	244	-11	-43	100550	0.65 
340.965	-0.4722	0.0137	0.9004	-5.7373	-15.1978	2.5635	-0.0275	18.2813	95.3448	45.0400	240	-12	-44	100551	0.65 
341.090	-0.3911	-0.0117	0.8198	-6.7749	-24.8413	-2.3193	-0.4889	16.8750	95.4767	45.0400	234	-13	-50	100551	0.65 
341.168	-0.3667	0.0684	0.7485	-4.3945	-18.3716	3.5400	-0.7800	15.3424	95.0977	45.0400	230	-13	-62	100551	0.65 
341.297	-0.3091	0.0166	0.5938	-8.0566	-4.3945	14.4043	-0.5878	14.8975	96.0315	45.0300	227	-13	-66	100551	0.65 
341.375	-0.1572	0.0493	0.5073	-0.6104	-7.4463	-0.1831	-0.8679	14.9579	96.3885	45.0200	223	-17	-66	100551	0.65 
341.531	-0.0596	-0.0879	0.7847	-17.6392	-71.1670	-6.0425	-1.5820	11.3159	96.4819	45.0200	222	-15	-74	100551	0.65 
341.578	-0.5161	0.0708	0.7686	-47.0581	-191.8335	19.6533	-4.2297	-1.8127	97.6355	45.0100	199	-14	-102	100551	0.65 
341.703	1.4829	-0.8101	2.7090	-117.8589	-285.1563	54.6265	-13.5516	-21.0992	104.3866	45.0000	143	-6	-146	100552	0.64 
341.782	0.7773	-0.4922	0.3984	-127.0142	-291.1377	-3.4180	-32.8821	-44.7198	117.7515	44.9600	64	14	-179	100554	0.64 
341.922	0.6543	-0.6528	-0.4673	-34.4849	46.0815	55.2979	-67.2473	-53.0969	145.7391	44.9200	-15	53	-175	100555	0.64 
342.016	0.6909	-0.6631	-0.5591	-4.4556	-46.1426	-16.8457	-71.6473	-51.3776	148.3044	44.9100	-19	70	-170	100556	0.64 
342.110	0.9829	-0.5933	0.1660	36.6211	40.9546	-23.6816	-66.7255	-53.1573	144.4537	44.9000	-25	74	-167	100557	0.64 
342.204	0.9209	-0.7314	0.1558	35.8887	37.7197	-6.7749	-57.3376	-52.8662	137.1533	44.9200	-19	59	-171	100558	0.64 
