StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
434.538	-0.3613	-0.0049	0.9565	0.1831	-0.1831	0.9155	-0.5878	20.4785	173.3752	44.5600	61	-173	-98	100553	0.64 
434.617	-0.3618	-0.0103	0.9590	-0.2441	-1.3428	1.1597	-0.5273	20.4291	173.4686	44.5600	63	-170	-96	100553	0.64 
434.726	-0.3608	-0.0029	0.9692	0.3052	-0.9766	0.2441	-0.4944	20.4346	173.4631	44.5700	63	-170	-99	100553	0.64 
434.835	-0.3721	-0.0044	0.9653	-0.1221	-0.1831	2.6855	-0.4175	20.4401	173.5126	44.5700	63	-169	-98	100553	0.64 
434.929	-0.3608	-0.0107	0.9595	-0.1831	-0.3052	1.7700	-0.3845	20.4346	173.6719	44.5800	60	-166	-102	100553	0.64 
435.040	-0.3516	-0.0083	0.9727	-0.5493	0.0610	5.7983	-0.2307	20.5609	174.1663	44.5700	60	-171	-100	100553	0.64 
435.134	-0.4263	0.0488	0.9712	3.3569	8.1787	4.4556	0.1263	21.1981	174.6497	44.5700	60	-171	-96	100553	0.64 
435.243	-0.3179	0.0757	0.8813	-3.2349	12.1460	-10.0098	-0.1483	21.8353	173.9301	44.5700	64	-168	-99	100553	0.64 
435.321	-0.3267	0.0601	0.9824	-10.0098	1.2207	-16.4185	-0.9229	22.3737	173.0786	44.5800	65	-170	-98	100553	0.64 
435.446	-0.4023	0.0454	0.9097	-8.4229	7.5073	-24.9634	-2.4609	22.7252	170.7715	44.5700	70	-167	-98	100554	0.64 
435.556	-0.3809	0.1328	0.9473	-17.8833	2.6245	-14.0381	-3.8672	23.1921	168.7830	44.5800	77	-162	-100	100553	0.64 
435.649	-0.3594	-0.0781	0.8662	-26.1230	8.1787	-22.5220	-6.5753	23.1427	167.0636	44.5700	83	-158	-106	100554	0.64 
435.743	-0.3936	-0.0918	0.9214	-33.8135	-4.6387	-46.0205	-10.8435	23.0054	163.2129	44.5800	90	-151	-114	100553	0.64 
435.915	-0.3350	-0.1318	0.8345	-45.7764	-4.2114	-68.0542	-16.5015	20.8630	157.6758	44.5800	102	-136	-122	100553	0.64 
435.962	-0.3369	-0.0806	0.7202	-53.4058	1.2207	-81.2988	-23.2141	18.3252	150.5072	44.5700	110	-115	-135	100553	0.64 
436.087	-0.1157	-0.0396	0.3154	-48.3398	-5.6152	-85.1440	-29.1907	15.2710	143.5144	44.5300	120	-88	-144	100553	0.64 
436.165	-0.2485	-0.3994	0.4712	-71.6553	-9.1553	-83.8013	-36.0791	11.3544	136.9061	44.5000	128	-61	-153	100552	0.64 
436.259	0.2900	-0.4639	0.2168	-154.2358	-64.7583	-45.4712	-46.8787	6.3885	135.5273	44.4700	124	-29	-158	100552	0.64 
436.384	0.8159	-5.6641	2.5391	-56.7017	108.4595	-154.2969	-63.0505	-6.0425	131.9183	44.4000	99	17	-173	100553	0.64 
436.493	0.4165	-0.2983	0.4204	-9.9487	-55.7251	-141.1743	-73.9819	-19.8798	137.5708	44.3500	64	63	-170	100553	0.64 
436.572	0.3433	-0.2056	-0.2061	4.6997	-24.9023	-67.9932	-77.8601	-31.2012	144.1296	44.3000	22	83	-166	100551	0.65 
436.728	0.7144	-0.4980	0.0962	-10.2539	-13.9160	4.8828	-78.6566	-36.5570	144.3494	44.2700	2	85	-161	100553	0.64 
436.806	0.8379	-1.0986	0.0737	5.9814	21.3623	29.6631	-80.0079	-35.6946	145.6128	44.2600	-1	89	-164	100554	0.64 
436.915	0.6099	-0.9453	0.1548	17.2119	10.9253	40.8325	-77.7997	-32.0801	144.6130	44.2400	4	82	-166	100555	0.64 
437.009	0.4780	-0.6670	0.2144	29.9683	32.7148	21.5454	-75.5420	-28.0096	144.3219	44.2200	20	79	-169	100556	0.64 
437.134	0.3901	-0.7979	0.3081	28.4424	33.8745	20.9961	-72.0483	-24.5709	143.2397	44.2200	29	72	-173	100557	0.64 
437.213	0.3228	-0.9077	0.4004	-3.7842	5.0659	23.4375	-70.2081	-20.8466	142.6740	44.1900	46	63	-176	100558	0.64 
437.337	0.2334	-0.9888	0.2236	-15.0146	-5.2490	12.8174	-71.5594	-17.9736	143.8550	44.2000	55	58	-176	100558	0.64 
437.478	0.2842	-0.9463	0.2461	-9.3384	-3.9673	-3.2349	-72.7679	-17.6660	144.2505	44.2000	58	63	-175	100558	0.64 
437.540	0.2939	-0.9082	0.2524	-6.5918	-4.8828	-10.3760	-73.8007	-18.2263	144.7614	44.1900	57	66	-171	100559	0.64 
437.681	0.3462	-0.9053	0.2202	-3.0518	-6.6528	-7.8735	-74.5477	-19.3359	145.4260	44.1900	54	67	-176	100560	0.64 
437.759	0.3423	-0.9224	0.2363	1.2207	3.7231	0.0000	-74.9048	-19.5227	145.7611	44.1800	52	70	-171	100560	0.64 
437.915	0.3198	-0.9233	0.2256	-1.3428	-6.1035	-1.5869	-75.0366	-18.9679	146.2885	44.2000	51	71	-171	100560	0.64 
437.978	0.3398	-0.9248	0.2813	-1.4648	2.1973	7.2632	-74.8883	-19.1656	146.4368	44.1900	50	65	-177	100560	0.64 
438.087	0.3516	-0.9150	0.2471	-5.3711	7.9346	15.9912	-75.2234	-18.2648	146.5027	44.2000	52	66	-176	100561	0.64 
