StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
391.316	-0.3765	-0.0234	0.9644	0.7935	-0.1831	-0.3662	-2.0380	21.3409	12.7826	44.7100	71	142	-100	100553	0.64 
391.395	-0.3828	-0.0313	0.9565	0.4272	-0.2441	-0.3052	-1.9885	21.3245	12.7002	44.7200	74	141	-97	100553	0.64 
391.504	-0.3682	-0.0454	0.9551	1.2207	-1.4038	-5.8594	-2.0380	21.2915	12.3761	44.7100	70	140	-103	100553	0.64 
391.582	-0.3931	-0.0024	0.9663	3.6011	1.6479	-1.5259	-1.9720	21.3684	11.7828	44.7200	69	137	-104	100553	0.64 
391.738	-0.3677	-0.1504	0.8931	-0.4272	5.3101	-15.9302	-2.2028	21.6321	10.9918	44.7200	66	138	-103	100554	0.64 
391.801	-0.5029	0.0459	1.0737	9.0942	20.3857	3.6011	-2.4170	24.4830	9.2450	44.7200	69	137	-103	100553	0.64 
391.895	-0.3804	-0.1553	0.8794	-5.1880	-6.0425	34.7290	-1.6150	24.0930	11.9257	44.7300	74	137	-103	100554	0.64 
392.004	-0.4771	-0.1265	0.9487	10.1929	9.8267	16.6016	-0.5823	24.6973	14.5294	44.7300	81	135	-101	100553	0.64 
392.176	-0.4063	-0.0659	0.9063	13.9771	-5.7373	22.3999	1.2909	24.7687	16.2872	44.7300	93	133	-101	100553	0.64 
392.223	-0.4463	-0.1084	0.8696	18.1274	-14.4043	31.9214	3.7738	23.9886	19.6326	44.7300	93	127	-106	100553	0.64 
392.317	-0.3970	-0.1216	0.8086	32.5928	-11.6577	16.6016	6.2732	22.7307	21.7474	44.7200	101	123	-115	100553	0.64 
392.395	-0.3838	-0.0527	0.7334	42.5415	-4.3945	16.5405	10.0800	22.1704	22.9834	44.7200	98	109	-127	100553	0.64 
392.551	-0.3301	-0.0005	0.4136	38.1470	-2.7466	28.3813	14.1724	21.8024	24.6039	44.7000	104	99	-132	100553	0.64 
392.582	-0.2681	0.0337	0.3159	34.8511	9.2773	27.8320	19.4513	22.1100	27.3010	44.6800	111	84	-142	100553	0.64 
392.738	0.3184	0.6152	0.2900	101.2573	-11.3525	39.8560	27.0868	20.4895	31.3055	44.7000	121	70	-144	100553	0.64 
392.801	-0.3223	1.9937	0.4756	113.5864	-11.2915	220.8252	43.5278	11.9147	40.9515	44.6500	125	26	-153	100553	0.64 
392.911	0.5859	3.3867	1.9468	47.4854	-67.6880	327.6367	51.4050	-9.2010	57.5519	44.6400	126	-30	-154	100554	0.64 
393.020	1.1050	0.2598	0.0483	87.1582	-209.9609	28.2593	61.0510	-31.6187	51.3666	44.6000	78	-74	-159	100554	0.64 
393.129	0.4824	0.3345	-0.2100	0.3052	-21.3623	22.7051	71.1859	-39.4354	40.1001	44.5800	26	-92	-160	100555	0.64 
393.238	0.7627	0.6929	-0.0747	-8.0566	1.9531	26.7334	75.1959	-43.9178	36.8207	44.5600	8	-98	-154	100556	0.64 
393.348	0.8462	0.7500	0.2251	-23.8037	17.8833	20.9351	72.2186	-45.6207	38.7653	44.5300	-1	-94	-153	100556	0.64 
393.520	0.8120	0.6519	0.2983	-25.9399	14.4653	-1.6479	67.1484	-45.5548	42.2205	44.5200	1	-86	-160	100557	0.64 
393.567	0.8047	0.5259	0.3315	-19.1650	22.3999	-7.8125	62.8748	-44.8242	45.0549	44.5300	11	-79	-166	100558	0.64 
393.645	0.7617	0.5620	0.3716	-17.7612	31.4331	-31.7993	59.3921	-41.9897	47.7850	44.5200	19	-74	-170	100557	0.64 
393.770	0.6431	0.5996	0.4219	-20.5078	48.9502	-43.9453	55.8325	-36.9525	49.4714	44.5500	36	-67	-170	100558	0.64 
393.864	0.3198	0.7979	0.7080	18.0664	19.1650	-61.4624	54.9261	-29.2181	50.8392	44.5200	59	-61	-170	100558	0.64 
393.989	0.4316	0.6699	0.5435	28.9917	-17.7612	-58.1055	57.8705	-24.2303	47.4774	44.5400	74	-63	-171	100558	0.64 
394.095	0.0781	0.9170	0.5376	46.2646	0.7324	-13.4277	62.4133	-19.8743	46.2579	44.5200	77	-70	-168	100558	0.64 
394.194	0.2241	1.0127	0.2324	41.7480	5.3711	-5.5542	67.5824	-19.5447	45.7965	44.5000	82	-84	-158	100558	0.64 
