StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
66.366	-0.2695	-0.0166	0.9556	0.8545	-1.5259	-1.6479	-1.9226	19.7369	87.4402	43.5600	216	10	-71	100547	0.65 
66.475	-0.2969	-0.0869	0.9761	2.1973	3.6011	-0.8545	-1.7194	20.0006	87.8741	43.5500	219	10	-71	100547	0.65 
66.631	-0.2822	-0.0591	0.9727	5.1880	11.4746	3.6621	-1.5106	20.5170	88.0115	43.5800	213	11	-70	100548	0.65 
66.678	-0.2729	0.1006	0.7886	4.2725	32.5928	6.1646	-0.9723	21.7584	88.0225	43.5700	218	10	-64	100548	0.65 
66.880	-0.2573	-0.0625	1.2505	-1.5869	29.2969	-15.8081	-0.4285	24.2413	88.5773	43.5800	222	7	-57	100548	0.65 
66.917	-0.3369	0.0386	0.7632	0.7324	16.8457	25.6958	0.3571	26.2354	88.9178	43.5700	226	6	-45	100549	0.65 
66.964	-0.2813	-0.1738	1.0757	14.8926	10.4980	-40.4663	0.2747	27.1143	89.1650	43.5800	228	2	-39	100550	0.65 
67.152	-0.2119	0.0601	1.4658	31.2500	29.7241	-16.9067	0.7635	27.6581	85.4791	43.5700	227	9	-36	100549	0.65 
67.183	-0.1826	0.4004	1.2471	-2.4414	-22.7661	-17.2119	1.8292	28.9490	82.9358	43.5700	230	15	-21	100550	0.65 
67.308	-0.7417	-0.0684	-0.0200	-37.2314	44.0674	-0.0610	-0.0549	27.7625	84.2651	43.5200	224	20	-24	100550	0.65 
67.402	-0.6323	0.2520	1.2563	-13.9160	91.7358	23.4985	-0.1868	31.8274	86.6162	43.5100	230	18	-17	100551	0.65 
67.511	-0.5522	-0.4834	1.5879	-30.3955	-19.1650	10.4370	-1.3678	33.5742	90.8899	43.5000	238	5	-4	100551	0.65 
67.589	-0.2983	-0.1675	1.0103	12.1460	-72.8149	-12.3901	-3.8947	29.4049	90.3406	43.4700	238	3	-6	100552	0.65 
67.746	-0.2886	0.2583	-0.2622	32.2876	-42.5415	4.6997	4.5703	21.9946	93.1860	43.4400	231	1	-23	100552	0.65 
67.808	-1.3691	0.2959	2.2485	7.4463	-39.7949	-33.8745	0.2087	28.6139	89.3793	43.4200	242	1	-19	100552	0.64 
67.933	-0.7202	0.5117	2.0576	42.4805	34.4849	-31.3721	1.1920	25.7245	87.8412	43.4100	247	6	-25	100552	0.64 
68.011	-0.0967	-0.1699	-0.1563	-45.4102	-103.5156	37.2925	2.0435	17.7484	90.8130	43.3800	244	7	-35	100553	0.64 
68.167	-0.7192	0.0361	-0.0747	-17.8833	-43.7622	-25.6958	-6.8994	14.5074	92.6532	43.3700	235	7	-56	100552	0.64 
68.292	-0.5859	-0.0137	1.3677	-0.3052	-86.4258	-16.1743	-1.7853	20.5225	94.0485	43.3600	245	0	-50	100552	0.64 
68.339	-0.7817	-0.1470	1.8110	-13.7329	45.7153	-40.9546	-2.2742	22.0166	92.8564	43.3500	252	-3	-46	100552	0.64 
68.480	-0.1802	0.2422	-0.4414	41.3818	-76.7212	36.9873	0.8075	15.9247	92.2852	43.3400	248	1	-56	100553	0.64 
68.542	-0.5215	-1.0669	-1.0205	-36.4380	154.4189	-29.4800	3.4442	12.6178	93.5431	43.3100	242	-3	-77	100552	0.65 
68.683	0.3335	-0.1841	0.7275	19.1040	-33.5693	16.7236	0.8075	17.9352	87.3633	43.3200	256	10	-49	100552	0.65 
68.746	-0.4629	0.4077	1.9365	-4.5776	-56.3354	-9.2773	1.7908	20.2313	86.2317	43.2900	258	13	-46	100552	0.65 
68.886	-0.2363	-0.1475	-0.7095	-34.9731	-27.6489	8.6670	-3.0377	10.6567	88.9014	43.2800	253	12	-69	100552	0.64 
68.949	-0.6768	0.3032	2.4092	61.7676	279.7852	65.2466	-5.7843	16.0510	91.4008	43.2700	254	6	-79	100552	0.65 
69.089	0.0083	-0.2104	1.0034	13.5498	39.7339	2.3193	-5.7843	16.9080	93.2355	43.2600	271	-10	-60	100552	0.65 
69.152	-0.3687	-0.1514	1.0278	24.9634	-90.0879	-21.0571	-6.4764	18.2318	90.5219	43.2200	278	-3	-54	100552	0.64 
69.293	0.2744	0.1147	-0.8931	19.6533	-1.0376	-9.7046	2.2742	8.9374	91.9281	43.2000	264	-1	-87	100552	0.65 
69.371	-2.3950	0.8667	4.4810	2.6245	47.9736	-103.2715	-2.2742	22.5824	87.9510	43.1900	275	-4	-70	100552	0.64 
69.574	-0.6953	0.1050	1.5811	13.0615	56.5186	12.4512	-0.8350	16.3531	89.1980	43.1800	274	7	-67	100552	0.64 
69.605	-0.3521	0.0015	-0.1050	-35.8276	-121.0327	39.7339	0.0165	10.2448	90.0659	43.1800	268	7	-73	100553	0.64 
69.699	-0.4092	-0.1704	0.1890	-6.1646	11.7188	-22.2778	-8.5034	7.0532	91.8842	43.1600	255	9	-100	100552	0.64 
69.762	-0.6245	-0.3511	1.4912	-18.4937	-166.8701	-17.4561	-6.2018	15.0732	94.1528	43.1500	271	6	-72	100552	0.65 
69.980	-1.0317	-0.4395	1.9883	-12.3291	65.0635	-12.5732	-6.9434	15.7050	93.0762	43.1400	267	8	-71	100552	0.65 
70.027	-0.1177	0.3809	-0.3765	47.1191	-73.7915	19.2261	-3.1915	9.2340	93.6859	43.1200	261	12	-78	100552	0.64 
70.105	-0.7363	-1.2910	-0.6709	-8.1177	-36.0718	64.8804	-1.5326	7.3883	97.6025	43.1200	250	5	-98	100552	0.64 
70.184	0.3301	-0.1318	0.3096	4.9438	-132.0190	46.6919	-4.0540	12.5464	89.2474	43.1100	250	21	-69	100552	0.64 
70.371	-0.4546	0.4971	1.7837	17.4561	-67.5049	-9.3384	-2.8784	15.9137	87.9401	43.0900	238	22	-56	100552	0.64 
70.402	-0.1465	-0.3853	-0.6089	-35.2173	-82.9468	9.1553	-6.3171	6.6138	92.8949	43.0800	228	17	-73	100552	0.64 
70.511	-0.8135	1.3735	-0.9175	-13.6108	-7.3242	29.2358	-12.2168	5.4657	92.1094	43.0800	215	15	-90	100552	0.64 
70.605	0.1826	-0.0522	0.5342	-3.1738	-58.4106	-57.1289	-9.2010	10.1294	92.1478	43.0800	220	6	-72	100552	0.64 
70.715	-0.5498	-0.3198	1.4751	-22.3999	-69.8853	-11.4746	-8.7561	12.5299	92.3566	43.0800	218	4	-69	100552	0.64 
70.809	-0.2124	0.2251	-0.4053	13.8550	-81.6040	65.8569	-4.6802	3.2245	96.5094	43.0700	208	-1	-87	100552	0.65 
70.949	-1.8564	0.2476	1.7134	-11.6577	424.2554	-278.3813	-0.5383	6.3062	95.9711	43.0700	198	-22	-102	100551	0.65 
71.012	-0.0537	0.0093	0.4976	-8.6670	103.8818	36.9873	-0.2142	5.0812	93.5376	43.0500	204	-10	-84	100551	0.65 
71.152	-0.1401	0.0908	0.7456	42.3584	-102.4170	-10.1318	0.2856	8.1464	90.6976	43.0500	209	-6	-79	100551	0.65 
71.246	-0.2197	-0.1191	0.2231	4.8828	7.5073	-44.6777	1.4777	6.4984	88.5443	43.0500	200	-4	-88	100550	0.65 
71.340	-0.3447	0.1978	0.5435	-10.1929	-20.6299	-26.4282	1.3019	7.5092	84.7375	43.0300	203	2	-94	100549	0.65 
71.434	-0.5366	-0.0713	0.9839	-4.5776	16.1743	3.1738	1.7468	8.7286	82.9797	43.0300	197	6	-97	100549	0.65 
71.558	-0.3525	-0.0493	1.1558	6.5918	-17.8223	19.3481	1.8237	9.9701	84.5398	43.0300	201	7	-88	100548	0.65 
71.668	-0.3306	-0.0620	0.8906	-2.9297	18.8599	-15.0146	1.0437	10.8765	85.1331	43.0300	199	2	-91	100549	0.65 
71.762	-0.2666	-0.0439	0.9883	-2.6855	1.1597	-10.6812	0.5658	11.7059	84.6606	43.0400	202	7	-90	100549	0.65 
71.825	-0.3403	0.0020	0.9360	-1.8921	9.6436	-7.8735	0.0494	12.7661	83.2599	43.0500	203	9	-85	100548	0.65 
71.965	-0.2964	-0.0273	0.9878	-2.0752	-0.4883	7.3853	-0.0165	13.5297	83.8257	43.0600	202	8	-81	100548	0.65 
72.043	-0.2773	-0.0356	0.9897	-0.4272	3.5400	-2.5635	-0.3735	13.9142	84.1992	43.0800	204	8	-82	100549	0.65 
72.184	-0.2910	-0.0601	0.9678	-1.9531	1.5259	-1.8311	-0.5328	14.2053	84.3475	43.0700	202	10	-85	100548	0.65 
72.262	-0.3091	-0.0059	0.9937	-1.6479	0.1831	0.2441	-0.8350	14.7162	84.4299	43.1100	204	10	-85	100548	0.65 
72.355	-0.3135	0.0024	0.9829	-3.2349	4.5166	8.9722	-0.9668	15.0128	85.0726	43.1000	207	12	-81	100548	0.65 
72.480	-0.3496	0.0122	0.9897	-4.8218	-1.8311	16.1133	-0.9558	15.5072	86.4624	43.1000	205	7	-80	100548	0.65 
72.574	-0.3398	-0.0474	0.9839	-4.3335	-1.1597	20.2637	-0.9064	15.5676	88.6597	43.1200	207	4	-79	100548	0.65 
72.668	-0.3091	-0.0796	0.9746	-3.4180	1.5869	16.7236	-0.9558	15.5402	90.5768	43.1200	206	1	-78	100548	0.65 
72.777	-0.3281	-0.0596	0.9824	-1.7090	-2.9907	4.8828	-1.0931	15.7324	91.7249	43.1300	206	-5	-78	100548	0.65 
72.856	-0.3057	-0.0205	0.9810	-1.4038	-2.9297	2.5635	-1.2415	15.5072	91.8842	43.1200	206	-6	-80	100548	0.65 
72.980	-0.3374	-0.0332	1.0054	-1.3428	-3.2959	-1.7090	-1.3513	15.3864	91.9885	43.1400	206	-4	-80	100549	0.65 
73.059
