StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
202.871	-0.3340	-0.0254	0.9810	-0.7935	-1.4648	0.5493	-1.5875	18.6713	6.9928	44.7600	54	133	-114	100551	0.65 
203.027	-0.3354	-0.0264	0.9751	-0.4272	-2.0142	1.3428	-1.6095	18.5120	7.0148	44.7600	52	134	-115	100552	0.65 
203.090	-0.3350	-0.0327	0.9761	-0.4883	-1.6479	0.5493	-1.6315	18.3801	7.0752	44.7700	55	137	-111	100552	0.65 
203.215	-0.3682	-0.0396	0.9731	-0.9155	-1.2817	2.3193	-1.6479	18.3527	7.1356	44.7600	52	131	-117	100552	0.65 
203.277	-0.3809	-0.0332	0.9531	-2.6245	-1.2207	4.3945	-1.6809	18.4131	7.2894	44.7700	56	136	-115	100552	0.65 
203.465	-0.3926	-0.0664	0.9023	-1.0986	8.9111	2.3804	-1.8457	18.8800	7.3938	44.7600	58	135	-114	100552	0.65 
203.527	-0.5479	0.0171	0.7446	0.9155	32.0435	-0.2441	-1.8347	21.6101	6.5918	44.7900	60	132	-116	100552	0.65 
203.621	-0.2646	0.1255	0.3262	7.5073	93.8721	31.3110	-0.1923	28.4875	7.3334	44.7600	70	134	-113	100552	0.65 
203.699	-0.4165	-0.0625	0.3711	1.5259	53.4668	1.8921	0.6921	35.6671	9.5966	44.7800	93	131	-109	100552	0.65 
203.793	-0.4805	0.0923	0.9224	-22.5220	-27.2827	25.6958	2.2577	39.0674	11.9147	44.7700	110	125	-101	100553	0.64 
203.903	-0.6440	-0.1460	0.8550	-10.4370	3.7842	3.0518	-0.2087	37.0624	11.4862	44.7600	107	127	-96	100553	0.64 
204.012	-0.7842	0.0576	1.1318	-5.7983	-47.1802	4.3335	-0.0110	34.7333	12.7881	44.7600	109	127	-97	100554	0.64 
204.090	-0.6177	-0.1152	1.1533	2.9297	-72.5098	6.8970	-0.2472	28.1305	13.3813	44.7700	100	129	-98	100555	0.64 
204.215	-0.4590	-0.0073	1.2549	1.4648	-44.8608	7.1411	0.2802	22.4561	14.2218	44.7500	87	123	-102	100556	0.64 
204.324	-0.3281	0.0010	1.2363	-3.2349	-33.0811	-9.9487	-0.2802	17.4353	14.1888	44.7500	77	126	-103	100556	0.64 
204.418	-0.1426	-0.0283	0.9297	8.5449	-19.5313	-1.9531	-0.0385	14.4580	13.9691	44.7300	69	124	-102	100557	0.64 
204.512	-0.1948	0.0010	0.9814	5.3711	-12.0850	1.2207	0.6262	13.2385	14.4635	44.7000	66	124	-103	100557	0.64 
204.637	-0.2261	0.0127	1.0371	2.0752	-9.3994	4.8828	0.9558	11.7993	14.9744	44.6900	65	121	-109	100557	0.64 
204.700	-0.2056	0.0303	1.0254	3.6621	0.7324	2.4414	1.2744	11.3214	15.3040	44.7000	58	125	-107	100557	0.64 
