StartTime: 2017-07-14 14:15:41.614
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
1829.661	-0.3462	-0.0474	0.9805	-2.8687	2.9297	9.2163	-1.3678	18.3472	3.8013	45.7600	31	148	-76	100547	0.65 
1829.771	-0.3413	-0.0415	0.9819	-0.1221	-1.0986	-0.1831	-1.3788	18.4241	4.2242	45.7700	33	145	-74	100548	0.65 
1829.927	-0.3257	-0.0073	0.9688	0.9155	0.1221	-1.4038	-1.4117	18.3691	3.9166	45.7700	38	144	-76	100548	0.65 
1829.974	-0.3359	-0.0078	0.9756	-0.9155	0.3052	0.3052	-1.3568	18.4570	3.8507	45.7600	31	145	-77	100548	0.65 
1830.053	-0.3359	-0.0161	0.9722	-0.9766	2.3804	0.6714	-1.4612	18.6108	3.7024	45.7400	32	144	-74	100548	0.65 
1830.177	-0.3379	-0.0210	0.9790	1.4648	2.1973	-0.3052	-1.3733	18.8635	3.6694	45.7500	32	147	-74	100549	0.65 
1830.271	-0.3130	0.0317	0.9668	0.9155	0.9766	-0.9766	-1.3184	18.8470	3.3563	45.7400	34	147	-72	100549	0.65 
1830.380	-0.3218	0.0347	0.9717	0.1831	3.9063	5.7373	-1.0602	19.0173	3.6914	45.7600	35	149	-75	100549	0.65 
1830.474	-0.3735	-0.0425	0.9678	-1.2817	3.6621	1.6479	-0.4779	20.0720	4.6692	45.7500	37	141	-75	100549	0.65 
1830.583	-0.3687	-0.0063	0.9585	-3.1128	0.2441	-18.8599	-1.1206	20.0610	3.3673	45.7200	37	143	-75	100549	0.65 
1830.739	-0.3340	0.0474	1.0981	0.3052	11.0474	-20.3857	-2.2852	20.6104	0.8020	45.7400	31	147	-74	100550	0.65 
1830.786	-0.2104	-0.0957	0.8838	-13.3667	-7.0190	15.9302	-2.4445	19.7589	1.5765	45.7400	28	146	-72	100550	0.65 
1830.880	-0.3672	-0.1533	1.1143	-7.2632	11.0474	5.0049	-3.3618	20.6763	2.4115	45.7500	34	145	-68	100550	0.65 
1830.989	-0.1938	-0.0171	0.9072	0.9155	-3.2349	-8.0566	-4.2297	19.4293	1.7194	45.7300	34	145	-67	100550	0.65 
1831.068	-0.3232	-0.0674	1.0859	-4.7607	1.5259	6.2256	-3.9771	19.6106	2.2137	45.7400	33	147	-67	100550	0.65 
1831.193	-0.6548	-0.2861	1.5034	9.9487	34.9731	8.7280	-3.9990	20.5225	3.2739	45.7200	43	146	-61	100551	0.65 
1831.302	-0.3774	0.0093	0.4873	6.7139	9.7046	33.8135	-1.2140	20.7642	5.4987	45.7000	48	146	-70	100551	0.65 
1831.396	-0.3833	0.1138	0.9487	13.7329	-21.3013	1.2207	-0.1978	22.3077	6.0370	45.6900	56	145	-72	100551	0.65 
1831.458	-0.2583	0.0278	0.6797	3.9673	7.7515	7.7515	1.6699	21.2970	7.7673	45.6500	58	143	-80	100550	0.65 
1831.646	-0.3105	0.1470	0.9180	1.6479	0.9155	16.7847	2.4060	21.7255	9.0088	45.6800	63	143	-82	100550	0.65 
1831.693	-0.5068	-0.0571	1.3530	-6.9580	-4.3945	0.4272	2.7521	21.5552	11.2500	45.6700	70	142	-77	100550	0.65 
1831.786	-0.5254	0.2378	1.2017	-6.8359	-0.6104	-7.2632	1.8347	19.5776	10.8160	45.6800	74	140	-80	100550	0.65 
1831.881	-0.3760	-0.2188	0.3872	0.0000	-17.1509	-42.3584	-0.3296	18.5834	7.5861	45.6800	68	146	-81	100550	0.65 
1832.021	-0.4453	0.0977	1.0698	-20.8740	-12.3291	20.2637	-1.6425	20.2698	5.4272	45.6700	57	149	-85	100549	0.65 
1832.083	-0.1792	-0.2397	0.5117	-3.6011	13.0005	-10.3149	-3.4772	19.1656	6.4545	45.6800	60	153	-83	100549	0.65 
1832.208	-0.2749	-0.0488	0.9575	2.6855	0.6104	-4.5166	-4.6198	20.6708	5.1361	45.6800	62	152	-83	100549	0.65 
1832.286	-0.3467	-0.1270	1.1538	1.8921	13.6719	-15.6860	-4.7021	21.3245	4.9329	45.6600	64	154	-83	100549	0.65 
1832.380	-0.7866	-0.1411	1.5977	5.6763	14.8926	42.0532	-4.4165	22.9779	6.1359	45.6900	68	154	-81	100549	0.65 
1832.506	-0.2588	-0.0332	0.4199	8.6060	1.1597	38.0249	-1.3458	21.0992	10.4755	45.6600	75	153	-86	100548	0.65 
1832.677	-0.3535	0.1045	0.9326	0.7935	-26.5503	7.0801	0.4449	22.1265	12.4530	45.6500	83	147	-91	100548	0.65 
1832.771	-0.2832	-0.0205	0.6265	7.3853	29.5410	2.0752	0.4559	21.4453	12.8595	45.6500	83	148	-95	100548	0.65 
1832.802	-0.3252	0.1084	1.0029	5.8594	-3.6011	-2.6245	1.5491	22.6428	13.4747	45.6400	88	147	-99	100547	0.65 
1832.896	-0.4302	0.0552	1.3394	0.5493	1.0376	-4.9438	1.9556	22.5330	14.1833	45.6500	93	147	-98	100547	0.65 
1833.021	-0.7852	-0.1162	1.2759	-8.6670	-19.4702	-18.1274	1.3293	22.9120	14.0350	45.6500	92	148	-98	100547	0.65 
1833.099	-0.2983	0.0425	0.7554	-1.9531	32.0435	-37.4756	-1.3898	22.2308	9.0088	45.6300	80	156	-104	100547	0.65 
1833.193	-0.2681	0.0112	0.6685	-12.0850	-8.4839	-11.7188	-2.5928	22.9889	7.8827	45.6300	76	160	-102	100546	0.65 
1833.302	-0.3755	-0.0508	0.8584	-8.9111	26.4893	-4.2725	-3.8617	24.4171	6.9489	45.6400	75	163	-100	100546	0.65 
1833.412	-0.3418	-0.2476	0.9844	6.8970	0.1831	-0.7935	-4.2462	24.5764	7.4542	45.6400	81	163	-98	100546	0.65 
1833.491	-0.5596	0.0522	1.3784	-0.9766	-2.9907	3.6011	-3.6530	24.5490	7.2565	45.6400	77	162	-101	100546	0.65 
1833.600	-0.4849	0.0732	0.7920	17.0288	-19.8364	34.8511	-1.9885	23.8184	9.9536	45.6200	81	163	-101	100546	0.65 
1833.694	-0.3921	0.0332	1.0464	11.8408	6.6528	5.1880	0.4065	23.4283	12.3816	45.6200	87	160	-109	100545	0.65 
1833.803	-0.2466	-0.0244	0.5820	2.4414	-17.7612	4.0283	1.5546	21.5936	13.2605	45.6000	89	154	-116	100545	0.65 
1833.882	-0.3003	0.0571	0.9048	1.6479	10.2539	4.5776	2.2357	21.9287	13.8812	45.6100	89	154	-118	100545	0.65 
1834.022	-0.4238	0.1582	1.2847	-1.9531	17.3340	14.8926	2.6752	22.3132	15.3259	45.6200	94	156	-114	100544	0.65 
1834.100	-0.7070	0.2114	1.4800	-3.9063	31.7993	-3.5400	3.0487	22.3846	16.6113	45.6000	98	155	-113	100544	0.65 
1834.210	-0.3496	-0.1357	0.3882	0.9766	-17.3950	-42.7246	0.5493	22.1759	12.2113	45.5900	96	155	-115	100544	0.65 
1834.273	-0.4468	0.0112	0.9150	-13.3667	1.6479	3.2349	-0.6647	23.7360	10.3931	45.5900	88	163	-117	100544	0.65 
1834.462	-0.2549	-0.0400	0.6021	-5.0659	18.7988	-15.4419	-2.3895	23.7524	9.3219	45.5800	84	165	-114	100543	0.65 
1834.493	-0.3320	-0.0415	0.9121	-10.7422	13.8550	18.2495	-3.2355	25.5542	9.2725	45.6000	85	169	-111	100543	0.65 
1834.618	-0.6270	-0.2539	1.4346	-3.6621	-1.6479	18.7988	-2.3346	27.3010	12.6343	45.5900	95	165	-104	100543	0.65 
1834.696	-0.7432	0.1318	1.2515	21.3623	5.0049	16.9067	-2.4390	26.5594	12.3816	45.6000	97	166	-106	100543	0.65 
1834.868	-0.3481	0.0234	0.6240	14.4043	-17.3950	-12.7563	0.7141	24.8950	14.6173	45.5700	105	159	-110	100543	0.65 
1834.899	-0.3252	-0.0059	0.6646	5.6152	-15.3198	2.8076	1.9995	23.9886	13.7988	45.5800	97	159	-118	100542	0.65 
1835.024	-0.3369	0.0439	0.7378	4.9438	16.0522	1.4648	2.5323	24.0546	13.5516	45.5600	101	158	-127	100542	0.65 
1835.102	-0.3740	0.1841	1.0059	-0.9155	3.1128	-0.1831	2.9718	24.2029	13.8702	45.5700	98	158	-120	100542	0.65 
1835.259	-0.3545	0.2471	1.2910	-8.0566	-19.4092	4.3945	2.9279	23.1866	14.3427	45.5800	100	159	-120	100542	0.65 
1835.321	-0.6909	-0.2383	1.0200	-14.0381	-26.1230	-26.5503	2.0160	23.5107	14.2493	45.5500	105	159	-121	100541	0.65 
1835.415	-0.2915	0.0425	0.7720	-12.7563	14.4653	0.9766	-0.1208	22.5989	10.6732	45.5600	92	168	-121	100541	0.65 
1835.509	-0.3926	0.0127	0.6929	-15.0146	0.3052	5.6152	-1.5491	23.7634	11.0797	45.5400	97	171	-116	100541	0.65 
1835.618	-0.3350	-0.1353	0.9224	-12.5732	11.5967	-7.6294	-2.8345	24.6094	11.1292	45.5500	99	171	-113	100540	0.65 
1835.696	-0.3394	-0.0688	0.9346	-4.3335	12.4512	12.8174	-4.1199	24.3622	11.4862	45.5600	100	175	-108	100540	0.66 
1835.884	-0.7954	-0.1001	1.3867	7.0190	23.0103	1.1597	-4.2572	25.3290	11.5411	45.5500	109	175	-106	100540	0.66 
1835.915	-0.3691	-0.0454	0.4673	6.7749	-31.0669	16.7236	-0.7526	25.4169	15.3754	45.5600	118	174	-110	100539	0.66 
1836.040	-0.4336	0.1689	0.9697	8.8501	-10.3149	22.4609	0.4504	25.1807	15.8917	45.5600	122	169	-116	100539	0.66 
1836.103	-0.3086	-0.0132	0.5356	1.6479	10.1318	3.7842	1.0052	23.8953	16.7706	45.5600	120	166	-119	100538	0.66 
1836.321	-0.3389	0.1567	0.9268	1.0376	-7.2632	6.4697	1.9720	24.5490	17.6550	45.5600	128	165	-123	100538	0.66 
1836.353	-0.4854	0.0840	1.4204	-1.6479	-6.4697	-5.7373	2.6093	24.6753	18.5120	45.5600	131	160	-125	100538	0.66 
1836.431	-0.7935	-0.0488	1.3281	-14.5264	12.8174	-7.3853	1.8622	24.4775	18.7756	45.5600	128	163	-124	100537	0.66 
1836.509	-0.3296	0.0527	0.6377	-3.9063	11.0474	-42.0532	-1.0437	24.0710	14.4910	45.5500	121	172	-124	100537	0.66 
1836.634	-0.3662	-0.0420	0.6753	-19.6533	-2.6855	11.2915	-1.5656	24.5764	15.0458	45.5400	119	175	-126	100537	0.66 
1836.713	-0.3818	-0.1445	0.8896	-5.9204	14.6484	-17.8223	-3.6310	25.5103	14.2657	45.5600	120	176	-118	100537	0.66 
1836.919	-0.3228	-0.1245	1.0117	2.3804	-6.7749	-9.0942	-5.0757	25.1422	12.9419	45.5700	116	179	-117	100537	0.66 
1836.982	-0.4937	-0.0479	1.3379	11.5356	0.0000	-25.2075	-5.5316	23.8623	10.1349	45.5500	106	183	-119	100537	0.66 
1837.075	-0.6768	0.1050	0.8301	18.6157	-8.4229	33.0200	-2.4280	24.8291	12.7606	45.5400	107	179	-128	100536	0.66 
1837.122	-0.3086	0.0991	0.8662	8.3008	1.4648	11.8408	-0.2252	24.6643	14.2053	45.5200	110	176	-135	100536	0.66 
1837.294	-0.2759	-0.0723	0.5493	2.6855	-5.0659	-5.9204	1.0767	23.9337	15.8203	45.5100	109	167	-137	100536	0.66 
1837.325	-0.4028	0.1025	0.9727	5.1880	8.4839	11.7188	1.7139	24.9445	16.2872	45.5000	112	168	-143	100536	0.66 
1837.513	-0.4214	0.0693	1.1636	8.9722	3.6621	3.6621	2.9828	24.4556	17.7979	45.5000	116	162	-141	100535	0.66 
