StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
2.787	-0.3267	-0.0229	0.9688	-0.5493	0.5493	1.7090	-1.2799	18.0670	86.1438	44.4300	210	19	-67	100548	0.65 
2.897	-0.3267	-0.0151	0.9697	-0.6104	-0.4272	1.3428	-1.2744	18.1274	86.2152	44.4400	209	17	-63	100548	0.65 
2.990	-0.3262	-0.0234	0.9751	-0.8545	0.1831	1.9531	-1.2799	18.1439	86.3251	44.4600	207	17	-62	100548	0.65 
3.178	-0.3364	-0.0234	0.9727	-0.6714	-0.3052	0.9766	-1.2909	18.2318	86.4185	44.4500	210	16	-63	100548	0.65 
3.209	-0.3472	-0.0176	0.9819	-0.2441	1.5259	-0.3052	-1.3458	18.3527	86.3251	44.4600	208	17	-65	100548	0.65 
3.303	-0.3315	-0.0474	0.9780	-1.9531	0.5493	-0.4883	-1.4612	18.4131	86.2866	44.4400	208	15	-65	100548	0.65 
3.381	-0.3428	-0.0361	0.9897	-3.2959	3.6011	-6.4697	-2.0270	18.5394	85.7043	44.4600	212	18	-63	100548	0.65 
3.600	-0.2822	-0.0752	0.9604	-3.7842	-3.4180	7.6294	-2.1643	18.1274	85.9625	44.4500	211	18	-63	100548	0.65 
3.615	-0.3262	-0.0732	0.9663	3.5400	2.6245	-4.6387	-2.4500	18.2483	86.0175	44.4600	211	17	-69	100548	0.65 
3.709	-0.3208	-0.0161	0.9810	4.0894	2.0752	3.1738	-2.0105	18.5394	85.8636	44.4400	211	17	-65	100548	0.65 
3.803	-0.3560	-0.0376	0.9463	4.0894	10.1318	5.5542	-1.4667	19.1052	86.3910	44.4500	210	15	-63	100548	0.65 
3.912	-0.3574	0.0947	0.7979	-2.9297	11.5356	21.5454	-0.7910	20.6378	87.4841	44.4400	213	13	-59	100548	0.65 
4.006	-0.3418	-0.1011	1.2510	-5.0049	8.3618	1.4038	-0.9668	21.8738	88.6322	44.4600	218	9	-56	100548	0.65 
4.115	-0.2563	-0.0239	0.8867	10.9253	11.5967	13.7939	-0.0439	21.6541	89.3793	44.4700	218	7	-51	100548	0.65 
4.194	-0.1997	0.1196	1.0137	-0.9155	2.2583	7.6294	0.8624	21.8903	89.9396	44.4700	218	6	-51	100549	0.65 
4.319	-0.2378	-0.0278	1.0249	0.4883	20.9351	-5.0049	0.4285	21.8628	89.9341	44.4600	218	4	-47	100549	0.65 
4.397	-0.2627	0.1250	1.1270	9.9487	-7.6294	-8.5449	1.1646	22.3682	89.1925	44.4600	220	7	-43	100549	0.65 
4.537	-0.5068	0.2114	1.0483	-1.0376	-11.1694	19.5923	2.2852	21.8518	88.9069	44.4500	218	5	-42	100549	0.65 
4.616	-0.4263	-0.2422	0.4785	-15.1978	-28.3813	-23.1934	1.4392	20.0720	90.3241	44.4400	219	7	-48	100549	0.65 
4.803	-0.4092	0.1021	1.0488	-4.0283	-7.2632	17.6392	-0.2527	19.8358	88.9948	44.4200	219	8	-52	100549	0.65 
4.834	-0.2358	-0.1064	0.8677	-8.6060	11.9629	-8.7280	-1.8567	19.1602	89.0112	44.4200	217	11	-55	100549	0.65 
4.928	-0.1846	-0.1289	0.8926	-2.7466	-1.2817	1.5869	-2.4884	19.3689	89.3243	44.4300	216	8	-52	100549	0.65 
5.037	-0.3745	0.0400	1.1445	0.6104	-13.0615	22.5830	-2.0929	19.7534	90.5054	44.4400	221	8	-53	100549	0.65 
5.131	-0.4888	0.0015	1.0874	-2.1362	-21.3623	28.8696	-2.3895	18.0066	91.6644	44.4200	221	6	-56	100549	0.65 
5.225	-0.4722	-0.0117	0.6255	-0.1221	-0.8545	-37.2314	-3.7244	17.8473	90.9778	44.4100	224	4	-55	100549	0.65 
5.350	-0.3779	-0.1465	0.9829	10.0098	-17.3340	-9.2163	-3.1201	18.1659	88.5498	44.3900	223	13	-56	100549	0.65 
5.428	-0.2104	0.0898	0.7764	20.2637	20.0806	-38.2080	-2.6697	17.5232	85.2319	44.4100	222	19	-62	100549	0.65 
5.548	-0.1729	0.1401	0.9033	-1.0986	0.1831	-4.3335	-1.8402	18.2538	82.9468	44.4000	223	27	-56	100549	0.65 
5.633	-0.2729	-0.0933	1.1992	-3.9063	2.2583	-13.5498	-2.2083	18.4076	82.4304	44.3800	224	28	-56	100549	0.65 
5.820	-0.9585	0.0898	1.4961	11.4136	16.1133	9.4604	-1.9885	17.9132	81.1230	44.3900	226	33	-58	100549	0.65 
5.851	-0.3184	-0.2207	0.3594	-2.3193	-6.8970	4.2725	-0.5328	17.4683	84.1553	44.3900	224	27	-61	100549	0.65 
5.960	-0.5015	0.1021	1.2222	-19.2261	10.5591	40.1611	-1.6095	19.7369	85.8691	44.3800	230	24	-65	100548	0.65 
6.132	-0.2456	-0.1138	0.7095	-13.0615	36.8652	27.7100	-2.9279	19.4788	88.8135	44.3900	236	17	-61	100548	0.65 
6.164	-0.2598	-0.1104	1.0400	-4.3335	1.0376	18.1274	-2.4774	21.4783	91.2634	44.4100	240	7	-56	100549	0.65 
6.258	-0.2715	-0.2090	1.2305	-7.3853	1.0376	1.0986	-2.7191	20.5334	92.5928	44.4000	241	2	-54	100549	0.65 
6.383	-0.6147	-0.2397	1.0161	-14.0991	-13.7939	-8.7891	-3.2410	20.2643	93.8287	44.3900	239	3	-60	100549	0.65 
6.539	-0.3228	0.1763	0.9839	8.4229	-0.2441	-23.3765	-5.8832	19.4568	87.9510	44.4000	239	15	-59	100549	0.65 
6.570	-0.2681	-0.0586	0.6655	21.7896	-6.3477	-37.2314	-4.5264	19.2206	87.5830	44.3800	236	18	-62	100549	0.65 
6.742	-0.2515	0.2285	0.9819	10.6812	-5.1270	-3.5400	-3.1311	19.3634	84.1498	44.3800	237	20	-64	100549	0.65 
6.789	-0.2759	-0.1943	1.1392	-1.8311	-0.3052	-14.6484	-2.6642	18.2758	84.2761	44.3900	236	25	-67	100549	0.65 
6.868	-0.6157	0.2026	1.1167	8.0566	-22.1558	8.8501	-1.8896	16.0236	83.0841	44.3800	234	27	-74	100549	0.65 
6.992	-0.4033	-0.4434	0.7798	12.4512	-13.9771	4.0894	-0.0110	15.0842	86.7700	44.3700	236	19	-81	100549	0.65 
7.071	-0.3477	0.2500	0.8701	-16.4185	-1.4648	10.8643	-0.9943	14.4415	84.8254	44.3700	228	22	-89	100549	0.65 
7.197	-0.2749	-0.1729	1.0337	-9.9487	40.1611	29.6631	-2.6587	15.9851	87.0117	44.3800	232	20	-88	100549	0.65 
7.369	-0.2627	0.0386	1.0649	-13.2446	13.6108	37.1704	-2.4664	17.9791	89.4452	44.3600	244	13	-78	100549	0.65 
7.400	-0.0601	-0.2773	1.3062	-15.4419	-1.5869	11.5967	-2.8345	16.7542	92.6807	44.3700	248	3	-79	100549	0.65 
7.494	-0.5215	-0.1978	0.6768	-17.0898	-24.2310	-11.3525	-3.8672	17.3035	94.0649	44.3900	249	0	-78	100550	0.65 
7.588	-0.4482	0.1001	1.1113	19.6533	15.8691	-1.8311	-4.5923	17.0288	90.4779	44.3600	249	5	-81	100549	0.65 
7.697	-0.0420	0.0669	0.5200	17.9443	2.2583	-46.5088	-3.7518	15.5292	87.8467	44.3600	248	9	-87	100550	0.65 
