StartTime: 2017-07-21 14:02:54.787
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
6.068	2015-01-01 00:06:52.840	0.0034	-0.0054	1.0107	-1.0376	-2.9907	-16.6626	-1.5106	-4.5923	14.2548	47.5900	450	465	-225	100850	0.40 
6.114	2015-01-01 00:06:52.880	-0.0063	-0.0063	1.0259	-0.9155	-3.3569	-16.9067	-1.5051	-4.6143	14.2877	47.5900	450	464	-225	100850	0.40 
6.161	2015-01-01 00:06:52.920	-0.0117	0.0044	1.0244	-1.2207	-3.2349	-16.9067	-1.4886	-4.6198	14.3097	47.5400	450	466	-225	100850	0.40 
6.193	2015-01-01 00:06:52.960	-0.0142	0.0020	1.0244	-1.7700	-3.7231	-17.3340	-1.4886	-4.6472	14.3262	47.5900	451	465	-225	100851	0.40 
6.224	2015-01-01 00:06:53.000	-0.0107	0.0034	1.0166	-2.3804	-3.2959	-17.5781	-1.5106	-4.6747	14.3317	47.6400	451	464	-225	100851	0.40 
6.271	2015-01-01 00:06:53.040	-0.0029	-0.0020	1.0200	-1.8921	-2.6855	-17.3950	-1.5326	-4.6802	14.3427	47.5400	452	464	-226	100851	0.40 
6.302	2015-01-01 00:06:53.080	-0.0161	0.0020	1.0220	-1.6479	-2.4414	-18.0054	-1.5436	-4.6747	14.3481	47.5400	449	463	-227	100851	0.40 
6.365	2015-01-01 00:06:53.120	-0.0103	0.0112	1.0190	-2.0752	-2.9297	-18.9209	-1.5546	-4.6582	14.2932	47.5400	447	462	-223	100851	0.40 
6.396	2015-01-01 00:06:53.160	-0.0259	0.0103	1.0273	-2.1362	-4.0894	-17.8223	-1.5546	-4.6527	14.2603	47.5900	446	462	-221	100851	0.39 
6.427	2015-01-01 00:06:53.200	-0.0044	0.0078	1.0171	-1.5869	-2.1362	-17.8833	-1.5546	-4.6857	14.2548	47.4000	449	463	-223	100851	0.40 
6.474	2015-01-01 00:06:53.240	-0.0234	0.0020	1.0308	-1.8311	-3.9673	-18.2495	-1.5601	-4.6802	14.2493	47.5900	453	465	-219	100851	0.40 
6.521	2015-01-01 00:06:53.280	-0.0073	-0.0010	1.0205	-1.5259	-2.3193	-19.2871	-1.5656	-4.6912	14.2108	47.8800	454	466	-218	100851	0.39 
6.568	2015-01-01 00:06:53.320	-0.0278	0.0054	1.0171	-1.7090	-1.8921	-18.4937	-1.5710	-4.6582	14.1614	47.5900	452	463	-224	100851	0.40 
6.599	2015-01-01 00:06:53.360	-0.0161	0.0054	1.0249	-1.4648	-2.3804	-18.3105	-1.5491	-4.6307	14.1394	47.5900	452	463	-224	100851	0.39 
6.630	2015-01-01 00:06:53.400	-0.0146	0.0054	1.0215	-1.4038	-1.4648	-18.0054	-1.5381	-4.5813	14.1229	47.5900	450	462	-225	100851	0.40 
6.693	2015-01-01 00:06:53.440	-0.0171	0.0039	1.0278	-0.6104	-1.0376	-16.6626	-1.5216	-4.5099	14.1394	47.5900	449	462	-223	100850	0.40 
6.724	2015-01-01 00:06:53.480	-0.0210	0.0098	1.0215	-1.2817	-2.2583	-16.5405	-1.5106	-4.4495	14.1888	47.6400	451	464	-222	100850	0.40 
6.771	2015-01-01 00:06:53.520	-0.0244	0.0088	1.0200	-1.7700	-2.1973	-16.4185	-1.5106	-4.4110	14.2273	47.5900	452	465	-222	100850	0.40 
6.802	2015-01-01 00:06:53.560	-0.0229	0.0049	1.0298	-2.0142	-2.9297	-16.5405	-1.5271	-4.3835	14.2657	47.8800	452	464	-225	100850	0.40 
6.849	2015-01-01 00:06:53.600	-0.0269	0.0029	1.0205	-1.8311	-3.3569	-17.0898	-1.5326	-4.3726	14.2877	47.5900	450	467	-227	100851	0.40 
6.880	2015-01-01 00:06:53.640	-0.0234	0.0000	1.0239	-1.4648	-3.2349	-17.0898	-1.5436	-4.3781	14.3042	47.6400	450	468	-228	100850	0.40 
6.927	2015-01-01 00:06:53.680	-0.0215	0.0024	1.0225	-1.4648	-2.7466	-18.1274	-1.5381	-4.3726	14.2987	47.8800	451	465	-227	100851	0.40 
6.974	2015-01-01 00:06:53.720	-0.0186	0.0054	1.0156	-1.5869	-2.0752	-17.8833	-1.5326	-4.3506	14.2877	47.6400	451	463	-223	100851	0.40 
7.005	2015-01-01 00:06:53.760	-0.0210	0.0083	1.0249	-1.4038	-2.6855	-17.8833	-1.5271	-4.3231	14.2712	47.4500	451	463	-222	100851	0.40 
7.052	2015-01-01 00:06:53.800	-0.0264	0.0093	1.0225	-1.2817	-3.1738	-17.4561	-1.5216	-4.3231	14.2712	47.5400	452	463	-223	100850	0.40 
7.083	2015-01-01 00:06:53.840	-0.0190	0.0146	1.0181	-1.4648	-2.0142	-17.3950	-1.5106	-4.3176	14.2822	47.7400	451	464	-224	100851	0.40 
7.130	2015-01-01 00:06:53.880	-0.0361	0.0132	1.0283	-1.8921	-4.6997	-17.7002	-1.5051	-4.3066	14.2822	47.5400	450	464	-226	100850	0.40 
7.193	2015-01-01 00:06:53.920	-0.0034	0.0039	1.0142	-1.9531	-3.6011	-17.8833	-1.5216	-4.3890	14.2822	47.5400	451	464	-223	100850	0.40 
7.208	2015-01-01 00:06:53.960	-0.0215	0.0078	1.0107	-1.3428	-3.8452	-16.9678	-1.5326	-4.4220	14.2987	47.5900	448	463	-224	100850	0.40 
7.240	2015-01-01 00:06:54.000	-0.0161	0.0083	1.0239	-1.8311	-4.2725	-17.6392	-1.5326	-4.4550	14.3042	47.5400	446	461	-223	100850	0.40 
7.286	2015-01-01 00:06:54.040	-0.0117	0.0073	1.0278	-1.5259	-3.4790	-17.7612	-1.5271	-4.4824	14.2932	47.7800	449	461	-225	100850	0.40 
7.333	2015-01-01 00:06:54.080	-0.0088	0.0137	1.0273	-1.6479	-1.3428	-16.7236	-1.5161	-4.4550	14.3152	47.6400	449	460	-228	100850	0.40 
7.474	2015-01-01 00:06:54.120	-0.0229	0.0112	1.0288	-2.3804	-4.7607	-17.2729	-1.5326	-4.4495	14.3481	47.7400	448	460	-230	100850	0.40 
7.474	2015-01-01 00:06:54.160	-0.0229	0.0098	1.0186	-2.8076	-5.3101	-17.7612	-1.5710	-4.5319	14.3481	47.5400	449	463	-227	100850	0.40 
7.474	2015-01-01 00:06:54.200	-0.0142	0.0010	1.0210	-1.6479	-3.8452	-16.9067	-1.5875	-4.5868	14.3646	47.5900	449	463	-226	100850	0.40 
7.505	2015-01-01 00:06:54.240	-0.0186	0.0044	1.0166	-2.1362	-5.4321	-17.5171	-1.6040	-4.6582	14.3866	47.6400	448	463	-225	100850	0.40 
7.521	2015-01-01 00:06:54.280	-0.0107	0.0073	1.0254	-1.5259	-3.2959	-16.8457	-1.5985	-4.7021	14.4031	47.5900	449	465	-224	100851	0.40 
