StartTime: 2017-07-06 16:07:19.834
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
2.219	-0.2827	-0.0166	0.9600	0.8545	-0.2441	-3.7231	-0.9009	16.6278	123.2227	43.2000	145	-100	166 
2.250	-0.2744	-0.0073	0.9590	0.7935	-0.4883	-2.9907	-0.8734	16.5289	122.5250	43.2000	145	-98	164 
2.391	-0.2764	0.0000	0.9551	0.6104	-1.0986	-2.3804	-0.8789	16.4575	121.9263	43.2000	143	-99	165 
2.422	-0.2886	-0.0112	0.9565	0.1221	1.4038	1.3428	-0.8405	16.4630	121.6351	43.2000	145	-96	162 
2.485	-0.2979	-0.0103	0.9683	-1.4648	2.0752	5.7373	-0.7800	16.6223	121.7395	43.2100	140	-97	163 
2.641	-0.2856	-0.0225	0.9644	0.2441	0.2441	2.9297	-0.7251	16.7047	121.9702	43.2000	143	-99	165 
2.781	-0.2749	-0.0015	0.9512	0.7935	0.3662	1.7700	-0.5988	16.6827	121.9537	43.2200	144	-98	164 
2.828	-0.2905	-0.0020	0.9600	-0.1221	0.6104	1.4648	-0.5273	16.7706	121.8549	43.2300	143	-99	163 
2.891	-0.2915	-0.0044	0.9546	-0.1831	0.7935	1.5869	-0.4834	16.8311	121.7670	43.2300	147	-97	165 
3.047	-0.2988	-0.0044	0.9556	-0.3052	1.5259	1.8311	-0.4285	16.9629	121.6681	43.2400	147	-98	168 
3.203	-0.2979	0.0034	0.9570	-0.2441	0.7935	1.6479	-0.3845	17.1002	121.5857	43.2600	145	-99	168 
3.250	-0.2959	0.0054	0.9517	-0.1831	0.9766	3.2349	-0.3021	17.1606	121.5912	43.2800	145	-98	166 
3.391	-0.3750	-0.0303	0.9624	1.2817	2.1973	-0.9766	-0.2142	17.3914	121.5198	43.2700	146	-103	167 
3.438	-0.3853	0.0186	0.9268	2.4414	1.8311	12.5122	0.2911	17.9132	121.9373	43.2900	145	-102	167 
3.485	-0.3809	0.0049	0.9121	1.7090	-9.7656	16.4795	0.8899	17.7264	123.0579	43.2800	149	-103	167 
3.656	-0.3809	0.0298	0.9370	0.3662	-13.7329	29.2969	1.7523	16.8091	125.1233	43.2900	148	-107	163 
3.703	-0.4028	0.0249	0.8730	-0.3662	-18.0664	43.6401	2.8784	15.4523	128.6829	43.3000	149	-116	158 
3.861	-0.3647	0.0034	0.8198	-4.0894	-21.7285	43.3960	3.7079	13.8153	132.6874	43.3000	146	-129	152 
3.892	-0.3477	0.0547	0.7051	-9.6436	-23.7427	38.6963	3.8452	11.9696	136.3403	43.3200	140	-139	145 
4.080	-0.3145	-0.0601	0.5313	-15.3198	6.6528	20.7520	3.1256	11.7664	139.0979	43.3100	135	-154	135 
4.111	-0.1772	0.0718	0.2520	-27.5879	6.9580	12.2681	1.2360	13.3374	139.4275	43.3100	135	-153	134 
4.236	-0.1567	-0.1475	1.2793	-35.8276	-27.2217	20.7520	-1.0931	13.1616	141.8555	43.2900	134	-152	132 
4.283	0.4536	-0.3164	0.2305	-72.3267	-147.8882	97.1680	-5.5646	0.3186	148.2825	43.2800	114	-151	111 
4.455	0.4170	0.4565	2.7881	-15.8081	-281.1279	-42.2363	-9.7888	-17.0288	148.2605	43.2600	64	-134	77 
4.502	0.1699	-0.1118	0.7241	-26.6113	-166.1987	61.1572	-14.9908	-43.0170	158.0603	43.2600	-32	-118	45 
4.642	0.1699	-0.1118	0.7241	-26.6113	-166.1987	61.1572	-33.9642	-60.3149	179.1156	43.2600	-108	-107	36 
4.689	0.8589	-0.9160	-0.7124	2.8687	-70.1904	85.6323	-76.7889	-66.0883	-135.8954	43.2300	-173	-86	61 
4.861	0.9326	-0.7173	-0.2212	2.3804	-2.9907	-46.6309	-76.7395	-68.6700	-133.1158	43.2300	-196	-78	72 
4.908	0.9849	-0.0142	0.3701	22.9492	76.8433	-57.3120	-51.1798	-72.8998	-155.1324	43.2300	-193	-93	65 
5.064	0.9873	-0.3105	0.3198	20.5078	62.1948	-52.6123	-29.3060	-70.2521	-173.1500	43.2400	-176	-109	55 
5.111	0.9302	-0.1357	0.4912	10.6201	52.3682	-10.7422	-15.3754	-64.9237	176.5668	43.2200	-156	-120	43 
5.236	0.8950	0.5332	0.6753	2.9907	-80.8716	58.7769	-14.1943	-61.9135	179.2804	43.2200	-139	-122	36 
5.314	0.6821	-0.3174	0.8262	14.5874	8.9722	-27.5879	-21.1212	-63.5120	-173.3148	43.2200	-143	-121	40 
5.470	1.0630	-0.2051	0.2231	-20.5078	-24.4141	27.2217	-25.6201	-66.2146	-165.7892	43.2100	-149	-114	43 
5.533	0.9766	-0.2793	0.1987	5.4321	5.9814	-18.6768	-32.0471	-67.2803	-157.4341	43.1900	-159	-111	45 
5.673	0.9473	-0.1943	0.4180	5.2490	30.4565	-2.3193	-26.7133	-66.0828	-160.1697	43.2200	-155	-113	42 
5.720	0.8330	-0.1626	0.5088	3.5400	14.8315	-10.6201	-23.4558	-64.0063	-160.7629	43.1900	-149	-116	43 
5.845	0.8354	-0.0869	0.4966	-3.4790	-4.8828	-0.4883	-21.8573	-63.3362	-160.1367	43.2100	-141	-116	42 
5.892	0.9336	-0.1724	0.3721	-4.6387	-15.0146	7.0190	-23.7195	-64.2755	-156.4178	43.2100	-146	-113	41 
6.064	0.9448	-0.2397	0.3340	-0.2441	-3.2959	1.8311	-25.9497	-65.0665	-152.3639	43.2100	-153	-114	44 
6.142	1.0083	-0.1577	0.4131	-3.4180	6.4697	7.3242	-26.5649	-64.5502	-150.0623	43.2300	-149	-115	43 
6.267	0.9551	-0.2710	0.4429	5.6152	7.2632	2.2583	-26.0815	-64.0723	-148.7274	43.2300	-148	-111	43 
6.330	0.9023	-0.1836	0.4063	-2.8076	-1.3428	3.1738	-25.5048	-63.7811	-147.3212	43.2400	-148	-112	44 
6.470	0.9238	-0.1631	0.4067	0.1221	0.1221	1.2207	-25.7520	-63.8251	-145.5249	43.2400	-147	-109	41 
6.548	0.8984	-0.1948	0.4116	-0.6714	1.7700	0.5493	-25.7245	-63.7042	-144.0802	43.2500	-144	-114	42 
6.627	0.8843	-0.1904	0.4253	-0.1221	0.8545	0.8545	-25.7465	-63.4406	-142.7289	43.2300	-146	-115	41 
6.720	0.8940	-0.1777	0.4229	-0.6714	-1.0986	1.8921	-25.7574	-63.3691	-141.4215	43.2300	-150	-114	38 
6.915	0.8892	-0.1738	0.4233	0.1221	-0.3662	-0.4272	-25.8069	-63.3197	-140.1910	43.2400	-145	-112	38 
6.962	0.8970	-0.1938	0.4116	-0.4883	0.9155	1.0986	-25.8838	-63.2758	-138.9825	43.2400	-144	-115	41 
7.071	0.8887	-0.1836	0.4243	-0.1221	0.6104	0.3052	-25.8618	-63.1714	-137.9224	43.2400	-148	-112	42 
7.134	0.8911	-0.1812	0.4258	-0.7324	-0.2441	0.4272	-25.8453	-63.1000	-136.9061	43.2800	-147	-116	42 
7.290	0.8955	-0.1831	0.4146	-0.5493	-0.1831	0.9155	-25.8893	-63.0890	-135.8789	43.2500	-146	-113	43 
7.305	0.8950	-0.1909	0.4141	-0.4272	-0.1221	0.1221	-25.9827	-63.0396	-134.8792	43.2600	-146	-115	42 
7.477	0.8970	-0.1836	0.4219	-0.5493	0.0610	0.0610	-25.9827	-62.9956	-134.0277	43.2500	-147	-115	41 
7.524	0.8970	-0.1855	0.4146	-0.3662	0.2441	0.4883	-25.9772	-62.9956	-133.2642	43.2700	-145	-114	41 
7.649	0.8921	-0.1831	0.4307	-0.0610	0.3662	-0.1831	-25.9497	-62.9407	-132.5006	43.2700	-149	-113	42 
7.727	0.9077	-0.1914	0.4106	-0.4883	-0.4272	0.6714	-26.0321	-62.9352	-131.6766	43.2800	-146	-111	40 
7.884	0.8931	-0.1846	0.4263	-0.0610	0.5493	0.3662	-25.9772	-62.9077	-131.0339	43.2800	-145	-110	43 
7.946	0.8931	-0.1802	0.4282	-0.3052	0.3052	0.9766	-25.9167	-62.8418	-130.3693	43.2900	-144	-110	41 
7.978	0.9585	-0.1499	0.4468	-2.0752	0.5493	8.8501	-26.2299	-62.7264	-129.4080	43.2900	-144	-111	43 
8.181
