StartTime: 2017-07-06 16:07:57.898
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
1.381	-0.3232	0.0029	0.9492	-0.7324	0.5493	0.0610	-0.5493	18.6108	123.6292	44.4600	158	-127	173 
1.435	-0.3276	-0.0034	0.9429	-0.5493	0.5493	0.7324	-0.5768	18.6987	123.6017	44.4500	160	-127	172 
1.619	-0.3188	-0.0093	0.9434	-0.0610	-0.1221	1.1597	-0.5713	18.7262	123.5468	44.4600	158	-124	170 
1.766	-0.3262	-0.0068	0.9507	0.3052	0.3662	0.9766	-0.5219	18.7756	123.5138	44.4600	160	-128	172 
1.782	-0.3301	-0.0020	0.9536	-0.4883	-0.7935	0.1221	-0.4944	18.7646	123.4259	44.4700	157	-125	171 
1.819	-0.3086	-0.0137	0.9351	-1.4648	-2.0752	1.4038	-0.5493	18.5614	123.3875	44.4800	158	-127	171 
1.982	-0.3140	-0.0190	0.9395	0.5493	0.2441	-1.5259	-0.5658	18.5669	123.3435	44.4900	157	-126	173 
2.035	-0.3320	0.0034	0.9453	1.4648	0.6104	-2.0752	-0.5164	18.6877	122.9425	44.4800	158	-126	172 
2.166	-0.3276	0.0000	0.9492	0.1831	0.1221	0.3052	-0.4010	18.7537	122.8491	44.4800	159	-126	175 
2.235	-0.3271	-0.0005	0.9458	-0.9155	0.3662	1.7090	-0.3735	18.7866	122.9315	44.4800	157	-128	173 
2.400	-0.3271	0.0039	0.9453	-0.7324	-0.0610	1.6479	-0.3845	18.8361	123.0029	44.5100	155	-127	175 
2.482	-0.3267	0.0039	0.9453	-0.6104	0.2441	1.1597	-0.3625	18.8416	123.0743	44.5000	158	-126	174 
2.582	-0.3286	0.0132	0.9438	-0.5493	-0.4272	2.1973	-0.2966	18.8855	123.2007	44.5200	162	-128	175 
2.650	-0.3306	0.0078	0.9438	-0.3662	-1.0376	2.3804	-0.2527	18.8525	123.3490	44.5300	158	-128	172 
2.804	-0.3447	0.0054	0.9561	-0.1831	-0.7935	2.9907	-0.2252	18.8251	123.4698	44.5200	156	-130	175 
2.851	-0.3237	-0.0308	0.9556	0.4883	-1.5869	-0.3662	-0.1923	18.6658	123.6127	44.5300	161	-128	173 
3.004	-0.3711	-0.0366	0.9473	1.5869	-0.0610	-0.2441	-0.1758	18.5669	123.3490	44.5200	157	-130	173 
3.067	-0.3701	-0.0107	0.9707	2.2583	-6.4087	13.9771	0.2252	18.5834	123.9258	44.5300	155	-130	171 
3.182	-0.4058	-0.0161	0.9712	8.8501	-20.3247	6.6528	0.8679	17.3969	124.7278	44.5300	156	-136	167 
3.282	-0.3569	0.0171	0.8618	8.3008	-25.7568	13.8550	2.0654	15.0018	125.7111	44.5400	153	-138	161 
3.404	-0.3589	0.0337	0.8755	4.3335	-29.3579	12.5732	2.9114	12.8101	126.9196	44.5200	145	-140	154 
3.483	-0.3286	0.1270	0.8335	-4.3945	-31.1890	21.8506	3.4167	10.2777	128.6389	44.5300	141	-146	144 
3.602	-0.3369	-0.0269	0.8564	-7.2632	-39.2456	14.1602	3.0542	7.3883	130.6604	44.5400	131	-153	131 
3.667	-0.1616	0.1152	0.5264	-12.7563	-39.7949	32.5317	2.2852	3.4882	132.7258	44.5400	116	-153	119 
3.820	-0.1675	0.0625	0.3857	-25.3906	-10.7422	33.3252	0.4010	1.9281	136.4117	44.5600	110	-155	109 
3.867	0.0161	-0.0615	0.8315	-51.6357	-37.2925	82.0313	-2.8180	0.0220	142.7728	44.5100	98	-155	98 
4.020	-0.1411	-0.6470	1.4556	-54.4434	-142.2729	58.5327	-9.1241	-8.5583	149.9634	44.4800	76	-155	80 
4.067	-0.1411	-0.6470	1.4556	-54.4434	-142.2729	58.5327	-11.5906	-37.3480	152.9352	44.4600	-8	-135	47 
4.237	1.9468	-0.3247	0.2773	-61.5234	-193.8477	68.6646	-31.7999	-66.6486	174.4464	44.4400	-125	-125	40 
4.268	1.1602	-0.5884	-1.1719	37.0483	-30.3955	45.0439	-87.9840	-65.4346	-124.2444	44.4200	-206	-101	71 
4.321	0.8320	-0.7715	-0.8306	-0.3052	5.4932	-1.0986	-92.2083	-66.2695	-117.0209	44.4100	-225	-99	83 
4.506	0.9014	-0.3989	0.4551	22.4609	55.9082	-38.2690	-68.3240	-69.7467	-137.7411	44.3900	-214	-104	74 
4.615	0.9565	-0.4429	-0.1128	12.0850	49.0112	-33.9966	-56.7499	-69.3182	-146.1566	44.3900	-203	-119	61 
4.678	0.8530	-0.1782	0.7153	12.0850	49.0112	-33.9966	-56.7499	-69.3182	-146.1566	44.3700	-183	-131	50 
4.725	0.8613	-0.3555	0.2500	-2.9297	49.0112	-42.6636	-28.7183	-67.2198	-169.4861	44.4000	-172	-131	46 
4.881	0.9995	0.2144	0.4663	-9.4604	-44.1895	21.9727	-16.4136	-64.8413	-179.0826	44.3800	-159	-141	39 
5.037	0.8384	-0.1387	0.4536	10.8643	30.8228	-34.8511	-18.5504	-65.9619	-176.2482	44.3800	-159	-139	41 
5.068	0.7085	-0.1113	0.5283	-14.2212	-20.1416	38.1470	-19.7314	-64.8962	-171.0791	44.3800	-156	-142	38 
5.115	1.0571	-0.3110	0.1860	-5.2490	6.4697	-0.2441	-27.0593	-66.7804	-161.9769	44.3900	-163	-134	40 
5.287	0.9219	-0.2217	0.3452	5.0049	14.6484	-11.8408	-24.7247	-66.0333	-162.2900	44.3800	-163	-134	42 
5.334	0.8774	-0.0923	0.4595	5.1270	7.4463	-4.7607	-21.6156	-64.7754	-162.8668	44.3800	-156	-139	38 
5.490	0.8589	-0.0410	0.4819	0.6714	-2.8687	0.1221	-19.5667	-64.4128	-162.4713	44.3800	-154	-142	38 
5.521	0.9316	-0.1582	0.3545	-3.7842	-8.4839	7.0190	-21.4673	-64.9237	-158.7469	44.3500	-161	-141	39 
5.678	0.9487	-0.2085	0.3574	-0.1831	-0.8545	-2.2583	-22.6648	-65.3796	-155.9619	44.3600	-160	-137	41 
5.741	0.9009	-0.1699	0.3999	1.7700	8.1177	-5.3101	-21.7749	-65.1929	-155.3687	44.3500	-159	-137	39 
5.897	0.9004	-0.1064	0.4292	3.2349	3.7842	-3.7842	-19.8907	-64.8083	-155.4620	44.3500	-156	-142	38 
5.928	0.8999	-0.0981	0.4106	-0.2441	-2.7466	2.3804	-19.4073	-64.7205	-154.1931	44.3500	-158	-142	41 
6.084	0.9170	-0.1294	0.3965	-0.6104	-2.9297	1.6479	-19.7479	-64.9457	-152.3859	44.3500	-155	-140	41 
6.131	0.9258	-0.1548	0.3857	-0.7935	0.9155	0.3662	-20.2643	-65.0500	-150.6665	44.3500	-158	-146	40 
6.272	0.9023	-0.1357	0.4067	-0.6104	1.8921	-0.2441	-20.1599	-64.9072	-149.6832	44.3200	-158	-142	35 
6.319	0.9082	-0.1172	0.4082	-0.7324	-0.4883	0.8545	-20.0281	-64.8193	-148.6725	44.3400	-157	-141	40 
6.475	0.9277	-0.1196	0.3975	-1.1597	0.7935	0.7935	-20.1160	-64.8633	-147.5024	44.3100	-159	-139	37 
6.538	0.9067	-0.1592	0.3823	-2.3193	-2.9297	0.7324	-20.4620	-64.8029	-146.3104	44.3200	-159	-141	37 
6.694	0.9111	-0.1455	0.4111	0.6714	-0.5493	1.2817	-20.7147	-64.8578	-145.1459	44.3200	-157	-142	37 
6.741	0.9111	-0.1250	0.4023	0.6104	-0.9766	0.7324	-20.8905	-64.9292	-143.9374	44.3100	-157	-138	36 
6.897	0.9116	-0.1323	0.3892	0.0000	-1.2817	0.1831	-20.8740	-65.0391	-143.0145	44.3200	-158	-142	40 
6.959	0.9170	-0.1367	0.3955	-0.5493	0.6714	0.4272	-20.7916	-65.0720	-142.2565	44.3100	-159	-140	40 
7.069	0.9077	-0.1382	0.4028	-0.3662	0.6104	0.2441	-20.7312	-65.0061	-141.5259	44.3200	-160	-139	39 
7.116	0.9058	-0.1338	0.4033	-0.2441	0.0610	0.3052	-20.6818	-64.9347	-140.8063	44.3200	-158	-138	39 
7.288	0.9092	-0.1357	0.4121	0.4883	-0.1831	0.9766	-20.6488	-64.9402	-140.1086	44.3100	-157	-144	37 
7.459	0.9287	-0.1479	0.3789	0.1221	-0.9766	0.6714	-20.7477	-65.0830	-139.3286	44.3100	-157	-141	39 
