StartTime: 2017-07-06 16:08:42.701
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
3.432	-0.3652	-0.0010	0.9282	-0.1831	0.6104	0.1221	-0.1703	21.2476	102.1509	45.2100	65	-18	134 
3.463	-0.3643	-0.0010	0.9277	0.0000	0.2441	0.5493	-0.1538	21.3025	102.1069	45.2200	63	-21	135 
3.510	-0.3672	-0.0063	0.9263	0.1831	-0.1831	-0.1221	-0.1099	21.3135	102.0135	45.2100	65	-20	137 
3.651	-0.3696	-0.0078	0.9341	0.7935	-0.0610	-2.3193	-0.1373	21.3519	101.7773	45.2000	64	-22	134 
3.729	-0.3716	0.0049	0.9292	-0.1221	0.3662	2.5635	-0.0934	21.3629	101.7114	45.2200	67	-18	137 
3.870	-0.3574	0.0005	0.9243	-0.8545	0.4272	4.4556	0.0000	21.4014	102.0245	45.2300	62	-18	131 
3.917	-0.3730	0.0166	0.9243	0.4883	2.3804	5.4321	0.2582	21.5002	102.5684	45.2100	67	-23	132 
4.073	-0.3726	0.0029	0.9116	0.3052	0.0610	3.1738	0.5768	21.6376	103.1012	45.2000	68	-22	135 
4.136	-0.4028	-0.0864	0.8862	2.6245	7.6904	-12.3901	0.3955	21.8024	102.3706	45.2200	67	-23	137 
4.245	-0.3745	0.0132	0.8970	11.7798	7.4463	3.7842	1.0272	22.6044	101.6675	45.2000	65	-20	137 
4.307	-0.3345	-0.0405	0.9224	11.2915	-6.7749	31.6162	2.5323	22.4561	103.1671	45.2300	70	-27	132 
4.495	-0.4248	-0.0215	0.8735	13.8550	-7.9346	53.8330	5.1965	21.8188	107.5891	45.2200	76	-33	128 
4.526	-0.3647	-0.1743	0.8560	26.0620	-3.8452	61.8896	8.7012	20.5829	113.6755	45.2300	87	-45	129 
4.682	-0.2334	-0.0952	0.6919	35.2173	-13.1836	46.7529	12.4695	18.7646	118.2129	45.2100	97	-64	121 
4.714	-0.2603	-0.0859	0.6025	35.0952	-15.0757	31.0669	15.5127	16.7267	121.3824	45.1900	94	-79	113 
4.886	-0.2656	0.2134	0.5073	64.5752	17.0288	-4.8828	19.4568	16.6992	122.8436	45.1500	90	-97	100 
4.932	-0.3818	0.4028	0.2422	106.3232	25.5127	26.1230	28.2733	18.7042	125.4968	45.1100	93	-121	89 
5.104	-0.8286	1.9404	0.7144	86.6699	35.1563	285.0952	43.6761	15.0952	135.2966	45.0600	104	-157	89 
5.276	-0.2651	0.9629	1.4351	125.4272	-221.9849	140.8691	55.8820	-0.7690	147.9749	45.0100	94	-227	102 
5.307	1.5591	-0.6128	-1.6426	201.7822	-35.2173	-110.1074	83.1995	-25.6696	125.7495	44.9900	4	-294	108 
5.323	0.1362	0.8281	-0.0830	87.7075	75.4395	-56.7627	90.9888	-17.1716	134.7583	44.9600	15	-329	152 
5.479	0.0342	1.0054	-0.1040	82.6416	-66.4673	-101.3794	98.7616	-9.6515	137.6038	44.9500	52	-340	187 
5.511 
5.667	-0.2290	1.1479	-0.3003	-9.7656	-3.5400	3.8452	102.7496	0.6757	135.1648	44.9300	93	-328	205 
5.760	-0.0483	0.9961	-0.3110	-20.2026	-3.1738	37.7197	101.2994	-2.1368	134.9231	44.9200	90	-330	197 
5.870	0.2012	0.8618	-0.2329	-21.9116	-14.7705	13.7939	99.3384	-4.9054	133.2422	44.9100	76	-332	193 
5.932	0.0605	0.9346	-0.1299	-20.9351	4.0894	9.8877	97.2675	-5.7458	133.1598	44.9200	67	-329	184 
6.089	0.1323	0.9429	-0.0806	-15.6860	5.3711	6.3477	95.4382	-6.9489	133.7366	44.9200	67	-328	180 
6.136	0.1445	0.9604	-0.1377	-2.4414	-2.1973	2.3193	94.6692	-7.6245	133.8464	44.9100	61	-327	172 
6.276	0.1475	0.9443	-0.0806	7.3242	-2.4414	-6.7139	94.9329	-7.4158	134.3463	44.9300	63	-327	172 
6.355	0.0796	0.9927	-0.1802	14.5264	-2.6855	-19.8975	96.3501	-6.1139	134.2969	44.9100	65	-326	176 
6.479	0.0576	0.9736	-0.1968	12.8174	7.8735	-19.1040	97.8003	-4.2792	135.2582	44.9000	71	-330	177 
6.573	0.0908	0.9336	-0.1943	11.9629	6.4087	-22.3389	99.0033	-2.4664	136.8512	44.9200	77	-327	185 
6.667	-0.0010	1.0288	-0.2793	2.5635	-1.2817	-9.8877	99.9316	-0.9833	137.8784	44.9200	82	-329	186 
6.714	-0.0483	1.0303	-0.2529	-4.0283	-8.9111	6.0425	99.7394	-0.5933	138.0597	44.9300	86	-322	187 
6.901	0.0210	0.9878	-0.2051	-4.6997	-5.4932	6.5308	99.3768	-1.0107	137.8455	44.9200	85	-322	187 
6.980	0.0269	0.9785	-0.2036	-2.1362	-1.5869	4.2114	99.2120	-1.3898	137.8564	44.9100	86	-327	184 
7.089	0.0264	0.9849	-0.1953	0.3662	-0.7324	3.4180	99.2285	-1.6809	138.1311	44.9000	82	-326	190 
7.136	-0.0034	1.0034	-0.2007	-0.6104	-1.1597	3.6621	99.3274	-1.9501	138.3728	44.9200	79	-328	190 
7.276	0.0469	0.9707	-0.1973	-1.5259	-0.0610	4.5776	99.3878	-2.3456	138.5760	44.9100	78	-326	187 
7.355	0.0391	0.9912	-0.1953	-2.5024	-1.1597	5.2490	99.3109	-2.7795	138.7299	44.9200	80	-325	186 
7.511	0.0435	0.9844	-0.1841	-2.8076	-1.0986	3.7231	99.1132	-3.1146	138.8013	44.9100	79	-329	187 
7.589	0.0605	0.9756	-0.1841	-0.7935	-0.4272	2.7466	99.0088	-3.4552	138.8782	44.9200	73	-324	183 
7.730	0.0479	0.9863	-0.1865	0.7324	0.2441	0.5493	99.1296	-3.6035	139.0594	44.9100	74	-328	184 
7.745	0.0552	0.9790	-0.1895	0.7324	0.0000	0.0000	99.3219	-3.5980	139.1913	44.9100	74	-328	184 
7.901	0.0420	0.9897	-0.1909	0.0610	-0.9766	0.1221	99.4427	-3.5211	139.3341	44.9200	74	-328	183 
7.980	0.0425	0.9868	-0.1914	-0.7935	-0.6104	2.2583	99.5032	-3.5101	139.4934	44.9300	73	-326	187 
8.152	0.0454	0.9883	-0.1870	-0.7324	0.3052	1.2817	99.4922	-3.6310	139.6802	44.9400	71	-324	187 
8.152	0.0474	0.9854	-0.1870	-1.4038	-0.0610	1.7700	99.4757	-3.7628	139.8065	44.9300	71	-328	180 
8.308	0.0503	0.9883	-0.1870	-1.5869	-0.0610	2.5635	99.4098	-3.9221	139.8834	44.9200	72	-330	183 
8.355	0.0674	0.9819	-0.1807	-0.8545	0.1831	2.0752	99.3549	-4.1199	139.9878	44.9400	72	-328	182 
8.511	0.0557	0.9824	-0.1841	-0.4883	-0.5493	-0.0610	99.3439	-4.1583	140.0647	44.9400	72	-330	180 
8.574	0.0498	0.9829	-0.1777	-0.4272	-0.8545	0.4272	99.3549	-4.0485	140.1251	44.9400	70	-329	180 
8.714	0.0562	0.9893	-0.1885	-0.4883	0.0000	4.0283	99.4098	-4.1583	140.2020	44.9400	73	-326	181 
8.761	0.0659	0.9790	-0.1792	-0.7324	0.4272	2.4414	99.3988	-4.4220	140.2570	44.9400	72	-326	186 
8.933	0.0610	0.9883	-0.1797	-0.1221	-0.2441	0.4272	99.4098	-4.4550	140.3229	44.9400	76	-328	184 
8.964	0.0649	0.9863	-0.1841	-0.6104	-0.3662	1.4648	99.4263	-4.4769	140.3778	44.9400	72	-328	184 
9.120	0.0664	0.9839	-0.1826	-0.9766	-0.1221	2.5635	99.4208	-4.6088	140.4657	44.9300	69	-326	183 
