StartTime: 2017-07-06 16:09:16.258
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
8.220	-0.2744	0.0273	0.9639	-0.6104	-0.2441	1.0986	1.4008	15.6335	110.5170	45.3100	70	-31	129 
8.359	-0.2822	0.0269	0.9639	-0.5493	-0.0610	0.6714	1.4063	15.6445	110.4785	45.3100	71	-31	129 
8.405	-0.2734	0.0269	0.9556	-0.3662	0.7324	1.2817	1.3953	15.6390	110.3961	45.3000	70	-30	128 
8.543	-0.2808	0.0264	0.9590	-0.1831	0.6104	-0.0610	1.4008	15.6885	110.2808	45.3000	73	-29	132 
8.605	-0.2788	0.0308	0.9570	-0.1831	0.4883	0.5493	1.4227	15.7434	110.2313	45.3000	66	-33	129 
8.659	-0.2808	0.0303	0.9590	-0.0610	0.4883	1.0376	1.4722	15.8038	110.2972	45.3100	69	-31	126 
8.790	-0.2813	0.0244	0.9614	-0.9155	-0.6104	-0.5493	1.4282	15.8258	110.1489	45.3200	71	-29	128 
8.943	-0.2813	0.0205	0.9536	-3.1738	0.0000	1.2817	1.2305	15.8148	109.9841	45.3100	65	-32	127 
8.990	-0.3159	-0.0088	0.9736	-6.6528	-3.2349	6.6528	0.7800	15.9357	110.2478	45.3200	69	-30	127 
9.074	-0.2720	-0.0464	0.9307	-2.8687	6.8359	5.6152	0.1538	15.8148	110.2698	45.3200	68	-31	128 
9.221	-0.2739	0.0229	0.9204	3.7231	10.6812	20.9961	0.6262	16.6882	111.1542	45.3200	73	-32	131 
9.274	-0.3633	-0.0142	0.9033	10.0708	10.3760	42.9688	2.2522	18.0341	114.1864	45.3200	86	-36	133 
9.443	-0.3042	-0.0737	0.9316	16.9067	5.5542	43.2129	4.5868	18.8965	117.9602	45.3200	93	-47	134 
9.474	-0.3579	-0.0474	0.9131	28.5034	-1.8311	41.0156	7.9541	18.8086	121.8549	45.3200	104	-59	134 
9.606	-0.3032	0.0308	0.8984	38.9404	-16.9678	52.6123	11.8927	17.2485	125.7825	45.3200	106	-76	124 
9.659	-0.2485	0.1035	0.6426	43.5791	-26.6113	66.9556	16.9958	13.9087	130.5615	45.3100	110	-93	119 
9.806	-0.0991	-0.0898	0.4170	24.3530	-6.6528	84.7168	22.1539	10.9039	139.2737	45.2900	109	-122	110 
9.874	-0.3018	0.2271	0.5659	39.7949	27.0386	3.7231	22.5934	11.6071	140.4877	45.2600	110	-146	105 
10.022	-0.1411	0.4834	0.7349	57.1899	-10.1929	98.5718	29.7510	11.4258	147.3596	45.2300	120	-165	108 
