StartTime: 2017-07-06 16:09:57.031
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
3.438	-0.2417	0.0342	0.9629	-0.7935	-0.3052	3.5400	0.9668	14.2218	-151.0675	45.2900	-156	-245	74 
3.578	-0.2349	0.0415	0.9541	-1.2817	-1.2817	6.6528	1.0272	14.1394	-150.5621	45.3000	-158	-242	72 
3.594	-0.2554	0.0342	0.9810	-1.9531	0.0000	11.8408	1.1865	14.1339	-149.5349	45.3000	-159	-242	74 
3.782	-0.2559	0.0171	0.9839	-1.2817	0.3052	10.4980	1.3623	14.0680	-148.4308	45.3100	-162	-243	74 
3.828	-0.2480	-0.0005	0.9541	-1.0376	-0.4272	5.5542	1.4008	13.9417	-147.7991	45.3000	-160	-240	76 
3.891	-0.2461	-0.0054	0.9614	-1.0986	-1.8921	-1.2817	1.2360	13.8977	-147.7661	45.3100	-160	-236	76 
4.016	-0.2554	0.0049	0.9648	-0.3662	0.6714	-5.0049	1.0052	13.9307	-148.2220	45.3100	-162	-241	76 
4.203	-0.2520	-0.0049	0.9580	2.7466	-1.0376	-8.9111	0.8514	13.9471	-148.9856	45.3200	-164	-239	73 
4.219	-0.2344	0.0249	0.9517	3.7842	-3.6011	-12.6953	0.8075	13.9252	-150.4468	45.3100	-159	-243	75 
4.297	-0.2065	0.0205	0.9478	-0.7324	-2.1362	6.8970	0.9229	13.7054	-150.6500	45.3200	-156	-241	76 
4.422	-0.2368	-0.0518	0.9575	1.2817	0.6104	-0.4272	0.9668	13.8538	-150.0513	45.3200	-155	-246	75 
4.500	-0.2646	-0.0229	0.9795	4.4556	2.1362	-5.4932	0.9283	14.2053	-150.6335	45.3200	-154	-245	76 
4.625	-0.2075	0.0371	0.9194	6.4697	10.1929	-1.4648	1.2634	14.4580	-151.1609	45.3200	-153	-246	75 
4.703	-0.3887	0.3242	0.8662	4.1504	40.4053	47.3633	3.3948	17.1716	-148.5846	45.3100	-153	-247	72 
4.813	-0.0571	0.1074	1.1431	-16.0522	17.9443	-24.7192	3.7793	18.6273	-145.9479	45.3200	-149	-246	73 
4.907	-0.2090	0.2217	0.6968	-23.0103	-13.6108	-11.2305	1.8567	18.3746	-148.4088	45.3200	-149	-238	71 
5.063	-0.2427	0.1191	0.8887	-13.7939	5.7983	-35.1563	-0.2142	18.6932	-150.7269	45.3200	-144	-240	64 
5.110	-0.2544	0.1973	0.8657	-13.4277	0.6714	-44.7388	-2.2467	19.0228	-155.0665	45.3200	-132	-235	61 
5.282	-0.1646	0.1519	0.7617	-21.1182	-12.8784	-45.2271	-4.3781	18.2373	-159.3182	45.3200	-125	-235	56 
5.313	-0.1885	0.1675	0.6626	-33.1421	-7.6294	-36.1328	-7.1246	17.4353	-162.8558	45.3100	-122	-231	56 
5.422	-0.2339	0.0635	0.4229	-58.5327	7.3853	-22.5220	-11.6895	16.8475	-166.0364	45.2900	-116	-220	49 
5.500	-0.3130	-0.7485	0.5791	-82.3975	-4.9438	-93.8721	-20.0281	16.3202	-169.5630	45.2500	-109	-201	36 
5.672	-0.3247	-2.9268	0.9282	-227.7222	3.4180	-157.8979	-38.1281	5.5042	178.9398	45.2300	-103	-175	25 
5.703	-0.3247	-2.9268	0.9282	-227.7222	3.4180	-157.8979	-58.1506	-8.8605	177.1820	45.2100	-106	-111	23 
5.891	0.0313	-0.7485	-0.5806	-9.7046	-89.1724	27.1606	-89.9176	-12.7716	-164.0259	45.1600	-149	-10	83 
6.063	0.2676	-1.0366	-0.4556	-5.4321	-34.4849	-63.6597	-92.1533	-14.1174	-154.1602	45.1300	-163	4	94 
6.204	0.3716	-1.0454	-0.1953	44.4336	19.8975	-48.5840	-90.5383	-21.6211	-148.4308	45.1400	-183	-4	100 
6.235	0.2578	-0.9355	0.1309	46.6919	10.9863	-29.4800	-84.8859	-24.2358	-146.5082	45.1300	-189	-22	87 
6.297	0.4268	-0.7080	0.0967	59.9365	30.3345	-10.6812	-79.4861	-25.4828	-143.3057	45.1300	-193	-37	74	0.4268	-0.7080	0.0967	59.9365	30.3345	-10.6812	-79.4861	-25.4828	-143.3057	45.1200	-192	-60	66 
6.485 
6.907 
7.266	0.5381	-0.8237	0.1904	-0.8545	-2.6855	-3.7231	-75.9869	-32.8381	-117.5098	45.0500	-212	-80	67 
7.344	0.5381	-0.8237	0.1904	-0.8545	-2.6855	-3.7231	-75.9155	-33.0743	-115.4828	45.0500	-217	-82	70 
7.422	0.5093	-0.8354	0.2119	0.9766	0.7324	0.0000	-75.7452	-32.8821	-113.5547	45.0600	-213	-80	69 
7.501	0.5215	-0.8110	0.2339	-0.3662	0.2441	-1.5869	-75.6079	-32.9535	-111.6650	45.0500	-211	-80	65 
7.672	0.5366	-0.8198	0.2065	-0.7324	-0.7935	-2.5024	-75.7947	-33.1348	-109.6326	45.0300	-211	-79	69 
7.735	0.5356	-0.8218	0.2046	0.0000	0.2441	-1.2817	-75.8606	-33.2556	-107.8033	45.0400	-208	-83	68 
7.860	0.5293	-0.8145	0.2280	-0.3662	1.5259	-1.5259	-75.6848	-33.2886	-106.3751	45.0300	-214	-80	69 
7.891	0.5386	-0.8213	0.2207	-0.7935	0.2441	-1.2817	-75.6793	-33.3325	-104.8700	45.0400	-214	-86	70 
8.079	0.5454	-0.8125	0.2090	-0.3052	0.9155	1.4038	-75.8057	-33.3325	-103.2220	45.0300	-210	-82	68 
8.126	0.5410	-0.8120	0.2046	0.4883	-0.2441	-1.2817	-75.8276	-33.2886	-101.7664	45.0200	-209	-81	66 
8.266	0.5410	-0.8120	0.2046	0.4883	-0.2441	-1.2817	-75.7288	-33.2556	-100.5359	45.0100	-209	-86	64 
8.313	0.5469	-0.8193	0.2051	-0.4272	-0.8545	0.0000	-75.9210	-33.3435	-99.1022	45.0300	-211	-84	67 
8.485	0.5532	-0.8135	0.2080	0.1831	0.5493	-0.4883	-75.8990	-33.3490	-97.9706	45.0100	-216	-83	67 
8.563	0.5454	-0.8101	0.2144	-0.3662	-0.3052	0.0000	-75.8221	-33.3325	-96.9324	45.0100	-212	-83	69 
8.704	0.5444	-0.8130	0.2144	-0.5493	-0.5493	0.6714	-75.8606	-33.2666	-95.8667	45.0000	-211	-86	66 
8.751	0.5454	-0.8145	0.2100	-0.1221	-0.7324	0.4272	-75.8771	-33.2117	-94.8669	45.0100	-212	-83	68 
8.860	0.5410	-0.8057	0.2266	-0.1221	2.1973	0.3052	-75.8221	-33.1897	-94.0100	44.9900	-213	-85	65 
8.954	0.5581	-0.8164	0.2002	-0.1221	-0.1831	-0.3662	-75.8881	-33.2117	-93.0762	45.0000	-211	-85	68 
9.079	0.5454	-0.8062	0.2158	0.3052	0.5493	-0.5493	-75.8221	-33.2117	-92.3401	45.0000	-215	-86	66 
9.110	0.5522	-0.8027	0.2212	-0.4272	0.1831	0.4272	-75.7507	-33.2281	-91.6589	44.9800	-216	-87	70 
9.267	0.5518	-0.8071	0.2168	-0.4883	0.2441	0.1221	-75.7562	-33.2007	-90.9448	45.0100	-215	-84	68 
9.360	0.5474	-0.8115	0.2246	0.0000	0.2441	0.7935	-75.7233	-33.1897	-90.2966	45.0000	-214	-84	67 
9.501	0.5562	-0.8130	0.2144	0.0610	-0.1221	0.0000	-75.7343	-33.1622	-89.5990	44.9900	-214	-86	68 
9.532	0.5591	-0.8101	0.2007	-0.6714	-2.3193	0.2441	-75.8057	-33.1183	-88.9014	44.9800	-213	-85	67 
9.657	0.5527	-0.8071	0.2148	0.1221	-0.3052	0.3052	-75.8276	-33.1073	-88.3026	44.9800	-212	-83	65 
9.735	0.5518	-0.8062	0.2227	-0.2441	-0.0610	0.9766	-75.8002	-33.0469	-87.7368	44.9900	-213	-84	69 
9.782	0.5508	-0.8120	0.2100	-0.7935	-0.9766	1.3428	-75.8936	-32.9480	-87.0996	44.9900	-214	-86	69 
9.970	0.5498	-0.8081	0.2104	-0.3662	-0.2441	1.2207	-75.9814	-32.8931	-86.5173	45.0100	-214	-84	70 
10.102	0.5503	-0.8086	0.2153	-0.4272	-0.4272	1.2817	-75.9979	-32.8217	-86.0065	44.9800	-216	-84	69 
10.170	0.5454	-0.8101	0.2168	-0.5493	-0.6104	1.3428	-76.0583	-32.7118	-85.5121	44.9600	-212	-86	68 
10.270	0.5459	-0.8125	0.2329	-0.3052	1.8311	0.7935	-76.0364	-32.6404	-85.1385	44.9700	-213	-88	68 
10.324	0.5508	-0.8164	0.1958	-0.1831	-0.6714	0.4883	-76.1847	-32.5690	-84.5947	44.9800	-214	-84	67 
10.502	0.5435	-0.8135	0.2163	0.4272	0.1831	0.4272	-76.1298	-32.5470	-84.2267	44.9500	-215	-82	71 
10.572	0.5464	-0.8013	0.2188	0.1831	0.3662	0.3662	-76.0254	-32.5360	-83.9630	44.9700	-217	-81	68 
10.587	0.5435	-0.8145	0.2188	-0.5493	-0.3052	0.9155	-76.0089	-32.5195	-83.6444	44.9700	-212	-83	70 
10.741	0.5518	-0.8159	0.2153	-0.6104	-0.0610	0.0000	-76.0638	-32.5360	-83.2874	44.9800	-214	-83	64 
10.925	0.5503	-0.7998	0.2090	0.3052	-1.5869	-3.9673	-76.4319	-32.1790	-82.2546	44.9800	-214	-84	73 
11.019	0.5498	-0.8115	0.1934	0.2441	2.5024	-0.6714	-76.4319	-32.3767	-82.0349	44.9700	-213	-83	67 
11.157	0.5566	-0.8330	0.1938	2.5024	5.4321	1.0986	-76.1078	-32.3053	-82.1613	44.9800	-216	-84	70 
11.204	0.5444	-0.8208	0.2363	0.6714	-0.4883	-0.6714	-75.5640	-32.2504	-82.4414	44.9800	-209	-85	65 
11.341	0.5347	-0.7983	0.2437	-0.4883	1.3428	-1.1597	-75.4980	-32.2668	-82.3425	45.0000	-211	-88	66 
11.420	0.5503	-0.8086	0.2183	-1.1597	-0.7324	1.2207	-75.6354	-32.2888	-82.0459	44.9900	-215	-84	66 
13.011 
13.611	0.5503	-0.8086	0.2183	-0.1221	0.1221	-0.7935	-74.7345	-33.1458	-80.5737	45.0300	-216	-93	65 
13.696	0.5503	-0.8086	0.2183	-0.1221	0.1221	-0.7935	-74.6027	-33.1842	-80.7660	45.0400	-213	-94	66 
13.811	0.5737	-0.8037	0.2446	0.6714	3.1738	-0.6104	-74.4324	-33.3380	-80.9692	45.0500	-212	-96	66 
13.911	0.5566	-0.7793	0.2427	-0.1831	1.0376	0.1221	-74.2731	-33.2886	-81.1285	45.0400	-213	-90	65	0.5566	-0.7793	0.2427	-0.1831	1.0376	0.1221	-74.2731	-33.2886	-81.1285	45.0400	-211	-91	64 
14.096	0.5728	-0.7925	0.2266	-0.9766	-0.9155	0.1221	-74.3555	-33.4698	-81.1340	45.0500	-212	-92	63 
14.281	0.5645	-0.7954	0.2349	-0.3662	-0.1221	0.4883	-74.2950	-33.4479	-81.1945	45.0400	-213	-93	69 
