StartTime: 2017-07-06 16:11:41.517
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
6.141	-0.2578	0.0771	0.9614	-0.3052	-0.4272	0.3052	4.0320	14.5294	-143.8989	44.7100	-184	-224	76 
6.298	-0.2583	0.0752	0.9614	-0.5493	-0.9155	0.7324	4.0265	14.4965	-143.8879	44.7200	-183	-226	80 
6.329	-0.2617	0.0742	0.9634	-0.4272	0.1221	0.3662	4.0155	14.4745	-143.8715	44.7400	-186	-226	76 
6.454	-0.2573	0.0654	0.9639	-0.1831	-0.7935	0.1221	3.9825	14.4525	-143.9429	44.7100	-182	-226	77 
6.532	-0.2554	0.0674	0.9688	-0.1831	-0.4272	-1.7700	3.9661	14.4360	-144.0308	44.7300	-187	-229	77 
6.689	-0.2568	0.0840	0.9736	-0.8545	-1.0986	-1.0376	3.9166	14.3756	-144.2725	44.7500	-184	-225	79 
6.767	-0.2539	0.0713	0.9600	-0.4883	-0.7324	-0.2441	3.8672	14.3042	-144.3384	44.7500	-186	-223	81 
6.892	-0.2671	0.0664	0.9448	1.2207	3.3569	2.5024	3.8727	14.3536	-144.3384	44.7700	-187	-225	79 
6.954	-0.2939	0.1655	0.9180	2.3804	13.8550	8.8501	4.3011	15.1117	-143.9978	44.7700	-185	-227	78 
7.095	-0.2598	0.1665	0.7295	-6.6528	14.8315	13.8550	5.3284	17.0508	-142.2510	44.7700	-181	-228	80 
7.142	-0.1689	0.1147	1.1162	-14.7095	20.5688	-15.2588	4.3945	18.5614	-142.2235	44.7900	-178	-224	75 
7.296	-0.2231	0.1392	0.8906	-12.9395	18.4937	-22.6440	2.6587	19.9786	-144.1241	44.7800	-169	-225	69 
7.343	-0.3042	0.2969	0.8872	-23.2544	18.9209	-30.0293	0.4010	21.6815	-147.4200	44.7600	-159	-220	66 
7.475	-0.2808	0.0405	0.8027	-36.9873	25.4517	-20.2637	-2.4664	23.0328	-149.2657	44.7700	-155	-214	60 
7.528	-0.2837	0.0742	0.7007	-33.7524	14.8926	-48.8281	-6.9379	24.6478	-153.3582	44.7600	-141	-207	53 
7.696	-0.3057	-0.2422	0.4629	-26.0010	7.5073	-98.0835	-13.0737	24.2798	-160.5981	44.7400	-131	-202	47 
7.728	-0.2388	0.1333	0.4526	-17.3950	-9.3384	-109.1309	-19.7919	21.4343	-172.6227	44.7300	-118	-202	45 
7.896	-0.4106	-1.1816	0.5396	-79.1016	-33.2642	-152.8931	-26.4221	16.1060	179.8022	44.7400	-115	-194	40 
7.928	-0.6060	-0.6724	3.6802	-217.6514	24.0479	-67.4438	-46.9226	3.6804	168.1677	44.7100	-112	-167	26 
8.113	-0.6060	-0.6724	3.6802	-217.6514	24.0479	-67.4438	-67.0605	-15.2930	175.9241	44.6800	-145	-102	38 
8.144	0.2021	-1.2021	-0.2529	-140.8081	-97.7173	77.3926	-86.7920	-14.6722	-174.8364	44.6500	-177	-42	75 
8.328	0.2427	-0.4077	-0.0649	-17.6392	-17.1509	-14.3433	-91.2195	-14.7052	-165.5145	44.6400	-182	-9	100 
8.360	0.1245	-1.0112	-0.4917	24.9023	-7.3853	11.3525	-93.0487	-16.5784	-159.6313	44.6400	-187	-6	109 
8.428	0.3403	-1.5322	0.0513	77.8198	-6.7749	-18.9209	-86.9568	-17.9956	-155.1874	44.6200	-191	-19	104 
