StartTime: 2017-07-11 15:28:53.291
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
53.094	-1.1255	-0.0840	1.8643	-1.0986	-1.2207	4.1504	-2.4609	30.5035	140.0592	45.1900	74	-214	214	100823	0.42 
53.235	-1.1318	-0.0923	1.8735	-0.2441	-1.0986	1.4648	-2.3840	30.4541	140.3229	45.2000	70	-216	215	100823	0.42 
53.407	-1.1372	-0.0889	1.8696	-0.3052	0.6104	3.3569	-2.3126	30.4102	140.5261	45.2000	73	-219	217	100823	0.42 
53.500	-1.1611	-0.0879	1.8521	0.3052	0.1831	3.4180	-2.2412	30.5914	140.6689	45.2000	72	-219	214	100823	0.42 
53.610	-1.1670	-0.1182	1.8867	2.1973	-2.8076	-0.7935	-2.1094	30.6519	140.7733	45.2000	73	-217	213	100823	0.42 
53.641	-1.1440	-0.0894	1.8833	2.8076	-8.8501	-3.7842	-2.0599	30.0696	140.3558	45.2100	69	-220	217	100823	0.42 
53.829	-1.1426	-0.1011	1.8755	1.3428	-13.5498	-2.5024	-2.0874	29.0259	140.0208	45.2100	68	-223	215	100823	0.42 
53.860	-1.1313	-0.0869	1.8599	4.1504	-17.8833	-6.6528	-2.1423	27.6031	139.4879	45.2000	66	-219	211	100823	0.42 
54.048	-1.1255	-0.0767	1.8604	5.7983	-25.6348	-7.5684	-2.0380	25.6366	138.8672	45.2200	61	-218	207	100823	0.42 
54.126	-1.0264	-0.0903	1.8286	3.2349	-37.9028	-15.3198	-1.9830	22.7747	138.2355	45.2000	56	-216	204	100823	0.42 
54.219	-1.0469	-0.0693	1.7417	-2.0752	-41.8701	-21.0571	-2.6367	19.1107	136.8018	45.2200	44	-216	198	100823	0.42 
54.313	-1.0264	-0.0303	1.7500	4.9438	-45.4712	-28.0151	-3.2355	15.2380	134.4672	45.2000	39	-211	191	100822	0.42 
54.423	-0.9717	-0.0425	1.5259	4.2725	-52.7954	-14.5264	-3.1860	11.1072	133.8025	45.2100	27	-206	180	100823	0.42 
54.516	-0.9219	0.0513	1.4507	-1.4648	-44.9219	2.9297	-3.0048	8.0640	135.0824	45.2000	8	-204	176	100823	0.42 
54.610	-0.8535	-0.0176	1.3550	-10.2539	-40.5273	21.3013	-3.4332	5.7184	138.2739	45.1900	-5	-205	164	100822	0.42 
54.704	-1.1548	-0.1738	1.4141	-1.5259	-162.7808	82.0313	-4.4385	0.2966	144.4427	45.1800	-35	-202	154	100823	0.42 
54.829	-0.0088	0.8589	3.2939	13.4888	-402.9541	-159.1797	-4.5703	-17.2156	148.3209	45.1800	-87	-200	146	100824	0.42 
54.907	1.0327	-0.2207	-2.9258	-19.4702	-264.0381	61.7065	-5.2130	-54.3329	153.8361	45.1400	-196	-206	185	100824	0.42 
55.032	-0.4766	0.7427	1.0396	12.5122	-27.0386	-47.1802	2.1643	-50.8887	149.5294	45.1300	-230	-212	220	100824	0.42 
55.141	0.2197	-0.2700	0.0693	9.2163	5.7373	5.3711	-1.5930	-53.5529	158.4558	45.1200	-239	-222	227	100824	0.42 
55.251	-0.0034	0.0942	1.3457	-1.3428	54.0161	7.9346	-3.3673	-44.3353	161.6473	45.1000	-234	-221	223	100824	0.42 
55.313	-0.1357	-0.0391	1.2612	-7.6904	18.9209	-6.0425	-5.2954	-40.2484	165.5200	45.0900	-226	-222	214	100825	0.42 
55.469	0.0972	-0.0381	0.9585	2.1973	-12.4512	-10.3760	-6.6357	-38.3533	169.5850	45.0700	-221	-221	210	100825	0.42 
55.532	-0.1714	-0.1870	0.7905	10.6201	31.9824	-38.9404	-5.0647	-36.3263	169.8596	45.0800	-218	-225	214	100825	0.42 
55.673	0.1289	0.2363	1.0361	-6.4087	51.8188	-50.3540	-3.0652	-30.6024	168.2117	45.0800	-201	-236	210	100825	0.42 
55.751	-0.1392	0.6646	1.6665	3.4180	-0.4883	-15.7471	-1.7963	-23.8733	167.7667	45.0700	-177	-241	200	100825	0.42 
