10 times
StartTime: 2017-07-06 15:39:56.080
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
24.025	-0.7593	-0.0347	0.6006	-2.9907	-57.6782	-16.5405	2.3291	51.2952	-138.3453	42.0000	-46	-139	46 
24.230	-0.7886	0.0649	0.6387	1.3428	-34.1187	21.3013	2.6202	46.9885	-140.5042	42.0000	-63	-136	41 
24.262	-0.7349	0.1230	0.5161	9.5825	-21.9727	18.3105	4.6967	44.0112	-140.1361	42.0100	-82	-138	41 
24.262	-0.5835	-0.0649	0.8062	-8.4839	-14.4653	22.4609	7.9541	42.8027	-137.3236	42.0200	-88	-137	38 
24.378	-0.5396	0.2466	0.8091	17.3950	-38.8794	-19.1650	5.9271	38.9960	-141.2787	42.0200	-99	-137	40 
24.409	-0.6284	0.0752	0.8301	7.6294	-6.1646	-6.4087	6.8335	37.7051	-143.2452	42.0300	-110	-144	38 
24.610	-0.5547	0.0728	0.7593	12.6953	-10.1929	-21.5454	6.6028	36.7493	-145.7391	42.0200	-112	-145	40 
24.679	-0.5894	0.0776	0.8994	4.3335	-28.2593	-9.0332	6.0974	35.1563	-148.2605	42.0200	-119	-153	41 
24.778	-0.5752	0.0435	0.7979	1.7090	-23.1934	-19.0430	4.5758	32.5415	-150.7599	42.0300	-129	-152	43 
24.832	-0.5181	0.0518	0.8726	-4.2725	-30.7617	-7.6294	3.8727	30.0366	-152.0013	42.0300	-138	-156	50 
24.879	-0.4434	0.0811	0.7808	-7.8125	-16.3574	3.9673	3.3014	27.3560	-151.8805	42.0500	-151	-160	49 
25.048	-0.5142	-0.0479	0.9341	-8.1787	-7.1411	10.3149	2.6917	26.5869	-150.5182	42.0400	-156	-156	48 
25.129	-0.4751	0.0645	0.8770	-13.0615	-21.1792	33.5083	2.4060	25.2631	-148.4308	42.0400	-158	-152	50 
