10 times
StartTime: 2017-07-06 16:14:19.405
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
1.250	-0.0464	0.0254	1.0054	-0.3052	0.0610	1.2817	-0.0989	2.4500	-112.3627	39.6900	-224	-97	113 
1.313	-0.0420	0.0112	1.0024	-2.1362	0.4883	1.4038	-0.1263	2.4335	-112.3077	39.7000	-226	-95	111 
1.313	-0.0605	-0.0117	1.0020	-2.0752	0.7324	1.5259	-0.3571	2.5488	-112.2748	39.7400	-224	-100	111 
1.469	-0.0459	-0.0073	1.0044	-1.2817	-0.1221	-0.4883	-0.5109	2.5323	-112.3022	39.7200	-225	-96	113 
1.578	-0.0635	0.0347	1.0020	-1.3428	-0.2441	-0.7324	-0.5878	2.4994	-112.4725	39.7200	-225	-96	114 
1.610	-0.0410	-0.0039	1.0024	-3.0518	-2.4414	0.6714	-0.6812	2.2247	-112.4670	39.7400	-226	-97	113 
1.703	-0.0396	-0.0190	1.0005	-2.3804	-1.2817	0.6104	-0.9503	2.0599	-112.4945	39.7400	-228	-96	114 
1.735	-0.0303	-0.0161	0.9922	-0.9155	1.7700	-0.4272	-1.0876	2.0215	-112.4561	39.7500	-227	-96	114 
1.875	-0.0586	0.0000	1.0122	-0.1221	3.4180	-1.4648	-1.1151	2.3236	-112.5879	39.7800	-228	-94	113 
1.953	-0.0381	-0.0034	1.0127	-0.5493	-0.7324	-0.4272	-1.0547	2.5433	-112.7362	39.8000	-225	-97	111 
2.110	-0.0376	-0.0107	0.9922	-1.0376	-3.3569	1.0376	-1.1810	2.2961	-112.7307	39.7800	-226	-93	111 
2.141	-0.0420	0.0063	0.9985	-0.1221	-1.0376	2.5024	-1.0712	2.1753	-112.5659	39.7900	-230	-98	114 
2.297	-0.0430	-0.0142	1.0073	-0.4272	-1.3428	1.5259	-1.0602	2.1313	-112.4286	39.8300	-228	-96	113 
2.360	-0.0313	-0.0239	1.0020	-0.5493	-1.2817	0.3052	-1.1481	1.9501	-112.3792	39.8300	-227	-96	115 
2.500	-0.0356	-0.0103	1.0034	1.0986	0.4272	-0.3052	-1.0986	1.9281	-112.4011	39.8400	-229	-95	115 
2.547	-0.0376	0.0073	1.0010	1.2817	-0.2441	0.3662	-0.9283	1.9501	-112.4011	39.8500	-229	-94	114 
2.759	-0.0356	0.0044	1.0010	0.5493	0.4883	1.2207	-0.7690	1.9611	-112.3901	39.8600	-230	-97	112 
2.806	-0.0356	-0.0020	1.0010	0.0610	0.7935	1.3428	-0.6866	2.0050	-112.3022	39.8900	-228	-95	112 
2.931	-0.0430	-0.0020	1.0029	-0.3662	0.3662	0.9766	-0.6647	2.0984	-112.2473	39.9200	-228	-96	115 
2.977	-0.0337	-0.0015	1.0024	-0.6714	0.3662	0.4883	-0.6812	2.1259	-112.2583	39.9100	-227	-98	111 
3.165	-0.0400	-0.0029	1.0005	-0.3662	0.3662	0.6104	-0.7031	2.1588	-112.2583	39.9200	-227	-97	113 
3.321	-0.0430	-0.0024	1.0029	-0.3052	0.3052	0.7324	-0.6921	2.2192	-112.2418	39.9200	-227	-94	115 
3.352	-0.0415	-0.0010	1.0029	-0.2441	0.5493	0.8545	-0.6702	2.2742	-112.2144	39.9300	-229	-94	115 
