5
StartTime: 2017-07-11 15:23:39.304
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
146.248	-0.9946	-0.0098	1.8799	0.0000	-1.5869	-0.1221	-0.4944	27.0923	149.7162	44.6000	32	-232	221	100850	0.40 
146.498	-1.0015	-0.0083	1.8867	-0.0610	0.0000	0.3052	-0.5054	27.0978	149.7491	44.6000	33	-231	221	100850	0.40 
146.545	-0.9976	-0.0098	1.8809	-0.5493	-0.2441	0.3662	-0.5109	27.0868	149.8151	44.6100	32	-232	224	100850	0.40 
146.576	-0.9966	-0.0107	1.8833	-0.6104	-0.0610	-0.2441	-0.5603	27.1033	149.8425	44.6100	33	-234	222	100850	0.40 
146.576	-0.9980	-0.0122	1.8813	-0.6104	0.4883	-0.6104	-0.6152	27.1582	149.7931	44.6000	34	-233	224	100850	0.40 
146.779	-1.0039	-0.0112	1.8799	-0.6104	0.6714	-0.2441	-0.6812	27.2571	149.7546	44.6000	32	-235	222	100850	0.40 
146.826	-1.0098	-0.0093	1.8975	0.0000	0.3052	0.1221	-0.7031	27.3669	149.7382	44.6100	33	-231	219	100850	0.40 
146.967	-0.9912	-0.0127	1.8901	-0.9155	0.7935	-0.1831	-0.7251	27.3669	149.7711	44.6200	31	-230	222	100850	0.40 
146.998	-1.0020	-0.0142	1.8911	-0.5493	-1.2207	-0.6104	-0.7910	27.3944	149.7052	44.6000	34	-230	223	100850	0.40 
147.140	-0.9951	-0.0142	1.8809	-0.8545	-0.3662	-0.9155	-0.8734	27.3340	149.6613	44.6100	29	-232	217	100850	0.40 
147.454	-1.0063	-0.0151	1.8906	-0.6714	-3.4790	-0.6714	-0.9283	27.1472	149.6832	44.6100	31	-227	216	100850	0.40 
147.534	-0.9585	-0.0034	1.9360	-1.1597	-1.4648	1.4038	-0.9119	26.8231	149.7656	44.6000	30	-232	220	100850	0.40 
147.534	-1.0439	-0.0415	1.9004	-1.7700	-10.3760	-5.2490	-1.1646	26.4001	149.8260	44.6100	30	-227	220	100849	0.40 
147.550	-1.0767	-0.0186	1.9165	-0.0610	-40.9546	-5.6152	-1.4447	24.0546	149.2218	44.6100	24	-227	215	100849	0.40 
147.756	-0.9243	-0.0210	1.9180	1.6479	-63.4155	-1.4648	-1.4557	19.0887	149.0845	44.6100	16	-226	206	100849	0.40 
