13 steps
StartTime: 2017-07-06 15:43:23.667
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
3.612	-0.1880	-0.0645	0.9819	-0.6104	-0.3052	0.7324	-4.0100	10.7172	-168.4534	41.3800	-77	-295	110 
3.737	-0.1807	-0.0654	0.9824	-0.9155	-0.6714	0.8545	-4.0869	10.6567	-168.4918	41.3800	-75	-298	106 
3.909	-0.1812	-0.0713	0.9780	-0.6714	-1.6479	1.7090	-4.1309	10.5853	-168.4314	41.4100	-77	-297	105 
3.956	-0.1855	-0.0723	0.9883	-0.3052	0.2441	0.2441	-4.1638	10.6238	-168.3875	41.4100	-78	-291	106 
4.065	-0.1787	-0.0737	0.9780	-0.5493	-1.4038	1.1597	-4.1968	10.5084	-168.3765	41.4200	-79	-297	103 
4.097	-0.1812	-0.0679	0.9844	-0.4272	-1.4038	0.7935	-4.2517	10.3766	-168.3765	41.4200	-79	-296	106 
4.331	-0.1782	-0.0723	0.9849	-0.5493	-1.0986	1.2207	-4.2737	10.2393	-168.2886	41.4200	-79	-295	103 
4.362	-0.1758	-0.0757	0.9819	0.1831	-0.7935	0.3662	-4.2902	10.1404	-168.2666	41.4300	-77	-296	106 
4.362	-0.1787	-0.0679	0.9858	-0.4272	-2.0142	0.3662	-4.2847	10.0195	-168.2831	41.4400	-81	-293	108 
4.565	-0.1631	-0.0864	0.9937	0.5493	1.4038	-0.0610	-4.3121	9.9261	-168.2172	41.4600	-80	-294	108 
4.690	-0.1528	-0.0537	1.1367	-2.8687	-12.6953	2.0142	-4.4220	9.4867	-168.2172	41.4800	-79	-289	104 
4.706	0.0337	-0.0708	0.9004	0.0000	-8.3618	17.5781	-3.7958	7.0807	-166.2891	41.4800	-84	-293	103 
4.769	-0.0210	-0.1328	1.0068	-7.3853	-0.1221	-19.9585	-4.5978	6.8060	-166.1627	41.4600	-88	-294	107 
4.894	-0.1509	0.0840	0.8926	-8.5449	-6.4697	-3.3569	-4.9823	6.7017	-166.9043	41.4800	-85	-293	106 
4.972	-0.0562	-0.1714	1.0981	0.9155	1.8921	18.9819	-6.1798	7.1356	-166.4209	41.4800	-83	-288	100 
5.097	-0.0415	-0.1582	0.9243	6.0425	32.4097	15.5029	-5.7404	8.4979	-164.6027	41.4900	-88	-290	101 
5.159	-0.0889	-0.0674	0.8574	8.3618	42.8467	13.1836	-4.8505	12.1014	-163.7238	41.4900	-83	-289	102 
5.284	-0.2549	0.1230	0.9863	-3.5400	84.4116	42.6025	-3.1696	18.1000	-161.5869	41.5100	-75	-289	102 
5.362	-0.2021	-0.5688	0.9287	34.2407	49.1943	-5.0049	-2.0215	24.3842	-159.4226	41.5200	-68	-288	103 
5.534	-0.3521	0.0703	0.9556	38.0249	45.7764	-38.3301	-0.5383	29.2291	-164.4653	41.5000	-46	-298	116 
5.565	-0.2344	-0.2881	1.3369	60.3638	84.2285	-87.7686	1.1096	33.3490	-171.0571	41.5000	-18	-306	128 
5.769	-0.2041	0.5801	1.1035	-1.2817	-18.5547	-30.8228	1.2250	36.5625	-179.4781	41.5100	18	-305	151 
5.769	-0.3579	0.1841	0.8203	-26.1230	37.7197	22.9492	-0.0659	40.1550	-178.9398	41.4900	32	-306	153 
5.909	-0.9995	-0.3682	2.2524	-35.4004	86.2427	7.4463	1.1700	44.1541	-174.4794	41.4400	28	-303	149 
5.972	-0.7588	-0.3018	0.1396	0.3052	-99.9146	-3.7231	-3.5706	37.1503	-177.8137	41.4300	24	-296	143 
6.112	-0.0220	0.2964	-0.1489	40.3442	-90.2710	5.1270	3.2190	38.9630	-178.0280	41.3800	23	-299	142 
6.159	-1.3433	-1.2427	-0.8262	4.8218	134.5215	-124.3896	-0.1099	36.8481	171.6614	41.3300	24	-307	147 
