10 times
StartTime: 2017-07-06 15:41:07.564
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
4.566	-0.4321	0.0034	0.8833	-3.6621	11.6577	15.7471	0.2087	22.8625	-177.3138	41.7200	-55	-315	111 
4.566	-0.4155	-0.0249	0.7959	-6.8970	12.9395	30.5176	0.8844	24.3347	-174.6057	41.7100	-57	-315	108 
4.713	-0.4424	0.0146	0.7808	-9.3384	25.2686	32.2876	1.5216	26.5100	-171.6614	41.7100	-63	-311	106 
4.782	-0.4380	0.1040	1.0269	-4.2114	9.6436	-6.9580	1.2250	28.1525	-170.8484	41.7200	-63	-309	100 
4.898	-0.4307	0.0205	0.5908	10.3149	55.9692	10.4980	1.9501	30.6189	-170.8978	41.7200	-63	-306	103 
4.951	-0.2319	0.0884	0.5474	29.9072	34.8511	-24.5972	4.8010	35.2661	-171.1066	41.7300	-52	-316	100 
5.167	-0.5859	0.1274	0.7300	-1.1597	69.1528	-5.2490	5.3998	40.0616	-174.1608	41.7400	-30	-323	111 
5.214	-0.5474	0.2886	0.7476	5.4321	-19.9585	-9.7046	4.1693	40.3857	-175.9735	41.7400	-21	-326	107 
5.349	-0.7451	0.0015	0.8623	-17.3340	-26.4893	15.9912	4.2023	38.7048	-174.0839	41.7300	-28	-325	99 
5.368	-0.7144	0.0669	1.0820	-12.1460	-11.6577	18.4937	2.8400	36.3867	-173.6774	41.7300	-38	-321	88 
5.515	-0.6270	0.0518	1.1655	2.3804	-31.4331	-11.9629	2.8400	35.6671	-173.2709	41.7200	-46	-312	80 
5.553	-0.3091	-0.0127	0.7773	1.0376	-30.5786	1.5259	2.2632	31.6296	-174.1827	41.7100	-56	-312	80 
5.769	-0.7188	0.0601	0.9907	1.0986	-65.0024	-9.6436	1.6754	26.3782	-175.3583	41.7200	-70	-308	78 
5.800	-0.2739	-0.0776	0.7695	-8.1177	-31.1890	-7.6904	0.3516	22.1265	-176.4844	41.7100	-86	-309	70 
