5
StartTime: 2017-07-11 15:23:39.304
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
42.263	-1.1177	-0.0542	1.8740	0.8545	0.6104	-1.2817	-2.0764	30.5255	-140.0208	43.4400	-240	-101	232	100854	0.39 
42.617	-1.1226	-0.0425	1.8774	0.3052	2.0752	0.9766	-2.0215	30.6519	-139.9603	43.4800	-244	-101	231	100853	0.39 
42.648	-1.1060	-0.0601	1.8750	1.0376	3.3569	1.5259	-1.8512	30.9045	-139.5374	43.4700	-243	-102	238	100853	0.39 
42.648	-1.1226	-0.0610	1.8643	-0.0610	4.6997	-7.6904	-1.9830	31.2506	-139.6307	43.4600	-242	-102	236	100854	0.39 
42.749	-1.1489	-0.0083	1.8794	-2.0142	3.4790	0.6714	-2.3621	31.6956	-140.5646	43.4700	-237	-103	233	100854	0.39 
43.003	-1.1538	-0.0869	1.8740	-2.0142	4.0283	5.5542	-2.2852	32.0361	-139.9109	43.4800	-234	-106	232	100854	0.39 
43.065	-1.1621	-0.0708	1.8755	-0.4883	3.6621	1.1597	-2.2412	32.3602	-139.7900	43.4700	-232	-104	232	100854	0.39 
43.065	-1.1777	-0.0615	1.8813	-0.2441	-0.9766	-2.7466	-2.3346	32.4921	-140.0208	43.4700	-232	-104	230	100854	0.39 
43.065	-1.1685	-0.0972	1.8574	-2.4414	-0.4272	0.6714	-2.4829	32.2888	-140.1581	43.4700	-233	-104	231	100854	0.39 
43.181	-1.1763	-0.0527	1.8608	-1.1597	-2.8076	3.1128	-2.5159	32.0581	-140.2130	43.4700	-233	-101	229	100854	0.39 
43.335	-1.2012	-0.0542	1.8516	-2.0142	0.6104	2.1973	-2.4390	31.9812	-139.9988	43.4800	-234	-101	229	100854	0.39 
43.350	-1.1973	-0.0635	1.7612	-3.4790	9.5825	7.9956	-2.4774	32.5031	-139.9164	43.4600	-235	-99	228	100854	0.39 
43.482	-1.2539	-0.0786	1.7085	-2.6245	32.4097	5.4321	-2.3016	34.9420	-139.5264	43.4900	-234	-96	225	100854	0.39 
43.555	-1.2974	-0.0322	1.4424	-2.1973	51.4526	-12.2681	-2.9663	39.2761	-141.3666	43.4600	-221	-99	221	100854	0.39 
43.702	-1.2915	0.0117	1.4453	-0.1831	71.9604	11.5356	-3.6365	45.4065	-144.3988	43.4900	-207	-100	209	100854	0.39 
43.735	-1.4580	-0.0366	1.6626	-4.8828	47.7905	1.1597	-3.1036	51.1139	-144.3109	43.4900	-183	-97	196	100854	0.39 
44.051	-1.4199	-0.1636	1.8721	-11.1694	-20.8740	4.2725	-3.7189	51.9873	-145.2228	43.4900	-175	-90	191	100854	0.39 
44.192	-1.5884	-0.1255	1.9971	0.8545	-28.5645	-1.5259	-4.6143	48.5486	-147.0300	43.4800	-180	-90	191	100855	0.39 
44.254	-1.6045	-0.1484	2.0352	2.3804	-49.7437	-5.6763	-4.3616	43.6432	-147.6453	43.4700	-197	-89	199	100856	0.39 
44.254	-1.4458	-0.0703	2.0996	5.0049	-68.1152	-15.1367	-4.3616	37.1777	-148.5297	43.4700	-214	-92	208	100857	0.39 
44.364	-1.1499	-0.1235	2.1934	-0.7324	-62.4390	-8.9111	-3.8892	28.7183	-147.9858	43.4800	-237	-94	222	100857	0.39 
44.489	-0.7734	-0.0742	1.5884	3.7231	-59.5093	7.7515	-3.6255	21.4069	-146.4587	43.4600	-260	-95	241	100857	0.39 
44.551	-0.9175	-0.0557	2.0112	7.2021	-23.9868	-3.6011	-3.1256	18.4076	-145.0415	43.4700	-268	-93	256	100858	0.39 
44.708	-0.8228	-0.0532	1.7930	6.5308	-34.7290	2.1362	-2.5983	15.2161	-143.7451	43.4500	-275	-95	267	100859	0.39 
44.770	-0.9087	-0.0703	1.9141	1.2817	-13.1836	2.3193	-2.1698	14.2438	-141.8280	43.4600	-281	-96	277	100859	0.39 
44.864	-0.8447	-0.0752	1.8457	4.4556	-5.7983	2.2583	-1.8237	14.1174	-140.5316	43.4600	-281	-97	278	100859	0.39 
44.895	-0.7954	-0.0444	1.8462	1.0376	-4.2725	-0.6714	-1.6589	14.2822	-139.3121	43.4700	-282	-95	278	100859	0.39 
45.083	-0.8262	-0.0435	1.8594	-0.3052	0.4272	0.2441	-1.8457	14.7766	-138.2904	43.4400	-282	-95	282	100859	0.39 
45.161	-0.8223	-0.0576	1.8643	1.4038	1.2207	-2.1362	-1.8182	15.3918	-137.3621	43.4500	-282	-99	283	100859	0.39 
45.270	-0.8335	-0.0605	1.8550	-0.3662	2.6245	1.7090	-1.8567	15.9302	-136.5216	43.4700	-282	-99	282	100859	0.39 
45.364	-0.8379	-0.0410	1.8682	2.4414	1.2817	3.8452	-1.7194	16.5399	-135.5603	43.4800	-281	-98	279	100860	0.39 
45.473	-0.8105	-0.0557	1.8530	-0.9155	2.0752	1.3428	-1.6205	17.2266	-134.5001	43.4600	-280	-98	277	100859	0.39 
