15+15 steps
StartTime: 2017-07-06 16:05:20.203
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
2.203	-0.3491	0.1108	0.9121	2.1362	-1.1597	-5.2490	6.7401	21.6431	-152.8143	37.5600	-166	-236	102 
2.235	-0.3940	0.0825	0.9253	2.2583	5.9814	-21.4844	6.5039	22.0166	-154.1052	37.5800	-162	-237	105 
2.438	-0.3130	0.2603	0.9341	-10.1929	-1.2817	-4.0894	5.6909	22.3846	-155.9070	37.5900	-156	-240	103 
2.469	-0.2681	0.1211	0.9136	-21.2402	5.4321	25.4517	4.9548	22.0990	-154.0887	37.6200	-159	-233	99 
2.594	-0.2344	0.1660	0.9092	-25.8789	10.1929	35.9497	4.0759	22.2198	-150.9302	37.6200	-161	-229	96 
2.657	-0.2251	0.0991	0.9424	-35.7056	16.9678	45.3491	2.9718	22.9779	-146.4532	37.6200	-162	-221	90 
2.703	-0.2324	-0.0103	0.9531	-31.3110	3.9063	50.0488	1.5875	23.5492	-141.3062	37.6600	-165	-205	81 
2.891	-0.3486	-0.0586	1.1274	-37.3535	8.3008	39.5508	0.0824	23.5876	-136.6919	37.6600	-168	-188	81 
3.000	-0.4927	-0.2451	1.3809	-20.4468	-15.0757	-0.9155	-2.3456	22.6923	-134.6210	37.6700	-171	-175	80 
3.032	-0.3813	0.2100	0.4360	23.6206	-9.6436	20.1416	-2.1478	21.4069	-135.7526	37.6800	-175	-171	83 
3.110	-0.3525	-0.1494	1.0771	1.5259	-9.6436	-32.4097	-0.1703	21.5717	-135.7031	37.6800	-179	-175	83 
3.266	-0.2529	-0.1377	0.6675	34.1797	-26.3672	-22.0947	0.8295	19.8798	-138.3508	37.6800	-182	-179	88 
3.454	-0.2124	0.1313	0.9307	32.0435	-2.1973	-62.1948	1.8622	19.5172	-143.7122	37.6800	-182	-193	90 
3.485	-0.2090	0.0229	0.9697	25.2686	-19.5923	-32.4707	3.5925	18.3911	-148.0902	37.7000	-176	-205	94 
3.516	-0.4771	0.2041	1.3687	15.7471	-17.9443	-42.7856	3.7573	17.4243	-153.0066	37.7100	-174	-218	103 
3.657	-0.5288	-0.1646	0.4458	27.2217	-6.6528	18.3716	6.5808	17.1661	-152.8418	37.7200	-174	-227	109 
3.719	-0.3984	0.3765	0.7646	-11.4136	7.1411	-26.6113	4.7791	18.7646	-155.3302	37.7400	-172	-237	109 
3.860	-0.2148	-0.2739	0.8081	-25.3906	-12.4512	42.1753	3.8068	18.8031	-153.2428	37.7300	-169	-235	104 
3.907	-0.1616	0.0049	0.8975	-1.9531	10.0098	-10.1929	1.6919	19.0942	-152.3309	37.7600	-171	-230	98 
4.063	-0.2979	-0.1030	1.1230	-2.7466	-3.9673	24.9634	2.1149	19.0118	-150.7159	37.7700	-168	-223	103 
