StartTime: 2017-07-06 15:36:55.209
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
140.122	-0.1406	0.0498	0.9897	0.0610	-0.3662	-0.1831	2.8235	8.0750	-169.6619	43.0000	-26	-19	106 
140.231	-0.1401	0.0483	0.9907	-0.0610	-0.1831	0.1221	2.8070	8.0475	-169.0741	43.0200	-22	-19	106 
140.325	-0.1377	0.0503	0.9883	-0.1221	-0.0610	0.6104	2.7960	8.0200	-168.4204	43.0300	-28	-19	109 
140.450	-0.1387	0.0503	0.9917	-0.2441	-0.8545	0.8545	2.7850	7.9816	-167.4426	43.0200	-29	-16	106 
140.528	-0.1387	0.0493	0.9932	-0.1221	-0.1221	0.7935	2.7631	7.9486	-166.4374	43.0200	-25	-15	105 
140.638	-0.1367	0.0459	0.9893	-0.4272	-0.4883	1.3428	2.7576	7.9047	-165.8276	43.0300	-25	-19	110 
140.731	-0.1343	0.0430	0.9888	-0.4272	-0.4272	1.5259	2.7246	7.8552	-165.0037	43.0500	-24	-16	103 
140.856	-0.1362	0.0444	0.9912	-0.2441	-0.3662	1.4038	2.7026	7.8168	-164.4708	43.0200	-23	-14	108 
140.903	-0.1343	0.0425	0.9917	-0.3662	-0.3052	1.4038	2.6807	7.7618	-163.8611	43.0400	-25	-17	106 
141.044	-0.1333	0.0454	0.9883	-0.3052	-0.5493	1.5259	2.6642	7.7069	-163.2349	43.0500	-23	-16	107 
141.106	-0.1323	0.0449	0.9961	-0.3052	-0.4272	1.5259	2.6477	7.6630	-162.5317	43.0500	-23	-15	106 
141.247	-0.1279	0.0439	0.9917	-0.3052	-0.3052	1.2207	2.6257	7.6025	-162.0099	43.0400	-23	-17	109 
141.309	-0.1270	0.0469	0.9946	-0.6104	-0.9766	1.0986	2.6093	7.5256	-161.1749	43.0600	-27	-14	104 
141.356	-0.1265	0.0430	0.9927	-0.3662	-0.4272	1.0376	2.5708	7.4652	-160.3839	43.0500	-26	-15	110 
141.544	-0.1294	0.0396	0.9941	-0.6104	-0.4883	0.3662	2.5214	7.4268	-160.1697	43.0400	-20	-17	111 
141.591	-0.1270	0.0420	0.9912	-0.4272	-0.4883	0.6104	2.4829	7.3608	-159.6204	43.0400	-24	-17	106 
141.716	-0.1289	0.0425	0.9946	-0.4272	-0.3662	0.7935	2.4445	7.3224	-158.9117	43.0600	-26	-16	104 
141.763	-0.1279	0.0376	0.9932	-0.4883	-0.4272	0.7935	2.4060	7.2729	-158.1097	43.0500	-27	-15	107 
141.872	-0.1270	0.0405	0.9956	-0.1831	0.0610	1.0376	2.3840	7.2565	-157.4286	43.0600	-28	-17	106 
142.060	-0.1250	0.0391	0.9922	-0.1221	0.0000	1.0986	2.3730	7.2455	-156.5332	43.0600	-30	-15	110 
142.122	-0.1274	0.0400	0.9980	-0.1221	0.4883	0.3052	2.3621	7.2729	-156.0059	43.0700	-26	-17	108 
142.169	-0.1265	0.0400	0.9951	-0.2441	0.2441	0.4272	2.3511	7.2839	-155.5664	43.0800	-25	-17	106 
142.341	-0.1274	0.0415	0.9946	-0.1221	0.2441	0.3052	2.3566	7.3279	-155.2533	43.0800	-28	-19	105 
