15+15
StartTime: 2017-07-11 15:35:03.113
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
18.269	-1.2520	-0.0605	1.8438	-0.3052	-0.3662	0.0000	-2.1918	33.9148	143.4265	43.8000	44	-257	259	100838	0.41 
18.440	-1.2563	-0.0586	1.8403	-0.3662	0.1831	0.3052	-2.1863	33.9313	143.4265	43.8000	41	-256	262	100838	0.41 
18.503	-1.2603	-0.0635	1.8447	-0.3052	0.1221	0.1221	-2.1753	33.9532	143.4485	43.8200	46	-256	260	100838	0.41 
18.675	-1.2490	-0.0674	1.8325	-0.7324	-0.1221	0.6104	-2.1973	33.9313	143.4045	43.8100	45	-258	261	100838	0.41 
18.800	-1.2539	-0.0591	1.8418	-0.7935	-0.0610	0.1221	-2.2028	33.9917	143.4155	43.7900	43	-258	260	100837	0.41 
18.878	-1.2568	-0.0967	1.8457	-2.5024	-0.3052	-5.1270	-2.3840	33.9972	143.2837	43.7900	45	-255	259	100837	0.41 
18.925	-1.2144	-0.0815	1.8633	-2.4414	3.9063	-5.0659	-3.3069	34.2114	142.1082	43.7900	47	-256	260	100837	0.41 
19.066	-1.1797	-0.1299	1.8047	-3.7842	0.7324	12.1460	-3.0212	34.1675	143.0530	43.7900	43	-255	258	100838	0.41 
19.128	-1.2944	-0.0679	1.7061	-0.7324	11.4136	10.2539	-2.6477	35.0574	143.8440	43.7900	41	-256	260	100837	0.41 
19.253	-1.2813	0.0923	1.8384	-15.1978	54.0161	36.3770	-1.2030	37.9852	147.2388	43.7900	40	-259	262	100837	0.41 
19.456	-1.0918	-0.0889	1.8125	12.8784	-20.9351	-11.1694	0.2032	38.7323	149.6228	43.8000	37	-262	263	100838	0.41 
19.503	-1.2461	-0.0107	1.8628	3.9063	35.7666	4.3335	1.3953	38.7488	149.7931	43.7900	37	-263	267	100838	0.41 
19.659	-1.1665	0.0386	1.7808	6.2866	-10.0708	3.3569	2.1478	38.8202	149.8096	43.8000	38	-266	266	100838	0.41 
19.707	-1.2710	-0.0254	1.8896	6.4087	22.2168	-19.6533	1.9775	39.0399	148.7054	43.7900	36	-268	268	100838	0.41 
19.863	-1.9961	-0.0649	2.8525	-15.1978	33.1421	8.7891	0.9338	42.8192	147.2168	43.7900	40	-270	277	100837	0.41 
19.910	-1.5527	-0.0894	1.2236	-4.0283	0.1831	-41.4429	-4.9658	40.7043	140.6085	43.7700	46	-265	269	100838	0.41 
20.066	-1.4263	-0.1470	1.9009	-10.1929	-17.2729	-11.8408	-6.4929	40.7373	139.8010	43.7600	51	-259	263	100838	0.41 
20.113	-1.2393	-0.0220	1.5103	-6.8970	-3.4180	-0.4272	-7.5366	38.5675	138.2739	43.7500	52	-255	258	100837	0.41 
20.300	-1.2974	-0.2832	1.6968	0.4883	-3.1128	3.1128	-7.0422	38.3313	139.4989	43.7400	47	-252	253	100837	0.41 
20.347	-1.4014	-0.2246	2.1563	7.1411	-7.1411	-5.7373	-6.4929	37.5513	139.9548	43.7400	43	-257	255	100837	0.41 
20.472	-1.8472	0.1919	2.3789	6.5308	-21.6675	42.8467	-6.0150	38.3038	139.5978	43.7300	40	-257	260	100837	0.41 
20.535	-1.1899	-0.0991	1.3618	2.3804	15.9302	49.6216	0.3131	36.4142	148.7329	43.7400	24	-259	251	100836	0.41 
20.691	-1.3296	-0.0605	1.6196	5.5542	-38.0859	20.8740	1.7358	36.7767	150.2985	43.7300	12	-261	254	100836	0.41 
20.738	-1.2871	0.0527	1.6880	3.1738	35.5835	2.9297	2.3730	37.4799	151.4630	43.7200	3	-265	255	100836	0.41 
20.894	-1.2510	0.0703	1.8262	-0.6714	-17.5781	35.7056	3.5101	38.0237	153.4076	43.7300	2	-267	258	100835	0.41 
20.957	-1.5669	0.0337	1.9941	-4.2725	1.1597	-12.4512	5.1526	38.0841	155.4950	43.7300	-4	-269	257	100835	0.41 
21.082	-1.3652	-0.6265	1.4761	-16.1743	-66.2231	-49.7437	2.9443	37.5293	154.0338	43.7200	-6	-266	257	100835	0.41 
21.160	-1.2559	0.4272	1.9995	6.3477	43.5791	-8.4839	-1.5710	38.9301	145.8820	43.7100	8	-262	257	100835	0.41 
21.285	-1.1865	-0.2681	1.3232	-8.3618	-29.2358	0.4272	-2.8345	36.9360	147.2223	43.7000	12	-258	256	100835	0.41 
21.488	-1.3335	-0.1851	1.7578	-16.0522	4.2725	-15.7471	-5.1526	37.5293	145.4535	43.7000	9	-255	252	100834	0.41 
21.550	-1.1616	-0.1709	1.8364	9.3994	4.5166	-20.3857	-6.3556	37.1997	143.8879	43.7000	13	-251	247	100834	0.41 
21.660	-1.6787	-0.4194	2.3584	3.8452	16.7847	-14.8926	-6.9928	39.1058	141.5204	43.7000	18	-250	248	100833	0.41 
21.707	-1.5015	0.0581	1.2280	10.2539	-20.8740	39.8560	-4.7516	38.0786	143.2617	43.7100	20	-251	253	100834	0.41 
21.879	-1.3696	-0.1782	2.3032	25.4517	11.9019	-5.9814	-2.0929	40.3802	146.1841	43.6900	15	-255	253	100833	0.41 
21.925	-1.1953	-0.0415	1.1475	3.1738	-8.6060	-0.7935	-1.2799	37.7985	145.3052	43.7100	10	-257	254	100833	0.41 
22.097	-1.4521	0.1138	2.0708	3.9673	17.3950	-12.8784	-0.8130	40.3418	144.2834	43.6900	15	-256	260	100832	0.41 
22.175	-1.4814	-0.0088	2.0981	-5.4321	-7.4463	31.7383	0.2252	39.7266	145.5743	43.6900	16	-259	265	100832	0.41 
22.254	-1.9341	-0.0674	2.7744	-5.0049	12.4512	12.3291	1.1975	40.5341	147.5793	43.7000	11	-262	262	100832	0.41 
22.347	-1.3408	-0.0771	1.1299	5.7983	14.0381	-37.9639	-2.1204	37.1722	143.6188	43.6700	8	-257	258	100832	0.41 
22.488	-1.3789	-0.1665	1.8276	-17.5171	-22.4609	7.0801	-2.8839	38.5510	143.5089	43.6800	18	-255	256	100831	0.41 
22.582	-1.2266	-0.0288	1.5557	-13.9771	18.3716	-9.4604	-4.5264	38.0072	142.2290	43.6600	17	-251	254	100831	0.41 
22.691	-1.3750	-0.2905	2.0215	-9.0332	2.6245	-11.9019	-6.2128	39.5068	141.6797	43.6800	21	-249	254	100831	0.41 
22.785	-1.3765	-0.2495	1.8140	16.1743	4.2725	-15.2588	-7.6080	38.7762	138.7024	43.6900	27	-248	254	100831	0.41 
22.941	-1.5645	0.1318	1.2524	17.8223	-45.4102	40.5884	-5.2295	38.4576	140.2789	43.6600	25	-248	260	100830	0.41 
23.098	-1.3745	-0.1680	2.0127	27.0996	17.3340	-26.8555	-1.9171	39.6552	143.1903	43.6700	21	-253	256	100830	0.41 
