StartTime: 2017-07-11 15:44:32.975
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
54.431	-1.1821	-0.0557	1.8579	-1.5259	-0.9155	4.6387	-2.5269	31.8549	148.6670	44.1300	17	-276	262	100913	0.34 
54.603	-1.1841	-0.0840	1.8535	-1.1597	-2.0752	7.3242	-2.2137	31.8329	149.3756	44.1400	17	-277	265	100913	0.34 
54.650	-1.1812	-0.0771	1.8530	-0.6104	-0.4883	4.1504	-1.9061	31.8219	150.0348	44.1500	17	-273	261	100913	0.34 
54.806	-1.1797	-0.0815	1.8618	-0.4883	-0.6714	0.7324	-1.9171	31.8054	150.1392	44.1600	11	-273	260	100913	0.34 
54.884	-1.1646	-0.0635	1.8530	0.5493	-0.4883	-2.5024	-1.9830	31.7725	149.9524	44.1600	15	-276	263	100913	0.34 
55.072	-1.1782	-0.0601	1.8716	0.3052	-1.2817	-0.9766	-2.0270	31.8658	149.7382	44.1400	14	-276	259	100913	0.34 
55.072	-1.1914	-0.0439	1.8604	-0.6104	1.4038	-0.3052	-2.1423	31.8274	149.5514	44.1700	15	-277	261	100913	0.34 
55.213	-1.1724	-0.0596	1.8623	-0.1221	2.0142	-0.6714	-2.2137	31.9812	149.4965	44.1900	21	-275	262	100913	0.34 
55.291	-1.1978	-0.0283	1.8540	-0.6714	0.3052	-1.8311	-2.2742	32.0966	149.3646	44.1700	16	-277	260	100913	0.34 
55.385	-1.2041	-0.0986	1.8701	-5.9814	-6.6528	-3.6621	-2.6532	31.9318	149.2712	44.1900	15	-273	263	100914	0.34 
55.478	-1.1680	-0.0513	1.8354	-4.7607	-2.0142	-6.1646	-3.5321	31.3934	148.5077	44.1600	15	-271	259	100913	0.34 
55.604	-1.1694	-0.1177	1.8892	-8.3008	6.7139	-8.4839	-4.4769	31.5747	147.5684	44.2100	16	-270	257	100913	0.34 
55.682	-1.0522	-0.0762	1.8018	-6.7139	4.6387	4.1504	-4.7406	31.5857	147.8870	44.2000	15	-269	253	100913	0.34 
55.854	-1.1196	-0.1563	1.8359	-7.5073	-0.1831	12.6343	-4.1418	32.0197	150.0348	44.1700	13	-269	256	100913	0.34 
56.026	-1.0854	-0.1318	1.8848	-4.7607	0.1221	4.2725	-4.6527	32.2449	150.4413	44.1800	8	-269	254	100913	0.34 
56.057	-1.0864	-0.0898	1.8823	-3.7842	-2.0752	12.9395	-4.7900	32.0526	151.1554	44.1800	10	-267	252	100913	0.34 
