StartTime: 2017-07-06 15:36:55.209
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
62.396	-0.1318	-0.0356	1.0161	13.3667	-6.8970	-30.0293	-3.7738	11.2775	-40.7977	41.1900	-167	-26	75 
62.474	-0.4824	-0.0049	1.4043	17.3950	-16.9678	-23.4985	-2.5598	10.0415	-47.4664	41.2000	-178	-32	64 
62.646	-0.3027	-0.4336	0.5991	29.4189	-25.3906	15.1367	1.5051	8.9154	-48.3728	41.1900	-188	-41	67 
62.677	-0.3286	0.4258	0.9546	-22.8271	25.6958	-36.2549	-0.1099	10.3052	-55.1294	41.1700	-193	-49	67 
62.802	-0.2290	-0.0488	0.9253	-9.7046	27.7100	24.7192	-1.2030	11.7938	-56.9257	41.1700	-190	-51	65 
62.880	-0.0459	-0.1826	0.8218	0.9155	-6.4697	-15.9302	-1.7963	12.5958	-58.4747	41.1500	-184	-44	68 
63.052	-0.2925	0.1494	1.1025	13.4277	7.2632	28.9307	-0.8405	13.0902	-60.9467	41.1800	-184	-41	70 
63.068	-0.5024	-0.1157	1.3926	-9.5215	-12.2070	-35.5225	-1.4996	13.4802	-63.2813	41.1700	-179	-39	72 
63.193	-0.2900	0.2744	0.7817	-2.1362	0.4272	-28.7476	-2.0929	12.7826	-69.3512	41.1700	-189	-49	77 
63.255	-0.2881	-0.2803	0.8008	15.2588	-27.8931	-40.5273	-1.9006	12.3212	-73.7073	41.1800	-194	-49	80 
63.445	-0.2222	0.2852	1.0781	11.9629	21.1182	-60.4858	-0.7745	12.1783	-81.4142	41.1700	-203	-68	79 
63.476	0.0122	0.0195	0.8760	9.0332	-6.3477	-26.9775	-0.4395	10.9369	-87.5171	41.1600	-216	-81	81 
63.663	-0.3359	0.0493	1.3491	5.8594	-9.1553	-35.7056	0.0714	10.8600	-91.8677	41.1700	-218	-92	78 
63.695	-0.4033	-0.1450	0.6685	44.6167	-37.2925	21.6064	3.2190	9.3823	-92.9443	41.1700	-220	-99	89 
63.757	-0.3223	0.4604	0.9082	-14.4653	16.3574	-23.8037	2.1643	10.8820	-96.1194	41.1600	-226	-105	86 
63.991	-0.1660	-0.3135	0.8325	-22.7051	-1.0986	32.8369	1.0327	10.8984	-95.0812	41.1800	-223	-104	89 
64.163	-0.0825	-0.0176	0.9224	0.7324	4.5166	-10.3760	0.0769	11.6840	-95.3998	41.1900	-218	-96	90 
64.241	-0.1938	0.1152	0.8706	0.0000	-7.1411	22.7661	0.0385	11.5356	-96.2402	41.1600	-219	-98	86 
64.288	-0.5161	-0.0405	1.5425	-15.9912	-1.5259	-46.6919	-0.6812	12.0520	-97.0093	41.1600	-214	-97	94 
64.288	-0.3081	0.3843	0.7207	-1.5869	-11.9019	3.2349	-1.6205	11.4697	-101.0413	41.1700	-219	-98	97 
64.445	-0.2715	-0.1523	0.8096	8.9722	-12.6343	-8.7891	-1.4337	10.8435	-100.6018	41.1700	-218	-90	102 
64.476	-0.2261	0.1812	0.8975	11.9019	3.0518	-29.3579	-0.2252	10.3546	-104.1449	41.1600	-225	-100	103 
64.616	-0.0151	0.0859	0.9243	11.2305	-2.2583	-6.8359	0.2252	9.9481	-107.3474	41.1500	-222	-108	105 
64.679	-0.0938	0.1826	1.0781	4.3945	12.5122	-49.6216	0.1099	9.2010	-110.8685	41.1700	-224	-116	107 
64.726	-0.3633	0.3691	0.8462	24.9023	-13.3667	15.3198	1.8787	8.7067	-113.0438	41.1900	-229	-122	109 
64.976	-0.2437	-0.1338	1.1133	1.5259	20.0806	-25.5127	1.9116	9.3439	-113.6755	41.1700	-228	-130	108 
65.132	-0.1660	-0.0073	0.7251	-26.4893	-9.9487	39.7339	1.8182	8.7726	-114.5050	41.1600	-227	-133	112 
65.132	-0.1704	-0.0459	1.0942	-3.9063	12.2681	13.6108	0.1813	10.1184	-111.5387	41.1700	-220	-121	111 
65.241	-0.0283	-0.0264	0.9736	-4.3335	7.6294	4.0283	-0.4779	10.1129	-111.6705	41.1800	-217	-115	112 
65.273	-0.1870	-0.2466	1.1006	-0.9766	11.5356	39.7339	0.1208	10.0854	-109.2590	41.1900	-208	-109	111 
65.335	-0.4385	-0.0850	0.8682	-35.5225	-10.3149	-19.1040	-1.8457	10.0085	-109.4843	41.1900	-208	-106	112 
65.511	-0.2607	-0.0146	1.2598	-11.2305	15.7471	33.5083	-1.4996	10.3217	-109.4568	41.1900	-207	-103	116 
65.558	-0.1377	-0.0830	0.6406	13.3667	-13.4277	-15.9912	-1.2579	9.0033	-108.7537	41.1700	-203	-98	116 
65.683	-0.1841	0.2178	1.1362	3.1738	1.1597	-6.2866	-0.4944	10.3821	-111.7639	41.1700	-205	-106	109 
65.746	0.0181	-0.0601	0.9199	2.5635	0.4883	9.7046	0.6866	9.0582	-110.4895	41.1700	-205	-104	112 
