StartTime: 2017-07-07 11:46:33.881
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
24.679	-0.2446	0.0928	0.9517	-1.0986	2.1973	0.8545	5.8832	14.6448	155.5664	47.4000	116	-288	118	100764	0.47 
24.723	-0.2563	0.0889	0.9551	-0.6104	1.5869	0.0000	5.8008	14.8425	155.6543	47.4100	116	-286	116	100764	0.47 
24.840	-0.2534	0.0947	0.9473	0.0000	2.7466	0.3052	5.7678	15.0403	155.6653	47.4100	117	-290	119	100763	0.47 
24.911	-0.2651	0.0850	0.9502	0.0000	1.9531	0.3662	5.7898	15.2985	155.7532	47.4100	117	-290	121	100764	0.47 
25.096	-0.2725	0.0854	0.9604	0.1831	2.5024	-2.5024	5.7349	15.4962	155.5774	47.4300	118	-288	122	100764	0.47 
25.148	-0.2759	0.0815	0.9570	0.1221	1.5259	-3.6011	5.6250	15.6720	155.2863	47.4200	118	-291	120	100763	0.47 
25.243	-0.2744	0.0908	0.9561	0.5493	0.0000	-3.7231	5.5371	15.7928	154.8798	47.4200	118	-289	119	100764	0.47 
25.316	-0.2646	0.0913	0.9478	0.5493	-0.1831	-1.7090	5.4987	15.8148	154.5721	47.4500	123	-286	121	100763	0.47 
25.453	-0.2759	0.1064	0.9521	1.3428	0.4883	-1.1597	5.5426	15.8203	154.4019	47.4400	122	-290	122	100763	0.47 
25.524	-0.2749	0.1011	0.9468	1.0986	0.3662	-1.7700	5.6360	15.8862	154.2975	47.4500	123	-287	123	100763	0.47 
25.681	-0.2646	0.0801	0.9565	0.3052	0.0610	-0.6104	5.7074	15.8368	154.2700	47.4400	118	-288	124	100763	0.47 
25.732	-0.2710	0.0581	0.9556	0.1221	-0.0610	-1.9531	5.6470	15.8807	154.1986	47.4500	119	-286	121	100763	0.47 
25.904	-0.2778	0.0698	0.9619	1.0376	1.7700	-6.5918	5.4877	16.0620	153.7537	47.4600	123	-289	124	100763	0.47 
25.968	-0.2744	0.0693	0.9902	2.1973	-0.0610	-3.2959	5.4108	16.2268	153.2318	47.4500	126	-286	121	100763	0.47 
26.060	-0.2754	0.1021	0.9541	5.0659	-3.4180	-1.0376	5.6964	16.0016	153.0011	47.4600	124	-289	123	100763	0.47 
26.147	-0.2495	0.2026	0.8774	-0.1221	-8.7891	21.4233	6.3721	15.5347	153.7811	47.4500	122	-288	118	100764	0.47 
26.285	-0.2314	0.0884	1.0088	2.1973	-6.7139	15.2588	6.3171	14.1724	155.9344	47.4600	113	-294	118	100764	0.47 
26.355	-0.1694	0.0981	1.0083	4.6387	5.1880	-13.3667	6.4435	14.0295	156.1267	47.4500	106	-299	115	100764	0.47 
26.514	-0.0039	0.1279	0.7207	-12.1460	6.4087	9.8877	6.8060	13.5077	156.2421	47.4600	107	-296	116	100764	0.47 
26.564	-0.1523	0.1704	0.8955	-13.9771	-5.6152	-20.0806	5.0427	14.5129	155.6158	47.4500	101	-294	116	100764	0.47 
26.733	-0.3276	-0.0171	0.6104	-5.2490	24.4751	-41.3818	2.7191	14.1504	152.5781	47.4500	100	-286	115	100764	0.47 
26.779	-0.2622	0.6118	1.7007	21.9727	-32.1045	12.6343	4.3176	15.3973	150.3424	47.4400	104	-282	125	100765	0.47 
26.918	0.1650	-0.5171	0.4946	-21.9727	36.9263	-15.9302	1.6040	14.8425	151.8365	47.4400	97	-282	124	100765	0.47 
26.981	-0.1709	0.1631	0.7515	1.4648	-12.6343	33.0200	2.7026	18.8141	152.8967	47.4300	103	-272	134	100765	0.47 
27.142	0.1152	-0.0044	0.3291	7.8735	-2.8687	-16.4795	3.8397	13.7714	156.7035	47.4300	89	-275	132	100765	0.47 
27.205	-1.7163	0.3501	3.0679	-49.0723	-12.6953	-31.3721	1.8951	19.2700	156.0278	47.4200	87	-268	145	100766	0.47 
27.341	0.1997	0.7974	0.4429	22.6440	45.7764	21.8506	3.5541	12.6178	156.9122	47.4000	83	-268	135	100766	0.47 
27.394	-0.1411	-0.1577	0.5024	23.1934	-33.9355	-64.0869	1.4557	18.3307	152.1552	47.3900	97	-258	148	100767	0.47 
27.540	-0.3887	-0.0146	0.6548	-30.7007	10.4980	-64.7583	1.9611	15.5237	146.6345	47.3900	108	-247	146	100767	0.46 
27.603	-1.5474	-0.0908	2.6553	32.3486	-1.5869	5.4321	3.0817	17.5726	143.9594	47.3600	115	-233	153	100768	0.46 
27.741	-0.4849	-0.0439	1.0977	0.4883	19.5923	25.5127	3.5651	15.6061	144.2505	47.3300	112	-227	153	100768	0.46 
27.811	0.0386	0.1621	0.1763	7.6904	-2.0142	51.1475	6.1194	14.8480	147.7441	47.3400	114	-228	155	100768	0.46 
27.945	-0.0459	0.2080	0.2769	1.9531	-52.4292	39.1235	9.5691	13.9911	155.2698	47.3200	111	-241	163	100768	0.46 
28.018	-2.1636	0.5068	3.2261	-87.1582	101.8677	51.5137	7.3993	19.0503	159.3457	47.3300	111	-249	165	100768	0.46 
28.135	0.6030	0.2637	0.1968	13.3057	30.4565	20.3247	3.6255	12.3486	160.6641	47.3200	102	-249	158	100769	0.46 
28.227	-0.3931	-0.0142	1.1919	1.5259	-66.5894	-16.6626	3.7573	18.4680	158.9008	47.3100	113	-253	164	100769	0.46 
28.358	-0.0845	-0.1694	0.5464	-15.0757	9.6436	-59.0210	1.6864	13.0518	154.5612	47.3000	114	-248	158	100769	0.46 
28.434	-0.7695	-0.0640	0.7446	42.2974	51.1475	-39.8560	2.1423	13.8702	149.2218	47.3000	117	-236	158	100770	0.46 
28.552	0.3174	0.5093	0.6377	-24.1699	-95.5200	36.1328	6.1469	13.3044	151.7212	47.2800	119	-232	171	100770	0.46 
28.638	-0.7666	0.0044	1.2319	0.4883	88.1348	54.8706	3.3289	18.1329	154.7095	47.2700	116	-236	167	100770	0.46 
28.748	0.0337	-0.0376	0.4395	17.2119	27.8320	60.7300	7.1960	14.0131	162.0538	47.2800	107	-247	175	100770	0.46 
28.937	0.0615	-0.1519	0.0459	-30.8228	-14.7095	-31.0059	8.3716	11.6235	168.6566	47.2500	93	-262	178	100770	0.46 
28.984	-0.2944	-0.8062	1.0005	-13.0005	-175.8423	-10.3760	4.2902	13.8977	166.1462	47.2700	93	-259	186	100771	0.46 
29.128	-0.4707	-0.0332	0.4448	-19.4092	148.7427	-56.4575	9.8822	10.1239	165.4816	47.2400	91	-256	168	100771	0.46 
