StartTime: 2017-07-07 11:13:47.687
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
22.362	-0.1611	0.0723	0.9683	-0.0610	-2.9297	-4.6997	4.0649	9.5746	107.4353	44.9000	52	-13	109 
22.400	-0.1709	0.0723	0.9609	-0.3662	-1.4648	-3.6621	4.0814	9.5087	107.0233	44.9000	53	-11	109 
22.480	-0.1724	0.0786	0.9712	0.0000	-0.4883	-2.1973	4.0320	9.4318	106.6608	44.9200	53	-13	110 
22.525	-0.1650	0.0830	0.9780	0.1831	-0.5493	-1.7090	4.0045	9.4263	106.4575	44.9200	52	-12	107 
22.537	-0.1733	0.0786	0.9932	-0.1831	-0.3662	0.0610	4.0155	9.4427	106.3861	44.9200	51	-11	109 
22.718	-0.1777	0.0669	0.9951	0.7324	0.2441	-4.1504	3.9880	9.4373	106.1609	44.9300	52	-13	107 
22.769	-0.1738	0.0771	0.9917	0.0610	-1.2817	-4.9438	3.9276	9.3439	105.6995	44.9200	49	-13	109 
22.957	-0.1533	0.0859	0.9761	-0.5493	2.3193	5.7983	4.0210	9.2615	105.9412	44.9300	47	-10	108 
23.121	-0.1689	0.0596	0.9941	-1.0376	-0.3052	4.8218	3.9990	9.3109	106.4630	44.9400	50	-12	107 
23.164	-0.1440	0.0625	0.9814	-0.6714	0.1221	0.2441	3.9221	9.1406	106.6498	44.9300	51	-11	110 
23.167	-0.1753	0.0728	0.9893	-0.3052	0.4883	-0.1221	3.8782	9.1956	106.5125	44.9300	52	-11	108 
23.192	-0.1855	0.0708	0.9927	0.2441	1.6479	3.0518	3.8397	9.2944	106.4520	44.9400	55	-12	108 
23.298	-0.2026	0.0513	0.9995	-0.4272	2.0752	-0.4272	3.8342	9.4373	106.6058	44.9400	52	-16	110 
23.385	-0.2051	0.0527	0.9639	-0.7935	0.5493	3.6621	3.8837	9.6460	106.9135	44.9600	53	-14	109 
23.529	-0.1987	0.0688	0.9971	-0.4272	0.0000	7.1411	3.9606	9.8877	107.2870	44.9400	52	-12	110 
23.576	-0.1841	0.0752	0.9980	-0.5493	-5.0049	6.0425	4.0430	9.6075	107.6056	44.9500	57	-11	110 
23.739	-0.1782	0.0786	0.9824	0.2441	-9.0332	2.0142	4.0594	8.6792	107.6331	44.9500	53	-11	110 
23.793	-0.1646	0.0747	0.9771	1.5259	-15.8691	4.5166	4.2792	7.5751	107.9681	44.9600	54	-15	103 
23.977	-0.1895	0.0430	1.0088	2.0142	-21.8506	3.1128	4.3835	6.0535	108.1714	44.9700	48	-15	101 
24.117	-0.1499	0.0591	0.9941	2.1973	-28.3813	-0.4883	4.5538	3.8782	108.1384	44.9700	44	-16	99 
24.163	-0.1504	0.1201	0.9922	4.2114	-28.2593	-3.4180	4.8779	1.3348	107.7649	44.9700	37	-14	93 
24.177	-0.1299	0.0933	0.9287	1.7090	-39.3677	5.3711	5.1196	-1.7853	108.6383	44.9700	24	-19	86 
24.358	-0.1128	0.1284	0.8335	2.0142	-50.3540	8.6060	5.2350	-5.7184	110.0775	44.9900	20	-17	77 
24.413	-0.1118	0.1235	0.6689	3.2349	-60.9131	6.4697	5.1141	-10.3601	112.0825	45.0000	2	-14	68 
24.502	-0.1528	-0.0200	0.4902	11.2915	-57.7393	18.3716	4.8230	-14.8755	116.4001	45.0000	-11	-18	62 
24.548	-0.1001	0.0039	0.5469	15.4419	-71.1670	-22.8271	5.3394	-20.1270	121.0748	45.0000	-33	-16	59 
24.609	0.2065	0.3140	-0.0015	17.1509	-128.4790	14.0991	9.1736	-28.7402	123.9368	44.9700	-67	-18	56 
24.769	2.6323	-0.7046	-2.2754	-5.6152	-451.9653	61.8896	8.3606	-54.5911	132.5116	44.9500	-115	-11	68 
24.821	-0.1030	0.0063	1.1631	39.2456	-299.8657	-16.5405	15.8807	-71.5265	126.4417	44.9300	-170	-7	97 
24.921	0.3125	-0.3545	0.0469	-10.2539	80.0781	-4.0283	128.0017	-82.6007	16.8091	44.9300	-221	-23	143 
24.999	0.3926	0.0273	-0.8008	-2.1362	-19.2261	-18.6768	127.5787	-80.3210	17.8473	44.9100	-233	-28	153 
25.149	1.0938	0.1455	0.3442	-7.0190	52.0020	9.3994	59.4745	-83.7268	88.9178	44.8900	-229	-31	146 
25.210	0.9736	0.1484	0.0371	-16.7847	96.1304	36.0107	22.4561	-80.2002	131.1768	44.9100	-219	-26	129 
25.356	1.0742	0.3867	-0.0151	11.1084	-17.7002	1.0986	5.4272	-76.4099	153.0176	44.9000	-203	-17	114 
25.550	1.0137	0.1235	0.7178	-12.2070	-6.5308	11.1084	-4.8175	-72.7844	168.6896	44.9100	-192	-13	111 
25.602	0.8184	-0.0747	0.2280	0.6104	-19.6533	11.4136	-9.7119	-74.0698	178.8409	44.9000	-189	-11	109 
25.603	0.9966	0.0781	0.2241	5.0659	7.9346	-7.0801	-5.3394	-74.8553	-179.9780	44.9000	-189	-13	113 
