StartTime: 2017-07-07 11:25:55.469
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
500.714	-0.2310	0.0322	0.9341	2.0752	2.3193	-7.1411	2.5598	14.7272	146.5961	42.0700	113	-258	169	100762	0.47 
500.905	-0.2754	0.0771	0.9790	-0.6714	0.2441	-4.4556	2.4829	15.0623	146.0742	42.0800	116	-258	168	100762	0.47 
501.031	-0.2642	0.0552	0.9614	-2.6855	-0.9766	1.8921	2.4280	14.9854	146.2445	42.0600	122	-253	169	100763	0.47 
501.083	-0.2656	0.0083	0.9883	-1.0376	0.9155	0.4883	2.2028	15.0897	146.6895	42.0700	116	-256	169	100763	0.47 
501.106	-0.2520	0.0464	1.0005	0.0000	-4.6387	-5.5542	2.0435	14.8590	146.4532	42.0800	116	-257	171	100763	0.47 
501.306	-0.2227	0.0283	0.9634	-1.2207	0.3662	0.9155	2.0435	14.3866	146.5521	42.0900	116	-255	167	100763	0.47 
501.477	-0.2612	0.0239	0.9707	-1.0376	4.8828	-1.2207	1.8018	14.7217	146.6235	42.1100	118	-255	167	100763	0.47 
501.540	-0.2534	0.0088	0.9692	-2.9297	6.7139	-4.0894	1.5491	15.1776	146.5686	42.1000	119	-255	171	100763	0.47 
501.550	-0.1909	-0.0137	0.9595	-3.7231	9.7656	-5.0049	1.0107	15.6995	146.1951	42.1000	121	-254	174	100763	0.47 
501.672	-0.2036	-0.0293	0.9463	-4.5776	15.6250	-6.1646	0.3900	16.7651	145.7886	42.1100	123	-250	172	100763	0.47 
501.751	-0.2207	-0.0356	0.9521	-7.0190	20.3857	-10.1929	-0.6482	18.3856	144.7723	42.1200	126	-251	177	100763	0.47 
501.858	-0.2144	-0.0767	0.9214	-8.5449	17.3950	-6.7749	-1.6699	19.9567	144.6295	42.1300	131	-246	181	100763	0.47 
501.944	-0.2925	-0.0542	1.0010	-0.2441	20.3857	11.9629	-2.1533	21.6101	144.8273	42.1400	132	-248	183	100764	0.47 
502.061	-0.2065	0.1748	0.7256	17.1509	11.9019	3.9673	-0.3735	23.0383	145.3821	42.1300	136	-249	193	100763	0.47 
502.147	-0.1357	0.2354	0.7188	11.1694	12.4512	-10.8032	0.8514	22.6703	144.8383	42.1300	137	-251	195	100764	0.47 
502.315	-0.2217	0.1924	1.1836	27.8320	28.6255	-7.6904	2.4939	24.6533	144.4757	42.1500	139	-252	203	100764	0.47 
502.404	-0.3608	0.3364	1.0464	-0.3662	38.5132	6.3477	4.1254	29.2676	144.6021	42.1600	146	-253	225	100764	0.47 
502.516	-0.3730	-0.0215	0.2627	-20.6299	18.6768	-17.3950	2.5433	27.6910	145.9204	42.1300	148	-255	230	100765	0.47 
502.661	-0.4951	0.2295	1.6470	-34.6680	-18.3105	5.9814	2.6642	28.5095	147.2772	42.1000	145	-258	234	100765	0.47 
502.724	-0.4116	-0.2983	1.0938	-10.3760	37.4146	-74.4629	-3.8562	27.0813	141.0864	42.0800	145	-247	224	100767	0.47 
502.908	-0.0635	0.2905	-0.2183	24.4141	-77.6367	33.0811	-1.0822	25.0543	138.4607	42.0100	158	-230	228	100767	0.47 
503.092	-0.4731	-0.5376	-0.0332	-27.7710	27.4658	15.5029	3.3618	21.9727	142.7728	41.9500	149	-234	212	100766	0.47 
503.148	-0.4331	0.3027	1.7563	79.4678	13.9771	68.9087	7.1741	26.5869	145.7501	41.9300	150	-242	222	100767	0.47 
503.149	-0.4331	0.3027	1.7563	79.4678	13.9771	68.9087	11.1511	23.4668	151.4575	41.8900	140	-260	227	100767	0.46 
503.297	-0.2319	0.0957	-0.0229	-16.7236	-28.3203	16.1743	6.5259	21.7969	151.1993	41.8500	123	-270	210	100767	0.46 
503.386	-0.3560	0.3887	1.7817	-23.9868	-21.9116	-83.9233	9.8383	26.6858	153.8635	41.8400	118	-277	213	100768	0.46 
503.515	-0.0117	-0.7603	0.5835	1.7090	-55.1147	-24.5361	1.7743	24.5544	145.8380	41.8000	125	-258	205	100768	0.46 
503.581	-0.3823	0.6587	-0.0806	15.7471	-29.7852	50.2930	5.1526	18.9844	142.5696	41.7900	125	-255	188	100768	0.46 
503.720	-1.7837	-1.7480	0.1870	-130.1880	344.4214	-87.3413	1.4886	20.8411	146.4093	41.7800	110	-254	172	100768	0.46 
503.879	-0.2881	-0.1333	1.1523	90.5762	69.9463	36.7432	6.0370	25.3235	146.8597	41.7600	123	-254	189	100768	0.46 
503.935	0.0664	-0.1309	-0.3267	-15.9302	-118.3472	42.6636	11.4862	23.2800	151.0181	41.7400	118	-262	201	100769	0.46 
503.946	0.1826	0.3354	0.1099	2.9907	-13.1226	-27.1606	6.7566	22.7032	145.9314	41.7500	110	-271	187	100769	0.46 
504.083	-0.3159	0.5649	1.6714	-15.7471	-1.2817	-86.7310	9.4647	28.5315	144.4812	41.7400	114	-260	200	100769	0.46 
504.160	-0.1978	-0.3164	0.3071	6.8359	-57.1289	-40.6494	3.2355	27.3340	137.8070	41.7100	127	-243	197	100769	0.46 
504.345	-0.4751	0.1084	0.2031	20.9351	26.7944	53.0396	7.8058	24.8950	137.5873	41.7000	135	-238	189	100769	0.46 
504.491	-3.6396	0.8604	6.0337	-49.9878	551.9409	-119.8120	2.0984	36.4252	133.0719	41.6700	138	-238	192	100769	0.46 
504.554	-0.4204	-0.2158	0.6938	28.8696	106.3843	11.5967	8.2892	30.9100	142.9761	41.6700	143	-242	209	100770	0.46 
504.566	0.0918	-0.2505	-0.3418	-30.1514	-140.1978	-46.0815	5.6030	29.0424	140.1031	41.6500	143	-247	210	100769	0.46 
504.732	-0.2725	0.2324	-0.5376	25.8789	16.4185	-57.1289	-0.4889	25.5048	130.9460	41.6400	143	-237	177	100770	0.46 
504.925	0.2915	0.4199	1.6719	-43.3960	-69.5190	-75.5615	-0.1044	34.6344	131.1932	41.6200	156	-231	205	100770	0.46 
504.929	-0.2876	-0.2354	0.1416	19.0430	-68.6646	-8.9111	-7.0697	31.5363	125.7001	41.5900	164	-209	195	100770	0.46 
504.992	-0.2749	-0.0986	-0.0269	4.7607	-38.0249	48.9502	0.2032	27.5317	129.6387	41.5900	157	-213	184	100770	0.46 
505.121	-1.4170	-0.2676	2.7705	11.4746	-73.9136	99.3042	-3.9496	35.7001	130.4077	41.5800	160	-218	190	100769	0.46 
505.193	-0.6294	0.4561	1.1587	-2.4414	-17.7002	85.0830	7.2620	35.4968	143.1134	41.5800	159	-240	203	100769	0.46 
505.339	-0.1992	-0.4590	-0.4092	-25.2686	-37.9028	-35.1563	3.6749	29.8444	143.0585	41.5500	149	-256	189	100769	0.46 
505.407	-1.4258	0.9229	0.3604	80.0171	211.7920	29.4189	7.3169	33.0139	145.2118	41.5400	144	-261	184	100769	0.46 
505.579	-0.7217	0.2104	1.8301	-38.2690	-15.7471	-133.1177	2.6752	39.6057	139.7736	41.5500	157	-258	217	100769	0.46 
505.783	-0.2803	0.5825	-0.4814	51.0254	-114.1968	-19.5313	-2.1368	33.0029	130.6329	41.5200	172	-237	206	100769	0.46 
506.073	-0.1733	-0.4082	-0.0122	-0.3052	-39.0625	15.3809	2.6477	30.4211	132.4512	41.4900	169	-239	189	100769	0.46 
506.086	0.3047	-0.3130	1.4268	27.2827	-30.3345	142.4561	0.4614	39.5618	130.8087	41.4700	179	-234	212	100769	0.46 
506.097	-0.4663	0.4790	0.5371	-26.1230	-80.6274	55.8472	10.0195	39.7375	142.0917	41.4700	160	-265	221	100769	0.46 
506.098	-0.4722	-0.0913	-0.1187	-33.1421	34.9731	-20.3857	5.1306	36.3647	141.9159	41.4600	136	-280	199	100770	0.46 
506.180	-2.0215	-1.0205	4.9912	22.4609	144.5313	13.1226	10.4315	44.9231	145.5194	41.4400	122	-282	198	100769	0.46 
506.337	-0.4883	-0.1177	1.5366	-52.0020	-26.1230	-109.8022	-4.7681	42.7203	128.1226	41.4400	132	-256	205	100769	0.46 
506.398	-0.3257	0.9761	-0.6919	13.3667	-82.7026	-7.9956	-5.7184	30.5530	123.4039	41.4100	133	-225	179	100769	0.46 
506.549	-0.5562	-1.2441	-0.1626	-108.3374	196.5942	-74.8901	-8.2892	33.5138	122.0636	41.4000	119	-220	156	100769	0.46 
506.623	-0.4585	0.3071	1.4551	73.1812	68.7866	141.1743	-2.0050	45.4010	130.0012	41.3800	137	-217	192	100769	0.46 
506.740	0.1353	-0.5293	-0.5391	-6.2256	-165.5273	18.9209	3.9825	40.2319	138.3783	41.3700	129	-247	201	100769	0.46 
506.798	0.0269	0.5024	-0.2358	-20.8740	52.4292	26.6113	0.6152	37.9688	136.4063	41.3700	116	-251	176	100770	0.46 
506.981	0.1953	0.8906	1.7681	-37.4146	27.0386	-161.9873	-0.3790	42.5116	132.3358	41.3500	128	-254	195	100770	0.46 
507.141	-0.3091	-0.0508	-0.1387	39.7339	-114.1968	-28.6255	-10.3601	37.2821	120.3772	41.3300	142	-222	182	100770	0.46 
507.202	-0.1318	-0.3652	-0.0679	-14.0991	-21.0571	1.5869	-4.5044	33.1018	123.3820	41.2800	135	-219	164	100770	0.46 
507.225	-1.3154	-0.0127	1.2725	30.0903	-223.3887	186.2793	-13.9691	47.7740	116.8835	41.2900	144	-207	185	100770	0.46 
507.345	-1.0176	0.2031	1.2104	8.1177	-10.5591	-5.2490	0.4504	46.1426	131.4734	41.2700	141	-234	193	100770	0.46 
507.433	-0.1738	-0.1172	-0.4946	-24.1089	-68.6646	-56.4575	-5.6854	32.5909	127.5568	41.2500	127	-234	169	100770	0.46 
507.547	-1.5947	0.9888	3.2764	98.5718	508.6670	129.0283	-5.1196	45.2417	125.5847	41.2300	125	-224	160	100770	0.46 
507.640	-0.7993	0.4521	1.7021	-36.1328	17.7612	-74.3408	-10.5743	44.0222	117.8284	41.2400	143	-225	189	100770	0.46 
507.761	0.0859	0.6738	-0.8135	2.9297	-88.8062	30.8838	-10.7391	34.1510	117.7185	41.2000	142	-206	171	100770	0.46 
508.011	-0.0039	-0.2778	-0.0996	-9.5215	28.8696	41.2598	-8.6353	35.5902	122.1515	41.1800	130	-218	160	100770	0.46 
508.164	1.1768	-0.4160	1.4102	35.0952	41.2598	124.7559	-9.5801	43.4674	125.1837	41.1700	143	-220	182	100770	0.46 
508.231	-0.2808	-0.3896	0.1958	-23.3154	-172.9736	19.2261	-0.4614	44.5605	136.1865	41.1500	132	-251	196	100770	0.46 
508.242	-0.6841	0.1494	-0.4697	8.4229	-50.7202	-38.3911	-8.6792	38.0457	130.3912	41.1300	111	-252	171	100770	0.46 
508.373	-3.3779	-1.2842	6.8032	-30.8838	254.0283	33.1421	-4.8560	59.3481	134.7693	41.1200	115	-255	185	100770	0.46 
508.440	-0.5659	-0.0322	1.3970	-39.7949	2.9907	-66.0400	-14.9963	52.1631	123.9038	41.1100	125	-249	204	100770	0.46 
508.586	-0.0669	0.8223	-0.7871	14.7095	-62.6831	30.2734	-10.1624	42.1326	125.7935	41.0900	125	-238	185	100769	0.46 
508.769	-0.3276	-0.8975	-0.3711	-16.4795	39.4287	36.9873	-7.2015	44.5001	129.8529	41.0700	120	-244	177	100769	0.46 
508.835	-0.2720	-0.7280	1.7173	30.8838	33.2031	61.7065	-7.1521	50.7129	130.2539	41.0600	134	-242	201	100769	0.46 
508.846	0.0718	0.1030	-0.3096	-1.7700	-169.6777	-40.9546	-4.2572	42.1490	129.1772	41.0500	131	-250	195	100769	0.46 
509.004	-0.4751	0.2339	-0.2246	-4.4556	-7.1411	-61.3403	-15.6061	35.1782	116.4386	41.0300	132	-233	160	100769	0.46 
509.189 
509.192	-2.4370	-0.8862	2.5112	-33.3862	-66.7725	46.9971	-12.4200	38.5455	119.1687	41.0100	151	-219	164	100768	0.46 
509.263	-0.0195	0.2822	-0.6509	32.2266	-19.4092	93.2617	-4.3616	28.7897	126.5790	41.0100	129	-225	147	100767	0.47 
509.372	-0.7769	0.3164	-0.1802	-39.9780	28.9307	119.3237	0.6757	33.6621	140.0592	41.0100	116	-248	136	100766	0.47 
509.477	-0.7769	0.3164	-0.1802	-39.9780	28.9307	119.3237	-3.7408	31.3440	138.2794	41.0200	117	-248	137	100766	0.47 
509.644	0.0400	-0.0469	0.1611	66.0400	-135.7422	-92.4683	-7.3004	33.9752	125.7166	40.9800	127	-232	145	100765	0.47 
509.854	-0.3770	-0.0337	0.0869	13.1836	27.3438	-146.9116	-8.5913	27.8009	114.8950	40.9800	130	-209	132	100765	0.47 
510.013	-0.3091	-1.3706	2.1797	39.6729	93.3838	-28.8696	-11.1017	26.2408	104.6228	40.9800	137	-183	130	100764	0.47 
510.065	0.7837	-0.6387	0.5054	-47.3022	-24.5972	10.9863	-8.3386	25.2246	107.0563	41.0000	141	-175	137	100764	0.47 
510.067	-0.0200	-0.3584	0.4033	-29.7241	-7.0190	59.2041	-8.9264	29.7675	114.0326	41.0000	145	-178	146	100763	0.47 
510.212	-0.1602	-0.1191	0.9702	-6.1035	-16.7236	40.1611	-8.8165	29.8334	118.9380	41.0100	143	-193	148	100763	0.47 
510.277	-0.3188	-0.2959	1.2129	0.1221	1.5869	21.3013	-7.0862	29.7894	123.9313	41.0200	141	-204	142	100762	0.47 
510.374	-0.1802	0.0386	0.7798	0.0610	12.8784	5.0049	-6.1414	28.5315	125.4639	41.0400	139	-207	143	100762	0.47 
510.446	-0.1445	-0.0205	0.9004	-16.7847	-6.4697	-0.9155	-6.4380	27.9053	126.5900	41.0400	140	-209	145	100762	0.47 
510.586	-0.3047	0.2500	0.9102	1.4648	10.6812	-15.2588	-6.1414	27.8064	127.1832	41.0500	139	-207	144	100762	0.47 
510.653	-0.0806	0.0459	0.8115	10.3760	-23.6206	19.4092	-4.6802	27.2791	129.1937	41.0400	139	-207	145	100762	0.47 
510.854	-0.2671	0.0205	0.9614	-0.9766	2.5635	12.3291	-3.3124	27.0154	131.0339	41.0600	135	-211	147	100762	0.47 
510.993	-0.1948	0.0029	0.9165	0.9766	-5.9204	-5.9814	-2.6807	26.0760	132.1655	41.0500	139	-216	148	100762	0.47 
511.043	-0.2383	0.0117	0.9565	0.4883	-0.1221	-8.8501	-2.7191	25.3125	131.8250	41.0400	141	-213	148	100762	0.47 
511.055	-0.2231	0.0571	0.9766	-0.3662	-0.4883	-3.5400	-2.5543	24.6698	131.7920	41.0600	138	-211	152	100762	0.47 
511.246	-0.2173	0.0117	0.9604	-1.5869	-0.6104	-2.8076	-2.4829	23.7744	132.1710	41.0500	139	-210	148	100762	0.47 
511.444	-0.2651	-0.0205	1.0010	-1.9531	-3.9673	-5.1270	-2.7356	23.1812	132.1490	41.0500	142	-208	150	100762	0.47 
511.449	-0.1123	-0.0513	0.9526	8.0566	-16.6016	-47.1191	-3.7793	20.5444	129.6771	41.0600	139	-203	148	100762	0.47 
511.521	-0.2358	0.0894	0.9961	5.6763	-2.1362	-29.0527	-4.2462	19.4952	126.0406	41.0600	139	-193	144	100762	0.47 
511.649	-0.2388	0.0586	1.0146	0.0000	3.1738	-2.9297	-4.0594	18.9459	125.2167	41.0600	139	-186	142	100762	0.47 
511.838	-0.1777	0.0742	0.9653	-1.2207	7.9956	19.7754	-3.2465	19.0723	126.9580	41.0700	141	-183	141	100763	0.47 
511.842	-0.1948	0.0186	0.9912	-0.7935	5.4932	23.0713	-2.3346	19.3964	130.0012	41.0600	146	-187	143	100763	0.47 
511.901	-0.1836	0.0020	0.9370	-0.1221	0.2441	25.1465	-1.2195	19.2151	133.1488	41.0700	143	-195	146	100763	0.47 
512.011	-0.2119	-0.0029	0.9805	-1.5869	2.0142	9.7046	-0.7086	19.0393	135.2911	41.0800	145	-203	144	100763	0.47 
512.101	-0.1948	0.0254	0.9609	-1.8921	-1.5259	8.8501	-0.4230	18.5669	136.5216	41.1000	141	-206	149	100763	0.47 
512.263	-0.2246	-0.0293	0.9780	-0.4883	0.0610	0.0610	-0.3351	18.2428	137.4390	41.1100	141	-205	144	100763	0.47 
512.418	-0.2095	0.0210	0.9756	0.3662	-1.1597	-9.4604	-0.3845	17.8583	137.0764	41.1000	142	-206	148	100763	0.47 
512.473	-0.1982	0.0396	0.9604	0.0610	-2.0752	-9.3994	-0.5273	17.3749	136.3019	41.1200	143	-202	143	100763	0.47 
512.680	-0.1865	-0.0010	0.9766	0.7935	-2.9297	-7.8735	-0.6207	16.8311	135.8020	41.1200	141	-202	143	100763	0.47 
512.759	-0.2007	0.0186	0.9658	0.6104	2.9907	-7.3242	-0.7141	16.4630	135.1868	41.1300	143	-202	147	100763	0.47 
512.860	-0.2114	-0.0010	0.9946	-0.1831	1.7700	-4.0283	-0.7251	16.5784	135.0330	41.1200	143	-198	148	100762	0.47 
512.929	-0.2061	0.0347	0.9800	1.2207	-2.1362	-8.7280	-0.7306	16.1719	134.6045	41.1300	140	-196	150	100762	0.47 
513.068	-0.1958	0.0249	0.9746	-1.2817	-4.2725	1.3428	-0.6537	15.6171	134.5551	41.1500	143	-198	144	100762	0.47 
513.152	-0.2070	0.0137	0.9858	-1.6479	-1.4038	3.0518	-0.6097	15.1941	135.1868	41.1600	144	-193	147	100762	0.47 
513.268	-0.2007	0.0000	0.9873	0.0000	-2.4414	-0.6714	-0.6097	14.7986	135.5383	41.1800	145	-197	144	100762	0.47 
513.430	-0.1973	-0.0083	0.9814	-1.4648	-3.6011	-1.9531	-0.5658	14.2932	135.6152	41.1700	142	-195	146	100762	0.47 
513.487	-0.2104	-0.0151	0.9678	2.0752	-4.2725	-6.9580	-0.7251	13.7659	135.2747	41.1800	144	-195	143	100761	0.47 
513.487	-0.1953	0.0435	0.9888	1.0986	-7.2632	-3.0518	-0.6097	13.1067	134.8132	41.1900	139	-194	145	100761	0.47 
513.689	-0.1689	0.0278	0.9756	-0.4883	-5.2490	15.0146	-0.2527	12.3267	135.8020	41.2000	139	-190	140	100762	0.47 
513.908	-0.1509	0.0190	0.9751	-1.5259	-4.2725	16.2354	0.0769	11.7993	137.6862	41.2000	138	-194	138	100762	0.47 
513.999	-0.1372	0.0073	0.9849	-1.5869	-1.7700	13.4277	0.2692	11.4093	139.4550	41.1900	136	-200	134	100762	0.47 
514.017	-0.1367	0.0488	0.9893	1.0376	-0.7324	-0.2441	0.4230	11.1346	140.0537	41.1800	134	-201	137	100762	0.47 
514.205	-0.1641	0.0166	0.9883	1.7700	0.6714	0.3662	0.6647	11.1017	140.3503	41.2000	135	-201	137	100762	0.47 
514.210	-0.1777	0.0317	0.9927	2.2583	-0.6104	-2.7466	0.8295	11.0248	140.2515	41.2000	134	-203	138	100762	0.47 
514.272	-0.1543	0.0283	1.0015	-0.1221	0.8545	2.4414	0.9943	10.8325	140.4987	41.2200	135	-202	138	100762	0.47 
514.355	-0.1680	0.0269	0.9976	-1.6479	4.7607	1.7090	1.0107	11.0522	141.0590	41.2200	134	-203	138	100762	0.47 
514.499
