StartTime: 2017-07-07 11:25:55.469
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
290.227	-0.1494	0.0684	0.9897	-0.6104	0.9766	2.9907	4.0979	8.7341	-150.6995	44.4200	-156	-258	121	100763	0.47 
290.287	-0.1572	0.0771	0.9829	-0.3052	2.0142	-3.4790	4.0430	8.9209	-150.9082	44.4200	-155	-257	121	100763	0.47 
290.451	-0.1821	0.0762	0.9893	0.1221	0.8545	-5.3711	3.9990	9.2285	-151.4630	44.4100	-150	-256	120	100763	0.47 
290.505	-0.1675	0.0869	0.9814	1.6479	0.3662	-1.5259	4.0704	9.3823	-152.1002	44.4100	-151	-257	123	100763	0.47 
290.604	-0.1777	0.0737	0.9805	-0.4883	0.9766	2.8076	4.1913	9.5416	-152.1716	44.4300	-148	-258	121	100763	0.47 
290.686	-0.1792	0.0659	0.9814	-0.0610	-0.7935	2.8076	4.1858	9.5746	-151.9409	44.4300	-153	-255	124	100762	0.47 
290.813	-0.1699	0.0732	0.9790	-0.1221	1.2207	-0.6714	4.2133	9.5856	-151.9244	44.4400	-152	-256	118	100763	0.47 
290.886	-0.1963	0.0869	0.9834	0.3662	0.6714	1.3428	4.2517	9.7229	-152.1002	44.4500	-150	-257	123	100763	0.47 
291.013	-0.1670	0.0547	0.9731	0.1831	-1.2817	-0.7935	4.2352	9.7064	-152.1771	44.4500	-152	-257	120	100763	0.47 
291.078	-0.1431	0.0698	0.9487	1.2207	3.6621	-3.4180	4.2407	9.8932	-152.4023	44.4400	-152	-260	121	100762	0.47 
291.222	-0.1724	0.0991	0.9619	0.0610	1.9531	-2.1362	4.2297	10.2008	-152.9572	44.4400	-147	-260	123	100763	0.47 
291.291	-0.1953	0.0791	0.9741	-0.4883	0.1221	-1.0986	4.2352	10.4095	-153.1494	44.4600	-144	-260	122	100762	0.47 
291.479	-0.1851	0.0781	0.9692	-0.1221	-4.2725	5.5542	4.3231	10.3162	-153.0231	44.4600	-147	-259	121	100762	0.47 
291.539	-0.2344	0.0708	0.9917	-1.7700	-1.5259	3.0518	4.2792	10.1898	-152.7429	44.4700	-148	-257	124	100762	0.47 
291.648	-0.2324	0.0728	0.9907	-2.0142	-5.6152	2.6245	4.0869	9.9591	-152.6935	44.4700	-153	-257	117	100762	0.47 
291.707	-0.3159	0.0454	0.9585	-1.7700	-5.2490	-4.5776	3.8342	9.7394	-152.8363	44.4700	-158	-257	119	100762	0.47 
291.851	-0.2983	0.0562	0.7900	-0.1831	7.2021	-12.3291	3.5486	10.0140	-153.9899	44.4700	-151	-257	118	100762	0.47 
291.918	-0.2222	0.0723	0.3823	3.6621	55.4810	9.8267	3.9111	14.0076	-154.7644	44.4800	-147	-257	120	100762	0.47 
292.017	-0.1592	-0.0498	0.6899	-12.3901	49.0723	18.3105	3.8947	22.3901	-153.0505	44.4800	-136	-254	112	100762	0.47 
292.092	-0.2026	0.2373	0.8198	-2.0142	52.2461	4.7607	3.4607	26.4386	-153.1055	44.4900	-123	-255	105	100763	0.47 
292.274	-0.3252	0.0938	1.0010	0.6104	18.9209	-20.5078	3.0597	27.3944	-153.5999	44.4700	-120	-252	103	100763	0.47 
292.424	-0.3291	0.3218	0.8403	-5.0659	-45.4712	10.1318	1.6095	23.7524	-156.2970	44.4900	-125	-250	104	100764	0.47 
292.476	-1.3394	0.3286	1.9063	5.7373	-164.0625	11.0474	3.1586	12.8430	-153.3087	44.4700	-156	-239	110	100764	0.47 
